http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
SC Neukirchen,3177
SAS Épinal,7914
Football Club Zimbru Chișinău,10103
CD Cobeja,2174
FK Mladost Carev Dvor,3454
Zvyazda-BDU Minsk,1455
Beijing Guo’an,70615
Ayacucho FC,15520
Еклано,4150
Patriotas Boyacá,20541
"Real Club Recreativo de Huelva ""B""",1168
Escuelas Deportivas de Láncara,5542
Club Sportiv Pandurii Lignitul Târgu Jiu,18652
Рубио Нью,4640
Goslarer SC 08,5387
Cabinteely FC,1673
GKS Bełchatów,5205
FC Vysočina Igława,4665
Jeunesse sportive Baco,1
Fath Union Sport de Rabat,14589
Free State Stars Football Club,15913
Ориенталь (футбольный клуб),2225
Solares SD,1637
ブネイ・イェフダ・テルアビブFC,16339
Aldosivi Mar del Plata,31570
Borussia Fulda,14201
A.S.D. Nuova Cassino 1924,3639
Berekum Chelsea,9948
FK Sokol Saratov,15580
CS Municipal Unirea Slobozia,4505
Wuhan Zall,22123
SC Rheindorf Altach,8194
Chattanooga FC,18872
Football Club Neapolis,2221
Каламата (футбольный клуб),3792
清萊聯足球會,14859
Football Club Wiltz 71,1976
Пуэртояно (футбольный клуб),9762
Idrottsföreningen Älgarna,2835
Ersboda Sportklubb,1933
Alto Rendimiento Tuzo,1000
Стад Мальен,62815
FCウラル・スヴェルドロフスク・オブラスト,11266
CD Eldense,3808
Dili Leste,4854
US Rumelange,2565
Aberystwyth Town F.C.,4624
加里寧格勒波羅的海足球俱樂部,13464
Società Sportiva Maceratese,5436
Turn- und Sportverein 1927 Ampfing,10085
Asociación Deportiva Colegio Nacional Iquitos,21769
FC Dinamo II București,2202
Аль-Иттифак (футбольный клуб),26349
KF Vëllaznimi,6232
FC Istiklol,19265
ElPozo Murcia Fútbol Sala,7301
CA Pulpileño,2553
نادي فالنسيا,55395
Lakena United,1464
Village United F.C.,2971
UE Llagostera,3068
Unión Deportiva Lanzarote,5431
Лугано (футбольный клуб),6858
FC Tsjepinets Velingrad,8789
José Gálvez FBC,21337
Xerez Fútbol Club,13761
Calcio Montebelluna,2027
Maranatha FC,4110
UE Llagostera,3913
FK BSK Borča,4623
Albirex Niigata,39933
River Plate Montevideo,5600
SSV Jahn Regensburg II,4335
Saljoet Belgorod,13904
Hibernians FC,4117
OFK Grbalj,2
春武里足球俱乐部,7724
Crystal Palace F.C.,26500
Heredia Jaguares de Petén,9442
Dundee North End F.C.,2357
Göztepe S.K.,12967
U.D. Oliveirense,3984
AD Ceuta,6426
Gangneung FC,42882
SG Quelle Fürth,8113
Cometal Celta de Vigo FS,5076
FK Slovan Duslo Šaľa,1135
SO Cholet,759
Swope Park Rangers,3468
卡法薩巴夏普爾足球會,5307
Mescheti Achalciche,3093
КЛМ Талавера,2734
South Kilburn F.C.,2482
多瑙斯特雷達足球俱樂部,17771
Toumaï FC,31731
Víkingur Ólafsvík,1227
Football Club de Rouen 1899,13107
キャビンティーリーFC,1690
Union Sportive Créteil-Lusitanos,13619
FC Machida Zelvia,11425
FCシャフハウゼン,8538
ヘレフォード・ユナイテッドFC,4797
US Alessandria Calcio,5924
توربيون,22728
格爾巴利足球俱樂部,2
NK Olimpija Ljubljana (extinto),8936
Esporte Clube Mamoré,9531
Al-Dschaisch,25705
FC Lokomotiv-2 Moscú,8419
FK Mladost Gacko,2071
FC Wohlen,4713
Drogheda United Football Club,1912
Association Sportive La Jeunesse d'Esch,3862
Zanaco FC,10817
博亞卡捷高足球會,21202
ピチットFC,18264
Corporación Deportes Quindío,22056
Kawkab Athlétique Club de Marrakech,49
FC YPA,679
Godoy Cruz Antonio Tomba,22995
FC VSS Košice,8615
FF Norden 02,2320
Colorado Caribous,80457
Артуро Фернандес Виаль (футбольный клуб),30981
Alvand Hamedan F.C.,6960
FK Smederevo,16732
Clube Desportivo Trofense,6006
CF Villanovense,3712
基希訥烏野牛足球俱樂部,10819
CSD Rangers de Talca,8260
伊维恩托农盖拉德足球俱乐部,14469
Gaborone United S.C.,20514
Darwen Football Club,3573
Sportclub Young Fellows Juventus,3192
FK Khodjent,25172
"Боруссия (футбольный клуб, Фульда)",18649
SC Young Fellows Juventus,3282
Newcastle United FC,52234
Club Deportivo INECEL,22728
済州ユナイテッドFC,39381
Elazığspor,14778
CE Artà,1344
Kaposvári Rákóczi FC,129
プラジャス・デ・カステジョン,5930
Pontyclun F.C.,2005
CD Cobeña,2044
FC Dinamo Kutaisi,14557
卡爾季察足球會,5672
Borussia Verein für Leibesübungen 1900 Mönchengladbach e. V.,60145
Hereford United FC,5642
Hereford United Football Club,5908
TSV 1896 Rain,3
Fulgor Maceratese,5154
غيور تورنا أوزتالي,17414
Musselburgh Athletic F.C.,2095
Inti Gas Deportes Ayacucho,15865
Diósgyőri VTK,10844
Olimpia Poznań,19144
PFC Maritsa Plovdiv,9167
CE l’Hospitalet,7534
USアレッサンドリア・カルチョ1912,5540
Unión Deportiva Valdez,17770
FK Jezero,5182
Étoile Filante de Lomé,11216
Club Deportivo Jalapa Fútbol Club,15530
帕度華青年足球會,1348
Azam FC,4672
FK Slovan Duslo Šaľa,1152
ENTO Aberaman Athletic FC,3035
Kastamonuspor,4179
JKナルヴァ・トランス,1999
FC Gloria Buzău,18728
Cambridge United Football Club,7992
波圖足球會B隊,9803
アル・イテファク,26942
Foadan FC,1133
河内T&T足球俱乐部,26848
VV Capelle,4158
S.V. Vesta.,5837
奧利維倫斯體育會,4582
Football Club Progrès Niederkorn,5300
地拉那戴拿模體育會,7650
Baltimore Comets,56954
Македония Гёрче Петров,3121
PFK Kəpəz,22366
FC Rimavská Sobota,4738
UD Somozas,839
CD Huachipato,9949
Diósgyőr-Vasgyári Testgyakorlók Köre,10937
IFK Värnamo,4388
SC Erebuni Dilijan,1189
Africa Sports National,18403
班加西阿赫利体育俱乐部,55296
Criollos de Caguas FC,1087
Rionegro Águilas,13575
Búhos de Hermosillo,20809
Club Atlético Progreso,7331
Ethnikos Olympiakos Volos,10474
Faqous SC,9142
Unión Deportiva Almería B,13562
Sapekhburto K'lubi Meskheti,3560
Club Atlético Huracán (Tres Arroyos),8106
GKS Jastrzębie,16055
Batuque FC,5436
Сеута (футбольный клуб),6797
Clube Desportivo Trofense,5841
Sporting Club de Huelva,696
AS Cherbourg,5978
FV Union 08 Böckingen,8740
Msida Saint-Joseph Football Club,19416
Antalyaspor,33290
ジローナFC,8588
Nova Alianca Maputo,10
Selangor FA,96785
Yeşilova S.K.,1
Hapoel Ironi Rishon LeZion,6493
Crystal Palace Football Club,28277
Al-Merreikh Omdurmán,52276
ヴァシャシュSC,19597
Ettifaq FC,27906
Sorrento FC,4782
São Cristóvão FR,7388
Hartlepool United FC,9252
FK Tauras Tauragė,3912
ES Sétif,27727
Hapoel Kfar Saba F.C.,4776
Club Real Potosí,31764
Кастриоти (футбольный клуб),9390
Football Club Mulhouse,11074
Bathgate Thistle F.C.,1709
FK Zemun,9381
MAS Fez,44820
Association Football Club Telford United,6470
JS Kairouan,26850
Petrol Ofisi SK,5226
Сан-Себастиан-де-лос-Рейес (футбольный клуб),2775
A.A. Avanca,1279
FC Olt Scornicești,17599
José Gálvez Foot Ball Club,23087
FC VSSコシツェ,8952
ASC Snim,5278
Persita Tangerang,26805
برسيب باندونغ,31021
Аль-Джазира (футбольный клуб),44572
Club Polideportivo Sanvicenteño,1313
Баскония (футбольный клуб),9028
José Gálvez FBC,30199
خوان أوريتش,26797
JSカビリー,16405
HNK Gorica,8247
Olympique Nîmes,18593
FC Frauenfeld,4983
نادي سيون,17640
نادي فان,8974
Inter Club Brazzaville,29770
CD Unión Criptanense,2229
FC Smena-Zenit,22460
Atlanta Beat (WPS),8686
نادي ديامبارز,2160
Georgetown Ibayani FC,1540
Macaé EFC,21
Kırklarelispor,2000
Flambeau de l'Est FC,1972
Grupo Desportivo Cruz Vermelha,6345
Mouloudia Club d'Oran (football),43021
Beat d'Atlanta,6805
Skála ÍF,1916
Ankara Demirspor,39538
Fakieł-SzWSM Jakuck,16316
Gymnastikos Syllogos Diagoras,3276
Bałtika Kaliningrad,13190
Câu lạc bộ bóng đá Hoàng Anh Gia Lai,10314
Club Ferro Carril Oeste,25884
Эвиан (футбольный клуб),15889
Операрио Ферровиарио,11458
Universidade Sport Club,4399
Groomsport F.C.,1128
Maccabi Sha'arayim F.C.,3103
FC Rozova Dolina Kazanlak,16388
SC Erebuni Dilijan,2045
Lupo Martini Wolfsburg,1292
PSIM Jogjakarta,25638
SD Rayo Cantabria,834
Club de Deportes Ñublense,11408
Astur CF,1786
Al-Gharafa,20791
SD Ponferradina B,6375
Ateneu Deportiu Guíxols,2253
Bears Football Club,15333
US Avranches,827
Saint-George Saints Football Club,12832
FC Civics,11107
Budapesti Vasutas Sport Club,3957
Kalamata F.C.,3340
Stade Poitiers,11202
Deportivo Mongomo,3245
FK Mladost Podgorica,2023
BV Cloppenburg,5056
UD Almería B,13723
Velarde CF,2571
沃洛斯奥林匹亚1937足球俱乐部,8629
Persipura Jayapura,32538
Tacuarembó FC,12811
FC Gloria Buzău,18456
Универсидад де Консепсьон,28924
JJ Urquiza Buenos Aires,2636
エミレーツ・クラブ,4779
Skellefteå FF,1284
CD Ferroviarios de Chile,186
ニューヨーク・シティFC,26466
Club Deportivo Jalapa,14921
Central Español,6656
Unión Coquimbo,23
SC Binningen,1535
FC Stade Nyonnais,7184
Lamontville Golden Arrows Football Club,10205
Sriwijaya FC,23140
CD Lugo,8005
Araklıspor,1501
دي.سي. يونايتد,41278
Anschi Machatschkala,26909
PFC Rodopa Smoljan,5254
波哥大足球會,8921
A.C.D. Guidonia Montecelio,2153
Al Olympic Zaouia,6539
Сантьяго Морнинг,4574
Spielvereinigung Schaffhausen,1207
Al Hala Sports Club,10237
Borussia Fulda,15814
Real España Las Vegas,16332
Clube Desportivo das Aves,5201
Deportivo Iztapa,3142
Kocaeli Birlik Spor,1639
Lombard-Pápa TFC,5485
Al-Ahli Sports Club,17599
Santa Pola CF,2762
Benfica Lisbonne B,2300
FC Botoșani,10343
FC ViOn Zlaté Moravce,4124
Atlético Santa Rosa,4842
Torpedo Wladimir,17895
Saba Qom Football Club,11093
FK Smederevo,18485
巴塞爾足球俱樂部,37346
Кансадо,4651
Team Bury F.C.,2915
1. HFC Humenné,5065
Whitecaps de Vancouver (MLS),22669
Club Deportivo Becerril,1969
Football Inter Club Association,7191
SPAL Ferrara,18724
Goslarer SC 08,4478
卢戈体育俱乐部,7829
D.C. United,41456
KF Adriatiku Mamurras,1150
Tampereen Pallo-Veikot,5287
Фейренси,5467
NK Beltinci,1169
Novelda CF,5133
Club Deportivo Ñublense,10511
نادي غزل المحلة,18891
Víkingur Ólafsvík,1181
Red Sea FC,16108
Msida Saint-Joseph FC,18437
"Club Deportivo Tenerife ""B""",3202
Carabobo FC,12572
V-Varen Nagasaki,22873
FC Chiasso,9066
Фейеноорд,61240
Asociación Deportiva Ceuta,6231
Карабобо (футбольный клуб),12770
Unión Sporting Club (Lavadores),3015
Moghreb Tétouan,15059
