http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
Kirchdorf in Tirol,3567
Takht-e Qeysar,1269
Dommartin-lès-Toul,1583
Akrotiri (wieś),705
Rzeczyca (Ulhówek),269
"Krzęcin, West Pomeranian Voivodeship",1198
Morašice (Chrudim),681
Drage (Nordfriesland),603
Weyer (Górna Austria),4306
Saint-Luc (Zwitserland),304
Saint-Saturnin (Puy-de-Dôme),995
Lenta,943
Kitahiroshima,61387
Königsfeld (Meclemburgo-Pomerania Anteriore),399
Paroisse de North Lake,251
Selva di Progno,1001
格罗泰迪卡斯特罗,2905
Saint-Sauveur-de-Ginestoux,65
Boissy-Mauvoisin,661
Boissy-le-Bois,186
Belleau (Aisne),123
Ailly,1097
Grunwald (województwo łódzkie),60
"Bana, Hungary",1828
Villedieu-la-Blouère,2228
Subprefettura di Ermelino Matarazzo,210491
Ору (волость),959
Crépy (Aisne),1889
弗洛雷什蒂,15912
Roznov (Neamț),9501
Gournay-en-Bray,6564
Villedieu-le-Château,416
Overijssel,1156185
"Janów, Gmina Tarłów",131
Barzun,620
Breitscheid (Hunsrück),145
Saint-Genis-l’Argentière,853
克勒斯河畔格朗德丰坦,78
"Fort Thomas, Arizona",374
Zastawno,152
Saint-Saturnin-lès-Avignon,4724
Nasavrky (district de Tábor),63
Galera (Spagna),1059
Lagny-le-Sec,1861
"Limbach, Vogtland",1504
Montagny-près-Louhans,465
Paska (gmina),125
Marey-lès-Fussey,67
Rivera (Buenos Aires),3039
Barry (Hautes-Pyrénées),135
"Gellibrand, Victoria",386
Rzeczyca (gemeente),4983
Juglot,26669
Marey-lès-Fussey,72
Fara Olivana con Sola,1158
コマルカ・デ・キローガ,6617
Le Plessis-Hébert,421
Rivera (Tessin),1972
Delta (Minas Gerais),6505
Ust-Maysky District,8558
"Akbarabad, Delfan",263
Люк-ла-Примоб,5684
"Bani, Iran",341
Boissy-sous-Saint-Yon,3656
Pogorzała Wieś,429
Quincy-Voisins,5143
Lindau (Sleeswijk-Holstein),1420
"Penn State Erie (Behrend), Pennsylvania",1598
Le Plessis-Brion,1500
Saint-Maximin (Oise),2933
"Rzeczyca, Gmina Ulhówek",254
圣索弗 (多尔多涅省),776
La Celle-sur-Morin,1178
L'Épinay-le-Comte,180
Werder (bei Lübz),410
Dommartin (Nièvre),189
Krauschwitz,3787
Artëm (Azerbaigian),14028
Sosa (Saxe),2057
"Runaway Bay, Queensland",9112
Gorny District,11310
比利亚里诺德洛赛雷斯,997
Saint-Saturnin (Lozère),76
Consiglio nordico,26715052
Dříteň,1532
Carbonate,2668
حيفا,271745
Luka nad Jihlavou,2748
Berge (Niedersachsen),3848
Вель-ле-Шатель,146
Сегура-де-лос-Баньос,42
Distretto di Daniel Hernández,9540
Oberdorff,381
Rozogi,1449
Montagny-lès-Seurre,110
Сен-Сатюрнен (Шаранта),1261
瑞西,1204
ヴィーデン (シュヴァルツヴァルト),559
Paine (Cile),50598
Льяно-де-Ольмедо,80
Saint-Sauveur-Lendelin,1280
Morsang-sur-Seine,535
Gimel-les-Cascades,732
Saint-Saturnin (Cher),432
"Yenice, Dikili",90
Moissy-Moulinot,25
Luka nad Jihlavou,2637
塔耶堡 (洛特-加龙省),96
Oberdorf (Haut-Rhin),536
Coin-lès-Cuvry,684
Canna (Italia),842
Boissy-Maugis,385
Нойенкирхен (Альтес-Ланд),789
Bourguignon-lès-Conflans,118
Taillebourg (Lot-et-Garonne),95
Seyssel (Haute-Savoie),2202
Dommartin (Nièvre),193
Liebenau (Opper-Oostenrijk),1810
Montastruc-Savès,73
Boissy-le-Bois,201
Dogo,33241
Viry (Saône-et-Loire),247
Krasne (powiat przeworski),376
Heiligenkreuz im Lafnitztal,1191
Jussy (Mosela),466
Saint-Sauveur-en-Puisaye,974
何塞法爾孔 (巴拉圭),4
"Kotla, Himachal Pradesh",5077
Valle de Matamoros,440
"Orf, Iran",11
Saint-Saturnin-du-Limet,564
"Akbarabad, Najafabad",259
Ла-Кампана (Испания),5424
Janów (wieś w powiecie koneckim),143
Bassa (Kogi),135781
Sulzbach (Rhin-Lahn),213
Gornji Potočari,905
Matching Tye,651
Departamento de Sangha,85960
Gmina Dimitrowgrad,54311
Le Plessis-Brion,1421
"Naval, Huesca",257
"Drage, Metlika",149
Luc (Altos Pirineos),184
Saint-Martin-des-Champs (Cher),340
Ailly,1015
Roy-Boissy,359
Agnicourt-et-Séchelles,200
Heiligenkreuz im Lafnitztal,1218
"Kirchdorf, Mecklenburg-Vorpommern",582
Ituzaingó (Uruguay),765
"Akbarabad, Sarduiyeh",2393
Caballo (Nuevo México),117
أندون (الألب البحرية),583
Mées (Landes),1582
"Viry, Saône-et-Loire",261
Pommiers-Moulons,199
Сен-Совёр (Дордонь),750
Dommartin-le-Coq,68
Lesnoy District,5323
Provincia de Salavan,352804
"Jatki, West Pomeranian Voivodeship",145
韦埃 (下莱茵省),570
Villedieu-sur-Indre,2699
Sinkiang,22686973
Saint-Sauveur-lès-Bray,334
Saint-Sauveur-de-Puynormand,421
"Subarnapur, Nepal",3537
Belleau (Meurthe-et-Moselle),784
Białobrzegi (Podlachie),325
Skarżysko Kościelne,2645
"Raz, Razavi Khorasan",3860
Lapeyrouse-Mornay,1058
格拉斯霍珀鎮區 (堪薩斯州艾奇遜縣),574
Les Angles (Alti Pirenei),130
Bousse (Sarthe),437
Grotte di Castro,2921
Syria,17140932
مرادة,2126
Grotte di Castro,2804
Rašovice u Bučovic,643
Le Plessis-Macé,1157
Плезанс-дю-Туш,16366
زعفران (بشاريات الغربي),246
Реколонь-ле-Рьоз,207
Traisen (Niemcy),560
Illingworth,12303
Comuna de Rzeczyca,4797
"Perreux, Loire",2174
"Wójtowo, Gmina Barczewo",997
Beauregard-Vendon,1112
Пирипири (Пиауи),63307
Veliki Gaber,310
Conflans-sur-Anille,597
Brzeziny (Janów Lubelski),101
Wilkowo Nowowiejskie,176
Senan (Espagne),52
Nawabganj (Bareilly),40497
Bierzwnik (powiat choszczeński),1238
Balzac (Charente),1351
"Platte Township (Contea di Andrew, Missouri)",442
三宅村,2411
Le Plessis-Patte-d'Oie,96
West Bay (Kajmany),10754
Русь (Ольштынский повят),790
Amran,89888
الو (دابوي الجنوبي),400
Huerta de Rey,1058
Sinciang,21620419
Тибетский автономный район,3149165
Dompierre (Orne),321
"Pingnan County, Guangxi",534500
布斯 (摩泽尔省),2953
Biskupice (powiat poznański),1049
Němčice (Domažlice District),135
Belleau (Aisne),121
"Bistra, Vrhnika",43
"Fara, Kostel",28
Лесной район (Тверская область),5132
サウス・イースト・クイーンズランド,3230779
杰宁,40725
Dompierre-sur-Mer,5180
Niepoględzie,367
La Tourette,439
Monte Rinaldo,423
Nordic Council,26046630
"Akbarabad, Khezel",59
阿伊略内斯,1059
Barranca de Otates,1126
Luka (Croacia),1469
Les Angles (Pirenei Orientali),551
"Bassa, Plateau State",180006
Departamento Alberdi,15186
"Lignerolles, Allier",787
Biskupice u Luhačovic,774
Grandfontaine (Doubs),1439
Acayucan,84557
"Barani, Hormozgan",161
Le Mage,267
Stockland Bristol,171
Pommiers (Rhône),2355
"Tsav, Armenia",349
Boquerón (Chiriquí),3775
Salim Sara,502
Salino,82
Tonghua,2441258
Němčice (Blansko District),418
Gampel-Bratsch,1932
Dompierre-Becquincourt,671
"Bistra, Croatia",6912
Biskupice (powiat miechowski),399
La Celle-sous-Chantemerle,150
Luc-la-Primaube,5739
Oldendorf (Melle),4952
Kurumba,3754
北区 (浦項市),260191
كمالي (فارس),1255
Saint-Sauveur-de-Ginestoux,70
Simbi (Mali),15317
"Municipio de Platte (condado de Andrew, Misuri)",415
فيتسباتريك,82
Quincy-Voisins,4875
Saint-Saturnin-du-Bois,872
Hranice (Karlovy Vary),2328
"Barranca District, Datem del Marañón",12175
Brzeziny (powiat kłobucki),318
Lake Wivenhoe,0
Strombeek-Bever,11909
Tervel (town),6354
"Akbarabad, Chaharmahal and Bakhtiari",239
Provinz Bokeo,146650
Sulzbach (Rhein-Lahn-Kreis),208
Salim Sheykh,51
Taufkirchen an der Trattnach,2025
Orville (Orne),91
ハイファ,289842
Лангенес,126
Osina (powiat Goleniowski),991
Saman (distrito),13290
Steinfeld (Carinthie),2194
"Hagen, Schleswig-Holstein",382
Ormesson,237
Yunan,375535
"Pleasant Township, Switzerland County, Indiana",1511
Le Mée,266
La Celle-Saint-Avant,1049
Morašice (powiat Chrudim),694
El Alia,27256
Šťáhlavy,2289
Comanche (gemeente),3738
Marmagne (Cher),1964
"Saint-Martin-des-Champs, Yvelines",338
"Municipio de Pleasant (condado de Steuben, Indiana)",13416
Biskupice na Hané,256
Morašice (district de Chrudim),703
Río Segundo (departement),98730
أكبر أباد (مقاطعة غرمي),184
Ahillones,1073
Ashington,29110
"Winsen, Schleswig-Holstein",379
Saint-Sauveur-de-Puynormand,396
"Seyssel, Haute-Savoie",2125
Saint-Sauveur-Lalande,128
Requena de Campos,40
Kirovs'k,28036
Saint-Sauveur-d'Émalleville,1097
"Sono, Jamui",10339
"Costești, Buzău",4877
Saint-Sauveur-la-Vallée,40
Fournes-Cabardès,65
Weißkirchen in Steiermark,1263
Janów (Varsovie-ouest),393
Barry (Altos Pirineos),130
Hebrón,217830
Podunajské Biskupice,20926
"Lignerolles, Orne",159
Minas (Kuba),37580
Municipio de Millcreek (Indiana),1446
Issel (Aude),463
Tlacolula de Matamoros,16680
Saint-Sauveur-de-Puynormand,396
Biskupice Radłowskie,1148
奧利瓦 (科爾多瓦省),9310
Sand Ridge Township,833
Ahigal de Villarino,43
Dommartin-lès-Remiremont,1858
Dommartin (Somme),398
Le Mage,285
Trient,1974
Dompierre-sur-Mer,5326
Ailly,1046
Isto,184
Roșiori (Bacău),2079
Altenburg (Niederösterreich),813
Arriaga,39494
Malo (Washington),30
Saint-Saturnin-de-Lenne,357
Plaisance (Gers),1459
"Plaisance, Gers",1532
Nakhon Sawan (stad),109991
Damery (Marne),1481
"Sulzbach, Rhein-Lahn",209
Saint-Maximin (Oise),2830
Olmedo (Spagna),4004
"Saint-Cyprien, Loire",2400
Oak Lake (Manitoba),342
Virgilio,11721
Landser,1640
Les Villedieu,162
Drage (Basse-Saxe),3858
Amsa-dong,75029
Orvillers-Sorel,402
"Westborough, Massachusetts",17397
Kněžice (Vysočina),1359
Sutahata (community development block),127854
Dommartin-le-Saint-Père,284
Трайскирхен,16084
East Lavington,274
Montagny-Sainte-Félicité,412
East Farleigh,1555
Marest,272
Perreux (Loire),2089
Tales (Hiszpania),929
Dommartin-le-Saint-Père,270
Saint-Saturnin-du-Limet,570
Le Plessis-Gassot,68
البصة,3098
Олива-де-Мерида,1842
Sono (Burkina Faso),7112
Домпьер-сюр-Мер,5276
Issel (Aude),438
La Celle (Allier),432
Sindh,53675761
Llano de Olmedo,85
Montereau-sur-le-Jard,570
Bishi-ye Olya,61
阿吕埃,299
"Bute, South Australia",272
Siemianice (Poméranie),2033
Distrito de Koura,69667
"Akbarabad, Ardabil",183
塞南,708
ساوتهيل (بيدفوردشير),1154
Luzino,6663
Gournay-sur-Aronde,622
Biskupice-Pulkov,286
Saint-Sauveur (Finistère),783
"Snowville, Virginia",155
Montereau-sur-le-Jard,601
Dompierre (Oise),239
دائرة الميلية,89306
Drage (Bassa Sassonia),3590
Samtgemeinde Bevern,6246
Montastruc-Savès,72
Saint-Brice-sous-Rânes,162
أراوكو (تشيلي),35271
Le Plessis-Gassot,70
Брайтшайдт,1015
ラ・ヴィルデュー＝アン＝フォントネット,176
Lay (Loire),647
"Paradise, Arizona",5
Épinay-Champlâtreux,65
Нова-Аурора (Парана),12002
Sankt Martin im Innkreis,1647
Comfort (Virginia Occidental),316
"Tejada, Province of Burgos",36
"Les Mées, Sarthe",104
"Навабгандж (подокруг, Дакка)",260643
"Municipio de Cedar (condado de Callaway, Misuri)",3005
Orang County,69434
El Rosal,16501
سليم تشاف (دهغاه),348
Saint-Saturnin (Lozère),76
Lahontan,430
Dommartin-la-Chaussée,53
"Prozor, Croatia",971
Veneto,5051285
Eggenberg (Graz),17839
希烏島,279
Montagny-Sainte-Félicité,412
"Jilan, Iran",712
Aceguá (Brasilien),4477
Saint-Sauveur-de-Pierrepont,137
Leroy (Alabama),894
Steinheim am Albuch,8400
Taufkirchen an der Trattnach,1962
Janów (Wolbórz),41
Al-Chums,209850
Llano de Olmedo,79
Holbrook (Derbyshire),1558
Tervel (Bulgaria),18242
L’Hôpital (Moselle),5406
Departamento Río Segundo,92715
Ле-Ме (Альпы Верхнего Прованса),3593
Канна (Италия),828
São Cristóvão do Sul,5151
開福区,474606
雷克纳德坎波斯,39
Raz Rural District,6047
Доммартен-ле-Туль,1710
Hagen (Holstein),368
Markt Sankt Martin,1215
Jussy (Moselle),466
Saint-Sauveur-de-Flée,255
أوفرايسل,1129653
Berlin-Dahlem,15797
District Majski,36774
Boulogne Sur Mer (Argentina),70974
北欧理事会,26201289
Kirchdorf an der Krems,4091
"Limbach, Westerwaldkreis",424
Charmoille (Haute-Saône),427
"Mendham, Saskatchewan",47
Dahlem (quartiere di Berlino),15927
"Akbarabad, Selseleh",100
Bazareh-ye Qarnas,1045
Merlo (Buenos Aires),242342
圣萨蒂尔南 (康塔尔省),230
Câmpulung la Tisa,2343
حيدرالات (مقاطعة فومن),734
Wydminy,2271
Imeni Lazo District,44257
Sassen (Nadrenia-Palatynat),91
Боннёй (Эндр),92
Martello (Italia),881
Crépy (Aisne),2029
"Sido, Mali",13786
Mirabello Monferrato,1465
Saint-Sauveur-Camprieu,270
La Celle-sous-Gouzon,143
Tertry,197
Overijssel,1151672
Драге (Эльба),3705
"Carnet, Manche",458
"Zano, Bam",958
Taufkirchen an der Pram,2763
Dompierre-sur-Héry,80
Weyer (Autriche),4385
Dompierre-sur-Mont,242
Oliva de Mérida,1929
定州市 (保定市),1145666
Bana (Komárom-Esztergom),1782
"Platte Township, Andrew County, Missouri",421
Гранфонтен (Нижний Рейн),372
ميروسلافا (ياش),12388
Boissy-aux-Cailles,338
Siguatepeque,75594
パーン郡,130523
"Pleasant Township, Porter County, Indiana",4590
Senan,736
Theodorou,0
阿让 (摩泽尔省),256
Steinfeld (Rhénanie-Palatinat),1960
Březnice (okres Zlín),1161
Saint-Saturnin (Puy-de-Dôme),1002
Помье-Мулон,192
El Campillo de la Jara,402
Marsac (Charente),821
Główczyce (Pommeren),2043
穆瓦西穆兰奥 (涅夫勒省),27
Amphoe Raman,89135
Boissy-la-Rivière,526
Guantánamo (prowincja),528716
Villedieu-sur-Indre,2669
Gournay-Loizé,614
Liniewo,1028
Orville (Orne),99
"Costești, Vaslui",3043
Ist (island),175
Rosta,4561
Taillebourg (Lot-et-Garonne),90
Podole Wielkie,251
Schönwald (Brandeburgo),1227
Huerta (Salamanca),320
Saint-Sauveur-la-Pommeraye,297
Оффа (Нигерия),93380
Celle-Saint-Cyr,829
Зульцбах (Идар-Оберштайн),345
Le Plessis-Dorin,194
Saint-Sauveur (Gironda),1301
Арриага,38438
Abidjan,4763854
Steinfeld (Schleswig-Holstein),725
Saint-Sauveur-en-Puisaye,926
Saint-Saturnin-lès-Apt,2581
Gampel-Bratsch,1865
Пайне (Чили),47859
達班 (卡蒂省),9585
Naka (Tokushima),11606
Saint-Sauveur (Meurthe-et-Moselle),51
Villedieu-lès-Bailleul,226
Abiyán,4570560
Samtgemeinde Bevern,6495
Bokeo Province,151787
新疆维吾尔自治区,21863044
Seč (Kočevje),0
Marsac (Creuse),732
Le Plessis-Feu-Aussoux,501
Sido,13324
"Ziyaret, Şavşat",124
Luzino,7233
Villedieu-sur-Indre,2794
Igal (Ungheria),1398
"Pushkino, Armenia",410
Cristóbal (cidade),6023
Soto de la Vega,1979
Sierakowice,6931
布尔根兰州奥伯多夫,1049
فارا جيرا دادا,7157
Montagny (Saboia),568
布瓦西莱布瓦,197
Marsac (Creuse),713
Kowale Oleckie,2368
Le Plessis-Hébert,427
Dommartin (Nièvre),197
Amsa-dong,71357
"Kings Park, Victoria",8217
"Saint-Cyprien, Bas-Saint-Laurent, Quebec",1155
Departamento del Zulia,168228
Dommartin-Dampierre,75
Qomsheh-ye Seyyed Yaqub,468
Żmudź (Lublin),684
Saint-Sauveur (Isère),2083
"Boca, Novara",1192
Conflans-en-Jarnisy,2442
Huerta del Marquesado,247
Campania,6083905
Jyderup (plaats),4160
Balzac (Charente),1360
Plaisance-du-Touch,15494
Sono Department,7064
Stod,3460
蒂尔河畔马雷 (科多尔省),338
Cienfuegos (provincie),398194
皮奥恩比诺德塞,8593
Сельва-ди-Проньо,1004
Taranga,3881
Dommartin-le-Franc,215
Mermet,42
La Forge (Vosges),570
Werder (powiat Mecklenburgische Seenplatte),651
Islas Ultramarinas Menores de Estados Unidos,293
"Janów, Grójec County",223
Lenta,975
Ribera d'Ondara,403
Breitscheidt,970
Дзульо,626
"Pleasant Township, Appanoose County, Iowa",798
Mille-Isles,1599
Steinfeld (Schleswig),744
Grandfontaine (Bajo Rin),400
Saint-Sauveur (Isère),1907
Peyrelongue-Abos,130
Ermelino Matarazzo (distretto di San Paolo),108543
"Sunshine North, Victoria",11130
Luc (Hautes-Pyrénées),189
Neuenkirchen (powiat Diepholz),1122
Яновский (концентрационный лагерь),102113
Grunwald (Ermland-Mazurië),766
Bonneuil-en-France,848
Moulineaux,924
Traiskirchen,16513
مالا (برشلونة),253
Distretto di Paca,1619
Podmokly (district de Klatovy),168
Akbarabad-e Vaziri,493
Morašice (okres Chrudim),650
Coin-lès-Cuvry,697
Saint-Jouin-de-Marnes,618
Perthes (Seine-et-Marne),2186
Balzac (Charente),1334
Mado (Burkina Faso),192
Pommiers (Rhône),2213
La Villedieu-du-Clain,1466
Wiscasset,3908
"Agios Amvrosios, Limassol",300
Saint-Brice (Seine-et-Marne),765
Pommiers-la-Placette,535
Zuglio,634
Romont (Vosges),355
Aija (distrito),2478
Mali Gaber,80
Saint-Cyprien (Dordogna),1530
Tales (Castellón),886
La Villedieu-du-Clain,1373
"Lavington, New South Wales",11795
La Villedieu (Charente-Maritime),223
"Municipio de Pleasant (condado de Franklin, Ohio)",6994
Галера (Гранада),1124
Sinagra,3007
Aappilattoq (Qaasuitsup),180
阿布拉潘帕,9413
圣萨蒂尔南 (谢尔省),429
Playford,206
Boissy-aux-Cailles,314
Tonghua,2217830
Rada Nordycka,25504055
Anville,191
Торренте-де-Синка,978
セルヴァ・ディ・カドーレ,577
Alto (Włochy),114
Kula (Bulgaria),3177
Takht Rural District,6387
"Municipio de Pleasant (condado de Appanoose, Iowa)",805
Saint-Sauveur-Lalande,119
Blankenheim (Landkreis Mansfeld-Südharz),1240
Le Plessis-Macé,1125
"Takah, West Azerbaijan",96
Ribera d'Urgellet,980
Boissy-lès-Perche,502
Cueto (Cuba),32931
Gmina Bistra,4883
"Brody, Żary County",1072
甘佩爾-布拉奇,2083
Taufkirchen an der Pram,2804
"Mineral Township, Cherokee County, Kansas",247
Le Plessis-aux-Bois,247
Arborio,1038
Weißkirchen in Steiermark,1308
Haifa,289058
Villa Oliva,1024
Lido Isle,1788
Saint-Luc VS,323
Weißkirchen an der Traun,2925
Jelen Do,161
Neuenkirchen (Rügen),398
Provincia de Chayanta,94150
Leménil-Mitry,3
"Traisen, Austria",3523
Юнгай (провинция),53222
Saint-Sauveur (Dordogne),743
Akbarabad-e Now Deh,601
"Brda, Pomeranian Voivodeship",42
Desa,4901
Lagny,568
"Charak, Bushehr",731
"Rowes Bay, Queensland",555
倉石村,3321
Janów (gmina Tarłów),130
Bajus,307
"Kandal, Kohgiluyeh and Boyer-Ahmad",43
Marey-sur-Tille,335
忠县,786484
泰尔特里,184
Matching Green,640
Wilson Island (Ritchie's Archipelago),0
Taufkirchen an der Trattnach,1984
Dommartin (Doubs),663
貝恩多夫,8549
"Municipio de Nevada (condado de Livingston, Illinois)",1282
Barani Department,46699
Lignerolles (Côte-d'Or),53
