http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
High School for the Gifted,1824
Technische Universität in Liberec,9158
جامعة مدينة نيويورك,516655
Avondale School District,3775
United College (Hong Kong),3029
Valparaiso University School of Law,496
Methuen High School,2080
Université centrale de Caroline du Nord,9656
Pennsylvania State System of Higher Education,110273
Seven Lakes High School,3193
"Government Colleges Hostel, Mumbai",297
ENSAIT,10575
Renton Technical College,3953
大葉大學,10899
Universidad de Colombo,11037
Barry College,9845
Eastwick College and the HoHoKus Schools,2495
CCC Heep Woh College,1233
斯旺西都會大學,6035
Libera Università Internazionale degli Studi Sociali,7798
Westview Centennial Secondary School,1347
Universidad EARTH,422
Universität Luxemburg,6169
Rye College,678
Fairport High School,1606
Universidade de Hamburgo,43584
Owen Valley Community High School,834
University of the Republic (Uruguay),82353
Illinois College of Optometry,633
"Pontificia università ""San Tommaso d'Aquino""",1020
Saint Francis Central Coast Catholic High School,253
Zhejiang A & F University,17327
La Joya Community High School,1850
Riverview School District (Pennsylvania),1544
馬里蘭藝術學院,1926
جامعة قرطاج,49611
University of Papua New Guinea,14460
University of Ghana,36192
Universidade São Judas Tadeu,20
Coombeshead Academy,1181
Campus Bio-Medico,1586
International Psychoanalytic University Berlin,407
嘉应学院,14196
"Казахстанский институт менеджмента, экономики и прогнозирования",606
Elm Wood Primary School,0
جامعة جنوب فلوريدا,49158
St. Henry's Marist Brothers' College,760
Национальный университет Узбекистана,10496
Cheshire High School,1491
Monessen City School District,909
Pine Eagle Charter School,197
Kumi University,1025
American University School of International Service,1576
University of Swaziland,5789
Paisley School,103
Cantell School,982
Pir Mehr Ali Shah Arid Agriculture University,7351
普林斯顿大学,8339
Universidad de León,13
Universidad de tecnología de Mauricio,4466
Hudson Catholic Regional High School,452
Londonderry High School,1854
Brocklehurst Secondary School,784
Madisonville Community College,2596
Gilbert Classical Academy,22052
Wit-Russische Staatsuniversiteit voor Informatica en Radio-elektronica,16549
Macmillan Academy,1444
All Saints Catholic Academy,393
University of Arkansas – Fort Smith,7391
Plainville High School,777
Université de la République,79712
Nuova Università Bulgara,0
Roundwood Park School,1184
Lancaster Country Day School,615
Istituto di studi politici di Lione,1499
貝魯特阿拉伯大學,15591
Lubin School of Business,4209
Winsor School,415
Université de technologie de Poméranie occidentale,16029
Isleworth and Syon School,1011
Largo High School (Florida),1950
Line Mountain Jr./Sr. High School,305
Harvard Graduate School of Design,179
美國海軍司法學校,143
Universidad Europea de Madrid,14014
Merced High School,1840
St. Thomas Residential School,2022
Stanley High School (New Brunswick),152
Università di Ankara,44320
布达佩斯考文纽斯大学,14978
"Uniwersytet ""Gabriele d'Annunzio""",30291
Institut d’études politiques de Toulouse,1733
Maritime Christian College,26
Watson Chapel High School,754
Salisbury-Elk Lick School District,246
九龍工業學校,657
Pisgah High School,959
Valley Forge Military Academy and College,624
Journeys School,202
Uniwersytet w Hamburgu,40956
Waterford High School (Connecticut),972
Norwegische Handelshochschule,3118
Bellefonte Area School District,2791
Our Lady's Convent Roman Catholic High School,724
Seashell Trust,104
Davenport Central High School,1387
Université Columbia,26707
Claude Bernard University Lyon 1,34710
The Glenn Gould School,135
South Wasco County High School,124
Anhui Polytechnic University,18494
大阪府立清水谷高等学校,928
Lycée Ressu,657
Harmony Area School District,352
Polytechnic University of the Philippines,46713
Manuel Dominguez High School,2679
Columbia High School (New Jersey),1907
Staatliche Universität Saratow,26546
Anil Neerukonda Institute of Technology and Sciences,2554
Universidade de Iaşi,26732
Highgate School,1475
Community College of Beaver County,1940
Glasgow High School (Kentucky),536
Bowie High School (Maryland),2602
Sturgis Brown High School,832
Hialeah Gardens High School,658
Университет логистики Кюне,200
State Elementary School Cipinang Melayu 12 Petang,428
Université normale du Zhejiang,20984
Students United,49432
瑪麗安大學 (威斯康星州),2160
IE Business School,5732
Standley Lake High School,1364
Leeds Business School,5323
St. Henry High School,400
Science Hill High School,2486
Salisbury High School (North Carolina),932
Fakir Mohan University,14822
Gymnasium Kiril Pejčinoviḱ,4915
Лёвенский католический университет,57285
Newport Harbor High School,2452
Great Mills High School,1584
"Loreto Convent, Darjeeling",611
Mount Angel Abbey,197
Chopticon High School,2057
Saint Joseph Seminary College,154
Andover Elementary School,31
Miami Dade College,169852
SMK Subang Utama,1443
University of Tolima,36032
Shandong University of Traditional Chinese Medicine,18144
Rajalakshmi Engineering College,5717
كليات التقنية العليا,23471
Bristol Gateway School,83
Amelia High School,1096
Universidad de Argel,98479
Université du Salento,18673
Palmview High School,2615
Worcester Sixth Form College,1565
Российский институт театрального искусства — ГИТИС,1459
جامعة أليكساندرو إيوان كوزا,26335
Lake Central High School,3345
Collège de Maisonneuve,5380
Gulf Islands Secondary School,647
Col·legi Casp,1711
Franklin Area School District,2047
Johnson College,473
New York University School of Law,1618
"University High School (Waco, Texas)",1561
Université d'Oran Es-Senia,26271
Archbishop MacDonald High School,943
Delaware County Community College,13680
Fielding Graduate University,1223
Northside Health Careers High School,818
Manchester Community College (Connecticut),7308
King Edward VII Academy,1370
University of Education,12414
Alpena High School (Michigan),1558
Suranaree University of Technology,14221
Chugiak High School,1090
College Inżynierii Afeka,2508
Оборонный научно-технический университет НОАК,15819
National University of Patagonia San Juan Bosco,14843
City University of New York,506481
Rochester Institute of Technology Croatia,489
Universidade de Perúgia,29057
Petersburg High School (Texas),115
IT University of Copenhagen,1963
白俄罗斯国立信息技术无线电电子大学,16259
Canon-McMillan School District,5275
Bozeman High School,1901
"Kickapoo High School (Viola, Wisconsin)",241
All Saints Central High School,136
Brick Township High School,1685
Université de Playa Ancha,10287
Brooke High School,1139
Zurich University of Applied Sciences,15232
Национальный юридический университет имени Ярослава Мудрого,21881
Edward S. Marcus High School,3160
"Aquinas Academy (Livingston, New Jersey)",150
Institut d'études politiques de Lyon,1401
Saint Louis Park High School,12
The Craig School,136
Millwoods Christian School,855
University of Mauritius,12867
One (sixth form college),1745
浙江师范大学,1925
Deer Park High School (Texas),3918
Father Michael McGivney Catholic Academy,1362
Canyon Crest Academy,2351
Universität Perugia,29095
"Oak Grove High School (Jefferson County, Alabama)",921
Bayside High School (Virginia),1894
South Lyon East High School,857
"The Martin High School, Anstey",601
San Roberto International School,2149
The Lodge School,971
Brandon School and Residential Treatment Center,101
Kühne Logistics University,211
Mount Hebron High School,1478
Walker Technology College,1078
"Temple Christian School (Lima, Ohio)",236
Korah Collegiate & Vocational School,987
Universidad de la Prefectura de Osaka,8128
Universität Paris-Nanterre,32858
"King Edward VI High School for Girls, Birmingham",547
American University of Armenia,1490
Lehman Catholic High School,211
State Elementary School Cipinang Melayu 11 Petang,329
"Nimitz High School (Irving, Texas)",2321
Uniwersytet Świętych Cyryla i Metodego w Skopje,48839
Canandaigua Academy,1160
St. Thomas University (Florida),3870
جامعة ولاية أريزونا,49135
Ryūkoku-Universität,20299
South Plantation High School,2393
西安石油大学,21519
北京聖保羅美國學校,289
Hochschule für Musik Karlsruhe,539
"Heathfield School, Pinner",488
Hele's School,1433
Nootka Elementary School,442
"Downtown High School (Columbus, Ohio)",644
Kent State University,30167
Middletown High School (Rhode Island),670
Woolmer Hill School,1011
Randolph High School (Texas),354
Sargodha Institute of Technology,1121
United Tribes Technical College,867
Brown University,8799
Granada High School (California),2434
Stirling High School,954
Universidad de Bremen,19201
Penn State Wilkes-Barre,535
Université de Berne,16984
Штутгартская высшая техническая школа,4
Hochschule Wismar,11611
East Aurora High School (New York),740
Halfway High School,137
Abbotsholme School,303
Saint Louis University School of Public Health,1134
Drexel University,27531
McIntire School of Commerce,916
D'Evelyn Junior/Senior High School,1041
St John's School and College,153
Lancaster Girls' Grammar School,844
"South County High School (Fairfax County, Virginia)",2323
Колледж Святого Креста,2856
"Prince of Wales' College, Moratuwa",5237
George Bush High School,2393
Eastwood Collegiate Institute,1346
Cypress College,16415
Technische und Wirtschaftswissenschaftliche Universität Budapest,20276
Universidad del Aconcagua,2877
"St John's School, Leatherhead",633
High School Attached to Northeast Normal University,8894
Musselburgh Grammar School,1175
哥倫比亞大學醫學院,1461
國立臺中文華高級中學,773
معهد كاليفورنيا للتقنية,2354
"St Hilda's School, Westcliff-on-Sea",122
Chowan University,1578
Robert Wood Johnson Medical School,581
Largo High School (Maryland),1143
Libera Università degli Studi Per l’Innovazione e le Organizzazioni,2023
Università di Stoccarda,25032
Greenfields School,119
"SMVM Polytechnic, Tanuku",1580
Aeronautical Institute of Bangladesh,307
Alcester Academy,591
The Khaitan School,3384
"St. Cyprian's School, Cape Town",901
Portland Bible College,223
Morrison Academy,74
"St John Fisher Catholic High School, Harrogate",2077
Penn State World Campus,6224
Immaculate Heart High School (Los Angeles),546
El Colegio de México,465
フランクフルト音楽・舞台芸術大学,877
Universidad Politécnica de Madrid,36543
Stone Bridge High School,1705
Chincoteague High School,340
The Colony High School,1801
Instituto Químico-Tecnológico de Praga,3683
"Saint Andrew's School (Saratoga, California)",386
William Carey University,4290
Northern Valley Regional High School at Demarest,1252
Hope High School (Arkansas),652
Marche Polytechnic University,17050
Academia de Bellas Artes Nanyang,2337
Northbrook High School,1872
"Lindbergh High School (Sappington, Missouri)",2335
Electronic Engineering Polytechnic Institute of Surabaya,1750
National University of Laos,26378
"Queen Elizabeth High School, Carmarthen",1578
Alleghany High School (Virginia),852
De La Salle–College of Saint Benilde,8268
The Hundred of Hoo Academy,1687
Mpelembe Secondary School,732
كلية دارتموث,6275
"University of California, Irvine School of Humanities",1946
Universidade Nacional de San Luis,12056
Lowell Catholic High School,363
伍德罗·威尔逊高中,2041
Université du Wisconsin à Manitowoc,636
Université de Messine,22531
Union High School (Utah),857
College of Saint Rose,5072
Daniel Alcides Carrión National University,7752
FutureSkills High School,159
St. Joseph School of San Jose City,815
المدرسة الألمانية الإنجيلية الثانوية بالقاهرة,1403
Wake Forest School of Medicine,307
Universidad Técnica de Varna,7150
Rosewood High School,590
Università Militare Nueva Granada,22
La Vergne High School,1739
Lincoln Minster School,821
Noosa District State High School,532
El Monte High School,1916
Whitinsville Christian School,585
Université européenne de Chypre,4753
Twin Rivers Unified School District,25823
Ferrahian Armenian School,609
Noakhali Zilla School,1510
Universiteit Luxemburg,6154
Northwest Pennsylvania Collegiate Academy,925
Institut International de Lancy,1444
Florida Gulf Coast University,14786
Istituto Europeo di Design,8370
Taft College,5861
Beechwood Park School,1
St. Patrick's Institute of Science & Technology,361
Stuttgart Technology University of Applied Sciences,4
Newport High School (Arkansas),448
Aldine High School,2509
Markville Secondary School,1261
University of Santo Tomas College of Architecture,2233
East Central College,3260
Oak Bank School,55
Mahwah High School,1057
Universidade Federal de Pernambuco,42347
スワジランド大学,5544
Union Area School District,882
Королевский технологический институт,14400
Bacup and Rawtenstall Grammar School,1306
National Louis University,4578
Narodowy Uniwersytet Uzbekistanu,10229
Mars Hill University,1498
圣乔治学校 (温哥华),1112
ANU College of Physical and Mathematical Sciences,2390
Washington Township High School (New Jersey),2422
The Overlake School,510
Nuova Università di Lisbona,19816
Universität Bremen,19253
Sylvia Young Theatre School,233
Polytech Group (France),13355
Calcutta School of Music,968
"Lakewood High School (Lakewood, Ohio)",1838
Ndejje University,4803
Université de science et de technologie de Gwangju,1716
Scissett Middle School,587
"St. Mary's Convent High School, Goa",772
Salesian College Celbridge,686
Académie de Roberval,581
マドリード・カルロス3世大学,18186
St. Paul High School (Oregon),100
Great Marlow School,1199
Lincoln Achievement Center,63
Französische Universität in Armenien,2002
Washington and Lee High School,500
Miss Edgar's and Miss Cramp's School,394
Vanguard High School,1660
Norfolk Academy,1231
Université de technologie centrale,15
Arts Academy in the Woods,313
Liaocheng University,28
Lyndale Secondary College,1268
Tattnall Square Academy,726
国立法官学校,569
Rutgers School of Public Affairs and Administration,1220
Randolph High School (Massachusetts),699
"St Joseph's Roman Catholic High School, Workington",682
Принстонский университет,8076
Nanaimo District Secondary School,1474
South Oldham High School,1216
Parkersburg High School,1897
British International School in Cairo,977
Université de Séoul,11475
Kings International College,696
Регенсбургский университет,20851
McMath Secondary School,1295
韓国放送通信大学校,181210
Wanda R. Smith High School,217
Brookwood School,420
Kurigram Government College,9522
École polytechnique de Milan,39620
Universidad de Bari,48136
Universidad Estatal de Arizona,49062
Saint Francis College,2764
Moscow High School,744
"Cleveland High School (Portland, Oregon)",1606
Universidad de Lyon I - Claude Bernard,36067
摩蘇爾大學,30514
Charles W. Baker High School,1420
Clarke Central High School,1437
Purdue-universiteit,40145
Madison East High School,1596
Universidad de África,1239
Cypress Ridge High School,3077
Charlestown High School,961
Lagan College,1095
Centaurus High School,1049
Instituto de Empresa,1933
Rappahannock County High School,400
Aiyas Matriculation Higher Secondary School,206
Université de Calcul de Chine,13239
Школа права Квиннипэкского университета,371
Llantarnam School,1429
Northlands College,574
Fontbonne Academy,410
UNSW School of Computer Science and Engineering,136
Факультет свободных искусств и наук СПбГУ,546
KIMEP University,2760
Нишский университет,26104
Uniwersytet w Perugii,28193
Manila Central University,4516
Università degli Studi del Molise,7769
Universidad de Stavanger,9750
Stockport Academy,686
Jesse O. Sanderson High School,1947
Puyallup High School,1512
Allegheny-Clarion Valley School District,742
New College Berkeley,203
Purbeck School,990
フェリックス・メンデルスゾーン・バルトルディ音楽演劇大学ライプツィヒ,791
The Wellington Academy,1120
University of Sioux Falls,1479
Instituto de Tecnologia da Califórnia,2274
Austin Area School District,214
Università Araba di Beirut,15677
Université Cheikh-Anta-Diop,62731
Purdue University,38909
George Mason University,34230
"St Michael's Church of England High School, Crosby",722
Geneva Academy,37
Universität Damaskus,208882
DuBois Area School District,4127
Бременский университет,20717
Silver Grove School (Kentucky),100
Armand Hammer United World College of the American West,45
Tracy Unified School District,17724
Hochschule Ålesund,2325
Dominican Academy,222
Финансовый университет,81986
Belmont Community School,725
Dame Elizabeth Cadbury Technology College,623
Institut d'optique Graduate School,235
"Zahira College, Colombo",5249
International School of Zanzibar,204
Grossmont–Cuyamaca Community College District,30233
Andrews High School (North Carolina),282
De La Salle Health Sciences Institute,3110
Sonora Independent School District,1003
"Immaculate Conception High School (Montclair, New Jersey)",176
Conemaugh Valley School District,837
"North High School (Akron, Ohio)",800
Washington University School of Law,747
Giles County High School,990
"Jack M. Barrack Hebrew Academy (Bryn Mawr, Pennsylvania)",88
EMLYON Business School,3427
"St Augustine's Priory, Ealing",477
Università Iuav di Venezia,4992
Colegio San Agustin – Biñan,3028
South Essex College,10863
Natomas Unified School District,13293
Monroe High School (Oregon),146
Macquarie University Faculty of Arts,6123
North Battleford Comprehensive High School,784
Университет Палермо,50
Национальный политехнический университет Армении,9535
Université Pavol Jozef Šafárik,5766
Indian Institute of Technology Ropar,487
John A. Ferguson High School,4316
Sidney High School (New York),400
Lone Oak High School (Kentucky),892
Красноярский государственный университет,12203
Thunderbird High School,1554
Meridian High School (Washington),459
Hostos Community College,6414
"St. Francis de Sales High School (Toledo, Ohio)",648
Highgate School,1429
Université d'État de Zanzibar,2029
Central Dauphin East High School,1358
West Chester Henderson High School (Pennsylvania),1287
Nonsuch High School,1195
École des hautes études en sciences sociales,2866
Sonia Shankman Orthogenic School,41
福州第三中学,2033
Университет Папуа — Новой Гвинеи,15219
Universidade de Estugarda,23937
Санкт-Петербургская художественно-промышленная академия имени А. Л. Штиглица,1552
Bethany College (Saskatchewan),0
Grape Creek High School,317
吉林省实验中学,5148
Green Lawns High School,1216
Университет Коменского,27778
Mardela Middle and High School,698
Armwood High School,2001
Harvard Graduate School of Design,374
Ulverstone High School,449
Université Saint-Clément d'Ohrid de Bitola,14439
Edgewood High School (Indiana),755
聖彼得堡國立資訊科技機械與光學大學,12073
Gardens Commercial High School,678
Parmiter's School,1237
Academia de Bellas Artes de Viena,1252
College of the Holy Cross,2764
Montebello High School,3062
Schreiner University,1158
Hirschi High School,917
Mountain View College Academy,130
纽约法学院,34
Bentley Wood High School,1021
A&M Consolidated High School,2739
Connellsville Area School District,5205
Westmont Hilltop High School,641
Università degli Studi di Salerno,35393
Université de Hambourg,42146
"Ambleside Primary School, Nottingham",504
Ysgol Bryn Alyn,819
Sint-Maartenscollege,1553
Academia de Carreras Farragut,926
West Side Leadership Academy,1083
Anhui Jianzhu University,15600
Stillwater Area Public Schools,8799
Sutherlin High School,470
Brearley School,689
Ramona Convent Secondary School,420
Pionier Boys' School,415
Fairfield Area School District,1063
Cedarview Middle School,789
University of Sassari,12548
Polytechnikum Mailand,42595
"Hudson Catholic High School (Hudson, Massachusetts)",123
Menaul School,198
Collegium Civitas,1906
Streator Township High School,1015
"Roosevelt High School (Lubbock, Texas)",296
North Paulding High School,2272
Université islamique de Médine,21816
Orchard Farm High School,469
Université de Carthage,50971
Pierre Elliott Trudeau High School,1725
曼谷大學,27001
Magnus Church of England Academy,1059
Kingsway High School,1050
College of Management Academic Studies,12066
جامعة ريدجو كالابريا المتوسطية,10
Bulacan State University,29170
"Sacred Heart School (Saratoga, California)",246
West York Area High School,993
Misr Universität für Wissenschaft und Technologie,17163
Froebel College of Education,240
Universidad Nacional de las Artes,16512
Sistema Universitario de Indiana,115182
Blackhawk School District,2750
The Benjamin Britten Music Academy,788
Universidad Del Pacífico – Ecuador,1674
Midd-West School District,2292
亞歷山德魯伊萬庫扎大學,25680
Davidson Day School,2
Dan Knott Junior High,520
The Willows Academy,242
ニューヨーク大学・ロー・スクール,1623
东芬兰大学,14357
Norges Handelshøyskole,3099
Cranford High School,1150
Universidad de Lund,39178
Nyack College,3056
新躍大學,13276
West Hall High School,1055
Indiana University – Purdue University Columbus,1757
Vineland Senior High School South,2953
St. Patrick's High School (Ottawa),1265
Herbert Henry Dow High School,1297
パデュー大学,38866
Universidad Nacional de San Luis,12151
University of Idaho College of Law,332
George Washington University School of Medicine & Health Sciences,722
Immaculate Heart High School (Los Angeles),206
Libera Università Internazionale degli Studi Sociali Guido Carli,7851
National University of Saint Augustine,26327
United World College–USA,25
Baltimore Civitas Middle/High School,343
Moorpark College,13526
East Carolina University College of Business,3495
Universidad Pedagógica Nacional (México),24247
Lejeune High School,526
Alonzo and Tracy Mourning Senior High Biscayne Bay Campus,1789
Universidad Tecnológica Chalmers,11510
Escuela Preparatoria Palisades Charter,2923
David Anderson High School,505
浙江理工大学,25949
Kibuli Secondary School,1603
Calvin Park Public School,369
Millard South High School,1593
Halifax County High School,1817
麻省药科与健康科学大学,7075
San Dieguito Academy,1651
Community High School (West Chicago),2229
جامعة ستافانغر,9697
International School of Kigali,220
Slowakische Technische Universität Bratislava,17968
Oasis Academy Brightstowe,690
Papieski Uniwersytet Świętego Tomasza z Akwinu,1001
"Notre Dame Academy (Park Hills, Kentucky)",558
Universidade Pantheon-Assas,16825
Sangju National University,4511
Tottenville High School,3902
Kathmandu University High School,548
Università americana in Afghanistan,1119
Redwood High School (Visalia),2466
International University of Monaco,541
Ludlow Church of England School,764
Greenway High School,1437
Nogales High School (Arizona),1686
Shau Kei Wan Government Secondary School,1082
Valley Forge Military Academy and College,606
Willamina High School,308
Universidad SIM,12933
東ウクライナ国立大学,34907
Université Alexandru Ioan Cuza de Iași,25647
Henry Wise Wood Senior High School,1255
La Salle University (Ozamiz),5015
The John Carroll School,710
Butler County Community College (Pennsylvania),1882
Università Brown,9406
Artesia High School (California),1814
Uniwersytet Ekonomiczny w Poznaniu,9725
École supérieure de musique et de théâtre Felix Mendelssohn Bartholdy de Leipzig,798
Landmark School,152
Harrisburg High School (Oregon),239
Lanakila Baptist High School,72
Universität Hasselt,5736
Nipawin Bible College,49
Britton-Macon Area School District,483
Technische und Humanistische Akademie in Bielsko-Biała,8280
Eastview Secondary School,1425
Rose and Alex Pilibos Armenian School,1004
Università di Richmond,506
"Department of Business Management, University of Calcutta",33
Cégep de l'Abitibi-Témiscamingue,2517
Zionsville Community High School,1843
جامعة بانتيون أساس,17379
جامعة أنقرة,40708
King Ecgbert School,1452
Uniwersytet w Bernie,17722
Macquarie University,40345
Université de Oradea,20182
Webster University Vienna,486
Université normale de Guangxi,24626
Dover High School (Arkansas),375
"Foothill High School (Orange County, California)",2091
Russische Staatliche Geisteswissenschaftliche Universität,5403
Mira Mesa Senior High School,2469
Universidad Pierre y Marie Curie,30513
Union County Academy for Allied Health Sciences,259
King Charles I School,1187
BRAC University,6681
安徽中医药大学,8283
Mapleton Junior/Senior High School,82
Bloomfield Junior-Senior High School,402
Warminster School,596
Monarch Park Collegiate Institute,905
"St Mary's School, Colchester",386
Escuela de cine Marubi,0
Université de Chieti,31371
De Shalit High School,2413
Celje First Grammar School,1056
New College Nottingham,19846
Paraclete High School,885
Universiti Putra Malaysia,26868
Wellsprings Friends School,58
Grove Academy,1281
Университет штата Аризона,49305
Lycée Français de Shanghai,1251
希尔中学,51189
Sankt-Petersburski Państwowy Instytut Górniczy,16816
Center for Transnational Legal Studies,57
Welshpool High School,1394
Université Saints-Cyrille-et-Méthode de Skopje,52079
Hatch End High School,1267
Georgiana Bruce Kirby Preparatory School,255
Universidad Estatal Belarusa de Informática y Radioelectrónica,17114
Universiteit voor Scheikunde en Technologie Praag,3771
Cleveland Heights High School,1948
Natick High School,1671
San Francisco Day School,417
Université de sciences appliquées de Mayence,4620
Universidad Externado de Colombia,12626
Bandon Senior High School,272
Eagle Harbor High School,143
埃里温国立大学,9738
Oberoi International School,1603
Kampala International University,12422
"Frontier High School (Bakersfield, California)",2059
巴黎第十大学,32722
Дурбанский технологический университет,25504
Conemaugh Township Area School District,1004
Technische Universiteit Eindhoven,7416
Crichton Street Public School,520
Epsom College,729
"Dhaka University of Engineering & Technology, Gazipur",2310
The Gifted Students' School-Iraq,58
Mountain Lakes High School,705
Arizona State University,4295
"New College, Telford",1450
Università degli Studi di Palermo,46
Université pontificale catholique du Pérou,16724
University of San Diego School of Law,964
潍坊医学院,13206
Universidad de La Rioja,7774
Landau Forte College,1075
Bronzeville Scholastic Institute,449
University of Brescia,14035
Universidade Federal da Bahia,27577
Свальбардский международный университет,492
Northern Illinois University College of Law,282
Escuela Colombiana de Ingeniería,4686
Mountain Vista High School,2094
Cedar Hill High School,1725
"Columbia Graduate School of Architecture, Planning and Preservation",614
克兰纳特管理学院,3321
École supérieure de réalisation audiovisuelle,2094
Canarsie High School,2921
Riddle High School,205
University of Dar es Salaam,19178
Frazier School District,1188
Université du sud du New Hampshire,4000
Armadillo Technical Institute,109
国立台中文華高級中学,2326
Spring Grove Area School District,4011
Unitec Institute of Technology,10101
Tarlac State University – Laboratory School,515
Black Mountain College,1243
Uniwersytet Technologii i Ekonomii w Budapeszcie,20324
NewSchool of Architecture and Design,571
哈佛商学院,1809
Mayo School of Health Sciences,1713
Anschutz Medical Campus,3854
Abilene Christian University,4475
Hardaway High School,1970
Minot High School,2023
Lockport Township High School,3714
Université technique de Crète,3545
Russian State University for the Humanities,5461
Austin Area School District,245
Bhawani Dayal Arya College,892
William Aberhart High School,1376
SMK Sentul Utama,1036
Estacada Alternative High School,173
Vanguard College Preparatory School,224
Kaunas University of Technology Gymnasium,310
Arizona State University,52523
Muskego-Norway School District,5049
"Indian Institute of Science Education and Research, Thiruvananthapuram",580
New York Law School,36
Universidad de Tsukuba,17242
珠海學院,1821
"Theodore Roosevelt High School (Kent, Ohio)",1270
Angelo State University College of Graduate Studies,708
University of Rhode Island,16740
"Pacific High School (Port Orford, Oregon)",90
St. Louis Community College–Wildwood,2059
Goerdeler-Gymnasium Paderborn,897
Fort Collins High School,1668
Great Bridge High School,1727
Bethel-Tate High School,622
"North Side High School (Fort Wayne, Indiana)",1815
KIIT International School,1534
Fruitland High School,497
Orange High School (North Carolina),1326
Dartmouth College,6510
Ponitz Career Technology Center,604
Academia de Arte e Design - Bezalel,2129
Eindhoven University of Technology,6975
Bay de Noc Community College,5157
Cadet College Hasan Abdal,1
West Hempstead High School,934
Longyan University,8123
Oregon Connections Academy,4196
Wit-Russische Pedagogische Staatsuniversiteit,20522
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,10813
Geneva Medical College,603
亨利四世中学,2025
Roosevelt High School (South Dakota),2013
Rockford University,1333
North Carolina Central University,9381
"Mesquite High School (Gilbert, Arizona)",2010
"St Catherine's School, Ventnor",59
Satriwitthaya 2 School,5172
Mill Creek High School,3887
معهد كارلسروه للتكنولوجيا,24411
McCutcheon High School,1700
Université Catholique de l’Ouest,11880
Université d'État de Kent,30198
أكاديمية كونمينغ الدولية,147
Технологический университет имени Насир ад-Дина Туси,8306
West Lothian College,7893
The Fallibroome Academy,1432
コメンスキー大学,25400
淡江大学,28091
Hochschule Dalarna,15308
Midd-West School District,2158
Black Forest Academy,312
Malatya Science High School,394
Clay-Chalkville High School,1384
Oratory Preparatory School,316
Université catholique argentine,17419
Alton Convent School,535
Pakenham Secondary College,1142
Naval School (Portugal),262
Бэйлорский университет,16886
European University of Lefke,5
Rangpur Zilla School,1872
Hartsville High School,1260
Wetherby School,245
Henry P. Becton Regional High School,514
Bernard Mizeki College,440
Arts and Technology High School,77
"Brewer High School (Fort Worth, Texas)",1750
Cypress Falls High School,3766
Lawrence High School (New York),1029
斯德哥尔摩大学,64405
University of Montpellier,39202
"West End Preparatory School, Harrogate",48
Willamette Valley Christian School,168
Fachhochschule St. Pölten,2361
Fachhochschule Dortmund,11931
