http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/areaLand
斯韋奧,216119097
Stranda,803417335
Condado de Apache,28433487056
مقاطعة آش (كارولاينا الشمالية),1050564556
Skedsmo,73575945
"Петролеум (округ, Монтана)",4491923020
Condado de Brunswick (Virginia),1505803738
Вогсёй,169523128
مقاطعة بيغ هورن (مونتانا),12290601564
バーンズ郡 (ノースダコタ州),3816572716
"Берриэн (округ, Джорджия)",1123505630
Finnøy,101884941
Нурдал,915369302
Condado de Boone (Indiana),1071078393
Condado de Billings,2878376746
Engerdal,1916489332
Contea di Caroline (Maryland),822310617
Contea di Dickinson (Kansas),2112947552
ブキャナン郡 (アイオワ州),1472744473
"Оглейз (округ, Огайо)",990311395
Vevelstad,500521771
Рёума,1382363113
Contea di Anderson (Kentucky),543479013
"Аллен (приход, Луизиана)",1911310673
肖尼縣 (堪薩斯州),1390456286
斯科特縣 (堪薩斯州),1869033418
Намсскуган,1368252846
洛帕,668183969
Hrabstwo Adams (Waszyngton),5135481575
Hå,239098384
Ulstein,94423464
Storfjord,1430136303
"Оттава (округ, Огайо)",678175348
Contea di Black Hawk,1401806100
Ульстейн,93245775
Gampaha (district),1335685662
クレイ郡 (カンザス州),1736284076
Омли,1068802996
Gaspésie–Îles-de-la-Madeleine,19653463792
كارولاينا الشمالية,130238069440
Kansas,210498406619
Mitchell County (Kansas),1785741852
"Brown County, Indiana",830380608
Horten,66529464
Lyngdal,356963636
"Kane County, Illinois",1406592151
阿勒根縣,2114662086
Atkinson County,880266574
Alaska,1422454474026
Condado de Labette,1664324731
"Atascosa County, Texas",3038949449
Adair County (Missouri),1408270998
Skjåk,1949832261
Lierne,2742483013
Berkshire County,2332670070
"Barton County, Kansas",2324994038
مقاطعة موريس (كانساس),1858390402
Geary County,1008730526
Narvik,1860622210
Suldal,1525909269
Molde,346772130
Arendal (gemeente),259941976
Comté d'Allen (Indiana),1782411301
Tysvær,390030044
Contea di Riley,1615468363
Brown County (Illinois),765909928
Kvinnherad,1017901598
Contea di Mitchell (Kansas),1818406714
亞當斯縣 (愛達荷州),3383285268
"Берген (округ, Нью-Джерси)",607565590
Bibb County (Alabama),1693106328
Comté de Bennett,3217331551
Nittedal,172196211
Råde,107188770
Condado de Atchison (Kansas),1142726663
Rømskog,164190054
耶姆內斯,371311735
雷爾菲尤爾,443146775
賽于達,532963639
"Финни (округ, Канзас)",3481988695
Leikanger,169891364
Lurøy,255599708
Baldwin County (Alabama),4271433637
Condado de Brazoria,3341375364
Gáivuotna Kåfjord,943249420
布雷肯里奇縣 (肯塔基州),1505047078
林達爾,638364215
Surnadal,1295620967
"Arenac County, Michigan",975248358
Condado de Adams (Nebraska),1417615883
Линнос,475601957
Hobøl,144021366
Bremanger,786852485
"Traill County, North Dakota",2125806801
Condado de Boone (Illinois),738025530
"Гов (округ, Канзас)",2880162400
Fitjar,132892928
Båtsfjord (gemeente),1442844614
"Адамс (округ, Висконсин)",1672763584
Hrabstwo De Baca,5887366830
Outaouais,31119303058
Nordreisa,3309515803
Hornindal,172092298
Nes (Buskerud),786519811
Lørenskog,65018554
斯韋爾維克,54894113
Kvalsund,1815956385
Ибестад,238149501
Dovre,1352480525
مقاطعة بينتون (مينيسوتا),1005634695
"Блант (округ, Теннесси)",1520050532
Contea di White (Georgia),649681859
比爾肯內斯,633739852
Hrabstwo Bell (Kentucky),971220174
Selje,228220027
弗萊克菲尤爾,476455349
Addison County,1917045978
Alaska,1530182170083
ボンネビル郡 (アイダホ州),4770153943
Gildeskål,588198260
Agdenes,290939498
Sola (Norvège),69733446
Vavuniya (district),1772953785
مقاطعة براون (إلينوي),823654986
Hrabstwo Blackford,434031161
萊達爾,1276946981
Реннесёй,62111463
"Carteret County, North Carolina",1360760887
"Бей (округ, Мичиган)",1112351469
韋戈爾什黑,308196762
Samnanger,256339510
Wallace County,2289476253
Grong,1150336480
Condado de Bond,961855074
Øystre Slidre,910000068
Condado de Berkeley (Carolina do Sul),2707385959
Lardal,265420666
"Андерсон (округ, Южная Каролина)",1790801412
Namdalseid,748675896
مقاطعة ميتشل (كانساس),1778068198
ブラウン郡 (カンザス州),1473698874
霍寧達爾,169712272
Bokn,42687101
Comté d'Adams (Nebraska),1465842160
克維特綏,6318241
Smøla,263304308
Butler County (Ohio),1223985367
アームストロング郡 (テキサス州),2246938308
Hjelmeland,928934777
Condado de White (Georgia),645527732
Finnøy,100331372
諾克斯縣 (俄亥俄州),1304250931
Hrabstwo Brule,2180027589
Samnanger,257559597
Hrabstwo Barton (Kansas),2219131830
Trysil,2864048890
Adams County (Wisconsin),1730193444
ハワイ州,17139895009
Røyrvik,1379046031
Hrabstwo Burnet,2575057857
Lane County (Kansas),1793055874
"Sherman County, Kansas",2860009737
考利縣 (堪薩斯州),2906594473
Odda,1490015099
Ørsta,758877998
سنيلفيورد,510690263
مقاطعة بون (أركنساس),1490994284
Sandnes,286044617
"Адамс (округ, Индиана)",837615634
Allendale County,1013386102
Thomas County (Kansas),2767733554
阿桑普申堂区 (路易斯安那州),893783866
Brown County (Wisconsin),1417219929
カウトケイノ,9294041142
"Буллитт (округ, Кентукки)",804196468
Bremer County,1070667965
Askvoll,325355908
Colorado,256283888122
"Autauga County, Alabama",1619958453
Contea di Shawnee,1435277003
Condado de Comanche (Kansas),2030275701
Contea di Anne Arundel,1060610032
Assumption Parish,886454237
Vadsø,1188874036
"Браун (округ, Миннесота)",1594514532
Jevnaker,196341688
مقاطعة أدوردز (كانساس),1596559199
Steinkjer,1468899485
Sortland,694877769
Sumner County (Kansas),2925139836
Rice County (Kansas),1805114022
Pottawattamie County,2556481310
Condado de Athens,1332312554
"Adams County, Colorado",2877470557
Condado de Big Horn (Wyoming),8428401691
奧斯汀縣 (德克薩斯州),1673552116
"Джефферсон (приход, Луизиана)",803000770
Gjerstad,317257520
Contea di Anoka,1082263530
Hrabstwo Franklin (Tennessee),1489407831
滕斯贝格,104010510
"Bailey County, Texas",2130814082
Tennessee,106248652121
Stor-Elvdal,2151439486
班諾克縣 (愛達荷州),2991074745
مقاطعة بروستر (تكساس),15578096290
Steigen,945852599
ワイアンドット郡 (カンザス州),376986614
Leirfjord,429713470
Birkenes,644753340
Nærøy,996256944
Alvdal,910561610
"Бат (округ, Кентукки)",734146199
Condado de Nassau (Nueva York),742690584
"Amherst County, Virginia",1203775178
مقاطعة بلاكفورد (إنديانا),430284581
Nouveau-Mexique,320332975238
Distretto di Colombo,687970671
لارفيك,514235828
Аскволл,316309569
مقاطعة بينتون (تينيسي),985658638
"Barren County, Kentucky",1215010690
Condado de Lawrence (Pensilvania),946561870
Brunswick County (North Carolina),2201354186
Øygarden,61333813
Vindafjord,596165466
Parafia Ascension,723847106
Хёйангер,853032705
Greenwood County (Kansas),3003044888
Barry County (Michigan),1365914145
Sør-Aurdal,1036558132
Brønnøy,1046526694
Bailey County,2114291268
Barrow County,414336585
本特縣,3818284556
"Бекер (округ, Миннесота)",3442263350
Лиллехаммер,436622210
North Carolina,128000210651
"Беркс (округ, Пенсильвания)",2136074909
Surnadal,1338962551
Стур,144080381
亞代爾縣 (肯塔基州),1098156188
ビーバーヘッド郡 (モンタナ州),14448682782
Washington County (Kansas),2235183273
"Becker County, Minnesota",3294328224
Nordreisa,3386809114
北弗龍,1044537915
Øygarden,66764783
Vinje,2728586234
海于格松,68390623
Hvaler,92200512
Aransas County,657263008
Allen Parish,1904561955
مقاطعة جيفرسون (كانساس),1407432699
مقاطعة بيفر (أوكلاهوما),4750788857
不倫瑞克縣 (維吉尼亞州),1518491161
埃爾斯沃思縣 (堪薩斯州),1884535242
Montérégie,11253082039
韋斯特內斯,336765259
"Ottawa County, Kansas",1790307430
Condado de Big Horn (Montana),12795583499
Stafford County (Kansas),1977628121
Contea di Petroleum,4448161213
"Ski, Norway",163818408
بودو (مدينة),1273108312
バーボン郡 (ケンタッキー州),782626295
Contea di Tuscola,2133573613
Illinois,148312462308
Tønsberg,103082839
Hrabstwo Meade (Kansas),2639970561
Hurum,158667453
Beckham County,2221134763
歐蘭,73144329
アサンプション郡 (ルイジアナ州),844737329
Rana (Norvegia),4228814648
ブラゾス郡 (テキサス州),1580000458
Brønnøy,954925350
Colorado,257261669636
Eidfjord,1429735880
Condado de Allen (Kentucky),854256477
Sørfold,1537874466
Alleghany County (North Carolina),606715758
Suldal,1663928921
Stange (gemeente),648021031
Tysvær,400129121
Hrabstwo Berkshire,2445573165
Hrabstwo Logan (Kansas),2663581976
Halden,587202034
"Alamosa County, Colorado",1844972794
أولنساكر,241368538
Illinois,139927054265
Финнёй,101689428
ボイシ郡 (アイダホ州),4844369019
Beiarn,1124050440
Condado de Alexander (Illinois),632301922
Eigersund,392324123
Lierne (Norvège),2624358824
Atascosa County,3218679279
"Anderson County, Kentucky",509402917
Vestre Toten,231390811
ネスナ,187573015
ベントン郡 (ミネソタ州),1068081668
Comté d'Ashtabula,1738259375
مقاطعة كارتيريت (كارولاينا الشمالية),1267277786
مقاطعة بيكسار (تكساس),3150743045
Contea di Breathitt,1238665466
Condado de Atoka,2566464707
Republic County,1827020985
埃達縣 (愛達荷州),2688249471
Radøy,102398694
Flesberg,530618020
Austin County,1631203629
Utsira,6486120
Outaouais,31207553497
アマースト郡 (バージニア州),1247294688
Rennesøy,67050018
Condado de Burlington,2096988085
Contea di Atchison (Kansas),1150782686
Contea di Brule,2110313472
アルーストック郡 (メイン州),16981814472
Gjemnes,361834940
ニューメキシコ州,300226012723
Hrabstwo Blaine (Nebraska),1877645853
ヴィクナ,296483442
宾夕法尼亚州,118758258702
オーセージ郡 (カンザス州),1879038297
Condado de Allegan,2068912751
Risør,185422105
"Албемарл (округ, Виргиния)",1837350370
Hrabstwo Albany (Wyoming),11333660700
Condado de Burnett,2055174698
Condado de Bibb (Alabama),1684049927
Storfjord (Kommune),1440398867
Hrabstwo Buffalo (Dakota Południowa),1211637112
Condado de Bollinger,1650563605
مقاطعة وايت (جورجيا),605702739
Contea di Ellis (Kansas),2325888296
オーデュボン郡 (アイオワ州),1177119661
مقاطعة هارفي (كانساس),1395458557
Contea di Wilson (Kansas),1469232047
Eidsvoll,403939408
Etnedal,452909828
Тёнсберг,105417034
مقاطعة هورون (ميشيغان),2267967364
Leirfjord,437481524
哈斯克爾縣 (堪薩斯州),1508479379
Comté de McPherson (Kansas),2244676749
Hammerfest,791512291
アデール郡 (オクラホマ州),1532554675
Tranøy,497072127
Верёй,18616500
Comté de Boone (Arkansas),1500014718
Kvinesdal,905932487
Hodgeman County,2136566869
ブラッドフォード郡 (フロリダ州),760360877
Condado de Appanoose,1305274346
Bergen County,630642579
Anne Arundel County,1126859208
Attala County,1987091601
Huron County (Michigan),2192447622
Hrabstwo Bullock,1588951193
梅蘭 (挪威),89415158
Butler County (Missouri),1768682575
Radøy,107310330
Atlantic County,1504680680
Åfjord,861137904
Sørum,196764700
مقاطعة أوغوستا (فيرجينيا),2575586538
Condado de Cowley (Kansas),2928997070
ホワイト郡 (ジョージア州),641011618
博斯基縣 (德克薩斯州),2464574491
Condado de Stanton (Kansas),1741054178
"Adams County, North Dakota",2475653857
シャトークア郡 (カンザス州),1714219933
Condado de Finney,3473326717
Ullensaker,250909356
亞當斯縣 (科羅拉多州),3007635383
厄什庫格,125176164
Condado de Bonneville,4833356950
Condado de Burlington,2000016673
"Авойлз (приход, Луизиана)",2246395623
ブルックス郡 (ジョージア州),1296938418
奧瑟拉爾,818294060
Brønnøy,963383724
Kvæfjord,491541372
Hå,246452953
Comté de Kearny,2298829145
Pennsylvania,110679595491
Harper County (Kansas),2120847970
مقاطعة بوتلر (آيوا),1429396645
Hrabstwo Big Horn (Montana),12657957362
نيسبي,1299753183
克萊普,101185571
Сёррейса,360609797
カウリー郡 (カンザス州),2780115374
Sykkylven,316923722
Comté de Finney,3375103933
Kiowa County (Kansas),1885986106
Voss,1713000320
مقاطعة كينغمان (كانساس),2294759700
Flatanger,421503007
Condado de Bleckley,586754534
Andøy,641413401
Åseral,782490793
Condado de Barnwell,1470336217
Ascension Parish,758914105
埃利斯縣 (堪薩斯州),2428092395
Averøy,173179514
Comté de Boulder,1882219518
ローリンズ郡 (カンザス州),2679312018
Gaspésie–Îles-de-la-Madeleine,19419695075
Lødingen,492442945
مقاطعة أوتوغا (ألاباما),1576454280
Condado de Bell (Texas),2725099558
"Jewell County, Kansas",2469993381
Hasvik,512669439
韋韋爾斯塔,533910676
傑佛遜縣 (堪薩斯州),1446281567
Utsira,6537559
Hrabstwo Boone (Arkansas),1461424509
Lund (Norwegen),359987614
Contea di Rice (Kansas),1920846341
North Carolina,131102972998
Drangedal,965296538
Nordkapp,900345050
路易斯安那州,110582126869
Fusa (Noruega),341718725
Condado de Scott (Kansas),1873219896
"Ансон (округ, Северная Каролина)",1396703531
Smith County (Kansas),2352455016
Comté d'Arenac,916181781
Condado de Bartholomew,1051691410
Sandøy,19757147
"Уилсон (округ, Канзас)",1513318091
ギアリー郡 (カンザス州),1025578254
Condado de Beckham,2243392075
"Angelina County, Texas",2027119478
"Картер (округ, Теннесси)",892033417
Bond County,1017702839
Sør-Fron,682899045
Ashland County (Ohio),1085513244
Condado de Wayne (Pensilvania),1836460103
Lindesnes,309272387
مقاطعة بالدوين (ألاباما),3919333507
Волер (Хедмарк),686969924
Arkansas,135222621283
Søgne,143972442
Hrabstwo Allegany (Nowy Jork),2719782018
مقاطعة كوهمانتشي (كانساس),2066066151
阿比維爾縣 (南卡羅萊納州),1318885943
Namsos,769000914
Condado de Alcona,1696573220
Bamberg County,1018598885
"Дуглас (округ, Канзас)",1131711039
Contea di Wichita (Kansas),1864151657
"Hamilton County, Kansas",2466848198
Barton County (Kansas),2227420034
阿利根尼縣 (馬里蘭州),1138409286
Hrabstwo Austin,1636550214
Løten (gemeente),346928039
Skaun,221959607
Hrabstwo Boone (Iowa),1408217266
"Бартон (округ, Канзас)",2338662855
Søgne,144372329
Frosta,71242734
瑟雷薩,342499897
مقاطعة لابيت (كانساس),1668939802
"Phillips County, Kansas",2180516626
Hrabstwo Caroline (Maryland),808421513
Nemaha County (Kansas),1818362629
Лексвик,417407703
Antelope County,2247458598
"Мортон (округ, Канзас)",1824121550
Condado de Braxton,1382627483
Luster,2666816663
哈拉姆,246057963
海姆內,632937704
"Aure, Norway",643952022
Comté d'Adams (Colorado),3115237059
艾于德訥達爾,234134529
Contea di Ashe,1101948941
Malvik,165089271
Hrabstwo Cloud,1859993899
謝爾沃于,457631885
博蒂諾縣 (北達科他州),4439996776
Hrabstwo Barbour (Alabama),2269311312
ブキャナン郡 (バージニア州),1270101248
Станге,626641010
Audnedal,231939045
Hammerfest,798561512
Condado de Berkeley (Virginia Occidental),834964603
巴朗恩,849159733
Montana,376308769630
Аремарк,283191845
North Dakota,170696404939
Alaska,1410172650068
"Anne Arundel County, Maryland",1121348838
"Atchison County, Kansas",1062874587
エイキン郡 (ミネソタ州),4789728412
Contea di Accomack,1209414995
Tysnes,252615938
Sveio,214564456
Flakstad,169949065
Adams County (Washington),4763518315
"Уоллес (округ, Канзас)",2460524706
"Рипаблик (округ, Канзас)",1814886413
Hjartdal,750804768
オールバニ郡 (ワイオミング州),11164413460
Contea di Augusta,2411830698
Brantley County,1173887478
Бьеркрейм,605380387
"Ness County, Kansas",2678140850
Викна,315160801
ベントン郡 (ワシントン州),4211565662
Contea di Decatur (Kansas),2375539310
"Rice County, Kansas",1939775510
Хемне,650877483
Аверёй,171540921
Comté de Benton (Washington),4523703544
Aurskog-Høland,910048683
Comté d'Andrew,1114594083
Marion County (Kansas),2431699560
Brown County (Ohio),1311709771
Snåsa,2142065796
"Barnes County, North Dakota",3960928352
Måsøy,1103534058
Hrabstwo Bedford (Wirginia),1986550536
Sauda,504339957
Tinn,1860949992
Molde (Møre og Romsdal),356226374
Condado de Boone (Indiana),1103202106
Lund (Noruega),360779238
Rauma (gmina),1479647179
Værøy,19113845
Enebakk,199115044
水牛縣 (內布拉斯加州),2595242183
Fedje,9264276
Evje og Hornnes,526662796
Лиерне,2719231984
萊克斯維克,416332736
Hrabstwo Bosque,2480381783
Arapahoe County,2131514396
石油縣 (蒙大拿州),4431974844
阿利根尼縣 (北卡羅萊納州),606200083
Connecticut,12512934083
Condado de Elko,44206522239
Sykkylven,317548893
Mannar District,1952129573
Stord,133580705
"Волуси (округ, Флорида)",2823593704
مقاطعة بينتون (أوريغون),1799915892
مقاطعة أنديرسون (كنتاكي),510926164
布雷默縣 (愛阿華州),1103902171
مقاطعة أودرين (ميزوري),1775300898
Contea di Austin,1702740022
Contea di Cumberland (Pennsylvania),1446960548
Condado de Ashley,2418915731
比格霍恩縣 (懷俄明州),7918486738
Сель (Оппланн),848644285
埃尔沃吕姆,1243147798
バトラー郡 (ネブラスカ州),1462586747
Ullensvang,1313573048
Берлевог,1069330620
ベアレイク郡 (アイダホ州),2409883862
希普特沃特,96695048
Condado de Knox (Ohio),1359552645
魯克斯縣 (堪薩斯州),2195089586
アトキンソン郡 (ジョージア州),900012239
Phillips County (Kansas),2238605094
Rakkestad,405206322
Contea di Bosque,2430097895
Lødingen,519050876
拉薩爾縣 (伊利諾伊州),2795843426
Condado de Chautauqua (Kansas),1634234386
Røros,1737363427
オールバニ郡 (ニューヨーク州),1418792950
"Black Hawk County, Iowa",1394139203
ビューフォート郡 (サウスカロライナ州),1544687282
Smøla,280428974
ブルック郡 (ウェストバージニア州),219211676
Есдал,558666596
ベント郡,3744810749
威奇托縣 (堪薩斯州),1874935172
Ringebu,1184695025
Moss,55501743
Vanylven,374800493
格兰 (挪威),647655006
Хасвик,559643574
Skjåk,1918573902
Condado de Barber,2802636468
Nedre Eiker,113634129
Røst,10301377
Vennesla,363193312
Hitra,676022412
Boone County (Iowa),1489738118
Delaware,5233622080
Vågå,1229249914
Antrim County,1172846449
バトラー郡 (オハイオ州),1249022025
مقاطعة بومان (داكوتا الشمالية),3071522872
阿徹縣 (德克薩斯州),2294884697
Condado de Alamance,1145174454
Chase County (Kansas),1971576859
Colorado,265387054905
テュスフィヨール,1364328673
Førde,532374314
Berlevåg,1073878270
Andebu,179294738
Condado de Berkeley (Virgínia Ocidental),826422278
Hrabstwo Baldwin (Georgia),660009925
Snillfjord,487521951
Maryland,26167243265
"Рино (округ, Канзас)",3381349492
Ohio,111142231197
Brazos County,1447831681
Condado de Trego,2337570635
卡姆島 (自治區),230342009
Vik (Sogn og Fjordane),790120198
مقاطعة سوري (كارولاينا الشمالية),1369653128
California,399537192250
Alger County,2306458608
Condado de Brooks (Georgia),1295845553
班伯格縣 (南卡羅萊納州),1024595688
Contea di Cherokee (Kansas),1466046472
Anoka County,1106635743
奥菲尤尔,920722293
謝里敦縣 (堪薩斯州),2380582614
Haugesund,66874111
مقاطعة برازوريا (تكساس),3409056310
Andrews County,4036612308
Вадсё,1184926564
Kane County (Illinois),1386011152
Buchanan County (Virginia),1318648348
Boyd County (Nebraska),1464549461
Østre Toten,491909159
Gratangen,320482921
特雷爾縣 (北達科他州),2326297681
Vang,1260851675
"Пратт (округ, Канзас)",1912640762
Benzie County,789157395
Hrabstwo Brazoria,3618998059
Moskenes,113534893
Eidskog,604510024
"Accomack County, Virginia",1159285544
艾克縣 (堪薩斯州),1679037183
オーグレイズ郡 (オハイオ州),1020922914
Trøgstad,183061016
賽于赫拉,304128735
敘許爾文,324376761
クロウフォード郡 (カンザス州),1460630294
Оппегор,34035316
凱于圖凱努,8892818050
Nærøy,965164120
Comté de Brown (Indiana),783952321
Verdal,1501701871
مقاطعة بونكوم (كارولاينا الشمالية),1765878283
Bø (Nordland),236965728
"Russell County, Kansas",2268628566
Beiarn,1175765918
Tvedestrand (gemeente),208796502
Bledsoe County,1048930822
グレイ郡 (カンザス州),2350989008
Halsa,289154305
Siljan (gemeente),207075777
Ørskog,128632016
Condado de Travis,2544677673
"Alexander County, North Carolina",695320362
"Benton County, Indiana",1072035724
Sauda,516494892
Condado de Arkansas,2673150132
Comté de Boyd (Nebraska),1444243807
Stange,624111920
本頓縣 (明尼蘇達州),1104522072
ブラウン郡 (イリノイ州),766235912
Maine,80987990273
"Антрим (округ, Мичиган)",1209740862
Contea di Benton (Washington),4266552388
Black Hawk County,1525934680
"Биллингс (округ, Северная Дакота)",2992532952
Shawnee County,1418488242
Comté de Bryan (Oklahoma),2378186462
Comté de Boise,4996916180
Sel (Oppland),865055386
Бьюгн,340721332
مقاطعة لوغان (كانساس),2863747515
Comté de Barbour (Alabama),2399235060
Капиталь-Насьональ,19373946284
مقاطعة شيريدان (كانساس),2416792627
Fusa,346115127
Валер,91566546
Spydeberg,136250729
Bolivar County,2285865538
Condado de Appling,1355763987
"Burt County, Nebraska",1298147549
"Beadle County, South Dakota",3405278051
Seljord,645386320
Comté de Blaine (Nebraska),1770576979
Kåfjord,919771185
ブラッドフォード郡 (ペンシルベニア州),2962937764
Blount County (Tennessee),1444521249
Benson County,3452529434
"Ås, Akershus",104517215
ブエナビスタ郡 (アイオワ州),1462947040
Bremanger,798322852
"Anderson County, Kansas",1485292941
艾于什庫格-赫蘭,874766832
Hrabstwo Trego,2293594781
Finnøy,104736657
Dønna,192544203
アレクサンダー郡 (イリノイ州),630094134
شي,161013848
Vefsn,1907064100
北角 (自治區),911310515
Contea di Berkeley (Virginia Occidentale),865894154
Comté de Trego,2191205123
特拉訥于,499580545
Contea di Bourbon (Kentucky),782502077
Knox County (Ohio),1311422367
Hemne,651286302
Мерокер,1198586348
Alcorn County,1060847584
Hammerfest (Norvège),829654266
Radøy,103923997
مقاطعة بولوك (جورجيا),1742420494
Стейген,948928026
Blackford County,439685857
本頓縣 (阿肯色州),2282657334
بورشغرون,161257441
Hawaii,16687099472
Comté de Saline (Kansas),1928219774
Hægebostad,421705885
Øygarden,61795686
Georgia,147673817958
"Stanton County, Kansas",1778453764
Austevoll,119893708
Tydal,1273334479
"Уайт (округ, Джорджия)",599095174
Sola (Noruega),68501465
Comté de Crawford (Kansas),1490533346
Stryn,1292925100
亞當斯縣 (密西西比州),1164229956
"Франклин (округ, Канзас)",1511353656
Нурре-Ланн,884611924
Усен (Норвегия),367704322
Eigersund,392236911
Sandnes,272475108
Kristiansund,87785059
Pennsylvania,117165065975
Odda,1476061403
Нутодден,888287490
Hvaler,88774851
"Блейден (округ, Северная Каролина)",2375658460
مقاطعة تشوتاغوا (كانساس),1734756868
Hrabstwo Aiken,2806999939
Gjøvik,609862952
Karmøy,223958102
Suldal,1564283261
Tjeldsund,300252211
Hrabstwo Allegan,2170889525
Fræna,374738094
Balsfjord,1467535837
Folldal,1234137907
Condado de Blaine (Idaho),7156941857
"Kearny County, Kansas",2156182108
Condado de Riley,1543387456
Kentucky,103164424347
Contea di Alcorn,1049395130
Gjemnes,361593594
Contea di Appanoose,1333758238
馬納爾達爾,388958090
Hof (Norvège),146758963
Comté d'Amelia,896373735
Bas-Saint-Laurent,21856026757
Ringsaker,1117092142
布洛克县 (佐治亚州),1666293192
Букн,43230087
Meråker (gemeente),1198242020
Condado de Cumberland (Pensilvânia),1447339290
Froland,626030620
ベイ郡 (フロリダ州),1870251836
Condado de Allendale,1079279839
耶爾呂姆,84996829
弗洛 (挪威),673928050
Augusta County,2488876050
"Berkshire County, Massachusetts",2401600032
"Benton County, Mississippi",1004021358
エヴェネス,242095031
"Браун (округ, Иллинойс)",789258008
肖克 (挪威),1991257258
フィニー郡 (カンザス州),3354879247
Wilson County (Kansas),1545248101
リパブリック郡 (カンザス州),1776224024
Comté de Chase (Kansas),2091949835
Contea di Brazoria,3528347368
Verdal,1531286931
Rhode Island,2618364414
Nedre Eiker,109098103
スコット郡 (インディアナ州),477485423
Comté de Boone (Nebraska),1701370544
Andrews County,4068967660
Sherman County (Kansas),2708986647
Gamvik,1348056918
Gol (Norvegia),490974898
Reno County,3210236721
Comté de Ford (Kansas),2855736009
Ness County,2755945551
加姆維克,1327604040
Gloppen,929930486
مقاطعة بارتون (ميزوري),1517843761
Condado de Alamosa,1800972748
Sigdal,840249315
Hemsedal,701266051
Modalen,399664295
Jølster,647047443
Fedje,9043909
Hodgeman County,2178183231
Condado de Alcorn,1075883316
مقاطعة بيكهام (أوكلاهوما),2360884690
Porsanger,4514863486
"Батлер (округ, Кентукки)",1137859202
布朗縣 (威斯康辛州),1403809434
Rennebu,943588898
Bureau County,2335692549
