http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
Sporting Praia,8250
Clodiense S.S.D.,3505
Envigado FC,11152
CS Pandurii Târgu Jiu,19802
Caravaca Club de Fútbol,1971
Гостивар (футбольный клуб),962
UD Gijón Industrial,3081
Évian Thonon Gaillard Football Club,16040
Forest F.C.,1040
Saint-George SA,33300
1. FC Tatran Prešov,5646
Club Esportiu Alaior,2492
Pärnu Linnameeskond,1474
A.C. Palazzolo,6135
佩塔提克瓦工人足球俱乐部,10993
Bogotá F.C.,8243
Лез Астр,28635
Cabinteely F.C.,1668
Thể Công,22810
伊维恩托农盖拉德足球俱乐部,16150
FC Nanumaga,1461
FC Stavropol,16793
Ordizia KE,1662
Persib Maung Bandung,36696
拉達陶裡亞蒂足球會,17585
Lydney Town A.F.C.,94
Podosfairiki Anonymi Etaireia Atromitos,9852
نادي الوند همدان,7775
Anges de Notsè,956
Skövde AIK,4372
Al Moqaouloun al-Arab,35814
US Vibonese Calcio,6412
SC Weiz,2010
كاواساكي فرونتال,25511
Nistru Otaci,1963
Football Club Chiasso,11195
FC Darida,6226
Montedio Yamagata,20535
JK Tulevik Viljandi,2610
Virginia Beach Mariners,9753
Sokoł Saratów,15624
Porto Alegre Futebol Clube,485
アフリカ・スポール,19384
Ahli Sidab Club,18622
بوروسيا مونشنغلادباخ,54038
"Неман (футбольный клуб, Мосты)",2524
Clube Atlético Ferroviário,20352
アルビールSC,39378
Цуг-94 (футбольный клуб),5136
Herfølge Boldklub Køge,8
D.C. United,45461
ホアンアイン・ザライFC,11972
Sham Shui Po SA,1207
FC Dynamo Kirov,2074
MKS Kluczbork,2025
Pécsi Mecsek Futball Club,6657
Nepal Police Club,20968
Al-Wakrah Sport Club,12124
Kapaz PFC,25719
Club Deportivo Burriana,3890
Polonia Wilno,5356
HVV Hollandia,2588
Ванкувер Уайткэпс,21599
Melbourne Victory,53740
Club Deportivo Everest,3437
沃绍什体育俱乐部,17900
Guerreros Atlixco,1621
CD Anguiano,980
В-Варен Нагасаки,21199
Реал Аранхуэс,7691
Rayo Vallecano de Madrid (femminile),2076
Club de Deportes Santiago Morning,5058
Tacuarembó FC,11741
Benfica Lisbonne B,2646
SD Ponferradina B,5790
KP Chemik Police,2823
"Эстремадура (футбольный клуб, 2007)",11734
FC Locarno,10909
A.C. Belluno 1905,2567
IR Tanger,43993
União São João EC,22458
Yaracuyanos FC,10187
Hapoel Kfar Saba,5762
Impuls Diliżan,2174
Barenburger Sportverein Kickers Emden e.V.,7366
SCラインドルフ・アルタッハ,8502
Football Club de Gueugnon,13511
CD Guijuelo,1450
Club Deportivo Unión Juventud,25438
Associação Académica da Praia,7630
UD Salamanca,18035
Association Sportive Beauvais Oise,10411
Maccabi Ahi Nazareth F.C.,4735
Podosfairikos Anonymi Etaireia Apollon,15446
Raed Chabab Kouba,10197
密歇根雄鹿队,1981
نادي لوغانو,6058
CP Valdivia,627
Йени Малатьяспор,12828
SC Opel Rüsselsheim,7785
Jalgpalliklubi Narva Trans,2207
Città di Brindisi,7933
CD Coslada,2411
Atletico Piombino,3
Coton Sport FC de Garoua,22308
Seregno Football Club 1913,3668
BFC Preussen,4961
Brickfield Rangers F.C.,1045
Racing Club Haïtien,9870
SVヴィルヘルムスハーフェン,7180
Melbourne Victory Football Club,31398
Тур (футбольный клуб),16374
CD Guijuelo,1570
Klubi Sportiv Kamza,4636
Sporting de Huelva,784
Seregno Calcio,3661
SpVgg Landshut,10451
Association sportive de Korofina,33525
Rudnianka Rudna Wielka,478
SG Quelle Fürth,7330
Ferroviário Atlético Clube (CE),4186
Hafari Ahvaz F.C.,29532
Sportfreunde Eisbachtal,5735
Real Club España,986
Apollon Limassol,13164
马斯里体育俱乐部,17908
ドロヘダ・ユナイテッドFC,1920
Maghreb Tétouan,14655
FK Baumit Jablonec,6410
BSC Old Boys Basel,7989
FC Locarno,10631
Águia de Marabá Futebol Clube,4298
Мазаалай,3672
FC Dinamo Kutaisi,14359
California Victory,10188
Highlands Park F.C.,13691
Inter Fútbol Sala,2781
Club de Deportes Santiago Morning,4944
Maritzburg United,11459
伊蒂法克足球俱乐部,25513
Альмерия B,13631
Pandurii Târgu Jiu,20490
HNK Šibenik,7930
Dila Gori,4938
Desportivo Maputo,4
Deportes Quindío,21173
Mangotsfield United F.C.,2455
برسيبو بوجونيغورو,15111
SpVgg Ludwigsburg,17235
Club Deportivo Ferroviario Almirante Arturo Fernández Vial,29409
Samut Prakan United F.C.,1030
FC Milsami Orhei,2518
Futbol'nyj Klub Metallurg Lipeck,15497
Desportivo de Maputo,4
Металлург-Оскол,14811
Porto Alegre FC,499
Club Atlético Progreso,7666
Al-Khor,11820
Sestao River Club,8859
Torslanda Idrottsklubb,1521
جومبي يونايتد,11706
"Свифт (футбольный клуб, Эсперанж)",2952
卡法薩巴夏普爾足球會,5555
El Mansoura Sporting Club,20743
皇家普托斯足球會,31826
Fußball- und Sportverein Erlangen-Bruck e.V.,991
Glebe Rangers F.C.,990
Stal Rzeszów,12079
Jönköpings Södra Idrottsförening,5392
Freetown City F.C.,28962
Beitar Nes Tubruk F.C.,524
النادي الأهلي (قطر),17832
Al Mansourah Sporting Club,20006
JEF United Ichihara Chiba,19059
CD Masnou,2081
Dallas Sidekicks (1984–2004),16910
Al-Ahly Benghazi,53682
Barendrechtse Voetbalvereniging Barendrecht,1433
Náxara CD,955
CD Beniel,3803
Athletic Club,55846
SV Grödig,3928
FC KTP Kotka,4586
Haro Deportivo,4030
Diósgyőri VTK,11266
Fudbalski Klub Makedonija Gjorče Petrov,3067
أولمبيك تشاتيفا,9389
OFC Pomorie,1984
AFC Săgeata Năvodari,5128
Club Deportivo Mendi,1482
FK Kuban Krasnodar,31927
Tipton Town L.F.C.,977
نادي المغرب الفاسي,45007
Víkingur Gøta,2020
Amiens Sporting Club Football,11509
Monagas Sport Club,51371
FK Sileks Kratovo,1793
Győri ETO FC,15509
FCザリア・バルツィ,5859
Club Deportivo Lagun Onak,1517
Al-Suwaiq,13671
ハノイT&T FC,22653
Persebaya Surabaya,55022
Fútbol Club Deportivo Galicia,14730
CD Ensidesa,1538
FC Avangard Podolsk,11412
SKA-Energia Chabarovsk,15721
US Yatenga Ouahigouya,4858
Budapesti Vasas Sport Club,18720
佩西比萬隆,36968
Club Oriental de Football,1965
Łokomotiw Mezdra,5162
帕莱斯蒂诺体育俱乐部,11933
Futbol'nyj Klub Dinamo Vologda,10178
Club Deportes Cobresal,20011
Sociedade Boca Júnior Futebol Clube,2080
Al-Ansar (Beirut),21355
Кобресоль,20025
FC Arbon 05,1443
FC Clifton Hill,2036
Glebe Rangers FC,990
11 октября (футбольный клуб),15203
Каха Сеговия,2892
CD La Muela,1440
AD Cerro de Reyes,3594
Patriotas FC,20341
Club de Fútbol Villanovense,3981
AS Cherbourg,7162
FK Rostov,16624
FK İnter Baku,8214
Qviding FIF,4
UN Käerjéng 97,994
メルボルン・ビクトリーFC,30982
Torslanda IK,1438
Aris SC,2066
CE Alaior,2548
Mouloudia d’Oujda,33855
科佩爾足球俱樂部,3965
ASD Chieri Calcio 1955,3035
Hapoel Ramat Gan FC,40692
Carabobo FC,10092
نادي أنجي محج قلعة,24789
Brisbane Roar,55023
AC Allianssi,4885
Club Deportivo Godoy Cruz Antonio Tomba,22679
Chamois Niort,11411
FK Zemun,9825
Diósgyőri VTK,11959
MFK Viz-Sinara Yekaterinburg,4945
TSV Rain am Lech,3
KS Kastrioti,10342
Эльденсе,4175
Al-Khor Sports Club,11606
FC Iskra-Stal Rîbnița,4334
TSG 1899 Hoffenheim II,6470
União Desportiva Oliveirense,3878
La Roche Vendée Football,9250
メルボルン・ビクトリーFC,50935
Krabi F.C.,6164
Aydınspor Kulübü,15345
ヴェルダー・ブレーメン,43445
نصر حسين داي,20844
Club Deportivo Alcoyano,4600
哈維德夫足球會,12233
Al-Arabi (Qatar),12749
FK Koeban Krasnodar,30152
Nadi Football Club,17889
Portimonense SC,9991
شباب بلوزداد,14846
Jeanne d'Arc de Drancy,2586
Dunakanyar-Vác FC,12019
Real Potosí,31147
Étoile sportive Football Club Malley,3348
Samut Prakan F.C.,3428
Hangzhou Lücheng Zuqiu Julebu,53433
F.C. Vittoria,3064
VV Capelle,4031
CD Puerta Bonita,4067
Jenisiej Krasnojarsk (piłka nożna),23347
Football Club Jazz Pori,12364
Taipei Physical Education College,17409
SV Alsenborn,8256
Melbourne Victory Football Club,52261
Nîmes Olympique,18174
Tallinna JK Legion,521
Ponte San Pietro-Isola,1909
鲁维奥尼尤俱乐部,4444
Hertha BSC Berlin,72255
Universidad San Martín,16938
Al-Gharafa Sports Club,24416
Brusque Futebol Clube,5024
Corporación Club Deportivo Tuluá,16375
Dianella White Eagles SC,1550
Atlético Granadilla,1933
Carolina RailHawks,10067
Racing Club Haïtien,9606
Clube Recreativo Desportivo do Libolo,9592
Хоангань Зялай,12329
普列夫利亞礦工足球俱樂部,5377
Al-Arabi (Koeweit),24751
نادي فارزيم,10949
Clube Recreativo Desportivo do Libolo,9579
Association Sportive des Forces Armées Royales (AS.FAR),50656
Singburi F.C.,3304
祖安奧列治,23811
Olympic Real de Bangui,34299
Zorka-BDU Mińsk,1449
梅西亞天主教大學足球會,6279
Al-Rayyan Sports Club,27958
نيوكاسل يونايتد,50966
الاتحاد الرياضي لمدينة سطيف,29276
Sporting Clube Farense,14950
Ventforet Kofu,16174
Аскар Луго,2441
FC Bern,14225
União Desportiva Oliveirense,3877
圖積蘭奴斯足球會,24155
SD Reocín (women),1048
Club Deportivo Zuera,2492
FC Hakoah,98
"Deportivo Alavés ""B""",2552
Kawkab Marrakech,43
UD Barbastro,4982
Football Club Wiltz 71,2058
GKS Tychy (piłka nożna),15073
Karvan Yevlax,4864
Étoile Carouge Football Club,7403
Association Sportive La Jeunesse d'Esch,3963
نادي كريتيل,12642
Jönköpings Södra Idrottsförening,5601
SC Dornach,2505
Interblock Lublana,477
Timersoqatigiiffik Nagdlunguak 1948,1957
FC Wohlen,4750
TSG 1899 Hoffenheim II,6650
タンペレーン・パロ・ヴェイコト,5054
Эмирейтс (футбольный клуб),4857
Club Deportivo Cobeña,2092
ED Láncara,5768
Windsor Arch Ka I,1617
W Connection,10289
CD San Roque,3508
FC Kreuzlingen,1156
Tractor Sazi FC,65933
VfL Oldenburg,3387
Conilon Futebol Clube de Jaguaré,3855
Zimbru Chișinău,10136
Sociedad Deportiva Huesca,5277
FCスタッド・ニヨン,7220
Diambars Football Club de Saly,1979
Marca Futsal,1139
Shabab Al-Dhahiriya SC,24229
JEF United Ichihara Chiba Ladies,13530
Portland Timbers sub-23,20480
Athlītikos Syllogos Olympiakos Volou 1937,8852
Suwon FC,11524
Нитра (футбольный клуб),4992
Hoboken FC 1912,1764
Аль-Батин (футбольный клуб),2954
FK Púchov,6131
Millwall Lionesses Ladies Football Club,19569
新波洛茨克足球俱樂部,5324
Stade Tunisien,17618
JA Drancy,2524
紐約城足球俱樂部,32876
Grêmio Esportivo Sapucaiense,2400
Inter Moengotapoe,5205
Energhetic Dubosary,2955
AD Guíxols,2454
秋明足球會,12998
FC Cetatea Suceava,13027
Club Deportivo Azuqueca,951
Tatran Liptowski Mikułasz,1859
El Mansoura SC,19200
Klubi Sportiv Flamurtari Vlorë,8754
BA Stars F.C.,41
Трухильянос (футбольный клуб),25070
Unión Deportiva Puzol,2013
ドンカスター・ローヴァーズ・ベルズLFC,15296
Novelda CF,5199
Floridsdorfer AC,2967
Hibernians Football Club,3924
HNK Šibenik,7998
Нафтан (футбольный клуб),5380
Cwmaman Institute F.C.,5114
Deportes Tolima,30808
Società Sportiva Lazio,71154
FSV Erlangen-Bruck,975
Teraktor Sazi Tebriz,64397
CD Huachipato,9984
FC Samtredia,3057
Stade Malien,58070
Gölbaşıspor,5031
Al-Ahly Doha Sports Club,17400
"Хапоэль (футбольный клуб, Беэр-Шева)",16095
كريستال بالاس,24890
نادي ناكيفوبو فيلا,5106
FCジェムチュジナ・ソチ,10440
SV Werder Bremen,42273
Al-Fateh Saudi Club,19715
Botafogo FC (João Pessoa),26828
FC Hebros,5179
Sportclub Rheindorf Altach,8544
نادي وحدت قم,2982
FC Breitenrain,1479
Real Maya,4753
Club Atlético San Martín (San Miguel de Tucumán),30849
Al-Gharafa Sports Club,24567
FK Sutjeska Nikšić,5139
UDサラマンカ,16663
Football Club Déifferdeng 03,2367
Elazığspor,14325
Pärnu Linnameeskond,1552
CS Avion,4579
Депортиво Колония,8375
Alfonso Ugarte de Chiclín,24311
SV Wienerberg,3
Кабушкорп,12020
Club Deportivo Jorge Wilstermann,36324
نادي الكرخ,6295
Зимбру (футбольный клуб),10863
MFK Zemplín Michalovce,4572
SV Memmelsdorf/Ofr.,3813
Ferroviário Atlético Clube (Fortaleza),4080
FC Blau-Weiß Linz,2084
نادي المنصورة,19611
CSD Independiente del Valle,7884
PFK Turan Tovuz,10105
Nadi Football Association,17575
Astana Fwtbol Klwbı,30470
Oeste FC,16582
Navarro Club de Fútbol,1497
FK 11 Oktomvri,14780
CF Trival Valderas,1036
呂姆朗日足球俱樂部,3027
Ilva Bagnolese,7751
Mietałłurg-Kuzbass Nowokuźnieck,8719
FC Dunărea Călărași,10107
FK Shkendija 79 Tetovo,15544
"Олимпик (футбольный клуб, Сафи)",15589
Rampla Juniors FC,5710
Ferro Carril Oeste,24947
Acqui Calcio 1911,1500
Turn- und Sportverein 1927 Ampfing,9779
FC Lugano,6344
Postel 2000 FC,29462
Looktabfah F.C.,20394
CP Calasancio,504
UD Almansa,5049
Al-Najaf Football Club,12016
Sportkring Sint-Niklaas,3026
Al-Rayyan Sports Club,26499
インテル・バクーPFC,8227
NKインテルブロック・リュブリャナ,483
Club Deportivo Everest,3388
جمعية الحرس الوطني,10317
نادي اتحاد طنجة,43702
Goslarer SC 08,5022
Envigado F.C.,11403
OFK Mladost Lješkopolje,1163
Yeni Malatyaspor,13418
TPV Tampere,4985
Hartlepool United Football Club,7542
霍布羅體育會,7653
Impuls Sports Club Erebuni Dilidjan,2050
Futbol'nyj Klub Gazovik Orenburg,7345
キャリック・レンジャーズFC,6295
Società Sportiva Maceratese,5775
Deportivo Pereira,29287
Drogheda United F.C.,1992
Tourbillon Football Club,29080
嘉莱黄英足球俱乐部,11693
FC ViOn Zlaté Moravce,3819
卡莱尔联足球俱乐部,17454
CF Gandarío Sanse,960
PFK Burgas,2961
FC Kalamata,4152
SK Kladno,4029
Gérone Fútbol Club,8956
Playas de Castellón FS,6262
NAC Breda,18503
GÍ Gøta,2079
Goslarer SC,4938
Víkingur Ólafsvík,1105
Cortuluá,15364
Greifswalder SV 04,8247
ENPPI Club,16053
阿拉伯承包商SC,35458
Пярну Линнамеесконд,1571
古迪比足球會,4844
Agrupación Deportiva San Juan,1476
Olympique Club de Khouribga,9776
FSVツヴィッカウ,10382
Futbol'nyj Klub Znamja Truda,8261
F.C. Shahrdari Bandar Abbas,10350
NSTG Asch,2965
NK Rudar Velenje,2317
Football Club de Gueugnon,14045
AD Orcasitas,3100
Vancouver Whitecaps,21247
Moadon Kaduregel Hapoel Ramat Gan Giv'atayim,39640
Фрибур (футбольный клуб),9102
Bobo Sports,10433
Floridsdorfer Athletiksport-Club,2867
Club Deportivo Tuilla,2736
Emirates Club,5017
UN Käerjéng 97,1025
РБ Лейпциг,42177
Enskede Idrottsklubb,950
FKバンガ・ガルグジュダイ,1965
Лупаренсе,805
UE Llagostera,3575
FC New York,5141
Red Sea FC,20495
Эйр Юнайтед,1635
VfB Helmbrechts,14671
Mes Kerman Football Club,15099
Budapesti Vasutas Sport Club,3679
Unión Deportiva Almansa,4941
Macaé EFC,21
薩利亞巴堤足球會,5991
Torslanda IK,1515
نادي ليناريس,12440
Unione Sportiva Dilettantistica Palmese,5333
Debreceni Vasutas Sport Club,19745
紐約紅牛,24911
FC Istiklol,25100
Red Bull Brasil,18907
Sharjah FC,11050
Győri ETO FC,15662
FC Santa Claus,3976
Águia de Marabá FC,4349
利亚戈斯特拉体育联盟,3828
Hobro IK,7844
Corporación Club Deportes Tolima,30049
Budapesti Vasutas Sport Club,3675
Club Deportivo Illescas,1005
Real Madriz,2986
Charlotte Independence,4426
Club Deportivo Real Mamoré,11967
Unión Deportiva Fuerteventura,2070
Coton Sport FC de Garoua,21488
Varzim SC,11009
Ittihad Alexandrie,89805
CD Fernández Vial,30843
BV Cloppenburg,5024
United Petrotrin Football Club,9535
Athlitikos Syllogos Anagennisi,5846
Lancy Football Club,1517
"Аль-Ахли (футбольный клуб, Дубай)",9864
Selangor FA,81101
Thể Công,21180
Vöcklabrucker SC,4849
C.D. Olivais e Moscavide,3230
Atlético Bello,5034
CA San Martín (Tucumán),29162
Unión Estepona CF,4469
ВА Тлемсен,17916
Club Deportivo Humanes,2073
Club Deportivo Lugo,8321
Blauw-Wit Amsterdam,1933
Tampereen Pallo-Veikot,5075
Maghreb Fez,46017
Sapekhburto Klubi Dila,5126
Avispa Fukuoka,22089
National Port Authority Anchors,10322
CSKA Pomir Doesjanbe,6824
Fussballclub Blau-Weiß Linz,2059
Defensor Villa del Mar,9833
Al-Merreikh Al-Fasher,9924
Deportivo Nueva Concepción,3101
USV Hercules,1014
1. FC Gera 03,15454
"Младост (футбольный клуб, Апатин)",2894
FC Botoșani,12506
Atlético Fútbol Club,33499
Feyenoord Rotterdam,50293
Association sportive Lyon-Duchère,5557
Atlético Levante Unión Deportiva,973
皇家維戈塞爾塔俱樂部,29616
卡爾季察足球會,5599
Borussia Dortmund,82632
Hapoel Kfar Saba,6025
Club Deportivo Universidad San Martín de Porres,16464
Impulse FC,1325
Albirex Niigata Ladies,18914
"Аякс (футбольный клуб, Кейптаун)",52855
Racing Charleroi Couillet Fleurus,988
Shkumbini Peqin,5107
Tampereen Pallo-Veikot,5142
Ньон (футбольный клуб),7090
Athlītikos Omilos Kavala,10181
Żemczużyna Soczi,9848
VfL Oldenburg,3647
Club Atlético River Ebro,2927
Monterrey La Raza (2007–10),17029
Skalnik Gracze,997
Club Deportivo Huarte,1469
Grêmio Atlético Sampaio,6051
Club Deportivo Azogues,9239
Colegio Nacional Iquitos,23821
Santos Futebol Clube de Angola,17409
アル・ムハッラク・クラブ,10236
Doncaster Rovers Belles Ladies Football Club,15949
KF Hajvalia,967
Ashanti Gold Obuasi,28646
Unión Salaverry,19983
DFK Dainava Alytus,3759
藤枝MYFC,13504
Богота (футбольный клуб),7770
Unione Sportiva Dilettantistica 1913 Seregno Calcio,3838
نادي بريزبن رور,53858
Football Club Niutao,1543
MKS Kluczbork,2106
USブローニュ,14789
FC Ryazan,24764
Carpi F.C. 1909,4031
Пуэрта Бонита,3994
AS Trenčín,3524
Grasshopper Club Zürich (women),1287
Woodley United F.C.,2047
Mouloudia Club d'Oujda,35423
大城府足球會,1926
CD Trofense,5201
アレマ・インドネシアFC,43808
Montego Bay United F.C.,6864
Club Deportivo Puertollano,7872
Suwon FMC WFC,30396
波哥大足球會,7911
AC Bellinzona,5038
SC Borussia 04 Fulda,18209
Valdez Sporting Club,12428
PTTラヨーンFC,11810
FC Monnerich,3205
Agrupación Deportiva Cantabria,1025
1. FC Tatran Prešov,5589
Arema Malang,42592
سبورت وانكايو,19802
Прогресс Нидеркорн,4711
AD Ceuta,6685
UD Collerense (women),1008
Hangzhou Greentown Football Club,50048
Pumas Morelos,15559
Muharraq Club,9847
Sông Lam Nghệ An,18458
C.S.D. Independiente del Valle,7856
Ettifaq FC,27131
FC Chernomorets Novorossiysk,12408
Club Deportes Cobresal,20456
Macaé Esporte Futebol Clube,21
Valencia Club de Fútbol Femenino,3052
Sporting Club de Lutxana,1950
FC Callatis Mangalia,4936
Marca Futsal,1097
Corporación Deportes Quindío,21753
FK Atletas Kaunas,1
Sydney FC (W-League),44152
Фастав (футбольный клуб),6620
Futbolniy Klub Zhemchuzhina-Sochi,9966
Borussia Dortmund,78289
Unió Esportiva Llagostera,3817
Marsa FC,2996
Yangon United F.C.,3555
普雷紹夫足球俱樂部,5539
Deportivo Rayo Cantabria,983
Stade Malien,59107
Al-Khor Sports Club,11521
塔夸伦博足球俱乐部,12013
VfL Oldenburg,3632
Gaborone United Sporting Club,22702
Étoile Filante de Lomé,10111
Army United Football Club,20187
Petite Rivière Noire SC,5031
Società Sportiva Acqui Calcio 1911,1572
NK Interblock,484
US Rumelange,2864
النادي العربي (قطر),12948
نادي النسور,14642
Fath Union Sport de Rabat,15514
白蘭恩體育會,17487
Silmo Mocuba,5
哈特尔普尔联足球俱乐部,8032
A.C. Rodengo Saiano,2493
MFK Dubnica,5307
FC Koper,4069
Goole A.F.C.,2874
FK Mladost Apatin,2858
CDA Navalcarnero,1597
Condal Club,2067
AFC Telford United,6552
1. HFC Humenné,4857
FC Kuusysi Lahti,4308
Мажейкяй (футбольный клуб),2396
Gazelle Football Club,31214
FC Santa Claus,3961
Avispa Fukuoka,23654
Club de Deportes Ñublense,11956
Chainat Football Club,11537
AS Tempête Mocaf,19225
FC Callatis Mangalia,4852
KS Shkumbini Peqin,5232
Grasshopper Club Zürich (femminile),1288
Universidad Católica de Murcia Club de Fútbol,6807
Club Deportivo Orientación Marítima,7085
Club Deportivo Olímpic,8757
CD Iruña,2454
Schetissu-Sunkar Taldyqorghan,2379
FC Gloria Buzău,18640
Словацко (футбольный клуб),8221
Atlético Monzón,5109
Skála ÍF,1972
Brusque FC,4777
SC Rheindorf Altach,8718
Ameri Tiflis,1014
SC Young Fellows Juventus,2758
KÍ Klaksvík,516
Mengíbar CF,1905
Печ (футбольный клуб),7194
Holmalunds IF,2894
كارديف سيتي,34707
FC Rimavská Sobota,4962
SVグレーディヒ,4083
Comunicaciones Fútbol Club,16287
FC KooTeePee Kotka,4625
Ньор (футбольный клуб),10584
Associazione Sportiva Dilettantistica Unione Calcio Riccione,7269
Granada Club de Fútbol,24320
Football Club Machida Zelvia,10749
Rodopa Smolan,6132
Cumberland United FC,2556
C.S.D. Comunicaciones,16886
Брайтенрайн,1549
FCルーアン,11745
Águilas Doradas,13834
FK Belasica,6231
FC Spartak Plovdiv,3614
GKS Tychy,14948
Caledonia AIA,23772
Fudbalski Klub Dečić Tuzi,3123
FC UTA Arad,1945
Managua F.C.,9205
Apollon Smyrnis,15449
Berliner Fussball Club Preussen 1894 e.V.,5213
Kauno Futbolo Rankinio Klubas Atletas,1
凱萊布澤烏足球會,17181
Nuuk Idraetslag,2034
Стад Мальен,60989
Thai Port Football Club,11470
FC Samtredia,2859
SC Sagamihara,15270
FC Dila Gori,4762
Vancouver Whitecaps FC (2009),21584
AO Itabaiana,14614
維捷布斯克足球俱樂部,8079
GBK,2941
Unión Salaverry,19327
