http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEmployees
Red Bull GmbH,10555
Astellas Pharma,18496
Pronar,1927
Nutreco,10163
KT Corporation,30955
Wells Fargo,258761
ENSafrica,1057
Rhön-Klinikum,37353
MSC Crociere,16914
OGK-3,5823
美泰兒,31476
Hino Motors,25088
Nihon Bussan,29
Barilla,8
Gree,40282
MBH Architects,159
Bharti Airtel,25233
Fox Entertainment Group,12582
Tod’s,2961
Toyota Motor,354130
斯特姆，儒格,2024
English Retreads,6
American Gear Manufacturers Association,11
Mary Kay,4810
MGM Resorts International,63101
Škoda Auto,26882
List of Nintendo development teams,3041
Five Star Bank,615
BenQ Mobile,2957
Klépierre,1150
Australia and New Zealand Banking Group,48841
Eight Inc.,167
Astellas Pharma,16845
Sumitomo Dainippon Pharma,4458
Idemitsu Kōsan,7845
Pride Microfinance Limited,603
Perodua,10018
Nero AG,417
Hy-Gain Antennas and Rotators,76
Uralkali,11613
Citroën,14004
كادبوري,1958
Compass Group,523380
アイルランド放送協会,1862
Zenith Records,4
Israel Postal Company,4811
طيران نيكي,805
Kaspersky,3075
Kao Corporation,5867
シエロ (企業),1175
Next Big Sound,23
Bain Capital,911
Siebel Systems,4903
Imperial Chemical Industries,29717
Jastrzębska Spółka Węglowa,23219
Почта Сербии,14522
Simbin Studios,51
イドロ・ケベック,20089
Entel Chile,4491
Live Nation Entertainment,13130
American Century Investments,1340
The Cheesecake Factory,34462
Mitutoyo,5075
Kwik Trip,13600
Aircastle,105
Knjaz Miloš a.d.,906
コレコ,560
Barilla,8
Tracerco,239
Jazz (airline),4709
Fred. Olsen Energy,1200
Liskom,52
500px,41
Hyundai Motor Manufacturing Alabama,3044
Velcro Industries,2558
الطاقة الذرية الكندية المحدودة,3102
Mobility CarSharing,180
Bunge Limited,36061
Hoffmann-La Roche,84176
Paon (entreprise),119
Behaviour Interactive,366
ターゲット・コーポレーション,349736
ASRock,334
Roke Manor Research,494
Owens-Illinois,23716
Meyer Werft,4894
Sivensa,2725
Amedei,33
FireEye,3100
Psion Teklogix,1259
Bank of Ireland,10591
Conair Corporation,4065
Altri,715
SDL (Unternehmen),4778
Anadolu Isuzu Automotive Industry & Trading,5853
Hybricon Corporation,95
Tabasco (saus),203
Domino's Pizza Enterprises,24838
Shuanghui,60208
Oriental Bank,507
Raiffeisen Bank (Serbia),1802
American Book Company (1996),24
Citizens National Bank (Eastern Kentucky),183
Thrifty White,1728
MIPS Technologies,149
Lucent Technologies,29263
Livechat Software,67
SimilarWeb,311
Earth Fare,2473
BMW,119582
Wittenstein,1988
Bunge Limited,35771
Bardahl,34
7-Eleven (winkelketen),44283
State Street Corporation,30381
Takeda Pharmaceutical,31580
Alexander Schleicher (azienda),118
Facebook,14469
Banco Etcheverría,146
Infitec,23
Tripwire (company),415
H.R. Gray,51
Novelis,11132
Olympus,39309
Vietnam Electricity,103511
Piranha Games,62
Ronimo Games,17
Rhön-Klinikum,36594
Toei,323
Raven Software,176
SodaHead.com,26
Flagstar Bank,2718
Time Inc.,6854
Perusahaan Gas Negara,1401
Damon's Grill,194
Energetický a průmyslový holding,11260
CUBE Entertainment,55
Banco Safra,5191
VZ Holding,680
シュウェップス・オーストラリア,1771
Canwest,11531
Bombardier Inc.,63108
三菱集团,344128
微软,112109
アドバンスト・マイクロ・デバイセズ,7857
DUCA Financial Services Credit Union Ltd.,153
Enel,72391
XMobots,20
Mazda,36535
Kapiti Fine Foods,239
Gorenje,10947
Capcom,2524
Rio Tinto Alcan,70743
AWS Truepower,103
Id Software,206
Bose Corporation,11710
KT (Télécommunication),32169
Kaō,6181
Axios Systems,239
Capcom,2602
Stemilt Growers,1552
Fairfield Materials Management Ltd,7
State Street Corporation,29581
Lowe’s,276871
سي بي إس إنتراكتيف,2153
Mizuho Financial Group,58204
Groupalia,253
Bank of Ireland,10693
Riot Games,974
BMW,119031
COSI Columbus,193
コスモ石油,1864
Haiku Studios,11
Discovery Communications,7079
Cadbury plc,74600
ノリリスク・ニッケル,100230
Warner Music Group,3669
Allegis Group,9905
Postlethwaite & Netterville,723
Phase One,309
Ferrovial,60076
Cosan,43145
OPI Products,505
Artland,46
Ontario Power Generation,10600
Transmeta,25
Postnord,39580
Brüel & Kjær,1175
Morris Air,2061
بوميس,10
Oriflame,7463
BBC,21341
Viacom,10094
Türkmengaz,25339
Seznam.cz,998
Aerostich,100
Elia (netbeheerder),946
Marvelous Interactive Inc.,180
Villeroy & Boch,7408
Grob Aircraft,262
CK Hutchison,261176
Fiat Industrial,68302
Grupo PRISA,14907
"Ryan Companies US, Inc.",598
SUNeVision,169
New World Computing,96
Onkyo (merk),2222
Lycos (portail web),69
شركة أكسل شبرينقر,14871
LS Cable & System,8807
Banco Português de Investimento,8243
Coleco,580
Toyota Peugeot Citroën Automobile,3177
Viscom AG,362
Nexans,25575
工業技術研究院 (台湾),6029
Gio-Goi,51
Malibu Boats,579
ZyXEL,2272
Dynamo Sports,12
AET (company),2561
Epcos,23740
BTicino,3121
アミューズ,221
Mission Network News,5
Gigaset Communications,1297
PPG Industries,41523
Ingenious Media,201
Accident Fund,697
Wilderness Scotland,14
Hays (Personaldienstleister),9208
Nichia,8845
Alabama National BanCorporation,1864
PopCap Games,387
Peugeot,207155
Goldstone Tires,67759
Gameforge,444
Marfin Investment Group,12204
Nordea,30521
Telecom Éireann,13538
Volkswagen,629
Polycom,3955
Goldwind,4877
Hyundai Motor Company,100235
Bic (entreprise),10883
ブライトスター,9245
Gold Fields,48442
Mobilitec,77
Bain Capital,928
Gainward,19
Hoffmann-La Roche,85776
Istrabenz,4861
OpenDNS,211
MACTEC,3015
Long John Silver's,8684
Harley-Davidson,5757
Buck Knives,326
Bosphorus Cymbals,21
Bain & Company,5916
Wittenstein SE,1956
Société nationale des chemins de fer du Kazakhstan,154017
Adobe Systems,14197
Arion Bank,1225
Global Bank Liberia,68
Midcounties Co-operative,9411
Nissan,139483
安達集團股份,20623
Coca-Cola Amatil,15322
Saria Bio-Industries,3919
红蜂媒体,2459
Texas Emerging Technology Fund,8
Oracle,129519
Bodum,483
David's Supermarkets,573
Dongfeng,156148
Jerry's Foods,2008
Oliver Wyman,3979
Nokia,119398
ダイムラー (自動車メーカー),293571
Digital Equipment Corporation,135456
Western Union (bedrijf),6906
Shell Australia,1023
Glitnir (banque),1911
Schering AG,25915
Automatic Duck,4
Equistone Partners Europe,43
RealNetworks,1038
Dangote,25586
Eset,1010
Engie - Electrabel,8830
Fitch Ratings,2064
Z8Games,50
E.ON UK,15572
Metrovías,4673
万代南梦宫娱乐,1077
Blue Yonder Aviation,3
Brisa – Auto-estradas de Portugal,2659
21st Century Fox,20403
Saab,13538
Georgia Tech Research Institute,1789
VTB,96
Piedmont Airlines,5219
Valor Security Services,7662
BenQ-Siemens,2996
Imperial Chemical Industries,27852
Nintendo,5075
Western National Bank,164
日本政策投資銀行,1017
エイトインク,175
三星火灾海上保险,5404
Chipotle Mexican Grill,46322
Crescent Capital Group,145
Glitnir (banco),1896
Automobile Dacia,13778
Foursquare,202
Bega Group,9724
HS Produkt,2044
Groupon,9696
Firefly Studios,25
TDC (Unternehmen),8566
سوق.كوم,2410
Škoda Auto,26090
General Electric,297110
Fábrica Argentina de Aviones,1536
Sector3 Studios,48
RealNetworks,1067
Centenary Bank,1681
NQ Mobile,1724
Private Media Group,38
500px,39
500px,42
MGM Resorts International,59147
LucasVarity,54003
IMG (company),2858
Stream Energy,246
Mieschke Hofmann und Partner,1433
Servpro,472
Fox Entertainment Group,11982
Henry Schein,19942
Howaldtswerke-Deutsche Werft,2327
Victorian Curriculum and Assessment Authority,194
Apple,116510
オペル,34199
康泰旅行社,1137
Daume,26
Imagi Animation Studios,392
KUKA,12438
أدوبي سيستمز,14616
Seibu Tetsudō,3327
松井証券,111
Energie atomique du Canada Limited,3135
福兰媒体集团,958
Hochteif Concessions,216
Esoko,86
MullenLowe Profero,638
WiQuest Communications,118
Pinnacle Foods,3930
Jimdo,210
Netflix,3404
Ascension Health,145070
Monte dei Paschi di Siena,24907
Toyota,347366
Wyndham Worldwide,32487
EMS (pharmaceuticals),4536
Bandai Namco Games,916
Westmalle Brewery,23
EA Canada,1250
Ceccato motorcycles,574
Oroton,864
Hitachi Maxell,4193
Tyco,68723
EvoBus,13810
Mashable,119
صن ميكروسيستمز,38169
Krones,12493
Wockhardt,7708
Bankrate,402
美國滙豐銀行,41546
FBR Capital Markets,292
RCN Corporation,1374
Bic (компания),9963
Raven Software,175
Short Brothers,5468
Coop (Schweiz),78938
Ingredion,10373
Keimfarben,467
Oji Paper,28396
Agrale,12152
Environics Communications,131
Boeing,159234
BDO (audit),67433
Cosmo Oil Company,1785
ロート製薬,5609
Niki Luftfahrt,792
Wattpad,92
NIIT,2397
Aston Martin,1273
Gehl,520
DPL Inc.,1515
Bankinter,4
Target Corporation,343443
Buyer's Best Friend,39
E-Trade,3435
Telelogic,1284
Cascades (company),14016
Blizzard Entertainment,4714
Grezzo (videogiochi),58
Heckler & Koch,627
Morgan Stanley Wealth Management,17631
Sofradir,489
GFI Group,2134
DelSolar,772
Venture Stores,9938
EasyJet,9673
Muxlim,7
漫步者,2902
Edison International,16195
Tidewater,8911
LG CNS,10121
Sol Meliá,41778
Technip,37213
TE Connectivity,72378
Lionbridge,9836
Norddeutsche Landesbank,6115
NOVA Greece,338
Focal-JMLab,209
住友精密工業,1751
19 Entertainment,104
Little Tikes,509
劲量,5640
DNB ASA,11474
Vyatta,49
ポリゴンマジック,173
هوندا,189069
MRV Engenharia,5583
Sun Microsystems,37548
Eidos Montréal,484
Allaire Iron Works,1797
Union Bancaire Privée,1345
維亞康姆,10720
Televisa,23531
CrossRail Benelux,30
Robinson Helicopter Company,1326
Metrovías,4405
苏格兰银行,19664
Oi (Unternehmen),18207
Madhya Gujarat Vij,8334
Invictus Games,52
Astarsa,1476
Deluxe Corporation,5433
Diamond Offshore Drilling,3304
Yara,12343
FSC (autofabrikant),2926
Endesa (Chile),2347
Japan Transport Engineering Company,1124
The Pokémon Company,383
ヘリーハンセン,582
Fulcrum Worldwide,972
Cessna,8475
Tōhō,1996
Chunsoft,69
Lancaster Laboratories,1147
Harris Corporation,22342
Realex Payments,164
Sun Chemical,7876
Eletrobrás,24966
Anixter,7925
Ikea,167723
MetroLyrics,10
Toho (filmstudio),1958
Издательский дом ИДР-ФОРМАТ,355
Denel,7721
Bank Mendes Gans,158
Ametek,15090
Altria Group,9095
Zwitserleven,7313
Soitec,1173
Polygon Magic,164
Extreme Pita,1954
Fox Brothers,20
ブルーナイル (企業),302
CodeWeavers,31
Oando,968
Ascom (company),1718
Nortel,18
Politico (quotidiano),312
Mandarake,166
アレキサンダー・シュライハー,115
Ecology Building Society,24
Powszechny Zakład Ubezpieczeń,16021
Energizer,5751
Moxie Software,227
فيليبس,100905
Bain Capital,900
South Jersey Industries,676
Würth,64808
1E Efficience IT,257
Sanzaru Games,61
阿伯蒂斯基建公司,16281
Müller (entreprise),27343
Esse stoves,98
Reynolds and Reynolds,4322
Triotech,108
National Computing Centre,511
Toyota,339098
Brasil Kirin,9904
فورسكوير,192
Fraport,20913
Banco Etcheverría,150
Benetton Group,7948
ディッシュ・ネットワーク,17980
Nova (platforma cyfrowa),344
Осем,4777
SCE Bend Studio,102
アルテアエンジニアリング,1491
Cumerio,4
Thermaltake Technology,489
Triad Securities,31
Glencore,108720
Rural Electrification Corporation,610
Takeda Pharmaceutical Company,29027
EA Canada,1290
Mattel,32404
Johnny Cupcakes,31
扶桑社,186
Parrish & Heimbecker,1428
A.S. Watson Group,119369
Red Hat,9505
Spotify,1570
Companhia Zaffari,9054
Pepperstone,106
ETX Capital,84
ABA Games,1
Telenor Srbija,1135
Steorn,18
Red Link Communications,489
Allianz,149083
Psion (company),939
Gertrude Hawk Chocolates,552
ゼネラルモーターズ,222834
Evoma,151
"Trailer Park, Inc.",504
Benetton,7634
Zastava Arms,2186
MSC Software,1243
بليزارد إنترتينمنت,4576
コレクションズ・コーポレイション・オブ・アメリカ,16911
Bodum,525
Avebe,1313
Yarrow Shipbuilders,3077
Polycom,3771
Rostelekom,166654
Thermaltake,500
SDL International,5034
Coca-Cola Amatil,14396
Abu Dhabi Media,1723
Sindicatum,101
Safeway Insurance Group,499
Aera Energy,1370
American Electric Power,18512
动视,3907
Steve Jackson Games,44
MTN Syria,1340
Kalypso Media,115
Vinci (Unternehmen),190671
Bloomberg,19645
Lionbridge,9571
Lonrho,3585
Taser International,502
Subtv (UK),19
Promise Technology,463
Road Ranger,1066
Pošta Srbije,14609
Corrections Corporation of America,16227
Lucas Bols,28
Caterpillar,115834
ACE Limited,19298
Piranha Bytes,26
Sony,127
Deutsche Flugsicherung,6217
雷達錶,493
Tengelmann,72510
Nine West Holdings,6021
G&K Services,7447
Austin Ventures,58
Dongfeng Motor Corporation,157586
Motala Verkstad,198
Seibu Railway,3396
TCL Corporation,76713
Atomic Energy of Canada Limited,3245
Harley-Davidson,5712
إيه في جي لتكنولوجيات,1885
The Hong Kong and China Gas Company,2292
EquaTerra,312
QR Limited,7050
E4グループ,17726
東横イン,7297
Bain & Company,5514
United Continental Holdings,84572
Barilla Group,8
Tamedia,3414
Maule Air,37
Tramway de Kyoto,857
エフ・ホフマン・ラ・ロシュ,86367
EA Canada,1347
Nynas,838
AVG Technologies,1772
بورلاند,1051
Essel Group,10462
Cube Entertainment,51
フィールプラス,73
香港中華ガス,2410
小学館,767
Pirelli,37313
EasyJet Airlines,10225
Capvis,19
Industries iraniennes de l'électronique,1664
Toray Industries,47768
هارلي-ديفيدسون,5880
Elia System Operator,964
Ernst & Young,232877
Mint.com,36
لايكوس,69
The Grasshopper Company,293
Meritech Capital Partners,20
Washington Mutual,47802
Syniverse,2608
Equistone Partners Europe,46
Oji Paper Company,28558
Tsubakimoto Chain,6138
Nintendo Software Planning & Development,67
AOL,5613
PopCap Games,394
Thermaltake,494
Fraport,19519
GlobalSpec,196
Frontiers (uitgeverij),137
Garanti Bank,19182
TE Connectivity,69143
Carlyle Group,1661
A. Lange & Söhne,493
BenQ-Siemens,2893
Siebel Systems,4967
Burger Boat Company,342
花王,5810
Nevada State Bank,831
Atomics International,9226
XO Communications,3064
Radwin,254
Extra (supermarket),10143
U-Right,397
Gainward Technology,20
Chartered Semiconductor Manufacturing,5224
Detroit Diesel,2210
Eletrobras,25056
OmniScriptum,70
BTicino,2962
Entel Chile,4305
@Home Network,1349
Bauer Group,10517
CMA CGM,19193
Raidió Teilifís Éireann,1843
EF Education First,42430
Chipotle Mexican Grill,45762
Nova Grecia,347
LifeWise Health Plan of Oregon,239
Mary Kay,5230
Olympus Partners,21
Canadian Information Processing Society,2
Chelyabinsk Tractor Plant,12424
Sparkpr,58
ST Engineering,21541
Arika,48
Villeroy & Boch,9944
Parexel,18989
Hydro-Québec,19840
Harley-Davidson,6185
川崎重工業,35674
Idemitsu Kosan,7829
جاكو (شركة ملابس رياضة),162
Técnicas Reunidas,9062
Clipper Magazine,1407
Related Designs,51
International Watch Company,294
Ericsson,118079
Aker Arctic,46
Sowind Group,271
Moritz (bière),119
Cing,28
Nissan,147736
GGB Bearing Technology,1055
贝恩资本,923
アズダ,187938
Bic (company),10652
Lagardère (entreprise),24540
Lubrizol,8773
SEAT,12232
Nortel,18
Bombardier Aerospace,24905
Wincor Nixdorf,9281
Kaspersky Lab,3139
Alawar,380
Taiheiyo Cement,13059
Holden (constructeur automobile),3027
Sankalp Semiconductor,457
Laboratoires Servier,21168
龐巴迪公司,67891
Sanzaru Games,60
Unipetrol,3570
ゾディアック・エアロスペース,31455
Kanbawza Bank,2011
Dean Markley USA,20
奥利弗打字机公司,916
Lockheed Martin,124179
Capybara Games,23
Cochin Special Economic Zone,14339
Elia System Operator,1205
Onkyo,2071
نيتف إنسترمنتس,458
Nissan,147290
Visionary Related Entertainment,62
Meyer Werft,5377
Auto-Owners Insurance,4313
バシネフチ,8173
レゴ,14042
Lowe's,269087
Axel Springer SE,14558
Id Software,194
OnePiece,57
阿提哈德航空,19252
Telefónica,120157
Mizuho Financial Group,58653
AVG Technologies,1723
Abbott (entreprise),77096
ホーンビィ,205
ديسكفري كوميونيكيشنز,6858
Storebrand,2199
Western Union,7127
CBA (distribution),28649
Gehl Company,476
United Airlines,87798
Piedmont Airlines,5464
Piranha Bytes,26
WestJet,13823
Fitch Ratings,1930
Mammoet,3189
Tanzania Ports Authority,3566
A.S. Watson Group,119898
Shenhua,217240
大日本住友製薬,7301
FactSet Research Systems,7625
Trust (Unternehmen),239
Каменск-Уральский металлургический завод,4139
Allianz France,29919
Gimlet Media,62
Mumias Sugar Company Limited,1642
Teijin Aramid,1323
Vanity (clothing),1924
Hanza Media,1762
Extra (Handelskette),10069
Toyota,359311
Spark New Zealand,5147
Mondeca,22
Claas,9986
Raidió Teilifís Éireann,1825
Groupe Safra,31162
SOASTA,257
Abertis,16174
TechniSat,2517
ZyXEL,2114
Wells Fargo,273841
雅科,156
Edutech,258
沃倫貝格工業,2755
Wells Fargo,255901
カバ・グループ,7379
CMA CGM,20045
WestJet,14080
General Electric,301108
華納音樂集團,3555
イー・トレード,3455
Siebel,4990
Corrections Corporation of America,16246
エドウイン,368
IBM jStart,26
Chunghwa Telecom,28663
Procter & Gamble,108644
Perfetti Van Melle,16941
EPCOR Utilities,1952
Alvarez Guitars,727
Bank of the Philippine Islands,12788
Artech Digital Entertainment,58
SimilarWeb,296
Air New Zealand,10332
ASRock,326
Boeing,149626
The Co-operators,5015
Banca Popolare di Milano,8088
LG Display,47504
ولز فارجو,274659
Polycom,3775
MPM Capital,29
Ritek,3670
イーストマン・ケミカル,14595
ジェットアジア・エアウェイズ,444
Lonrho,3307
Discover Financial,11342
Core-Mark,6078
Stadler Rail,6119
