http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
Fakarava,770
Isle La Motte,476
Islote Rabo de Junco,0
Ilhabela,31689
Moreton (wyspa),284
Spinalonga,0
Gotland,54818
Lítla Dímun,0
Ilha de São Nicolau,12945
Bubaque,9019
Föhr,8295
Pampus (eiland),2
St. Kitts,45008
Бенгтшер,1
Wyspa Szmidta,0
Tubuai,2114
ゴゾ島,38465
Spitzberg,2650
Fitzroy Islands (Tasmania),0
Bornholm,38342
Géographie de Chypre,757950
Vanua Lava,2538
Asinara,1
Фаркуар (острова),19
Tahiti,182845
Isola di Pentecoste,17532
St. Vincent,102034
ماراجو,242149
Geografia da Groenlândia,55709
Erikub,0
Jethou,3
Cayos Cochinos,112
Bjarnarey,3
Hjelm (island),0
Isla de Madura,3753819
Andrott,11412
Аилингинаэ,0
Spinalonga,0
ウルフ島 (オンタリオ湖),1385
Остров Броутона,0
Isla Dawson,419
Триндади-э-Мартин-Вас,31
Isola di Salsette,15832465
Lanzarote,146916
Nuku Hiva,2777
Diskoinsel,1111
Lindisfarne,173
Ilha Kangaroo,4247
Caher Island,0
Asinara,1
Palmyra (atollo),4
Olib,145
Ammassalik Island,1917
Ilhas Ashmore e Cartier,0
Koiluoto,0
Isole Esterne,0
Honshū,102401009
Poel,2678
Jan Mayen,0
Лос-Рокес (архипелаг),3
康沃利斯岛 (加拿大),227
Géographie des îles Malouines,3019
帕什曼島,2836
Whidbey Island,60084
Tinos,8574
西表島,2312
Saint Peter and Saint Paul Archipelago,4
Trindade e Martim Vaz,31
Мансел (остров),0
阿斯克島,55
Anaa,513
Attu (Aleoeten),0
Makrónisos,0
維多利亞島 (俄羅斯),0
スバティック島,26133
Amager,173726
Ilha Anticosti,243
Tabiteuea,4917
Ilhéu das Cabras,0
Als,52440
平島 (鹿児島県),82
Ilha Vega,0
Cima (eiland),0
Gozo,36209
Isla Margarita,430664
Île Notre-Dame,0
馬拉若島,252495
Tegua,58
Флиндерс (остров),676
Tinos,8681
Джету,3
جزيرة ألور,147921
小鹿島病院,1114
Geografia Martyniki,447460
Isole della Lealtà,18111
派里斯泰拉島,30
Daskalio,0
Giava,141895250
Gran Canaria,888589
Honshū,102558900
Gyaros,0
Isla Kuchinoerabu,146
Buru,166230
Maui,159182
Sitra,84900
Ilha de Ascensão,851
Comoro Islands,1027415
Tunø,110
Воар,2973
Nouvelle-Guinée,10778011
Литл-Корнуоллис,0
Als (Dänemark),51240
Leyte (ilha),2488653
Bonaire,17675
Galápagos,26493
Hiw,260
Rangiroa,2525
スウェインズ島,17
Hikueru,151
Agios Minas,3
Landkreis Penghu,100870
Skúvoy,52
Эспириту-Санто (остров),41136
Принс-Эдуард (острова),0
Самос,31526
ماديرا,279993
Футуна (Вануату),529
Beaver Island (Lake Michigan),645
Вангероге,1001
罗斯环礁,0
فلفلة (جزيرة),0
Zaquintos,40190
Balearen,1058189
洛普德島,219
Кенгуру (остров),4502
Lesbos,84060
Роке-дель-Оэсте,0
Wangerooge,969
Восточный Фолкленд,2273
格陵兰地理,56393
Hiiumaa,8952
Cargados Carajos,60
Grand Cayman,51957
Alor,141521
阿爾斯島,50806
Aitutaki,2302
Taquile,1714
Ист (остров),178
Burhou,0
Isla de Bangka,958197
Lib (Insel),118
Yeongheungdo,4048
Croker Island,287
Ometepe,31152
Kwakéa,26
Rimatara,841
Огненная Земля (архипелаг),130824
Mangareva,1234
Skorpios,5
Alegranza,0
Borðoy,5006
Tåsinge,6161
パンテッレリーア,7778
Isla Uvita,0
Jawa,140234460
"Beigan, Lienchiang",2270
Монреаль (остров),1937860
Oʻahu,922321
Непин (остров),0
Smith Island (Antarktis),0
Isola Ardery,0
Rimatara,900
Pemba Island,398518
Île Anvers,49
Ferro (Canarische Eilanden),10146
Ilhéu das Rolas,198
西比路島,35706
Lidingö,32718
Атокос,0
Hvar (eiland),10897
ファイス島,222
Fugloy,45
Basse-Terre (eiland),183350
Ærø,6235
Swains,17
Puffin Island (Alaska),0
Бавеан,68602
Coche (île),8659
Grand Turk,3864
ショルタ島,1668
バリンタン諸島,0
Принсипи,5061
Buøy,1290
إلبا,33067
Ометепе,30536
Atol Palmyra,4
Tagula,3469
ナヌマンガ島,465
Wyspa Kangura,4205
Mejit,305
Agatti Island,7484
Kotelny-Insel,1
Jabat,114
ロウェット島,0
Île à la Croix,0
Susak,145
Čiovo,5891
Atol Ailinginae,0
Alamagan,0
Kiska,0
Ítaca,3301
Île Laurie,29
Brouton,0
Sipura,16851
Ekarma,0
Signy Island,5
Робинзон-Крузо,842
耶爾姆島,0
Cousin,6
هوبن (سفالبارد),4
Chatham Island,572
Tinos,8574
Al-Muharrak (wyspa),207556
Tubuai,2217
テルナテ島,188553
Питиузские острова,137674
塔古拉島,3683
Parama Island,425
Mindanau,21337363
Saona Island,290
Терсди,2621
Dønna,1393
Южный Андаман,206373
Île Moyenne,1
Saaremaa,31348
Awaji (wyspa),157482
Atollo di Bikini,5
ブトゥン島,452397
Kabara,684
Île Melville (Nunavut et les Territoires du Nord-Ouest),0
Satawal,503
Borneo,19400602
Tepoto (North),58
Guanaja,5630
Ниулакита,28
Gran Canaria,841036
Bayonnaise Rocks,0
Groote Eylandt,1477
St. Martin (Insel),74922
Anziferow-Insel,0
São Tomé (isola),150265
Corn Islands,7413
Муайен,1
Proti,0
Minicoy,10813
Thirassía,280
Мануаэ (Французская Полинезия),0
北极群岛,13315
Edgeøya,0
バウンティ諸島,0
Islote de Lobos (Canarias),0
Wyspa Aleksandra,0
Terceira,58581
阿什角,0
Cameron Island,0
Maui,162024
Bjørøya,0
Šolta,1701
Amini,7502
Islas Exteriores,0
Ist (Insel),186
Santo Antão (Cap-Vert),42189
Maiana,2082
Боа-Вишта (остров),8495
Хайда-Гуаи,4672
Sumba (Indonésie),708586
Isla Alejandro I,0
巴拉諾夫島,8326
Isla Ushi,0
Los Roques archipelago,3
Ha'apai,6603
皮拉米德島,0
مينسينرأوخ,0
Tahiti,188772
Hatsushima,208
Juist,1724
Islas Amirante,291
Geography of Martinique,436077
غينيا الجديدة,11545201
難達群島,0
Ketoï,0
阿魯圖阿環礁,680
Isla Mancera,53
Terihi,0
Wyspa Bougainville’a,182079
Gyali,10
弁天島 (稚内市),0
Brač,13407
Hiddensee,1085
シエス諸島,3
Usedom,75936
馬貴斯礁島群,0
Tasos,13205
White Island (Isole Scilly),0
迪克森島,1128
Isola di Kotlin,43584
Ustica,1280
Pantelleria,7473
Nonouti,2724
Ifalik,554
Isla Nepean,0
ジェソー島,3
Namorik,853
Peleliu,554
ゴットランド島,57510
Hikueru,149
努根特島,0
Holl-Insel,0
Nias,782853
Hao,1076
Херехеретуэ,58
Розе (атолл),0
Иль-д’Ар,241
"Grip, Norway",108
Северный Тепото,64
Matua,0
Nordstrandischmoor,23
塔拉瓦环礁,59012
ラパ島,514
Saba,1971
Niutao,590
Isola Boving,0
Hokkaidō,5366343
Sumba (Indonesien),686864
Nuku Hiva,2683
Géographie de Sainte-Lucie,156363
トゥトゥイラ島,53927
Îles Swan,10
Ireland,6609491
Isla Iki,29061
Es Vedrà,0
Trinity Island,0
ステファンソン島,0
奥埃迪克,112
