http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
"Elkins High School (Missouri City, Texas)",2111
Maret School,635
FIU Robert Stempel College of Public Health and Social Work,1652
Иркутский государственный университет,18000
International School Ho Chi Minh City,1000
Highcliffe School,1399
Universität Stavanger,10100
Princess Nora bint Abdul Rahman University,52308
Hamilton Southeastern High School,2983
"Eisenhower High School (Yakima, Washington)",2064
Milo Adventist Academy,85
Hudson Catholic Regional High School,475
"Denbigh High School, Denbighshire",500
Universidad de la Cuenca del Plata,2009
Université préfectorale de Hyōgo,6158
University of North Texas System,36000
Bourne End Academy,789
Alternative Center for Excellence,97
De La Salle Institute,1100
貝魯特阿拉伯大學,15000
John Ruskin School,208
Fairfield Area School District,1294
جامعة نيو إنكلاند كلية الطب التقويمي,500
Alliance Charter Academy,254
Winchester Thurston School,650
Sulphur High School (Oklahoma),366
Columbia University,27942
巴勒莫大学,48
École Normale de Musique de Paris,1100
Ясский университет,25724
Fairfield Area School District,1105
كلية رويال ناشونال كوليدج للمكفوفين,196
Aspen University,3600
Nebraska College of Technical Agriculture,255
Auburn High School (Washington),1476
Université des Indes occidentales,36000
Ramona Convent Secondary School,430
Sapienza – Uniwersytet Rzymski,112564
Università statale dell'Iowa,36660
Университет штата Баия,27549
Instituto Nacional de Ciencias Aplicadas de Toulouse,2200
Goerdeler-Gymnasium Paderborn,900
Университет Святых Кирилла и Мефодия в Скопье,50000
St. Joseph School Endicott,129
Cressex Community School,752
Sophia High School,2000
Jewish Community High School of the Bay,184
University of Mosul,30000
Hochschule Wismar,11542
Université de Sfax,48514
Lawrence High School (Massachusetts),3200
Pennsylvania Governor's School for the Arts,200
Hilliard Davidson High School,1710
Packer Collegiate Institute,998
Kamehameha Schools Hawaii Campus,1120
Sonapur Ali Akber High School,1000
Archbishop MacDonald High School,900
Levine School of Music,3700
Université du Ghana,38000
"Heritage High School (Conyers, Georgia)",1441
麥地那伊斯蘭大學,22000
Silver Lake College,10
Boston Conservatory,750
Corner Brook Regional High,960
江南大学,30000
ジャワハルラール・ネルー大学,8309
Perry Traditional Academy,583
Stone Ridge School of the Sacred Heart,690
潍坊医学院,12789
Western Institute of Technology at Taranaki,5000
Blenheim High School,1350
UC Davis College of Biological Sciences,5764
Academia Secondary School,890
Oswego High School (Illinois),2364
Landmark School,460
South High School (Denver),1392
Universidad Linneo,15000
Guangdong Pharmaceutical University,18494
"Thomas A. Edison High School (Fairfax County, Virginia)",1767
Université panaméricaine,16217
Central Greene School District,1991
Universität Wakayama,4090
Winterhill School,1219
Université pontificale catholique du Pérou,17512
Samuel Robertson Technical Secondary School,978
Madison High School (Idaho),1073
Riverton High School (Utah),2027
Marlin High School (Texas),278
Lawrence Academy (North Carolina),267
エラスムス・ロッテルダム大学,26212
Middletown High School (California),496
Westminster School (Connecticut),390
Escuelas Públicas de San Luis,23576
Beacon College,280
Lone Oak High School (Kentucky),897
International Christian School of Vienna,250
Lincoln-Way Central High School,1918
Centro de Aprendizaje Edward Roybal,2500
Université de Playa Ancha,10755
Adamjee Government Science College,1500
Оборонный научно-технический университет НОАК,15700
New York Film Academy,7000
Livingston High School (New Jersey),1817
James Buchanan High School,788
Secondary Board High School,1100
Y Pant School,1200
Университет Анкары,42830
"St John's School, Billericay",434
Judah Christian School,118
Университет Перуджи,27934
Theodore Roosevelt High School (Los Angeles),5047
Fleming College,10000
Harvard Graduate School of Design,161
Escola Lomonossov,500
Université KIMEP,2737
Texas A&M University–Commerce,12302
Bridgeport High School (West Virginia),724
Universität des Nahen Ostens,25068
夏威夷大学,50310
St. Louis Community College–Wildwood,2000
Technical University of Crete,3443
Université d'État de l'Iowa,36660
Neenah High School,1977
Lawrence High School (Kansas),1500
كولورادو دينفر,18000
Bonita Vista High School,2800
Northern Caribbean University,5993
Université Mount Saint Vincent,4220
Santa Fe Indian School,2006
Community College of Beaver County,1346
Southern New Hampshire University,64000
Mountain Lakes High School,704
布隆博格公共卫生学院,2056
Po Leung Kuk Mrs. Ma Kam Ming-Cheung Fook Sien College,1120
École spéciale de mécanique et d'électricité,1500
Peters Township School District,4336
Trinity School for Ministry,213
Heritage Christian Academy (New Jersey),75
Принстонский университет,8088
GateWay Community College,16000
Università statale dell'Arizona,13750
Meoncross School,373
École nationale vétérinaire d’Alfort,700
Braintree High School,1689
St. John's High School (Massachusetts),995
Simon Fraser University,34990
Madrid–Waddington Central School,700
Hampton Roads Academy,653
IAE Paris,1650
"Trinity High School (Euless, Texas)",2415
Far Brook School,230
Ewha Womans University,19503
Universidade de Salento,17974
Rishi Valley School,360
Mountain View College (Philippines),2401
West Lakes Academy,1150
Georgia Institute of Technology,25017
Universidad Nacional del Chaco Austral,1900
American International School of Guangzhou,1005
ロサンゼルス・シティー・カレッジ,20598
Lake Mary High School,2862
Celal Bayar University,49408
Dakota State University,3047
Beachwood High School,600
Universidade de Kinshasa,26186
St Gregory's Catholic High School,964
كلية الهندسة (بونه),3800
斯德哥尔摩经济学院,1650
Busitema University,1500
Universidad federal Urdu,13500
Lycée Henri-IV,1948
المعهد الملكي للتكنولوجيا,14500
Collegiate School (New Jersey),119
"Legacy High School (North Las Vegas, Nevada)",2980
Concord High School (North Carolina),1245
Sharon City School District,2099
Università di Stanford,15877
Echo School (Oregon),271
Design and Architecture High School,552
Academia de Estudios Económicos de Bucarest,22684
Churubusco High School,674
Madras High School,902
Medical College of Nanchang University,12703
首爾市立大學,11855
Anglo-American University,1000
Santa Ana High School,3435
Line Mountain Jr./Sr. High School,155
Queensbridge School,733
College of the Holy Cross,2787
Philippine Science High School Eastern Visayas Campus,352
Institut polytechnique des sciences avancées,1500
Brooklyn Latin School,562
"Southwest Christian School (Beaverton, Oregon)",241
School of the Holy Child,310
Muskego-Norway School District,4841
"Don Bosco School, Park Circus",3500
الجامعة الفرنسية في أرمينيا,2000
大葉大学,11211
"Cooper High School (Cooper, Texas)",255
Tabb High School,1171
挪威生命科學大學,5000
La Salle High School Faisalabad,2250
Greenwood High School (Arkansas),821
Derry Area School District,2452
Delta State University,3324
Sacred Heart Higher Secondary School Hundung,2510
University School of Milwaukee,1066
Lanakila Baptist High School,70
David and Mary Thomson Collegiate Institute,972
Hope Christian College,650
University of Salerno,34000
Allama Iqbal Medical College,2000
"Heritage High School (Vancouver, Washington)",2200
John McDonogh High School,513
"Jefferson High School (Jefferson, Oregon)",310
"New College, Swindon",4800
Matthew McNair Secondary School,969
Luther High School (Wisconsin),9
Universidade Técnica de Varna,7500
British School in the Netherlands,2300
Chung Ling Butterworth High School,2393
Government Medical College (Kota),700
Manchester Health Academy,360
Apollo-Ridge School District,1480
North Central College,3000
韓国放送通信大学校,173758
Pen Argyl Area School District,1959
Lone Star College–Tomball,8862
Université catholique de sciences appliquées de Mayence,1055
Celebration High School,1969
Central Christian Schools,277
Monarch High School (Colorado),1499
St Brigid's High School,210
Angelo State University College of Business,919
Pendekanti Law College,660
Ankeny High School,1100
Canadian International School (Singapore),3000
UNSW School of Computer Science and Engineering,258
Conservatoire de Boston,750
St. Xavier's Collegiate School,2300
McClelland College,800
ConVal Regional High School,800
Università russa di arti teatrali,1500
ليسيه الدولي دي سان جيرمان أونلي,3000
Prestwick Academy,1150
Midpeninsula Free University,1000
Неаполитанский университет,78324
Université technique slovaque,18375
Baltimore Civitas Middle/High School,343
Northern Michigan University,8879
Universität Primorska,5338
"New College, Telford",1450
The Marin School,85
Snow Canyon High School (Utah),1005
Cherry Hill High School East,2113
Национальный университет Узбекистана,10000
Highlands School District (Pennsylvania),2582
Université de l'Insubrie,9
William E. Grady CTE High School,956
Blessed Cardinal Newman Catholic High School,1255
Jerome I. Case High School,2022
Karlsruher Institut für Technologie,25196
王立プノンペン大学,20000
City of Westminster College,7000
Krannert School of Management,3327
Birla Institute of Applied Sciences,570
Université de Pérouse,27934
Oldham Sixth Form College,2200
"Faculdade de Engenharia, Pune",3800
Westmont Hilltop School District,1618
James Hubert Blake High School,1600
"Pacific High School (Ventura, California)",20
リェイダ大学,9650
Technische Universität Kreta,3443
Holy Cross School (New Orleans),995
"Presentation College, Bray",630
جامعة باليرمو,48
Vanguard High School,1743
Massachusetts Institute of Technology,11319
Universidade de Nápoles Federico II,78324
Macquarie University Faculty of Science,4153
Queen Creek High School,1790
University of La Réunion,12000
Hartsville High School,1254
Université de la Ville de Manille,13000
"King Edward VI High School for Girls, Birmingham",550
East Hall High School,1100
Columbia University College of Physicians and Surgeons,776
Outwood Academy Valley,1351
Cégep de l'Abitibi-Témiscamingue,2500
Catholic High School of Pointe Coupee,305
مدرسة طب شيكاغو - جامعة روزالند فرانكلن,2157
James Caldwell High School,793
Southern New Hampshire University,60000
Barnard Castle School,725
Uniwersytet Technologiczny Chalmers,11000
Università di Lucerna,2718
Cambridge Rindge and Latin School,1836
Weydon School,1120
The Mountbatten School,0
Hempstead High School (Texas),404
Instituto de Tecnologia de Karlsruhe,25196
Centralia College,4803
James Campbell High School,3016
Bauhaus-Universiteit Weimar,4000
Gloucester High School (Massachusetts),865
"Campion School, Mumbai",800
Université de Kragujevac,14000
Warrior Run School District,1600
Université polytechnique de Madrid,35833
Slinger High School,1026
Miami Dade College,165000
The High School at Moorpark College,96
Comenius Universiteit Bratislava,26624
Dunmore School District,1567
"European School, Bergen",570
Joliet Catholic Academy,857
École Navale,1500
Aalesund University College,2249
Seaford Senior High School,818
Jane Addams Business Careers Center,586
"Nimitz High School (Harris County, Texas)",3585
Glendale Community College (California),19207
Kaunas University of Technology Gymnasium,310
Universidad de los Andes (Chile),8000
Université du Rosaire,12393
"Norwood School (Montgomery County, Maryland)",440
"Clark High School (Plano, Texas)",1587
Cranbourne Business and Enterprise College,665
ハーバード・ビジネス・スクール,1859
Hillsong International Leadership College,1200
Université d'Aix-Marseille III,22500
Dinajpur Medical College,920
Academia de Belas-Artes de Viena,1268
West Toronto Collegiate Institute,376
Университет штата Аризона,50246
Académie tchèque des arts musicaux,1541
Académie Saint-Dominique,600
Blessed George Napier Roman Catholic School,870
St Martin's Ampleforth,175
Windsor High School (California),1700
École des mines de Freiberg,4927
Alton C. Crews Middle School,1250
EU Business School,3
北京陈经纶中学,2400
冰島藝術學院,452
Penn State Worthington Scranton,1400
Sturgis Charter Public School,743
Russian-Tajik Slavonic University,3105
Bismarck State College,4078
Smyrna High School (Tennessee),2100
Hyundai Chungun High School,530
聯合書院,2902
Saint Joseph Seminary College,150
Think Global School,44
Bedlingtonshire Community High School,859
Université des sports de Pékin,14000
Merlo Station High School,457
Cuyamaca College,8470
Миланский технический университет,40670
Beavercreek High School,2322
National Pedagogic University (Colombia),11092
University of L'Aquila,21517
Universidade de Valhadolide,31780
Carroll T. Welch Intermediate School,793
大阪府立清水谷高等学校,960
汕头市实验学校,3000
"Colerain High School (Cincinnati, Ohio)",2200
Европейский Университет,3
IULM University of Milan,6
St. Alban's College,580
Hunan University of Traditional Chinese Medicine,3
Universidade de Módena e Reggio Emília,19931
Wilcox Central High School,609
Санкт-Петербургская художественно-промышленная академия имени А. Л. Штиглица,1500
Universidade Nacional de Entre Ríos,12427
Perrydale School,330
蒙彼利埃大學,41000
Holliston High School,854
Selinsgrove Area High School,789
Sengunthar Higher Secondary School,2500
جامعة ولاية كنساس,23779
Penncrest High School,1300
Cardinal Newman College,3500
Elkton High School (Oregon),92
Collinwood High School (Tennessee),360
University of Manila,9000
Middlesex Middle School,1136
"Oakwood School (Morgan Hill, California)",470
浸信會呂明才中學,1200
University City High School (San Diego),1829
Southeastern Greene School District,608
Frazier School District,1249
Armand Hammer United World College of the American West,54
Triad School,257
Middleton Regional High School,700
ブラウン大学,9073
St. Charles North High School,2169
Université KIMEP,584
"Martin High School (Martin, Michigan)",310
Medfield High School,898
克劳斯塔尔工业大学,4
David Oppenheimer Elementary School,360
Universidad de Edimburgo,35582
Science Hill High School,2600
Western Beaver County School District,715
Community School of Naples,1000
Cumberland Presbyterian Church Yao Dao Secondary School,1175
جامعة كينت,30167
Słowiański Uniwersytet Tadżycko-Rosyjski,3105
マリー・キュリー・スクウォドフスカ大学,25192
Petre Andrei University of Iași,2530
"The Center School (Seattle, Washington)",250
"Wayland Academy, Wisconsin",220
Beechwood Sacred Heart School,400
Universiteit van Concepción (Chili),23130
University of Nordland,5800
Merritt College,6000
Kazan State Medical University,4000
Arizona State University,13750
Mount Angel Abbey,200
North Carolina School for the Deaf,86
Sun Prairie High School,1500
Midlothian High School (Virginia),1575
معهد ماساتشوستس للتكنولوجيا,11319
Université d'État de l'Arizona,11277
Rose and Alex Pilibos Armenian School,1002
Universidade Nova de Lisboa,19500
BI Norwegian Business School,18728
Littlefield Unified School District,132
Wyedean School,1242
Yadanabon University,22000
Faculté des sciences d'Aix-Marseille,7935
Scuola germanica di Milano,802
"St Michael's Catholic School, High Wycombe",1124
Université de technologie de Chemnitz,10850
Holy Name of Mary Catholic Secondary School,851
Varga Katalin Secondary School,521
Università di Tallinn,10016
Beijing Sport University,14000
Nutley High School,1259
North-Eastern Federal University,16000
International Health Sciences University,900
"St. Cyprian's School, Cape Town",900
Universidad Metropolitana de Ciencias de la Educación,6257
Roy High School (Utah),1591
Plainview – Old Bethpage John F. Kennedy High School,1500
Morrison Academy,138
Columbia-universiteit,27942
Colégio de Aplicação da UFRJ,760
Национальный университет дистанционного образования,260079
Päpstliche Universität Heiliger Thomas von Aquin,1007
Sagesse High School,1087
McCord Junior High School,640
State University of Zanzibar,2000
Branham High School,1500
The Hazeley Academy,1200
山梨大學,4921
Louis E. Dieruff High School,1783
John Stark Regional High School,725
Abraham Lincoln High School (Denver),1400
Midd-West School District,2200
Università degli Studi di Sassari,13000
South Side Area School District,1187
Jefferson County High School (Georgia),1027
Université Corvinus de Budapest,14500
Texas A&M University–Kingsville,8783
Connellsville Area School District,5219
Butler County Community College (Pennsylvania),1689
Colony High School,2500
St Edward's School,680
Malone University,2559
S. R. Butler High School,896
Università Cheikh Anta Diop,60000
Universidade de Lviv,11649
North Country School,90
University of Minnesota Crookston,1874
Eric Hamber Secondary School,1554
Universidade Politécnica de Madrid,35833
University of Luxembourg,6287
Kolej Tuanku Ja'afar,628
St Peter's Church of England Aided School,2000
Dartmouth Academy,528
SUCCESS Academy,414
Sullivan County School District,625
ダルエスサラーム大学,19650
Cawthra Park Secondary School,1350
Mid-State Technical College,8200
Sapienza - Università di Roma,112564
Oakdale High School (California),1600
"Казахстанский институт менеджмента, экономики и прогнозирования",108
Polytechnikum Mailand,40670
"St Francis' College, Letchworth",400
"Freedom High School (Tampa, Florida)",2151
Kellogg Community College,14649
Universidade de Ratisbona,21400
Universidade Aberta,13170
Pikeville High School,560
Sistema Universitario del Norte de Texas,36000
Hostos Community College,6500
Università Erasmus di Rotterdam,26212
Université de Foggia,11000
"University of Puerto Rico, Medical Sciences Campus",2766
Fort Lauderdale High School,2025
Hermiston High School,1300
馬禮遜美國學校,200
"Lakewood High School (Lakewood, Ohio)",1841
Aichi Gakuin University,0
Worsley Wardley Grammar School,500
Collegiate School (New York City),660
المدرسة المحمدية للمهندسين,500
Bethany High,2500
"Woodlands Academy, Coventry",799
Ipswich State High School,1200
Lakeridge High School,1103
Sree Chitra Thirunal College of Engineering,2000
جامعة إنسوبريا,9
Basic Education High School No. 6 Botataung,5000
"The Martin High School, Anstey",624
Coombe Boys' School,754
ANU College of Physical and Mathematical Sciences,2293
North Hall High School,1059
Brooklyn Friends School,835
Middletown High School North,1488
North Bengal Medical College,6
Medizinische Universität Lublin,6500
Hunters Lane High School,1700
Rouse High School,2600
Simon Fraser University,34990
University of Koblenz and Landau,12915
Washington and Lee High School,507
Anderson County High School (Kansas),546
IE Business School,5600
"Carthage Senior High School (Carthage, New York)",963
Monroe High School (Tehachapi),140
Leigh Academy,1465
Santa Cruz High School,1040
Academia de Artes de Islandia,452
Greenford High School,0
Marco Antonio Firebaugh High School,1600
Universidade de Paris X - Nanterre,32000
University of Cagliari,31102
Reynoldsburg High School,2000
MacEwan University,19606
Hutchinson Community College,13518
Little Flower Public School,1900
山形大学,9073
St. Patrick's Institute of Science & Technology,350
维也纳美术学院,1268
Bishop Anstey East,875
National University of Patagonia San Juan Bosco,14488
Catherine M. McGee Middle School,720
École secondaire de Par-en-Bas,400
St. James High School (Philippines),783
Harper Green School,1441
Gorgan University,3403
Madison East High School,1580
Polk State College,20000
"Serra High School (San Diego, California)",1700
University of Magallanes,6
Manzano High School,1843
孔聖廟中華學校,2400
兵庫縣立大學,6158
Nationale Bergbauuniversität der Ukraine,16000
Watkins Mill High School,1449
Sullivan East High School,750
Université Félix-Houphouët-Boigny,50000
Uniwersytet w Lund,41000
デウスト大学,2014
Buxton Community School,1255
Universität Skopje,50000
Technische Universität Clausthal,4
Carpenter Community Charter School,950
No.1 Senior High School of Ürümqi,2132
Università Politecnica delle Marche,17500
Universidad Católica de Temuco,9202
Universidad Politécnica de Filipinas,48213
Milton High School (Georgia),2009
Udayapur Secondary English School,800
Hamilton High School (New Jersey),1318
Cypress College,16032
Aston Manor Academy,864
University of the City of Manila,13000
キング・アブドゥルアズィーズ大学,180212
St. Clement of Ohrid University of Bitola,15000
"St. George's School, Newport",370
Valley Springs High School,282
Judson University,1231
A. R. Johnson Health Science and Engineering Magnet High School,300
North Bengal Medical College,183
Sakha-Korean School,280
Grand Saline Independent School District,1200
St John Fisher Catholic College,946
Immaculate Heart High School (Los Angeles),200
Род-Айлендский университет,16613
阿爾卡拉大學,22836
North Davidson High School,1868
Lassiter High School,2150
The Evergreen School,451
Humphrey Perkins School,902
Cleveland Heights High School,1909
Ketchikan High School,562
İnönü Üniversitesi,41000
Katholieke Universiteit Leuven,55484
Archbishop Spalding High School,1220
Université technique de Crète,3443
Guildford High School,985
Andrews Osborne Academy,350
アイルランド王立外科医学院,4185
Lawton High School (Oklahoma),1936
Australian International School Hong Kong,1100
Henry Foss High School,1085
Gwangju Institute of Science and Technology,1794
Earl Wooster High School,1534
Universidad de Hawái,50310
Universiteit Luxemburg,6287
Manila Central University,4620
Harlington Upper School,1401
Cranberry Area School District,1201
Uniwersytet Piura,6600
المدرسة الأسترالية الدولية في هونغ كونغ,1100
Northern Nash High School,1388
South Lakes High School,2378
"All Saints College, Galle",8000
Brentwood Borough School District,1238
Haywood Early College High School,150
University of Montpellier,41000
Buckingham School,1006
Sullivan Upper School,1100
Harris Academy,1300
Khallikote University,5000
Academy of Art University,15212
Renton Technical College,3885
湖南人文科技学院,14091
Sandia View Academy,33
Harrison High School (Michigan),1083
Université Ștefan cel Mare,10138
Tenoroc High School,1356
Rumson Country Day School,432
Universität Ryūkyū,8098
"St Ninian's High School, Douglas",1333
"Braeside School, Buckhurst Hill",200
Escola Naval (Portugal),270
Kalinga Polytechnic,1241
Gordo High School,541
Eindhoven University of Technology,7100
Claude Bernard University Lyon 1,35000
Universidade Nacional de Educação à Distância,260079
Римский университет Тор Вергата,44000
Universiteit Daugavpils,4200
جامعة نصير الدين الطوسي للتكنولوجيا,8100
Strathcona-Tweedsmuir School,714
Transilvania University of Brașov,19
كلية هارفرد للأعمال,1859
Memphis Catholic High School,275
"Chaparral High School (Paradise, Nevada)",3241
马德里理工大学,35833
Korah Collegiate & Vocational School,940
"Nalanda College, Colombo",5000
Технический университет Эйндховена,7100
Mercersburg Academy,85
H. L. Bourgeois High School,1451
جامعة ساليرنو,34000
"Sacred Heart Girls High School, Thalassery",1198
ブダペシュト・コルヴィヌス大学,14500
