http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
Java (Insel),145000000
"Clarence Island, Chile",5
Rotoroa Island,1
阿斯托夫島,2
平島 (鹿児島県),79
Tinhosa Grande,0
Rhode Island (eiland),58211
Wyspy Brytyjskie,68017607
Konida,0
Tanna (island),28799
Isla Saddle,0
Bonaire,17408
Long Island,7804968
ファラウレップ環礁,221
Calf of Man,2
Gyali,10
Savai'i,43142
Паксимадия,0
內爾斯地,0
Märket,0
Leyte (eiland),2388518
曼島地理,79805
薩納納島,48892
Остров Баренца,0
Isla Chorao,5345
Isla de Corón,2649
Île Bruny,600
Алджер (остров),0
Long Island (Bahama's),3094
Jéthou,3
Isola di Lord Howe,360
Bali (wyspa),4225384
Isla Saona,300
Dahlak Kebir,2500
Ko Samui,62500
Île d'Arros,42
マニヒ環礁,685
Jaluit (atol),1788
Bjarnarey,3
Fænø,2
Lo (ilha),210
Muna (isola),268140
Denman Island,1016
Pelagie Islands,6066
阿洛島,145299
Isla de Rennell,1500
Tinhosa Pequena,0
Sheppey,40300
Принс-Эдуард (острова),0
ハワイ諸島,1450000
Chirinkotan,0
Dalkey Island,0
Santa Catarina (eiland),421203
Antipodeneilanden,0
Mataiva,280
Ilhas Matsu,12506
ディエゴガルシア島,4239
Delos,14
Cloyd Island,0
Erikub,0
Baranof Island,8532
Isole Antipodi,0
Manitoulin Island,12600
キスカ島,0
Куной,134
Haida Gwaii,4761
Corse,326898
大東群島,2107
Zaquintos,40759
Murter (wyspa),5192
Cozumel,100000
Vanua Levu,135961
ニューギニア島,11306940
Флиндерс (остров),700
Isla Bare,0
Islas Marías,1116
Península Itálica,26171000
Санта-Исабель (остров),26158
Panay,4477247
Бас-Тер (остров),186661
竹島 (鹿児島県),78
Tromsøya,36088
Эвбея,198130
Cíes Islands,3
Upolu,143418
Саона,300
Nias,788132
Инишир,249
جزيرة مارغريتا,436900
Sicogon,5
Walaam,600
Tematangi,58
Gannet Island (New Zealand),0
Sardegna,1656003
Manihi,685
Бали,4225384
Île Walpole,1878
Tirasia,268
Ellesmere Island,146
Ilhéu das Rolas,200
St. Martin (Insel),77741
Öland,24640
Djurö (Värmdö),967
New Providence (Bahama's),246329
Howland Island,0
Rolla (Troms),1078
Isla de Sajalín,580000
Лесбос,86436
Taketomi-jima,323
布顿岛,447408
Islas de Gigantes,12224
大溪地,183645
Isole Diomede,0
Skúvoy,52
Terra do Imperador Guilherme,110000
Geografia Mauritiusa,1264866
措辛厄島,6187
坪洲,5000
Isole Anambas,37493
Ilha Moresby,402
Panay (eiland),4477247
Kosrae,6616
Hao (French Polynesia),1066
Bawean,70230
Острова Тиви,2579
Vanua Levu,135961
Mavros,0
諾登舍爾德群島,0
Ilovik,85
Procida,10596
Burhou,0
Rockall,0
Bacan-Inseln,60741
Ilha Winter,0
Mainau,185
サントメ島,157000
Hokkaidō,5381711
Абд-эль-Кури,450
Adolphus Island,0
Andamão do Norte,42541
沃特傑環礁,1000
サント・アンタン島,44104
Ilhéu Bombom,15
Tahiti,183645
Minorca,94383
Krim,2284000
Îles Malouines,2932
Miyake-jima,2415
Ometepe,29684
Tybee Island,2990
Honshū,103000000
Lae (atoll),319
乌瑟多姆岛,76500
萨摩斯岛,32977
Korčula,15522
Pag (island),9059
Île de Noirmoutier,9590
Erikub,0
Hjelm,0
Bawean,70230
撒尔塞特岛,15111974
Öckerö,3488
馬丁加西亞島,150
Ilha Sable,5
Buton,447408
クラパニ島,237
Isole Alphonse,82
Арранмор,529
Eiao,0
薩克島,600
Seabrook Island,1714
Ilha Kotelny,1
Île-à-Vache,15000
Aranuka,1057
Ilhas de Sotavento (arquipélago da Sociedade),33184
Tabiteuea,4993
Isla de Santo Antão,44104
Brooks Island,1
Ilhéu Rabo de Junco,0
Isla Nugent,0
Mochlos,0
南方群岛,6820
Isla Schmidt,0
Острова Общества,235295
Bahía de Kino,7000
史賓納隆加島,0
Iberian Peninsula,53000000
父島,2000
جزيرة المحرق,200000
Isole Borromee,208
Tanna,28799
Nadikdik,0
Île Mangere,0
Jolo (wyspa),447700
Nakanoshima,167
Atol Namu,801
Уполу,143418
Ovalau,9100
Langeoog,2033
Ilha Mancera,53
Isola Little Cornwallis,0
Isla de San Cristóbal (San Cristóbal y Nieves),46000
Terceira,56437
Île Cornwallis (îles Shetland du Sud),0
Andros (Bahamy),7386
Ailinglaplap,1959
エーランド島,24640
Barbuda,1638
Great Harbour Cay,353
新岛,2700
Tresco,175
Bear Island (Norway),9
Hashima (isola),0
Dikson,1100
Lakeba,2100
Ilhéu das Cabras,0
Andaman Islands,343125
Rinia,0
Tulagi,1251
Laulasi Island,20
Остров Вознесения,880
Rangiroa,2567
Wyspa Scotta,0
Espiritu Santo,39606
Koltur,2
レ島,17723
Salsette,15111974
トーシンエ島,6187
Bleaker Island,2
Île-d'Arz,231
"Кинг (остров, Тасмания)",1800
Saseno,0
Srirangam,181556
Alphonse,82
Gran Canaria,847830
Paximadaki,0
Jabat Island,112
Plavnik,0
Roque del Oeste,0
Eliza Rocks,0
Atol Wotje,1000
Insel Hiddensee,1077
普林西比岛,5000
Наксос,18904
Ликома (остров),9000
Isla Spume,0
"Puget Island, Washington",831
Siesta Key,6565
Kharimkotan,0
Isla Sandwip,350000
Nonouti,2683
Гаити (остров),21396000
Nova Providência,246329
Norderney,5866
جزيرة بورو,161828
Ist (island),182
Фернанду-ди-Норонья,2718
Narcondam,16
Cima (eiland),0
Inis Oírr,249
Sejerø,400
法圖伊瓦島,587
هينغكون,6300
Buton (eiland),447408
Trinket,2
Île Robinson Crusoe,843
Sorokdo,1169
Чансиндао (Далянь),60000
Marajó,250000
Aranuka,1057
Grand Cayman,52601
Bankseiland,136
Landkreis Penghu,101758
Vanua Levu,135961
Nueva Irlanda,118350
Mikronisi (Lasithi),0
Marsh Island (Louisiana),0
Šolta,1700
Pulau Sebatik,25000
Список островов Фарерского архипелага,48451
Galesno,0
Остров Броутона,0
Mokohinau Islands,0
Assomption (Seychellen),20
Île Chuginadak,0
Wyspy Heard i McDonalda,0
Pukarua,227
Rangiroa,2567
Sphacteria,0
St. Pierre Island,0
Астов,2
Рангироа,2567
Clerkerotsen,0
Vasilyevsky Island,203058
Morotai,54876
Hessa,3614
約斯特范代克島,298
Тулаги,1251
Big Coppitt Key,2595
Borðoy,5002
Otterøya,809
Arkoi,54
Masirah,12000
Ilovik,85
Marajó,250000
伊麗薩岩,0
ولاية بيليليو,571
Foulness,151
Wallis-Inseln,10731
ケープ・ブレトン島,135974
Despotiko,0
Stora Dyrön,250
Agios Georgios (island),0
Isole del Canale,163857
茲拉林島,284
Sturkö,1264
Саба (остров),1991
Napuka,299
Prangli,151
Borkum,5547
La Digue,2800
Kitadaitōjima,660
Nayachar,2500
Wallis (ilha),10731
Sanga-Sanga,17212
Ilha de la Gonâve,79188
Wielki Kajman,52601
Île Moreton,298
Lazareto (Ítaca),0
Es Vedrà,0
アイリングラップ環礁,1959
Pulau Langkawi,94777
Cres (eiland),3079
Woody Island (Alaska),2
瓜达尔卡纳尔岛,109382
Galešnjak,0
Koro (île),4500
Джильо,1447
Fugloy,44
Cerdeña,1656003
Agatti Island,7700
Peterson Island,0
Samosir,95238
Nias,788132
Шрирангам,181556
Kunoy,134
Нордернай,5866
Kauai,65689
Andros (Cyklady),9221
Fernando de Noronha,2718
Marakei,2872
Gotland,57221
Geografía de Dominica,71727
Manuae (Gesellschaftsinseln),0
Renard Islands,617
Gavnø,37
セント・クロイ島,50601
Cozumel,100000
Tautra,50
Isla de Kotlin,43005
Île des Sœurs,18315
口永良部島,147
Boa Vista (Cap-Vert),8554
Alamagan,0
Serifopoula,0
Nordstrandischmoor,22
جغرافيا سريلانكا,20277597
宇志知島,0
Ясава (остров),1120
Nugent Island,0
ساموسير,95238
Asperö,402
Omey Island,1
فو كوك,103000
Langkawi,94777
Delo,14
Tanna (Vanuatu),28799
卡尔斯岛,147
布斯凱島,0
White Island (Scilly-eilanden),0
Савайи,43142
Alamagan,0
Ailinginae,0
Taquile Island,1700
Isla Disko,1100
Fatu Hiva,587
ロンブロン島,38758
White Island (Nunavut),0
Gozo,37342
Lynn Island,0
Olchon,1500
琉球郷,12675
Clavering (wyspa),0
Ontong Java,2085
Læsø,1795
La Gomera,21952
Cayos Marquesas,0
Tegua,58
喜界島,7657
Pašman (île),2845
Ujae,448
D'Urville Island (Nieuw-Zeeland),52
Abd al Kuri,450
Lítla Dímun,0
Usedom,76500
Falkland Orientale,2197
Ilhas Molucas,1895000
Masirah,12000
Arbe,9328
Ilha Victoria (Rússia),0
Wyspa Szmidta,0
Skúvoy,52
Isola Birkenhauer,0
Panay (Insel),4477247
Molukken,1895000
Geography of Dominica,71727
Santa Catarina (isola),421203
Islote de Cima,0
Асунсьон (остров),0
Ailinginae,0
Bolga,141
Borðoy,5002
Sark,600
Okushiri,3343
ゴナーブ島,79188
St Paul's Island,0
Амбрим,7275
Takangaroa Island,0
Islas de la Magdalena,12781
Treasure Island (Kalifornien),2300
Femø,154
Rakahanga,127
فانا (ترومسو),973
Upolu,143418
Lítla Dímun,0
Península de Kamchatka,322079
Diómedes Menor,110
Crimée,2284000
Ilhéu de Sal Rei,0
Lastovo,792
蘭貝島,6
Isla Kolgúyev,300
Мафия (остров),46850
蛇岛 (黑海),100
جزيرة ويلز,0
克拉里翁岛,9
Pine Island (New Rochelle),0
Babuyan,1423
Boa Vista (Wyspy Zielonego Przylądka),8554
Monito Island,0
Île Sturge,0
Hiva’Oa,2190
ナムー環礁,801
Faraulep,221
Rasschua,0
Île-à-Vache,15000
Værøy,748
جزيرة سايبل,5
Cousine,16
ウニマク島,64
聖靈群島,1570
Wyspy Borromee,208
伊尔德巴特,574
Kihnu (wyspa),490
復活節島,6600
斯法克蒂里亚,0
八重山列島,54
Fejø,611
Diego Garcia,4239
Twin Cairns Island,0
Sebatik,25000
布塔里塔里環礁,4346
Kambangan (eiland),3000
Gianysada,0
薩塔瓦爾環礁,500
Dahlak Kebir,2500
馬金群島,1798
Rugged Island (Südliche Shetlandinseln),0
納努梅阿環礁,544
ساريما,30966
Bacan,60741
Geography of Iceland,330000
Раиатеа,12545
Дахлак (остров),2500
Hao (Tuamotu-Inseln),1066
Isla del Oso,9
Îles Extérieures,0
Никумароро,0
艾翁島,440
Paaseiland,6600
Vingt Cinq,250
Taboga,2
Croker Island (Northern Territory),300
口之島,140
Haida Gwaii,4761
Misima Island,19330
Andaman Centrale,55632
Märket,0
Roque del Este,0
جزيرة السلاحف (هايتي),25936
Isola di Pentecoste,16843
Læsø,1795
Isla de Janjanbureh,3998
Cleareiland,124
John Murray (wyspa),0
Isla de Itaparica,55000
أواهو (هاواي),953207
Wiencke-Insel,0
Wangerooge,985
Vendsyssel-Thy,296700
Atol Rongelap,19
Outram Island,0
Islas Auckland,0
Islas de Gigantes,12224
Graham Island,4475
パサロス島,0
迪亞島,2
Сабль,0
Wyspa Króla Jerzego,500
Île Nepean,0
Makin,1798
Bawean,70230
Mafia (isola),46850
Isla Motiti,27
Zlarin,284
Aogashima,170
アスンシオン島,0
Sankt-Lorenz-Insel,1352
Seychelles,92000
Flores (Indonesië),1831000
Isola di Dursey,3
Carabane,396
Cozumel,100000
Nordaustlandet,0
Südliche Orkneyinseln,0
Andimilos,0
ムリェト島,1088
呂島,140
Fakarava,806
Платт (остров),3
Arki (Grèce),54
مويو (جزيرة),1000
Веннсюссель-Ти,296700
Chiloé,154775
Île Astove,2
Hooker-Insel,0
Бёрд (Сейшельские Острова),38
Хасима (остров),0
Kosrae,6616
Zlarin,284
阿貝馬馬環礁,3213
Hœdic,117
Durrat Al Bahrain,1000
Margarita (wyspa),436900
Mangole,36323
Taquile,1700
Сарк,600
Хольбош,1198
Kamčatka,322079
Long Island (New York),7804968
Ruhnu,97
Java (isla),145000000
Maewo,3569
松巴島,685186
Ян-Майен,0
沃格岛,3063
Islas Ashmore y Cartier,0
Ilha Ellesmere,146
Tematagi,58
Lastovo,792
Tinian,3136
Savaiʻi,43142
Neuguinea,11306940
Ebon,706
Nólsoy,252
Ambrym,7275
Ko Samui,62500
Alejandro Selkirk,57
伊法利克環礁,561
夏威夷島,185079
Mustique,500
Buru (Indonesia),161828
Lesbos,86436
Ambrym,7275
Shiashkotan,0
Kaiser-Wilhelms-Land,110000
計吐夷島,0
Îles Summer,5
Denman Island,1016
Хеймаэй,4500
Lindisfarne,180
Honshū,103000000
Siberut,35091
Nouvelle-Irlande,118350
Tromsøya,36088
Península itálica,26171000
豪環礁,1066
薩利岩,0
Галапагос,26640
Holl-Insel,0
Kangaroo Island,4417
Karavi,0
Isola Vittoria,0
伊尼什特克島,58
Middle Andaman Island,55632
Нукулаэлаэ,324
パンコール島,25000
Ilha Fergusson,13000
Сикинедзима,600
乌斯蒂卡,1330
Аилингинаэ,0
Nólsoy,252
Korčula,15522
Isla Anvers,50
Île d'Anchor,0
Антикости,240
Isola Lampione,0
Maui,154834
Rimatara,873
Kitadaitō,660
Isole Snares,0
Nihoa,0
Makanruši,0
Geography of Saint Lucia,160765
Портси (остров),147088
Napuka,299
壱岐島,28008
Asinara,1
Juist,1786
Félicité (Seychelles),20
庫福尼西島,0
Пелелиу (остров),571
Spume Island,0
Asperö,402
Geography of Madagascar,22005222
Saltholm,5
Dominikanerinsel,21
迪斯科岛,1100
Фукуок,103000
Great Barrier Island,939
Géographie de la Nouvelle-Calédonie,208709
口永良部島,147
Kyushu,13231995
جزيرة أسينشين,880
Florès,1831000
澤斯波蒂科島,0
Sipora,17557
Bawean,70230
Clerke Rocks,0
Carriacou,8000
Solentiname,1000
King George (eiland),500
Moala,3000
Isola del Giglio,1447
Isla Hamilton,1208
Île Bizard,14647
Wotho,160
Rangiroa,2567
Мартас-Винъярд,16535
Koh Rong,1100
Вангероге,985
Hopen,4
Kap-Breton-Insel,135974
Moorea,16191
Îles Coco,950
Islas Tremiti,496
Hiw,269
Wotje,1000
Gyaros,0
Toscaanse Archipel,34250
Île Chalky,0
Британские острова,68017607
Moresby Island,402
Wizard Reef,0
Mezzo (isola),220
Aneytium,915
Martha's Vineyard,16535
Ilhas Tremiti,496
福门特拉岛,10757
Nonouti,2683
Kotakara-jima,49
Kalogiros (Echinades),0
法夸爾環礁,20
Ytterøya,494
Pemba (Tanzânia),406808
Prince-of-Wales-Insel (Queensland),20
Kyra Panagia,2
圣港岛,5483
Olib,140
Эбон,706
Hestur,25
Long Island,7804968
Tuần Châu,1500
Wotho Atoll,160
Minsener Oog,0
Ko Samui,62500
Isla de Lord Howe,360
Inis Meáin,157
Lampione,0
比卡爾環礁,0
Manitoulin,12600
Tinian,3136
图图伊拉岛,55876
Ilha Laurie,28
Graciosa (Canárias),681
Île-de-Bréhat,400
Wyspa Wniebowstąpienia,880
Crappano,237
Blumine Island,0
Asinara,1
莫阿拉島,3000
サル島,35000
Groote Eylandt,1539
Isla Werd,9
Hjelm (island),0
納普卡環礁,299
Valentia Island,665
Мальорка,859289
マヘ島,77000
جزيرة غوادالوبي,213
Sabine Ø,0
The Pearl,12000
パルミラ環礁,4
Суда (остров),0
Ahe,552
Walpole Island First Nation,1878
Pentecostes (ilha),16843
ニイハウ島,130
Martha’s Vineyard,16535
Sphacteria,0
Лампионе,0
Genootschapseilanden,235295
Ebon Atoll,706
Cronk Islands,0
Ryukyu Islands,1550161
Баия-де-Кино,7000
Perhentian-Inseln,2000
Île aux Ours,9
Witch Island,0
Rajkokie,0
Annet (Scilly-eilanden),0
Alegranza,0
Îles Chausey,30
Grímsey,86
ウジャエ環礁,448
康沃利斯岛 (加拿大),229
Bock (île),0
阿西納拉島,1
小宝島,49
Šolta,1700
Barbuda,1638
Ilhéu Bombom,15
Ramsey Island,2
Geografía de Jersey,99500
Nouvelle-Hanovre,17160
Суматра,50000000
德西島,3
Онтонг-Джава,2085
Kufonisi,0
Auriat Island,0
Makira,10000
Takaeang,1057
Baltrum,505
جزيرة لورد هاو,360
科捷利內島,1
Dalkey Island,0
Likoma,9000
イファリク環礁,561
Isla de Sazan,0
格什姆岛,117774
Tabiteuea,4993
Elafonisi (Kreta),0
Ilha de Baffin,10745
جزيرة الكتاب,0
Bjarnarey,3
Iberische Halbinsel,53000000
Takuu,600
マーサズ・ヴィニヤード,16535
Carriacou,8000
アンティコスティ島,240
Géographie du Sri Lanka,20277597
Kolgoejev,300
Sumbawa,1391340
Акамару,22
Austral-Inseln,6820
Muskö,261
Pidgeon Island,0
Spetsopoula,0
Ford Island,368
Miconos,10134
Sardinia,1656003
Gioura,0
扎金索斯州,40759
Рипапа,0
Tåsinge,6187
Ilhéu das Cabras,0
Virgin Gorda,3930
Кенгуру (остров),4417
Thor Island (Nunavut),0
Madeira (gebied),289000
努库希瓦岛,2660
Raiatea,12545
Onekotan,0
Isla Bizard,14647
Grahameiland,4475
Slarino,284
Fugloy,44
Tubuai (archipelag),2170
Lamotrek,373
Grímsey,86
Solentiname,1000
Onekotan,0
Cozumel,100000
Woodlark,1700
圣马丁岛,77741
Ситра,81000
Taso,13770
Odbert-Insel,0
La Digue,2800
塔塔科托環礁,287
Kingman (rafa),0
Inishturk,58
馬亞納環礁,2027
Hiddensee,1077
Anambasinseln,37493
Isla Victoria (Rusia),0
中之島 (鹿児島県),167
Ailinglaplap,1959
Phú Quốc,103000
Annet (Scilly-Inseln),0
Isle Madame,4300
ランサローテ島,142132
Vis (wyspa),3460
Filicudi,235
Île Woodlark,1700
奔巴岛,406808
Bois Blanc Island (Huronsee),71
Isla Gran Barrera,939
Marathos Island,5
Flat Holm,1
Spiekeroog,825
Nedungad,20000
ウォッジェ環礁,1000
潘泰萊里亞,7729
伊亞羅斯島,0
Nieuw-Brittannië,513926
Møn,9580
Montaña Clara,0
Shikine-jima,600
Andro (Grecia),9221
スワン諸島,10
Ummanz,274
Ilha Hooker,0
Ilha Galveston,48726
Nukufetau,536
سانتو أنتاو (الرأس الأخضر),44104
ポロ島,33357
Chatham Island (Western Australia),0
Sentinel Islands,250
Эфате,65829
Fejø,611
Aride (Seychellen),8
São Tomé (île),157000
Lampione,0
維加島,0
Toskanischer Archipel,34250
جزيرة جروت آيلاند,1539
Isla de Elba,32162
Vaitupu,1555
伊豆大島,8179
火山列島,380
シエス諸島,3
Isole Ashmore e Cartier,0
Wyspy Magdaleny,12781
Shikoku,4141955
Groote Eylandt,1539
Fox Island,3633
Savai'i,43142
Isla San Lorenzo (Alaska),1352
アラバット島,41822
Île Vanier,0
Paximadia,0
Hengqin,6300
Lítla Dímun,0
"Graciosa, Canary Islands",681
Розе (атолл),0
Île de la Tortue,25936
Chalky Island,0
Éfaté,65829
Dia (île),2
Anambaseilanden,37493
بافن (جزيرة),10745
Увеа (Уоллис и Футуна),10731
Takuu Atoll,600
São Vicente (Kap Verde),79374
Bora Bora,8880
Gawdopula,3
ボルネオ島,19804064
هواهاين,6303
ウベア島,10731
Anatom (wyspa),915
Filfla,0
Ie-jima,4610
Sacalina,580000
Cape Barren Island,67
伊尔莫莱恩,214
Îles de la mer de Corail,4
Rarotonga,10572
哥得蘭島,57221
イディウィ島,250000
Tanna (île),28799
Makatea,68
Île Howe,0
Wyspy Snares,0
Región de Shikoku,4141955
Klädesholmen,385
Ziemia Cesarza Wilhelma,110000
Penisola di Crimea,2284000
Nordaustlandet,0
Norfolk Island,2210
アイルック環礁,513
Niihau,130
Caldey Island,40
Water Island,182
Dodi Island,600
ペリリュー州,571
Saipan,48220
Isole Esterne,0
Wyspy Toskańskie,34250
Isla Guadalupe,213
Andimilos,0
Ilha Alexandre I,0
Svínoy,52
Aorangaia Island,0
マキノー島,492
Ilha de Taketomi,323
Kabara,700
アジナーラ島,1
薩默群島,5
Puka Puka,166
Kosrae,6616
Sejerø (eiland),400
Île de Santa Catarina,421203
Isla Dominicos,21
Jabat,112
Pemba (Tanzania),406808
أوستيكا,1330
Mainau,185
Camano Island,13358
伊尼什默里島,0
Socotorá,44000
Лос-Рокес (архипелаг),3
马埃岛,77000
Арутуа,680
Isole Marías,1116
Панай,4477247
Isola di Noirmoutier,9590
奥克兰群岛,0
克拉弗靈島,0
Little Diomede Island,110
Рухну,97
Cameron Island,0
Dønna,1449
Vingt Cinq,250
Mersea Island,6925
Yagishiri Island,273
Vanua Levu,135961
Majorque,859289
Ронг,1100
エラート環礁,96
大ニコバル島,8067
Virgin Gorda,3930
Кларенс (остров),0
Taira-jima,79
洛亚蒂群岛,17436
白島 (挪威),0
Fuerteventura,74983
Lobos Island,0
勒姆島,650
Okushiri,3343
Isole Canarie,2117519
جزيرة فريرز,194
Nólsoy,252
Ломбок,3311044
Delos,14
羅斯福島 (紐約),11661
セント・マーチン島,77741
Сицилия,5077487
Tatakoto,287
Kazan-rettō,380
جوادالكانال,109382
Инишбофин (Донегол),11
Barren Island (Andamanen),0
Grande Nicobar,8067
São Nicolau (Kap Verde),12769
Дрвеник-Велики,150
沖繩島,1301462
Ilha Silhouette,200
Tepoto Norte,61
Buton,447408
Makatea,68
樺太,580000
Mili (atol),1032
La Graciosa,681
Bock (island),0
Ilha de Basse-Terre,186661
Upolu,143418
إزلي لا موت (فيرمونت),471
Olchon,1500
Mercury Island,2
Bikini (atol),5
Îles Cies,3
Rhénée,0
莫宁顿岛,1007
ساموس,32977
Erinia,0
Wyspa Niedźwiedzia,9
Spiekeroog,825
Ilhéu Caroço,0
Geografía de la Isla de Man,79805
Sally Rocks,0
Îles Solentiname,1000
Korčula,15522
宇志知島,0
Isla de Príncipe,5000
Ilhéu Caroço,0
Grande Andamão,315540
Dolin,0
"Water Island, U.S. Virgin Islands",182
Остров Ратманова,0
Isole Tiwi,2579
Agriomandra,0
Чугинадак,0
Öckerö (Bohuslän),3488
Antwerpeneiland,50
Rowett Island (South Shetland Islands),0
Schiaschkotan,0
Futuna (Vanuatu),532
Fatu Hiva,587
Île Socorro,45
阿卜杜勒庫里島,450
Kawau Island,70
マタイヴァ環礁,280
Udone-shima,0
亞歷山大塞爾扣克島,57
Little Andaman,18823
西比路島,35091
Polillo Island,64802
Terra di Peary,0
جزر البليار,1106049
Фату-Хива,587
Йост-Ван-Дейк,298
アンドロス島 (バハマ),7386
Lombok,3311044
Wyspa Thursday,2610
康塞普申島 (塞舌爾),0
Donsö,1407
Isola di Giannutri,27
Ilhéu de Fora (Selvagens),1
Vanua Levu,135961
Barbuda,1638
Geografia de Barbados,279000
Джемо,0
Long Island (Nova Iorque),7804968
Isabela (Galápagos),1748
"Long Island, County Cork",10
St. Lawrence (eiland),1352
Misima,19330
Cuyo Archipelago,45718
Pantelaria,7729
Manihiki,500
Nias,788132
São Nicolau,12769
Sumba (Indonésie),685186
