http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
La Celle (Varo),1465
Grunwald (Grunwald),878
特劳恩河畔魏斯基兴,2910
Gaza,545731
Berlin-Blankenburg,7188
Schloßberg (Steiermark),1183
"Condorcet, Drôme",452
Le Tremblay-Omonville,283
كورفيرا دي تورانزو,2278
Spitz (Austria),1935
"Reti, Pakistan",17293
North Lakes,13565
Bute (Australië),264
Département de Río Segundo,104831
Белло (Мёрт и Мозель),781
Pepperell (Massachusetts),10257
Lor (Syunik),362
Olmedo,2747
Monforte d'Alba,2020
Akhmeta (municipalité),42692
Saint-Sauveur-la-Vallée,35
Везенберг (Гольштейн),1049
グァンタナモ州,528372
Rewal,929
"Dompierre, Oise",218
Pers-Jussy,2578
São Cristóvão do Sul,5302
Suri,66145
Saint-Parize-en-Viry,167
Dommartin-lès-Vallois,64
"Agios Dimitrios, Cyprus",60
Campana (Panamá),1872
Marsac-en-Livradois,1386
ザムトゲマインデ・ベーヴェルン,7174
Kopp (Allemagne),197
Dommartin (Ain),909
Ormesson,252
Pigna (Italia),963
Selva di Progno,955
Olmedo (Espanha),3626
Carville-Pot-de-Fer,111
Bartow (Niemcy),627
Бартов (Мекленбург),555
Biskupice Radłowskie,1110
Dobromilice,800
Saint-Cyprien (Lot),337
Trient VS,1909
"Charmoille, Haute-Saône",441
"Pleasant Township, Wabash County, Indiana",2396
غرادسكو (فيليس),2361
Martell,893
"Fowlerville, Livingston County, New York",237
洛弗附近圣马丁,1063
Vol'skij rajon,28005
"Samandar, Iran",171
Лимбах (Фогтланд),1534
Beauregard (Lot),264
Коп (город в Германии),201
北区 (浦項市),270140
Aappilattoq (Kujalleq),149
Le Plessis-l'Évêque,232
Leménil-Mitry,3
Blain,8497
Паска (Тюрингия),123
Kruklanki,1209
Wieden (Badenia-Wirtembergia),528
鬱南県,406321
"Arauco, Chile",36948
"Eel Township, Cass County, Indiana",20272
لاور دين,108
Gmina Grand Meadow (hrabstwo Cherokee),199
Piombino Dese,8140
Tlacolula de Matamoros,15668
Hamry nad Sázavou,1321
Wide Bay-Burnett,246907
"Matanga, Madagascar",20305
涅夫尔河畔拉塞尔,149
Strongyli (Crete),0
Recologne-lès-Rioz,221
Stare Biskupice (województwo lubuskie),102
"Kula, Bulgaria",3032
利亚诺德奥尔梅多,74
Ribera de Urgellet,1103
"Brody, Zielona Góra County",807
Boissy-le-Châtel,2907
Le Plessis-Dorin,205
Loria,8598
Gant (Piecki),64415
"Marada, Libya",2347
Coin-lès-Cuvry,684
غراندفونتين,366
濱海布洛涅 (布宜諾斯艾利斯省),79435
Miloslavskij rajon,14561
Rope (Cheshire),1884
海利根克罗伊茨,1445
Bokeo,151298
圣西普里安 (卢瓦尔省),2343
Saint-Sauveur-des-Landes,1379
诺伊恩基尔兴,1138
Limbach (Baden),4698
Castelvecchio di Rocca Barbena,198
"Stawno, Kamień County",138
Mées,1495
Сен-Сиприен (Коррез),337
三陸町,7744
Saint-Saturnin-du-Limet,571
Saint-Brice (Charente),1057
Selva di Progno,1056
Martín García Island,133
La Villedieu-du-Clain,1307
Akbarabad-e Sardasht,251
Saint-Perreux,992
"Saint-Brice, Mayenne",464
Saint-Sauveur (Vienne),1095
"Saka, Morocco",19739
Tremblay-sur-Mauldre,1250
Morašice (Chrudim District),664
ノイエンキルヒェン (アルテス・ラント),827
Dompierre (Oise),207
Sowjetskyj,10004
Breitscheid (Westerwald),2433
Campana (Corsica),23
Saint-Brice-de-Landelles,649
Blankenburg (Berlin),6204
Liebenau (Austria),1663
Libkov (Domažlice District),114
Rixton-with-Glazebrook,2077
Karsin (plaats),2307
Abbéville-lès-Conflans,245
Saman District,13915
"Matamoros, Coahuila",50808
弗赖纳河畔多马尔坦,338
チャンパーサック県,595144
"Mala, Nepal",2678
Muri (India),11361
Kuła,3300
卡巴纳,4686
Gournay-sur-Aronde,588
Мединилья (Авила),164
Saint-Sauveur (Altos-Alpes),473
Oberdorf-Spachbach,325
普莱桑瑟,144
Puch bei Weiz,2261
Saint-Martin-des-Champs (Cher),372
Newcastle Township (Ohio),427
"Alga, Burkina Faso",1348
Promina,1115
Kulina (Aleksinac),767
Montastruc (Tarn-et-Garonne),204
Saint-Saturnin-lès-Avignon,5191
埃文鎮區 (堪薩斯州科菲縣),177
Dźwirzyno,576
Galera,1092
Bokeo,131586
马尔茨,1914
Saint-Gratien-Savigny,129
Pogrodzie,664
Oliva de la Frontera,5272
Tertry,175
وخان دي كويو (مدينة),101398
Вири-Нурёй,1807
Промина,1124
Enskede-Årsta-Vantör,97277
"Tejada, Province of Burgos",37
"Banica, Gmina Uście Gorlickie",264
Anville,201
"Cedar Township, Floyd County, Iowa",298
Ashington,28467
特里安,142
Dolní Hořice,854
La Celle-sur-Loire,800
Saint-Sauveur-en-Rue,1160
Saint-Sauveur (Somme),1473
District de Gaoping,630085
Aragon (Aude),431
Marsac-sur-Don,1173
Jolo,414104
Biskupice (Olomouc),261
Abos,517
Le Plessis-Hébert,427
Brusque (miasto w Brazylii),119549
Dompierre-sous-Sanvignes,70
"Pleasant Valley Township, Fayette County, Iowa",963
Charmoille (Doubs),326
ウスチ＝マヤ地区,8024
Брайтшайд (Хунсрюк),149
Velle-sur-Moselle,291
"Juda, Wisconsin",377
Boissy-en-Drouais,248
加加林區,141531
"Breitenstein, Saxony-Anhalt",516
Blain (Loire-Atlantique),8039
Rozogi,1456
Jiangning District,811508
"Pepperell (condado de Middlesex, Massachusetts)",2563
Хорка (коммуна в Германии),1892
テルヴェル (都市),6194
Belleau (Meurthe e Mosella),857
拉塞勒圣西,751
Sono (Burkina Faso),7113
Gampel-Bratsch,1876
坎纳,832
Akbarabad-e Qushchi,49
Coin-sur-Seille,262
巴尔托,599
Dragomireşti (Dâmboviţa),8320
Тямпасак (провинция),583340
Requena de Campos,37
Gmund am Tegernsee,5822
Brzeziny (Biłgoraj),155
Distrito de Samán,13061
"Naik, Iran",19
Amancio (Cuba),42251
Raz (Iran),4720
Podmokly nad Berounkou,306
Kingscote (Gloucestershire),246
Guerville (Yvelines),1831
Campello (Tessino),56
La Celle-sous-Chantemerle,145
パーン郡,135428
Oberdorf am Hochegg,660
Neuenkirchen (Rügen),427
Gmund am Tegernsee,5355
Grandfontaine (Bas-Rhin),384
Boissy-le-Châtel,3049
حفر الباطن,293067
"Kirovsk, Luhansk Oblast",27009
Belleau (Aisne),125
Dipartimento di Minas (Neuquén),6927
Heiligenkreuz am Waasen,1805
"Municipio de Pleasant (condado de Steuben, Indiana)",14801
Saint-Perreux,1010
"Belleau, Aisne",122
Góralice,607
"Orang, Nepal",1881
"Enoggera Reservoir, Queensland",21
Villedieu-le-Château,432
Bana (Komárom-Esztergom),1882
Arnouville-lès-Mantes,792
Henshaw,699
Marey-sur-Tille,353
Caballero (Coclé),3508
"Janów, Brzeziny County",59
Montagny (Savoia),578
Oberdorf-Spachbach,328
圣马丹代尚普 (谢尔省),352
Seri (Darchula),1584
"Barani, Sistan and Baluchestan",338
Saint-Brice (Orne),144
Suba (Palestyna),681
Cressy,310
"Municipio de Nevada (condado de Livingston, Illinois)",1268
Alausí Parish,9761
Limbach (Westerwaldkreis),435
Luzino,7043
Dompierre-sous-Sanvignes,86
Kikai,7027
Saint-Sauveur-des-Landes,1502
布瓦西弗雷斯努瓦,1023
"Saint-Sauveur, Gironde",1147
Nessa (Teuchern),985
Шпиталь-ам-Пихрн,2057
Champlin (Ardenas),75
Saint-Brice (Mayenne),495
Montastruc-la-Conseillère,3015
Rejon gagariński,140144
Addur,5177
Weyer (Bas-Rhin),586
La Celle-Saint-Avant,1041
"Gans, Gironde",191
栋皮埃尔贝克坎库尔,614
Landser (Haut-Rhin),1817
Arriaga (Chiapas),38518
Bischdorf (Radlau),383
"Kora, Burkina Faso",2179
ʿAmrān,98094
ラ・ヴィルデュー＝アン＝フォントネット,167
"Parava, Iran",18
伊斯特島,182
Montagny (Savoie),607
Nakhla,12308
"Dragomirești, Neamț",2392
多马尔坦苏阿芒克,261
Сен-Мартен-де-Шан (Шер),332
Le Plessis-Gassot,71
El Milia,81925
Majskij rajon (Cabardino-Balcaria),37425
"Garden Plain Township, Whiteside County, Illinois",1161
Kusma,5356
拉维莱迪厄迪克兰,1620
Lesnica (Trgovište),138
"Malo, Washington",29
"Ovacık, Kuyucak",270
Goole Fields,192
Sanga (Burkina Faso),53873
Isla Martín García,154
South East Queensland,3642413
تخت (تخت بندر عباس),2198
Mirabello (Italia),3294
"Saint-Cyprien-de-Napierville, Quebec",1772
Seri Yek-e Zarruk,733
Кладно (район),164866
罗蒙 (孚日省),354
Lagny,531
"Akbarabad, Kuhdasht",771
Krasne (powiat człuchowski),10
"Ballyrory, County Londonderry",71
Bevern (Schleswig-Holstein),649
Sankt Martin an der Raab,1877
Saint-Sauveur-d'Aunis,1459
"Majewo, Warmian-Masurian Voivodeship",284
普萊森特瓦利鎮區 (費耶特縣),880
Guantánamo (província),506457
Janów Podlaski (village),2612
Florești (Moldavië),15454
Wenecja Euganejska,5425443
Neuenkirchen (Rügen),350
Vigneux-de-Bretagne,5448
Raión de Lenin (Sebastopol),109318
ガザ,490097
Valle de Matamoros,422
Janów (powiat turecki),261
Llano de Olmedo,78
Sandberg (Beieren),2673
"Kalam, East Azerbaijan",52
La Forge (Vosges),516
Virgilio (Italia),11092
"Kabila, Viljandi County",76
Steinfeld (Meclemburgo-Pomerania Anteriore),614
Stod,3475
セルヴァ・ディ・プローニョ,912
"Anju, Iran",305
Montel-de-Gelat,560
Le Plessis-Bouchard,8663
Marsac (Charente),846
Vigneux-de-Bretagne,5182
Kuzhalmannam-I,18446
"Lenta, Piedmont",949
Saint-Sauveur-Lalande,113
Distretto di Paracas,1141
Bourguignon-lès-Conflans,119
"Neuenkirchen, Anklam-Land",226
Boissy-sans-Avoir,689
Dębki,160
"Virgilio, Lombardy",12148
"Akbarabad, Khusf",573
"Akbarabad, Kohgiluyeh and Boyer-Ahmad",2040
"Orville, Pas-de-Calais",319
Вайскирхен-ин-Штайермарк,1480
Saint-Martin-des-Champs (Yonne),292
مرز (غرمخان),198
"Bernal, Querétaro",2940
Hagen (Holstein),352
Saint-Sauveur-Gouvernet,184
Campânia,5957121
Kněžice (powiat Nymburk),576
Ле-Ме (Альпы Верхнего Прованса),3658
"Ovacık, Lüleburgaz",608
Saint-Sauveur-de-Meilhan,243
Mala Remeta,153
Boissy-le-Châtel,2894
Bana (Ungheria),1762
Brody (Nowy Tomyśl),745
La Celle-sur-Nièvre,160
Scheidt (Saarbrücken),4662
Cantón Alausí,43545
Heiligenkreuz im Lafnitztal,1248
Regione Autonoma del Tibet,3015064
"Llandrillo, Denbighshire",575
Jussy (Moselle),523
Enskede-Årsta-Vantör,107390
施塔弗尔湖畔塞豪森,2241
马尔马尼 (谢尔省),2138
Weißkirchen an der Traun,2859
Svoboda nad Úpou,2273
Épinay,279
Pommiers (Gard),60
Alberdi Department,16677
Ljubija (Mozirje),501
La Oliva,21883
克拉斯涅 (圖爾卡區),456
Ramallah,24066
Lora de Estepa,860
"Brusque, Aveyron",336
Barrancas,21812
Dommartin (Ródano),2561
Субпрефектура Эрмелину-Матараззу,208661
Ashington,28507
那賀町,11627
Gmina Cedar (hrabstwo Cherokee),377
Łabędź (województwo śląskie),98
Medinilla,160
Bourguignon-lès-Conflans,115
Coin-lès-Cuvry,658
Nasavrky (Ústí nad Orlicí),132
Paine (Chile),50239
Puch bei Weiz,2323
Pogorzała Wieś,482
Villarino de los Aires,944
Lignerolles (Orne),168
Limbach,4683
Ain Ehel Taya,5915
"Barzun, Pyrénées-Atlantiques",594
Mineral del Monte,13163
Пьомбино-Дезе,9108
Gaza,474568
Sankt Martin am Wöllmißberg,866
Ahigal de Villarino,41
Hamr (okres Jindřichův Hradec),356
Saint-Sauveur-la-Vallée,40
布瓦西莱布瓦,215
Saint-Jouin-de-Marnes,700
Pommiers (Gard),57
Gmina Bistra,5446
Saint-Brice (Gironda),291
Marnes,242
Montagny-près-Louhans,425
"Rostaq, Fars",3531
Veliki Gaber,331
Marsac-sur-l'Isle,2517
"Oldendorf, Schleswig-Holstein",1085
"Brody, Żary County",920
Dompierre-sur-Yon,4015
Kampar (regentschap),710043
Brusque (Aveyron),284
"La Celle, Cher",344
"Grunwald, Warmian-Masurian Voivodeship",783
Олива-де-ла-Фронтера,5284
Moncey,462
Saman (Iran),14828
Mirabello (Ferrara),3536
Dommartin-le-Coq,59
Dommartin-lès-Cuiseaux,681
Ustronie Morskie,1979
Shrewton,1960
"Kotla, Himachal Pradesh",4479
Mory-Montcrux,111
"Broadford, Victoria",3076
Oliva de la Frontera,6209
Pommiers (Loira),407
Nessa (Alta Córsega),107
阿曼西奧,45587
Villedieu-lès-Bailleul,260
Ахметский муниципалитет,44161
多马尔坦莱圣佩尔,294
Ла-Сель-Дюнуаз,629
"Unikowo, Warmian-Masurian Voivodeship",579
Costești (Vaslui),3317
Perreux (Yonne),320
"Sand Ridge Township, Jackson County, Illinois",796
Liga Państw Arabskich,367620573
Siget,272
Luján de Cuyo,110623
Le Plessis-Luzarches,143
"Miti, Estonia",18
"Martell, South Tyrol",887
Faramans (Isère),1001
Cromac,264
Drama (Šentjernej),96
Le Plessis-Feu-Aussoux,476
Maarja-Magdaleena,230
"Matamoros Municipality, Coahuila",102989
Carville-la-Folletière,284
Blankenheim (Saksonia-Anhalt),1244
Le Plessis-Lastelle,247
Zastawno,176
Mud Rural District,4523
"Ela Township, Lake County, Illinois",40421
"Pommiers, Aisne",604
"Trient, Switzerland",128
Brody (Zielona Góra),794
古尔奈莱盖兰,170
Ribera d'Ondara,474
Heiligenkreuz (Baixa Áustria),1446
Штайнен (Вестервальд),244
Ustronie Morskie,1888
Bourguignon-lès-Conflans,112
Perthes (Sekwana i Marna),2099
Crépy (Pas-de-Calais),170
サリム,4731
布赖茨夏伊特,936
圣马克西曼 (加尔省),597
Biedkowo,171
"Wiscasset (CDP), Maine",1259
Hamry nad Sázavou,1399
Montagny-lès-Buxy,221
"Bartow, Germany",608
Frymburk,1255
Sebastopol,426437
Biskupice (powiat wielicki),902
Wiscasset (Maine),3434
La Celle-sous-Montmirail,123
Boissy-Lamberville,277
Gampel-Bratsch,1757
Барранка (провинция),124340
"Brookside, Telford",6943
Labrador (regione),29027
Bourguignon-lès-Conflans,126
Нойенкирхен (Альтес-Ланд),837
Adjamé,398123
Villedieu (Cantal),512
Němčice (Zlín),409
"Jatki, West Pomeranian Voivodeship",157
Montagny (Loara),1217
Takht-e Qeysar,1264
Nathowal,3302
Épinay-sous-Sénart,12732
哈費爾巴廷,235002
Lány (powiat Havlíčkův Brod),53
La Entrada,15809
平南县,458969
Podunajské Biskupice,18181
Saint-Brice-sous-Rânes,180
Dompierre-les-Églises,381
قسم تخت الريفي (مقاطعة بندر عباس),7361
Tremblay-les-Villages,2239
Dommartin-sur-Vraine,313
Mée (Mayenne),202
Horka I,378
魏茨附近普赫,2236
Fournes-en-Weppes,1940
Atan (Armenia),389
ヘブロン,205671
Fors (Deux-Sèvres),1729
勒普莱西圣奥波尔坦,278
拉佩鲁斯莫尔奈,1009
Janów (gmina Brochów),354
Aqsu (Pawlodar),67229
"Pleasant Valley Township, Jo Daviess County, Illinois",291
Fournes-en-Weppes,2103
Fournes-Cabardès,68
"Bryn Mawr, Minneapolis",2555
Steinen (Renania-Palatinato),252
Breitscheid (Westerwald),2403
Němčice u Boskovic,426
Brza Palanka,867
卡里尼昂,2919
Zulia Department,180639
"Saru, Mazandaran",1589
Kallar-e Sofla,239
جزر الولايات المتحدة الصغيرة النائية,320
圣萨蒂尔南 (洛泽尔省),80
Grandfontaine (Basso Reno),413
Gaza,492078
Л’Иль-Адам,11099
Saint-Sauveur-de-Peyre,271
Lor (Syunik),341
Fuente-Olmedo,41
Região Autônoma do Tibete,3443175
Les Angles (Pyrénées-Orientales),543
Horka (Saksen),2034
"Akbarabad, Tabas",95
Gmund am Tegernsee,6171
Krutyń,289
Тервел (община),19422
Жечица (гмина),5489
Kowale Oleckie,2292
Бистра (Хорватия),6736
Les Angles (Hautes-Pyrénées),117
Hilldale,1208
Oberdorf (França),590
Provincia di Bokeo,138397
Abbéville-lès-Conflans,242
Costești (Vaslui),3181
圣布里克德朗代莱 (芒什省),588
伊斯兰合作组织,1541587625
Municipio Comanche,3721
圣布里克 (吉伦特省),293
Hinterthal,275
Talki (Wydminy),206
Брюск,290
Steinfeld (Rijnland-Palts),2012
甘佩爾-布拉奇,2074
Enskede-Årsta-Vantör,108012
Maarja-Magdaleena,267
"Agios Theodoros, Larnaca",712
أوبردورف سباتشباتش,389
韦埃 (下莱茵省),546
"Minas Department, Córdoba",5093
Montastruc (Tarn i Garonna),214
Orville (Pas-de-Calais),344
圣萨蒂尔南 (康塔尔省),225
圣索弗德卡尔鲁热 (奥恩省),240
Guantánamo (provincie),489788
Saint-Cyprien (Loire),2345
Saint-Brice-sous-Rânes,153
Шацкий район (Рязанская область),21206
La Villedieu,46
Conflans-en-Jarnisy,2332
Saint-Saturnin-sur-Loire,1242
Agnihal,415
Ribera d'Urgellet,888
Dampierre-lès-Conflans,298
Kostelec nad Vltavou,356
Saint-Cyprien (Corrèze),315
Saint-Sauveur (Hautes-Alpes),479
"Taillebourg, Lot-et-Garonne",85
Marr,138
La Celle-les-Bordes,966
Sangha (Kongo),87032
La Celle-sur-Nièvre,182
Leménil-Mitry,3
"Sanriku, Iwate",8760
Viry (Alta Saboia),2979
"Roșiori, Brăila",3342
Oliva de Mérida,1915
Sankt Martin an der Raab,2114
Soto y Amío,1016
Spychowo,1184
برك (جلغة بهاباد),108
Газа,504041
Niepoględzie,376
グルンヴァルト,792
Arriaga (municipalité),40368
Saint-Sauveur-la-Pommeraye,282
Lagny-le-Sec,1741
La Celle-sous-Chantemerle,162
Marsac-sur-Don,1420
Bassa (Kogi),142521
法蘭西博納依,812
Beauregard-Vendon,1214
Selva di Cadore,607
Loria (Italie),8779
欧鲁,6822
Kulina (Aleksinac),707
Dommartin-lès-Vallois,57
雲蓋 (智利),16072
"Zano, Boulgou",1659
Dommartin-lès-Cuiseaux,784
Costești (Buzău),4573
大余县,281154
Angles (Pireneje Wschodnie),490
Tremblay,1617
Bonneuil (Indre),92
瑞西 (摩泽尔省),538
"Alu, Mazandaran",406
Perthes-lès-Brienne,79
"Akbarabad, Esmaili",677
Maradah,2248
San Carlo Canavese,3798
Taufkirchen an der Pram,3197
Floresta (Buenos Aires),35391
Achola,774
"Biskupice, Lublin Voivodeship",893
Драге (Штайнбург),253
Orville (Loiret),130
Montel-de-Gelat,467
Taï,33598
Алгинский район,38679
Épinay,309
Saint-Sauveur (Dordoña),806
Jussy (Aisne),1150
皮奥恩比诺德塞,8973
La Celle-sur-Morin,1180
Bako,17894
Санкт-Мартин-им-Иннкрайс,1559
Calabria,1955264
Takht-e Olya,94
Porta (Pirenei Orientali),123
Němčice (district de Domažlice),123
Krzęcin (województwo zachodniopomorskie),1271
Bonpland (Corrientes),932
Moulineaux,947
Oliva de la Frontera,5528
Gorica pri Dobjem,42
Galloway (Virginia Occidental),149
高坪区,584898
Dommartin-lès-Toul,1507
Oliva de Mérida,1834
Сигуатепеке,72572
Yura (distrito),15873
El Rosal (Cundinamarca),18750
巴特多伊奇—阿尔滕堡,1307
Barzan,417
北島 (塞舌爾),165
Villa Oliva,1085
"Cedar Township, Cherokee County, Iowa",394
فينيتو,4673088
Bilaspur (Gautam Budh Nagar),7107
"Desa, Dolj",5137
Dommartin-Lettrée,141
Velle-sur-Moselle,269
Umbrien,898919
Le Plessis-Lastelle,251
Вильярино-де-лос-Айрес,1110
Vigneux-Hocquet,304
Marsac-sur-l'Isle,2719
"Municipio de Grand Meadow (condado de Cherokee, Iowa)",197
Ла-Порта,262
Rosta,5005
Hagen (Moselle),287
Hausvik,613
Ozoir-le-Breuil,371
"Lor, Kermanshah",395
道孚县,42593
Sankt Martin im Mühlkreis,3764
セルヴァ・ディ・カドーレ,617
"Neuenkirchen, Rügen",395
泰爾韋爾,7167
سليم تشاف (دهغاه),376
Sassen (Eifel),99
Orvillers-Sorel,425
Carignan (Ardennes),3263
Пушкино (Лори),451
Hamry (Plzeň),111
Drage (Dolna Saksonia),4098
Lapeyrouse-Fossat,2456
Călăraşi (Dolj),6973
Biskupice Ołoboczne,1649
Rožnov,364
Sangha (Mali),31129
Tlacolula de Matamoros (municipio),16270
Boissy-sans-Avoir,552
La Celle-sur-Loire,713
忠县,744359
フムス (リビア),200731
"Municipio de Cedar (condado de Jackson, Kansas)",1297
Niijima (Tokio),3092
Alğa (district),35418
Buda (Buzău),3298
José Tadeo Monagas (Guárico),185918
اكبر أباد (رستاق),18
Saint-Brice (Mayenne),428
La Celle-en-Morvan,519
Дженин,41890
Mikulovice u Jeseníku,2794
Homs (Libia),176143
Zuglio,621
Saint-Sauveur-la-Vallée,41
Regione di Maranoa,12561
Kopenhagen (gemeente),652668
Gmina Soldier (hrabstwo Crawford),329
Montagny-près-Louhans,478
Comuna de Biskupice,9041
Dalmatië (regio),854913
Fara Gera d'Adda,6724
Dragomirești (Dâmbovița),8922
"Saint-Cyprien, Loire",2484
"Akbarabad, Saveh",333
Lolme,149
Hamm am Rhein,2133
埃爾羅薩爾 (昆迪納馬卡省),16139
Brzeziny (powiat biłgorajski),175
Llano de Olmedo,85
"Steinfeld, Saxony-Anhalt",284
Gaoping (Nanchong),666240
Sankt Martin an der Raab,2001
圣萨蒂尔南迪利梅 (马耶讷省),514
District de Jianye,150454
Provincia di Chayanta,94625
Saint-Saturnin-du-Bois,820
Kallar-e Olya,478
Jussy (Yonne),418
"Soldier Township, Crawford County, Iowa",309
澜沧拉祜族自治县,476702
Conflans-sur-Loing,356
Sankt Martin (Pfalz),1791
Warzenko,134
La Villedieu-du-Clain,1473
"Potrerillos, Chiriquí",1549
Dommartin-lès-Toul,1514
Saint-Cyprien (Dordogne),1700
Le Mage,245
Sankt Martin im Innkreis,1616
Sien (Alemanha),638
Яновский (концентрационный лагерь),91721
东皮耶尔勒勒埃格利瑟,364
Krasne (Powiat Rzeszowski),3536
Pommiers (Loire),375
Сен-Сиприен-сюр-Дурду,763
Weyer (Oberösterreich),4395
Saint-Saturnin (Sarthe),2098
Berge (Gardelegen),716
Marsac (Altos Pirineos),199
Horka (Saxônia),1884
Santa Maria degli Angeli,6392
Штайнфельд (Мекленбург),517
Montagny-lès-Seurre,98
Brody (powiat nowotomyski),680
Němčice (Plzeň),129
Saint-Sauveur-de-Landemont,624
Podmokly (Rokycany District),263
Kurzętnik,3192
Gmina Cedar (hrabstwo Black Hawk),1609
Labrador,25150
Bemowo Piskie,1375
Half Moon Lake (Alberta),269
Épinay-sous-Sénart,12982
Salim Pakel,41
Lety (okres Praha-západ),1336
Bischheim (Alemanha),746
Le Plessis-Sainte-Opportune,276
Taufkirchen an der Pram,3288
Saint-Saturnin-du-Bois,888
Делта (Минас-Жерайс),6142
Reyes (plaats),5623
Luc-la-Primaube,5327
Perthes (Alto Marne),584
Charmoille (Doubs),294
La Celle (Cher),369
"Blankenheim, Saxony-Anhalt",1231
Санкт-Мартин-им-Зульмталь,3181
"Białobrzegi, Legionowo County",1335
Proseč (Vysočina),90
ساوتهيل (بيدفوردشير),1190
Biskupice-Pulkov,276
Gorica pri Slivnici,618
阿爾韋迪縣,16182
Brza Palanka,888
Olmedo (Espagne),4265
Piotrowice (powiat polkowicki),397
"Horst, Lauenburg",257
塞尔河畔宽,272
錫瓜特佩克 (科馬亞瓜省),74908
San Carlo Canavese,4057
"Janów, Silesian Voivodeship",1031
Grotte di Castro,3137
合衆国領有小離島,302
Beauregard-de-Terrasson,694
Banica (gemeente Uście Gorlickie),279
Saint-Saturnin (Cantal),249
Fournes-Cabardès,70
Mory (Pas-de-Calais),332
Sébastopol,416996
Malaba (Uganda),16285
La Tourette (Loire),434
Świętajno (powiat olecki),1780
勒普莱西格拉穆瓦尔,1958
Campania,5699158
瑪拉諾亞區政府,13962
"Municipio de Menominee (condado de Jo Daviess, Illinois)",1059
Anju District,726044
Домпьер-сюр-Шарант,500
Villedieu-lès-Bailleul,219
Montastruc-la-Conseillère,3083
Torrente de Cinca,1083
Fara Novarese,1953
"Ovacık, Silifke",870
Taufkirchen (Vils),9299
Mory,356
Marsac-sur-l'Isle,2783
Velle-le-Châtel,135
"Muri, Ranchi",11297
Březnice u Zlína,1195
"Saint-Placide, Quebec",1919
Marey (Vosgos),69
