http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
Trinity-Insel,0
Крапань,229
Porto Santo (eiland),5187
Wyspy Morza Koralowego,4
شبه الجزيرة الإيبيرية,51617128
エファテ島,67706
Терсди,2664
ニアス島,743073
卡加多斯-卡拉若斯群岛,57
Ruhnu,105
Хвар,11837
斯波拉泽斯群岛,14800
Røvær,89
Giaros,0
Nakanoshima,174
Ilha Baranof,9408
Fugloy,50
Saipan,47137
Канарские острова,2116343
Makrónisos,0
إيزو أوشيما,8747
Гуадалупе (остров),195
Tairajima,73
Islas Diómedes,0
Schiza,0
ロード・ハウ島,359
Сиеста-Ки (Флорида),7228
Ashmore- en Cartiereilanden,0
Vrgada,227
Samosir,89961
Norderney,5547
Prasonisi (Lefki),0
Naxos (isla),21231
圣文森特岛,107538
Arnaouti,0
Wallis (île),10286
Gaua,2384
Isla Alejandro I,0
Идзуосима,8443
Kvitøya,0
Bora Bora,9458
Plavnik,0
Isole dell'arcipelago delle Fær Øer,44432
Swains Island,16
Haʻapai,6402
御藏島,320
施皮克罗格,859
Anuta,290
Thasos,14172
Broughton Island (Neuseeland),0
Kish (isla),25078
Arquipélago Ártico Canadiano,12809
Mangareva,1199
Leyte,2266943
Hoëdic,111
錫爾群島 (南設得蘭群島),0
Нукуману,761
El Hierro,9904
Luizjady,47106
Lihir,19456
Île des Soeurs,17111
Omey Island,1
Ireland's Eye,0
Saipan,48968
Marettimo,307
Île d'Yeu,5207
蒙巴薩島,158873
Curieuse,7
Анаа,494
Rolas,198
Peng Chau,4651
メジット島,290
Flaherty Island,769
Rimatara,825
Baltrum,549
Hawaii (Insel),198045
Ripapa Island,0
Guadalcanal,103483
Filfla,0
Ko Samui,59263
Roosevelt Island,12619
Pag (eiland),9174
Ilha de Ascensão,858
Rolla (Troms),1064
薩爾島,33804
Ajon (eiland),414
Hestur,24
アンホルト島,155
Isla de Lobos,0
Isla del Giglio,1284
Jemo Island,0
馬卡泰阿島,60
Muskö,257
Ilha Mansel,0
Sveti Grgur,0
Manihiki,506
Formentera,10687
Hopen (Svalbard),4
Île de Batz,605
Fatu Hiva,625
جزيرة فوكلاند الشرقية,2098
瓦什島,15064
Bjarnarey,3
Java (Insel),141024359
"Clarence Island, Chile",5
Rotoroa Island,1
阿斯托夫島,2
平島 (鹿児島県),74
Tinhosa Grande,0
Rhode Island (eiland),53732
Wyspy Brytyjskie,74025827
Konida,0
Tanna (island),26220
Isla Saddle,0
Bonaire,18282
Long Island,7803952
ファラウレップ環礁,200
Calf of Man,2
Gyali,11
Savai'i,45897
Паксимадия,0
內爾斯地,0
Märket,0
Leyte (eiland),2364558
曼島地理,74541
薩納納島,46698
Остров Баренца,0
Isla Chorao,5603
Isla de Corón,2931
Île Bruny,664
Алджер (остров),0
Long Island (Bahama's),3327
Jéthou,3
Isola di Lord Howe,341
Bali (wyspa),4009297
Isla Saona,285
Dahlak Kebir,2704
Ko Samui,57084
Île d'Arros,39
マニヒ環礁,656
Jaluit (atol),1767
Bjarnarey,3
Fænø,2
Lo (ilha),210
Muna (isola),292015
Denman Island,1061
Pelagie Islands,5718
阿洛島,158373
Isla de Rennell,1595
Tinhosa Pequena,0
Sheppey,39631
Принс-Эдуард (острова),0
ハワイ諸島,1343121
Chirinkotan,0
Dalkey Island,0
Santa Catarina (eiland),451618
Antipodeneilanden,0
Mataiva,273
Ilhas Matsu,12210
ディエゴガルシア島,4253
Delos,15
Cloyd Island,0
Erikub,0
Baranof Island,8425
Isole Antipodi,0
Manitoulin Island,12382
キスカ島,0
Куной,144
Haida Gwaii,4344
Corse,363080
大東群島,1978
Zaquintos,43859
Murter (wyspa),5734
Cozumel,100876
Vanua Levu,140382
ニューギニア島,10791234
Флиндерс (остров),723
Isla Bare,0
Islas Marías,1087
Península Itálica,26940305
Санта-Исабель (остров),24573
Panay,4656963
Бас-Тер (остров),187884
竹島 (鹿児島県),84
Tromsøya,32967
Эвбея,200202
Cíes Islands,3
Upolu,150779
Саона,311
Nias,763358
Инишир,239
جزيرة مارغريتا,395307
Sicogon,5
Walaam,593
Tematangi,56
Gannet Island (New Zealand),0
Sardegna,1740063
Manihi,646
Бали,4231970
Île Walpole,1953
Tirasia,269
Ellesmere Island,137
Ilhéu das Rolas,196
St. Martin (Insel),80114
Öland,26307
Djurö (Värmdö),1083
New Providence (Bahama's),221522
Howland Island,0
Rolla (Troms),1042
Isla de Sajalín,612944
Лесбос,79152
Taketomi-jima,327
布顿岛,461142
Islas de Gigantes,12268
大溪地,208586
Isole Diomede,0
Skúvoy,49
Terra do Imperador Guilherme,101552
Geografia Mauritiusa,1251376
措辛厄島,6565
坪洲,5307
Isole Anambas,39687
Ilha Moresby,371
Panay (eiland),4684536
Kosrae,6212
Hao (French Polynesia),1045
Bawean,77462
Острова Тиви,2528
Vanua Levu,118640
Mavros,0
諾登舍爾德群島,0
Ilovik,94
Procida,10809
Burhou,0
Rockall,0
Bacan-Inseln,61973
Ilha Winter,0
Mainau,181
サントメ島,162685
Hokkaidō,4686195
Абд-эль-Кури,415
Adolphus Island,0
Andamão do Norte,44314
沃特傑環礁,1068
サント・アンタン島,40405
Ilhéu Bombom,14
Tahiti,197963
Minorca,87958
Krim,2306026
Îles Malouines,2778
Miyake-jima,2171
Ometepe,28410
Tybee Island,2840
Honshū,103997982
Lae (atoll),324
乌瑟多姆岛,84019
萨摩斯岛,33474
Korčula,14532
Pag (island),8874
Île de Noirmoutier,10220
Erikub,0
Hjelm,0
Bawean,74349
撒尔塞特岛,14084104
Öckerö,3444
馬丁加西亞島,143
Ilha Sable,5
Buton,392604
クラパニ島,232
Isole Alphonse,79
Арранмор,578
Eiao,0
薩克島,608
Seabrook Island,1792
Ilha Kotelny,1
Île-à-Vache,13630
Aranuka,1060
Ilhas de Sotavento (arquipélago da Sociedade),34536
Tabiteuea,5218
Isla de Santo Antão,48634
Brooks Island,1
Ilhéu Rabo de Junco,0
Isla Nugent,0
Mochlos,0
南方群岛,6973
Isla Schmidt,0
Острова Общества,233686
Bahía de Kino,6976
史賓納隆加島,0
Iberian Peninsula,55873926
父島,2087
جزيرة المحرق,186477
Isole Borromee,214
Tanna,33019
Nadikdik,0
Île Mangere,0
Jolo (wyspa),479962
Nakanoshima,164
Atol Namu,718
Уполу,135701
Ovalau,9665
Langeoog,2009
Ilha Mancera,54
Isola Little Cornwallis,0
Isla de San Cristóbal (San Cristóbal y Nieves),50351
Terceira,60723
Île Cornwallis (îles Shetland du Sud),0
Andros (Bahamy),7201
Ailinglaplap,2116
エーランド島,24553
Barbuda,1706
Great Harbour Cay,349
新岛,2653
Tresco,177
Bear Island (Norway),9
Hashima (isola),0
Dikson,1089
Lakeba,1891
Ilhéu das Cabras,0
Andaman Islands,333123
Rinia,0
Tulagi,1254
Laulasi Island,22
Остров Вознесения,798
Rangiroa,2789
Wyspa Scotta,0
Espiritu Santo,38158
Koltur,2
レ島,19267
Salsette,16886013
トーシンエ島,6151
Bleaker Island,2
Île-d'Arz,245
"Кинг (остров, Тасмания)",1827
Saseno,0
Srirangam,203719
Alphonse,91
Gran Canaria,789816
Paximadaki,0
Jabat Island,110
Plavnik,0
Roque del Oeste,0
Eliza Rocks,0
Atol Wotje,1017
Insel Hiddensee,1015
普林西比岛,4967
Наксос,16977
Ликома (остров),8055
Isla Spume,0
"Puget Island, Washington",882
Siesta Key,6097
Kharimkotan,0
Isla Sandwip,370309
Nonouti,2614
Гаити (остров),19941337
Nova Providência,252597
Norderney,6147
جزيرة بورو,144837
Ist (island),178
Фернанду-ди-Норонья,2979
Narcondam,15
Cima (eiland),0
Inis Oírr,231
Sejerø,425
法圖伊瓦島,556
هينغكون,6247
Buton (eiland),444897
Trinket,2
Île Robinson Crusoe,834
Sorokdo,1157
Чансиндао (Далянь),61682
Marajó,267516
Aranuka,1050
Grand Cayman,54895
Bankseiland,139
Landkreis Penghu,96107
Vanua Levu,122160
Nueva Irlanda,127519
Mikronisi (Lasithi),0
Marsh Island (Louisiana),0
Šolta,1693
Pulau Sebatik,23103
Список островов Фарерского архипелага,52380
Galesno,0
Остров Броутона,0
Mokohinau Islands,0
Assomption (Seychellen),22
Île Chuginadak,0
Wyspy Heard i McDonalda,0
Pukarua,239
Rangiroa,2728
Sphacteria,0
St. Pierre Island,0
Астов,2
Рангироа,2714
Clerkerotsen,0
Vasilyevsky Island,203294
Morotai,57566
Hessa,3489
約斯特范代克島,309
Тулаги,1227
Big Coppitt Key,2488
Borðoy,5047
Otterøya,865
Arkoi,57
Masirah,13027
Ilovik,78
Marajó,258029
伊麗薩岩,0
ولاية بيليليو,529
Foulness,147
Wallis-Inseln,11055
ケープ・ブレトン島,133097
Despotiko,0
Stora Dyrön,264
Agios Georgios (island),0
Isole del Canale,175634
茲拉林島,299
Sturkö,1335
Саба (остров),2071
Napuka,310
Prangli,135
Borkum,5188
La Digue,3068
Kitadaitōjima,648
Nayachar,2841
Wallis (ilha),9740
Sanga-Sanga,16255
Ilha de la Gonâve,74141
Wielki Kajman,55518
Île Moreton,311
Lazareto (Ítaca),0
Es Vedrà,0
アイリングラップ環礁,1837
Pulau Langkawi,95686
Cres (eiland),3197
Woody Island (Alaska),2
瓜达尔卡纳尔岛,119850
Galešnjak,0
Koro (île),4415
Джильо,1480
Fugloy,46
Cerdeña,1649133
Agatti Island,8453
Peterson Island,0
Samosir,97806
Nias,715459
Шрирангам,173179
Kunoy,129
Нордернай,6062
Kauai,65723
Andros (Cyklady),8134
Fernando de Noronha,2899
Marakei,2787
Gotland,58677
Geografía de Dominica,80034
Manuae (Gesellschaftsinseln),0
Renard Islands,621
Gavnø,35
セント・クロイ島,49234
Cozumel,94533
Tautra,47
Isla de Kotlin,39940
Île des Sœurs,17136
口永良部島,138
Boa Vista (Cap-Vert),9174
Alamagan,0
Serifopoula,0
Nordstrandischmoor,19
جغرافيا سريلانكا,20718263
宇志知島,0
Ясава (остров),1035
Nugent Island,0
ساموسير,88053
Asperö,377
Omey Island,1
فو كوك,112747
Langkawi,104869
Delo,13
Tanna (Vanuatu),31025
卡尔斯岛,149
布斯凱島,0
White Island (Scilly-eilanden),0
Савайи,38291
Alamagan,0
Ailinginae,0
Taquile Island,1695
Isla Disko,1181
Fatu Hiva,615
ロンブロン島,41447
White Island (Nunavut),0
Gozo,36626
Lynn Island,0
Olchon,1677
琉球郷,12605
Clavering (wyspa),0
Ontong Java,1811
Læsø,1579
La Gomera,21510
Cayos Marquesas,0
Tegua,63
喜界島,7523
Pašman (île),2873
Ujae,450
D'Urville Island (Nieuw-Zeeland),54
Abd al Kuri,464
Lítla Dímun,0
Usedom,77219
Falkland Orientale,2235
Ilhas Molucas,1978829
Masirah,11552
Arbe,10328
Ilha Victoria (Rússia),0
Wyspa Szmidta,0
Skúvoy,54
Isola Birkenhauer,0
Panay (Insel),4743671
Molukken,1927252
Geography of Dominica,67767
Santa Catarina (isola),396112
Islote de Cima,0
Асунсьон (остров),0
Ailinginae,0
Bolga,141
Borðoy,4994
Sark,578
Okushiri,3157
ゴナーブ島,80109
St Paul's Island,0
Амбрим,7472
Takangaroa Island,0
Islas de la Magdalena,12150
Treasure Island (Kalifornien),2456
Femø,146
Rakahanga,126
فانا (ترومسو),941
Upolu,137143
Lítla Dímun,0
Península de Kamchatka,340767
Diómedes Menor,103
Crimée,2428044
Ilhéu de Sal Rei,0
Lastovo,828
蘭貝島,6
Isla Kolgúyev,325
Мафия (остров),49237
蛇岛 (黑海),108
جزيرة ويلز,0
克拉里翁岛,9
Pine Island (New Rochelle),0
Babuyan,1282
Boa Vista (Wyspy Zielonego Przylądka),8099
Monito Island,0
Île Sturge,0
Hiva’Oa,2384
ナムー環礁,770
Faraulep,227
Rasschua,0
Île-à-Vache,15312
Værøy,714
جزيرة سايبل,5
Cousine,17
ウニマク島,69
聖靈群島,1667
Wyspy Borromee,191
伊尔德巴特,629
Kihnu (wyspa),443
復活節島,6185
斯法克蒂里亚,0
八重山列島,59
Fejø,640
Diego Garcia,4064
Twin Cairns Island,0
Sebatik,27484
布塔里塔里環礁,3941
Kambangan (eiland),2979
Gianysada,0
薩塔瓦爾環礁,561
Dahlak Kebir,2478
馬金群島,1783
Rugged Island (Südliche Shetlandinseln),0
納努梅阿環礁,560
ساريما,33017
Bacan,63682
Geography of Iceland,345177
Раиатеа,12797
Дахлак (остров),2231
Hao (Tuamotu-Inseln),1149
Isla del Oso,9
Îles Extérieures,0
Никумароро,0
艾翁島,498
Paaseiland,6620
Vingt Cinq,253
Taboga,2
Croker Island (Northern Territory),299
口之島,141
Haida Gwaii,5207
Misima Island,19744
Andaman Centrale,59228
Märket,0
Roque del Este,0
جزيرة السلاحف (هايتي),26755
Isola di Pentecoste,17540
Læsø,2006
Isla de Janjanbureh,3695
Cleareiland,139
John Murray (wyspa),0
Isla de Itaparica,56729
أواهو (هاواي),978896
Wiencke-Insel,0
Wangerooge,962
Vendsyssel-Thy,280405
Atol Rongelap,20
Outram Island,0
Islas Auckland,0
Islas de Gigantes,11201
Graham Island,4479
パサロス島,0
迪亞島,2
Сабль,0
Wyspa Króla Jerzego,497
Île Nepean,0
Makin,2015
Bawean,66379
Mafia (isola),45258
Isla Motiti,28
Zlarin,277
Aogashima,162
アスンシオン島,0
Sankt-Lorenz-Insel,1407
Seychelles,84820
Flores (Indonesië),2043821
Isola di Dursey,3
Carabane,407
Cozumel,98194
Nordaustlandet,0
Südliche Orkneyinseln,0
Andimilos,0
ムリェト島,996
呂島,130
Fakarava,809
Платт (остров),3
Arki (Grèce),58
مويو (جزيرة),983
Веннсюссель-Ти,275126
Chiloé,151740
Île Astove,2
Hooker-Insel,0
Бёрд (Сейшельские Острова),35
Хасима (остров),0
Kosrae,6593
Zlarin,300
阿貝馬馬環礁,3140
Hœdic,127
Durrat Al Bahrain,928
Margarita (wyspa),416970
Mangole,38274
Taquile,1813
Сарк,573
Хольбош,1198
Kamčatka,348128
Long Island (New York),7083962
Ruhnu,105
Java (isla),151882174
Maewo,3748
松巴島,680875
Ян-Майен,0
沃格岛,2964
Islas Ashmore y Cartier,0
Ilha Ellesmere,150
Tematagi,61
Lastovo,823
Tinian,3519
Savaiʻi,43699
Neuguinea,11328852
Ebon,729
Nólsoy,253
Ambrym,7265
Ko Samui,65692
Alejandro Selkirk,57
伊法利克環礁,524
夏威夷島,207237
Mustique,473
Buru (Indonesia),154879
Lesbos,78643
Ambrym,7214
Shiashkotan,0
Kaiser-Wilhelms-Land,105757
計吐夷島,0
Îles Summer,5
Denman Island,1003
Хеймаэй,4923
Lindisfarne,190
Honshū,102254996
Siberut,34399
Nouvelle-Irlande,125833
Tromsøya,34751
Península itálica,27277219
豪環礁,1026
薩利岩,0
Галапагос,25620
Holl-Insel,0
Kangaroo Island,4278
Karavi,0
Isola Vittoria,0
伊尼什特克島,59
Middle Andaman Island,51364
Нукулаэлаэ,320
パンコール島,27364
Ilha Fergusson,13886
Сикинедзима,600
乌斯蒂卡,1301
Аилингинаэ,0
Nólsoy,259
Korčula,14546
Isla Anvers,47
Île d'Anchor,0
Антикости,229
Isola Lampione,0
Maui,161365
Rimatara,812
Kitadaitō,650
Isole Snares,0
Nihoa,0
Makanruši,0
Geography of Saint Lucia,167127
Портси (остров),159236
Napuka,304
壱岐島,27576
Asinara,1
Juist,1725
Félicité (Seychelles),18
庫福尼西島,0
Пелелиу (остров),567
Spume Island,0
Asperö,413
Geography of Madagascar,24322196
Saltholm,5
Dominikanerinsel,20
迪斯科岛,1052
Фукуок,106595
Great Barrier Island,915
Géographie de la Nouvelle-Calédonie,202937
口永良部島,148
Kyushu,12690647
جزيرة أسينشين,908
Florès,1754227
澤斯波蒂科島,0
Sipora,17893
Bawean,72405
Clerke Rocks,0
Carriacou,8024
Solentiname,926
King George (eiland),453
Moala,3083
Isola del Giglio,1326
Isla Hamilton,1134
Île Bizard,15657
Wotho,152
Rangiroa,2248
Мартас-Винъярд,16754
Koh Rong,1088
Вангероге,933
Hopen,4
Kap-Breton-Insel,125199
Moorea,14622
Îles Coco,1042
Islas Tremiti,534
Hiw,250
Wotje,1110
Gyaros,0
Toscaanse Archipel,35495
Île Chalky,0
Британские острова,60919947
Moresby Island,363
Wizard Reef,0
Mezzo (isola),205
Aneytium,820
Martha's Vineyard,16135
Ilhas Tremiti,470
福门特拉岛,11379
Nonouti,2768
Kotakara-jima,46
Kalogiros (Echinades),0
法夸爾環礁,21
Ytterøya,441
Pemba (Tanzânia),410329
Prince-of-Wales-Insel (Queensland),19
Kyra Panagia,2
圣港岛,5256
Olib,146
Эбон,635
Hestur,25
Long Island,7622138
Tuần Châu,1643
Wotho Atoll,147
Minsener Oog,0
Ko Samui,64832
Isla de Lord Howe,371
Inis Meáin,152
Lampione,0
比卡爾環礁,0
Manitoulin,13342
Tinian,3107
图图伊拉岛,55569
Ilha Laurie,29
Graciosa (Canárias),690
Île-de-Bréhat,414
Wyspa Wniebowstąpienia,943
Crappano,262
Blumine Island,0
Asinara,1
莫阿拉島,3316
サル島,36836
Groote Eylandt,1423
Isla Werd,9
Hjelm (island),0
納普卡環礁,302
Valentia Island,653
Мальорка,855040
マヘ島,82738
جزيرة غوادالوبي,227
Sabine Ø,0
The Pearl,12561
パルミラ環礁,4
Суда (остров),0
Ahe,615
Walpole Island First Nation,2135
Pentecostes (ilha),17833
ニイハウ島,130
Martha’s Vineyard,14992
Sphacteria,0
Лампионе,0
Genootschapseilanden,222768
Ebon Atoll,745
Cronk Islands,0
Ryukyu Islands,1513357
Баия-де-Кино,6609
Perhentian-Inseln,2145
Île aux Ours,9
Witch Island,0
Rajkokie,0
Annet (Scilly-eilanden),0
Alegranza,0
Îles Chausey,29
Grímsey,80
ウジャエ環礁,415
康沃利斯岛 (加拿大),211
Bock (île),0
阿西納拉島,1
小宝島,47
Šolta,1743
Barbuda,1784
Ilhéu Bombom,15
Ramsey Island,2
Geografía de Jersey,105715
Nouvelle-Hanovre,18585
Суматра,47709527
德西島,3
Онтонг-Джава,2098
Kufonisi,0
Auriat Island,0
Makira,10752
Takaeang,1017
Baltrum,553
جزيرة لورد هاو,374
科捷利內島,1
Dalkey Island,0
Likoma,8037
イファリク環礁,602
Isla de Sazan,0
格什姆岛,106003
Tabiteuea,5240
Elafonisi (Kreta),0
Ilha de Baffin,10712
جزيرة الكتاب,0
Bjarnarey,3
Iberische Halbinsel,49393858
Takuu,557
マーサズ・ヴィニヤード,15654
Carriacou,8177
アンティコスティ島,245
Géographie du Sri Lanka,19076446
Kolgoejev,283
Sumbawa,1384854
Акамару,19
Austral-Inseln,7214
Muskö,290
Pidgeon Island,0
Spetsopoula,0
Ford Island,415
Miconos,10959
Sardinia,1819848
Gioura,0
扎金索斯州,35389
Рипапа,0
Tåsinge,6802
Ilhéu das Cabras,0
Virgin Gorda,3715
Кенгуру (остров),4809
Thor Island (Nunavut),0
Madeira (gebied),322588
努库希瓦岛,2832
Raiatea,12487
Onekotan,0
Isla Bizard,15413
Grahameiland,4425
Slarino,257
Fugloy,46
Tubuai (archipelag),2105
Lamotrek,344
Grímsey,86
Solentiname,943
Onekotan,0
Cozumel,107779
Woodlark,1531
圣马丁岛,84383
Ситра,78232
Taso,14048
Odbert-Insel,0
La Digue,2790
塔塔科托環礁,294
Kingman (rafa),0
Inishturk,62
馬亞納環礁,2066
Hiddensee,1105
Anambasinseln,39565
Isla Victoria (Rusia),0
中之島 (鹿児島県),171
Ailinglaplap,1779
Phú Quốc,107920
Annet (Scilly-Inseln),0
Isle Madame,4515
ランサローテ島,148635
Vis (wyspa),3214
Filicudi,243
Île Woodlark,1831
奔巴岛,445829
Bois Blanc Island (Huronsee),67
Isla Gran Barrera,885
Marathos Island,5
Flat Holm,1
Spiekeroog,882
Nedungad,21766
ウォッジェ環礁,925
潘泰萊里亞,8427
伊亞羅斯島,0
Nieuw-Brittannië,490012
Møn,8733
Montaña Clara,0
Shikine-jima,524
Andro (Grecia),9570
スワン諸島,11
Ummanz,264
Ilha Hooker,0
Ilha Galveston,49401
Nukufetau,526
سانتو أنتاو (الرأس الأخضر),43153
ポロ島,36270
Chatham Island (Western Australia),0
Sentinel Islands,257
Эфате,72019
Fejø,694
Aride (Seychellen),8
São Tomé (île),147857
Lampione,0
維加島,0
Toskanischer Archipel,34514
جزيرة جروت آيلاند,1485
Isla de Elba,29728
Vaitupu,1489
伊豆大島,7928
火山列島,389
シエス諸島,3
Isole Ashmore e Cartier,0
Wyspy Magdaleny,14120
Shikoku,4592655
Groote Eylandt,1404
Fox Island,3605
Savai'i,48958
Isla San Lorenzo (Alaska),1318
アラバット島,40418
Île Vanier,0
Paximadia,0
Hengqin,5616
Lítla Dímun,0
"Graciosa, Canary Islands",656
Розе (атолл),0
Île de la Tortue,23178
Chalky Island,0
Éfaté,68047
Dia (île),2
Anambaseilanden,33940
بافن (جزيرة),11015
Увеа (Уоллис и Футуна),10377
Takuu Atoll,587
São Vicente (Kap Verde),82991
Bora Bora,9113
Gawdopula,3
ボルネオ島,20793443
هواهاين,6815
ウベア島,11724
Anatom (wyspa),907
Filfla,0
Ie-jima,4941
Sacalina,580098
Cape Barren Island,60
伊尔莫莱恩,235
Îles de la mer de Corail,4
Rarotonga,11093
哥得蘭島,62106
イディウィ島,264151
Tanna (île),29038
Makatea,71
Île Howe,0
Wyspy Snares,0
Región de Shikoku,4179379
Klädesholmen,346
Ziemia Cesarza Wilhelma,112734
Penisola di Crimea,2277259
Nordaustlandet,0
Norfolk Island,2154
アイルック環礁,528
Niihau,128
Caldey Island,40
Water Island,176
Dodi Island,634
ペリリュー州,574
Saipan,46695
Isole Esterne,0
Wyspy Toskańskie,35811
Isla Guadalupe,190
Andimilos,0
Ilha Alexandre I,0
Svínoy,56
Aorangaia Island,0
マキノー島,518
Ilha de Taketomi,292
Kabara,674
アジナーラ島,1
薩默群島,5
Puka Puka,154
Kosrae,7078
Sejerø (eiland),367
Île de Santa Catarina,398936
Isla Dominicos,22
Jabat,111
Pemba (Tanzania),365469
أوستيكا,1415
Mainau,194
Camano Island,14196
伊尼什默里島,0
Socotorá,47414
Лос-Рокес (архипелаг),3
马埃岛,83963
Арутуа,725
Isole Marías,1246
Панай,4599931
Isola di Noirmoutier,9338
奥克兰群岛,0
克拉弗靈島,0
Little Diomede Island,111
Рухну,94
Cameron Island,0
Dønna,1331
Vingt Cinq,252
Mersea Island,7850
Yagishiri Island,288
Vanua Levu,143307
Majorque,777613
Ронг,1126
エラート環礁,101
大ニコバル島,7287
Virgin Gorda,3822
Кларенс (остров),0
Taira-jima,78
洛亚蒂群岛,18264
白島 (挪威),0
Fuerteventura,80542
Lobos Island,0
勒姆島,667
Okushiri,3294
Isole Canarie,1955739
جزيرة فريرز,179
Nólsoy,229
Ломбок,3384476
Delos,14
羅斯福島 (紐約),12837
セント・マーチン島,68873
Сицилия,4659877
Tatakoto,274
Kazan-rettō,379
جوادالكانال,114039
Инишбофин (Донегол),11
Barren Island (Andamanen),0
Grande Nicobar,7858
São Nicolau (Kap Verde),13497
Дрвеник-Велики,155
沖繩島,1422225
Ilha Silhouette,193
Tepoto Norte,70
Buton,494142
Makatea,73
樺太,640965
Mili (atol),994
La Graciosa,628
Bock (island),0
Ilha de Basse-Terre,194863
Upolu,131460
إزلي لا موت (فيرمونت),459
Olchon,1508
Mercury Island,2
Bikini (atol),5
Îles Cies,3
Rhénée,0
莫宁顿岛,1024
ساموس,35991
Erinia,0
Wyspa Niedźwiedzia,9
Spiekeroog,740
Ilhéu Caroço,0
Geografía de la Isla de Man,75619
Sally Rocks,0
Îles Solentiname,1080
Korčula,15304
宇志知島,0
Isla de Príncipe,4674
Ilhéu Caroço,0
Grande Andamão,309262
Dolin,0
"Water Island, U.S. Virgin Islands",173
Остров Ратманова,0
Isole Tiwi,2734
Agriomandra,0
Чугинадак,0
Öckerö (Bohuslän),3579
Antwerpeneiland,53
Rowett Island (South Shetland Islands),0
Schiaschkotan,0
Futuna (Vanuatu),532
Fatu Hiva,565
Île Socorro,43
阿卜杜勒庫里島,448
Kawau Island,73
マタイヴァ環礁,259
Udone-shima,0
亞歷山大塞爾扣克島,55
Little Andaman,21131
西比路島,37400
Polillo Island,60860
Terra di Peary,0
جزر البليار,1056968
Фату-Хива,653
Йост-Ван-Дейк,269
アンドロス島 (バハマ),7517
Lombok,3140997
Wyspa Thursday,2571
康塞普申島 (塞舌爾),0
Donsö,1592
Isola di Giannutri,27
Ilhéu de Fora (Selvagens),1
Vanua Levu,151886
Barbuda,1616
Geografia de Barbados,252103
Джемо,0
Long Island (Nova Iorque),7739715
Isabela (Galápagos),1562
"Long Island, County Cork",10
St. Lawrence (eiland),1334
Misima,20691
Cuyo Archipelago,45247
Pantelaria,8263
Manihiki,526
Nias,859661
São Nicolau,13602
Sumba (Indonésie),604378
