http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
Ubon United F.C.,4948
Pahang Football Club,41148
Grønlands Seminarius Sportklub,2055
Club Atlético Rentistas,10339
A.C.D. Nardò,4984
CA Boca Unidos,12901
GPS Portland Phoenix,5376
ŽNK Pomurje,1543
CP Villarrobledo,5885
Borussia Verein für Bewegungspiele Neunkirchen,25152
Tak Chun Ka I,1831
CS Unirea Sânnicolau Mare,76
Southern Oregon Fuego,1853
TSVハルトベルク,4570
نادي فيتيبسك,8725
León Huánuco,17386
Bucheon FMC Best WFC,32267
Barenburger Sportverein Kickers Emden e.V.,6704
Impuls Sports Club Erebuni Dilidjan,1220
Club Deportivo Eldense,4032
Atlanta Beat,8424
Tschernomorez Pomorie,2148
Sporting Clube da Praia,7936
Granada CF,23993
NK Rudar Velenje,2329
Sriwijaya FC,23826
Montego Bay United F.C.,7325
Unión Deportiva Santa Marta,1356
FC Callatis Mangalia,5073
Ventforet Kōfu,15958
Académico do Aeroporto,7941
NK Interblock,513
阿拉伯承包商SC,38353
Mika Erywań,7486
法拿莫達利體育會,8545
Kano Pillars FC,25370
FC Hradec Králové,7381
Atlético Desportivo Moma,11
Olympique Saint-Quentin,8727
SpVgg 07 Ludwigsburg,18384
KMKM FC,4697
Saint George Sports Club,36314
JK Vaprus Pärnu,1482
JEF United Ichihara Chiba,18721
Каталле Тояма,29676
Yadanarbon Football Club,16267
IF Älgarna,2657
Yokohama Flügels,13530
Sportverein Spittal an der Drau,6364
Diósgyőri VTK,12642
泰羅芬斯體育會,5127
奧利維倫斯體育會,3940
Kano Pillars F.C.,26762
Nauti F.C.,1541
Sporting Plaza de Argel,269
Futbolniy Klub Ural,9523
"Олимпиакос (футбольный клуб, Волос)",9210
Pego CF,1028
FC Bern,14741
Vannes OC,9834
نادي ييدزين,23687
UCAM Murcia Club de Fútbol,6976
FK Ameri,1077
CD Miajadas,2653
AC Maceratese,5605
Real Club Celta de Vigo,30879
Boca Unidos,12812
Shabab Al-Dhahiriya SC,23796
FCジンブル・キシナウ,9776
Club Atlético River Plate (Puerto Rico),12889
A.T.A. (Greenland),2012
SSラツィオ,70973
Club Malvín,813
Brusque Futebol Clube,5608
Asociación Deportiva Limonense,2791
Tours Football Club,17003
Olympic Azzaweya SC,7175
CS Avion,5027
Grønlands Seminarius Sportklub,2243
Pretoria University Football Club,12459
Club Deportivo Unión Juventud,24515
Víkingur Gøta,2175
Fútbol Club Andorra,2098
Football Club de Sète 34,8906
Club Deportiu Masnou,2031
AD Dili Oeste,5017
NK Iskra Bugojno,13034
Olympique de Khouribga,9648
亚布洛内茨足球俱乐部,6402
Desportivo Manica,10503
Dunakanyar Vác FC,13356
Pol. Arzachena,3105
Sepahan Novin F.C.,5457
Fotbal Club Vaslui,8267
Millwall Lionesses L.F.C.,19568
Idrottsklubben Sirius,5927
FK Polimlje Murino,95
FC Cortaillod,535
Sociedad Deportiva Atlético La Albericia,944
Persipura Jayapura,28440
Víkingur Gøta,2237
Unión Sporting Club (Lavadores),2913
FK Makedonija GP Skopje,2756
FC Orenburg,7822
Village United FC,3040
Ayacucho FC,16317
Makói FC,2622
C.D. Plaza Amador,5859
ENPPI Club,16523
NK Rudar 47,484
Hakoah Amidar Ramat Gan,8831
Club Deportivo Laudio,3435
Tamanuku,1488
アビスパ福岡,20744
Al-Ansar (Beirut),22610
Hakoah Amidar Ramat Gan Football Club,8269
JS Kairouan,25325
Al-Sailiya Sports Club,25949
Northwood F.C.,3020
Racing Club Haïtien,9356
Football Club Iskra-Stal Rîbnița,4223
Аль-Вакра (футбольный клуб),11409
Club Atlético Huracán (Tres Arroyos),8972
ديلا غوري,4555
Real Potosí,30719
SD Salvatierra,870
Fotbal Club Nistru Otaci,2153
TSV Amicitia Viernheim,3880
C.D. Arcense,5684
Deportes Naval de Talcahuano,7442
Мажейкяй (футбольный клуб),2569
Akonangui FC,4062
"Беласица (футбольный клуб, Струмица)",7043
OC Vannes,9340
CSD Comunicaciones,16124
Colo Colo de Futebol e Regatas,9430
Dolina Padina,1073
Кортулуа,17476
Floridsdorfer AC,3090
Adelaide Blue Eagles,6481
BCF Wolfratshausen,4839
Olimpia Poznań,20740
AC Cattolica Calcio,2095
Chicago Soul FC,8763
FC Fastav Zlín,7173
CP Olivenza,4896
ウドーンターニーFC,3354
Тауро (футбольный клуб),28741
Olympique Club de Khouribga,9913
CD Alcoyano,4575
Club Deportivo Idoya,915
ギョズテペSK,11887
FCサムトレディア,3025
Ferroviário Maputo,50837
Club Deportivo INECEL,19472
ハノイT&T FC,21824
Changwon FC,13738
Al-Jazira Club,41378
CE Sant Gabriel (women),2
CSパンドゥリイ・トゥルグ・ジウ,21500
Sporting '89,2305
"Герта (футбольный клуб, Берлин)",73768
OFK Petrovac,1654
Amurrio Club de Fútbol,3988
Chonburi Football Club,8672
FKオレンブルク,7616
Real Club Deportivo Carabanchel,2
Hobro IK,7892
Podosfairiki Anonymi Etaireia Atromitos,10268
SPAL 2013,18223
BFC Preussen,5347
Club Oriental de Football,1835
Sociedade Esportiva Matsubara,49744
El Mansoura SC,19122
FC Khimik Novomoskovsk,5427
Vannes Olympique Club,10809
UD Pájara Playas de Jandía,2852
FK Karvan,5360
FK Anji Makhatchkala,25666
UE Llagostera,3741
Синара (мини-футбольный клуб),4474
FK Dečić Tuzi,2897
Witbank Spurs F.C.,20858
Chimik Dzierżyńsk,5546
FK Dečić,3012
Krung Thai Bank Football Club,24565
Football Club Jazz,11978
نادي اتحاد طنجة,46771
Сариньена (футбольный клуб),4039
Celta de Vigo,26495
Pakhtakor Futbol Klubi,30666
ساو كريستوفاو,7426
Шибеник (футбольный клуб),7769
Atlético Valdemoro,3038
Qviding Fräntorps Idrottsförening,4
Apollon Limasol,12722
Сьон (футбольный клуб),13265
V-Varen Nagasaki,20259
Депортес Толима,32729
Hapoël Petah-Tikva,12158
Каха Сеговия,2622
Castilla-La Mancha Fútbol Sala,3301
Carrick Rangers FC,5450
FC Torpedo Zhodino,2843
FC VSS Košice,8476
アミアンSC,10972
Hobro Idræts Klub,7640
"Спартак (футбольный клуб, Куба)",2165
Kruoja Pokroje,2178
DAC 1904 Dunajská Streda,16915
Stade malien,55625
Velež Mostar,7579
TSV Amicitia Viernheim,4060
FC Callatis Mangalia,4559
Yeedzin Football Club,26283
Депортиво Перейра,32223
نادي الباطن,3089
ENPPI Club,16976
Deportes Quindío,19783
Association Sportive Beauvais Oise,9657
Timersoqatigiiffik Nagdlunguak 1948,1925
Associazione Calcio Renate,2798
Дахук (футбольный клуб),29014
JK Viljandi Tulevik,2429
Nooit Opgeven Altijd Doorzetten Aangenaam Door Vermaak En Nuttig Door Ontspanning Combinatie Breda,17624
FC Astana,32939
Antalyaspor,35003
AD Atlética do Paraná,2783
Wołga Niżny Nowogród,17337
Beanibazar SC,14807
Benidorm Club de Fútbol,5476
Clube Ferroviário do Recife,5085
"Нистру (футбольный клуб, Отачь)",1966
大田コレイル,15418
نادي روان,12455
Inter de Tijuana,10922
CD Puerta Bonita,3687
Kawkab de Marrakech,50
Gibraltar United Football Club,4770
Heredia Jaguares de Petén,8876
Club Athlétique Bizertin,22190
Siderurgistul Galați,5214
FC Bülach,3441
Sampaio Corrêa FC,36590
Атлетико Букараманга,25778
Club de Fútbol Fuenlabrada,2299
"Черноморец (футбольный клуб, Новороссийск)",13436
Al-Masry,19074
Tractor Sazi F.C.,64166
Pachtakor Tasjkent,34007
Athlītikos Syllogos Olympiakos Volou 1937,8654
Haro Deportivo,3758
Olympique Nîmes,19054
Les Astres Football Club,28759
Kozani FC,3990
Fotbal Club UTA Bătrâna Doamnă Arad,2042
FK Lietava Jonava,866
FC Évian Thonon Gaillard,14450
Sporting Pizarro,12719
Vallecas Club de Fútbol,2475
バレンシアCF,52060
Club Atlético Douglas Haig,16290
Thể Công,21345
Monagas SC,48574
Al Kuwait SC,19675
AD Tarma,10209
Cobresol Moquegua,20341
FSV Zwickau,9502
Football Club La Chaux-de-Fonds,13064
Tarpieda-BiełAZ Żodzino,3260
ニューヨーク・シティFC,34212
SV Horn,3305
Club Atlético River Plate (Uruguay),5920
KMKM,4396
Comunicaciones Fútbol Club,17391
نادي بران,18295
Futbol'nyj Klub Dinamo Kirov,2242
Sport Unie Brion Trappers,6965
Nogometni Klub Zagorje,1061
Persela Lamongan,13220
Südwest Ludwigshafen,12500
FK Mladost Lučani,7559
A.F.C. Euro Kickers,23483
Siderurgistul Galați,5828
Power Dynamos Football Club,11114
West Ham United Football Club,62619
Real Noroeste Capixaba Futebol Clube,3822
Vancouver Whitecaps FC,22167
FKヴェレジュ・モスタル,6436
Clube Recreativo Desportivo do Libolo,8882
FC Hradec Králové,7660
Club Sport Águila,18487
維拉體育俱樂部,4977
Amiens Sporting Club,11154
Cardiff City F.C.,35528
Club Atlético San Martín (San Miguel de Tucumán),30423
Persatuan Sepak Bola Indonesia Bandung,37666
FK Sileks Kratovo,1762
كانو بيلارس,22142
FC Sankt Veit,2219
FC Yelets,8823
上奧里亞霍維察火車頭足球會,10166
Club Deportivo Palestino,13459
Skellefteå FF,1547
Земун (футбольный клуб),9624
比卓拿博布魯斯克足球會,3880
Hapoel Rishon LeZion,5830
Boca Juniors-Carolina,12518
川崎前鋒,25092
Associazione Calcio Ponte San Pietro-Isola,2225
NK Jadran Hrpelje-Kozina,1032
VfL Oldenburg,3512
Мюлуз (футбольный клуб),10912
Rionegro Águilas,14298
US Sainte-Marienne,1588
Lok Gorna Orjachowiza,10864
AFC Săgeata Năvodari,5119
Harland & Wolff Welders F.C.,3165
CD Llanes,2018
Pumas FC,20335
曼谷聯足球會,23773
Olympiakos Volos (Fußball),8488
Akonangui Fútbol Club,3686
FC Iskra-Stal Rîbnița,4499
Deportes Santa Cruz,5157
Centre d'Esports L'Hospitalet,6689
Club Deportivo Árabe Unido,3963
EGS Gafsa,11048
نادي السويق,13821
EGS Gafsa,11190
穆斯达圣约瑟夫足球俱乐部,17754
NK Svoboda Lublana,490
Orihuela CF,6351
AE Apollon Patras,3316
هيلينيك أفسي,4572
Sport Lisboa e Benfica B,2811
FC Avenir Beggen,5100
CF Vimenor,1581
FC Pajtakor Tashkent,38473
Free State Stars Football Club,20937
UD Villa de Santa Brígida B,839
Sport Huancayo,21028
Yeedzin F.C.,22958
İnter Peşəkar İdman Klubu,7763
Unió Esportiva Cornellà,1659
Unión Estepona,4109
格迪爾體育會,12249
UCAM Murcia CF,6129
Atlético Clube Goianiense,12397
Lombard Pápa Termál Futball Club,5188
Sanat Mes Kerman FC,15530
Racing Club Haïtien,9021
Clube Recreativo da Caála,10646
Borussia VfB Neunkirchen,21379
İnter Peşəkar İdman Klubu,8504
Sydney FC (Frauenfußball),45891
PSAP Sigli,13740
FUS Rabat,15959
Ascot United F.C.,1063
Sporting Clube da Praia,7499
Sport Victoria,7448
Delfines de Coatzacoalcos,4592
Орша (футбольный клуб),2943
ECペロタス,19710
VfR Pforzheim,10336
FC Amur-2010 Blagoveshchensk,13735
紐約紅牛,22913
普雷紹夫足球俱樂部,5011
Annfield Plain F.C.,3080
尼姆奧林匹克,17797
Deportivo Galicia,16027
Sportivo Italiano,7890
Sociedad Deportiva San Pedro,8730
نادي وحدت قم,3176
El Mansoura SC,19535
Central Coast Mariners FC (W-League),20508
AD Ceutí Atlético,940
Manta S.C.,17348
米卡足球俱乐部,7490
Аль-Кува,10425
FCコペル,4587
BC Augsburg,25040
Al-Arabi Sporting Club,26565
Brisbane Roar Football Club,54643
US Monastir,27418
Ferroviário da Beira,7
JKT Ruvu Stars,23695
NK Dugo Selo,289
Futebol Clube da Lixa,6028
FC Dinamo Batumi,5349
Indios de Ciudad Juárez,18988
A.S.D. Pol. Tamai,1197
SV Spittal/Drau,6237
Amed S.K.,1591
OFK Mladost Lješkopolje,1266
Asociación Fútbol Club Euro Kickers,24011
嘉莱黄英足球俱乐部,12814
Club Deportivo Colonia Ofigevi,1402
Marsa FC,3023
Kristianstads FF,5382
Népal Police Club,18997
ND Slovenj Gradec,1013
Deportes Antofagasta,22515
US Fiumana,8440
Гихуэло (футбольный клуб),1525
Navbahor Namangan,22105
Filathlo Somateio Kozani,4108
Znamia Truda Oriechowo-Zujewo,8100
Golden Arrows,10031
Hobro IK,7077
Club Olímpico de Totana,1505
Borussia Mönchengladbach,50800
Juventud Escuintleca,3171
Атлетико Малагеньо,1345
Berliner Fußball-Club Viktoria 1889,13273
Ilva Bagnolese,7636
Cambridge United Football Club,8679
Sestao River Club,9596
鲁维奥尼尤俱乐部,5036
カイザー・チーフスFC,94400
Roan United,7636
Tallinna FC TVMK,4615
彭亨足球協會,37357
聖喬治體育會,33073
Desportivo Maputo,4
Дайнава (футбольный клуб),3627
Sportsklubben Brann,19090
伊赫拉瓦足球俱樂部,4372
Ettifaq FC,26794
SO Cholet,733
Цуг-94 (футбольный клуб),4796
Club Deportivo Don Benito,3804
Пахтакор (футбольный клуб),34144
SC Mineiro Aljustrelense,4155
Coria Club de Fútbol,6386
JK Tulevik Viljandi,2343
Holwell Sports F.C.,927
MFK Karviná,5341
Centro Ítalo Fútbol Club,14761
Enköpings SK,4497
Club Deportivo Alhaurino,1617
AO Itabaiana,14506
Colchagua Club de Deportes,5104
SDC Putten,3
Salahaddin FC,10039
نادي ناساف كارشي,14448
Toulouse Fontaines Club,2039
Ribarroja Club de Fútbol,3375
Futbol'ny Klub Naftan Navapolack,5301
FK Ienisseï Krasnoïarsk,22356
Yeni Malatyaspor,13330
GKS Tychy (Fußball),16593
格勒迪希足球俱樂部,4115
迪利然脉冲足球俱乐部,1265
Авеш (футбольный клуб),4889
نادي أوسبيتاليت,6903
FCラ・ショー＝ド＝フォン,12868
Club Deportivo Orientación Marítima,7290
Associazione Sportiva Dilettantistica Oplonti Pro Savoia,11061
SVホルン,3346
Agrupación Deportiva Unión Adarve,907
Club Comunicaciones,3606
Kawkab Marrakesch,45
Sandefjord BK,7560
SV Wilhelmshaven,7571
Cork Hibernians Football Club,27020
考納斯競技足球俱樂部,1
Альдосиви,38584
AD Carregado,986
CA Candeleda,2158
Оспиталет (футбольный клуб),7390
長崎成功丸,18880
Nea Kavala F.C.,10971
FC Clifton Hill,2080
阿比讓非洲體育會,19168
FC Smena-Zenit,21537
"Текстильщик (футбольный клуб, Камышин)",9596
Topos de Reynosa FC,27624
Ashanti Gold S.C.,32404
Club Deportivo Pozoblanco,3638
万卡约体育,22296
Omladinski Fudbalski Klub Petrovac,1718
PFK Turan Tovuz,10060
FC Zimbru Chișinău,9874
FC Basel,36526
Alto Rendimiento Tuzo,959
"Córdoba Club de Fútbol ""B""",3147
Marsa Football Club,3091
Cheongju FC,20347
Vallecas CF,2389
Manchester Central,6386
FC Tskhinvali,1462
FC Dynamo Vologda,10898
Club Defensores de Cambaceres,8696
نادي دهوك,28163
Оран (футбольный клуб),44900
Guarani Esporte Clube (Minas Gerais),5049
Górniczy Klub Sportowy Bełchatów,5072
Club Deportivo Sariñena,4291
F. C. Basel,34351
Torhout 1992 KM,2028
نادي الأنصار (لبنان),21210
NK Olimpija Ljubljana (extinto),8676
Football-Club Bex,2271
IFK Hässleholm,6260
Atlético Clube Goianiense,12956
Ayr United F.C.,1628
泰港足球會,11013
Adelaide United Football Club,16711
卡域克流浪足球會,6399
Al Hala Sports Club,10363
FK Gaber,501
Qviding FIF,4
伊提洛爾足球會,23869
الترجي الرياضي الجرجيسي,7279
Young Buffaloes FC,5334
Apollon Limassol,12265
Аделаида Юнайтед,16688
CD Comarca de Níjar,2800
FKスタル・ドニプロゼルジーンシク,2703
Keilor Park SC,2030
Futbol'nyj Klub Čita,13600
プラチュワップFC,7422
FC Wiltz 71,1994
Werder Bremen,39834
Klubi Futbollit Adriatiku Mamurrasi,1010
Deportivo Azogues,9945
Moadon Kaduregel Maccabi Herzliya,8456
KS Flamurtari Vlora,9698
Kalmar AIK FK,8490
Yeni Malatyaspor,12458
FC New York,5198
"Аль-Ахли (футбольный клуб, Дубай)",8838
FC Spartaki Zchinwali,1506
Middelfart G&BK,4611
SC Apolda,6498
Dynamo Czeskie Budziejowice,6966
Warrenpoint Town F.C.,1311
FC Shurtan Guzar,7497
Yangon United F.C.,3314
Sportclub Young Fellows Juventus,2985
Al-Ahli Club,8825
陸軍聯足球會,19928
Руан (футбольный клуб),11673
Dhaka Mohammedan,35748
МАС Фес,42400
PFC Dobroedzja Dobritsj,13067
FC Aarau,9140
Football club municipal d'Aubervilliers,2487
Erbil SC,34567
كارديف سيتي,31099
Entente Sportive de Sétif,25857
Jerez CF,2617
Aswan SC,21886
Notre Dame SC,14285
Cobán Imperial,14840
FC Porto B,7953
Associazione Sportiva Dilettantistica Tritium Calcio 1908,3191
"Атромитос (футбольный клуб, Афины)",11556
Cultural Deportiva Guarnizo,2934
Hapoel Kefar Saba,6316
Polonija Vilnius,5482
Guarani Esporte Clube (Ceará),16691
FK Sutjeska Nikšić,5913
Zanaco FC,9764
Yokohama Flügels,16947
CD Lugo,7891
Forfar Athletic,703
FC Milsami Orhei,2512
Futebol Clube de Felgueiras,6941
Adelaide United (Frauenfußball),2659
C.D. Con Con National,2
Ball-Club Farchet Wolfratshausen e.V.,5657
Poitiers FC,11900
アル・アハリ・ドバイ,8554
F.C. Niutao,1638
FC Darida,6283
SSV Jahn Regensburg II,4294
Dunakanyar-Vác FC,12274
Basler Sportclub Old Boys,7395
Fussballclub Baden,6808
Club Atlético Douglas Haig,16674
アル・ジャイシュ・ダマスカス,30178
Football Club de Rouen 1899,11181
FC Tuggen,2749
Vannes Olympique Club,10054
拉達陶裡亞蒂足球會,17641
V-Varen Nagasaki,20694
FC VSS Košice,8939
Hertha Berliner Sport-Club,77048
UD Barbastro,4505
Defensores de Belgrano Villa Ramallo,2988
希伯尼安斯足球俱乐部,3652
Shahrdari Tabriz F.C.,5166
FC YPA,583
Union sportive Avranches Mont-Saint-Michel,844
Hartlepool United FC,8872
Sociedad Deportiva Lagunak (femenino),969
Enköpings Sportklubb,4609
Albinegros de Orizaba,6265
JEF United Ichihara Chiba Ladies,14155
Ettifaq FC,26425
FC Chindia Târgoviște,10802
Corporación Deportes Quindío,20239
Looktabfah F.C.,18051
West Ham United Football Club,59319
FK Lietava,951
Igreja Nova Futebol Clube,5058
FK AS Trenčín,3317
ジローナFC,8278
FK Sirijus Klaipėda,8746
Hvidovre IF,12114
V-Varen Nagasaki,19857
Boyacá Chicó Fútbol Club,20640
Sestao River Club,8282
Al-Hedood FC,10089
SV Wilhelmshaven,7580
Carolina RailHawks Football Club,9261
CD Mengíbar,1823
Icasa Juazeiro do Norte,20608
Kossa FC,23709
Clube Recreativo da Caála,9753
チャイナートFC,11598
Cork Hibernians F.C.,24595
CD Domingo Salvio,11116
Wuhan Zall F.C.,21198
NK Zagorje,1102
Рюмеланж (футбольный клуб),2786
Club Atlético River Ebro,3295
Unió Atlètica d'Horta,5529
Fudbalski Klub Belasica,7289
Форфар Атлетик,651
FC Berne,14571
نادي القوة الجوية,9653
FK Qäbälä,1923
Влазния (футбольный клуб),16729
Central Español Fútbol Club,5782
Vasas SC,18367
Rionegro Águilas,13165
Diwaniya FC,5309
NK Višnjevac,1431
Rheindorf Altach,8621
Club Deportivo Huachipato,9934
Kjelsås Fotball,1628
Chamois Niortais F.C.,10236
José Gálvez FBC,24112
CD Elá Nguema,15257
Football Club de Rouen 1899,12731
International Marine Incorporated Fútbol Club,7691
FK Velež,7173
Zanaco Football Club,9319
Albinegros de Orizaba,7566
Club Deportivo Aoiz,2017
Mouloudia d'Oujda,31421
Диошдьёр (футбольный клуб),12451
Club Deportivo Alcoyano,4246
CS Duguwolofila,8571
Action 21 Charleroi,3156
杭州绿城足球俱乐部,55377
CD Santa Eugenia,517
FC Valenciennes,23830
SC Olhanense,6392
Club Deportivo Artístico Navalcarnero,1440
Olympique Club de Safi,17143
Club Deportivo Jorge Wilstermann,39419
Al-Jazira Club,39493
Army United,18868
FC Dinamo-2 Minsk,1391
Dili Leste,5386
بوروسيا مونشنغلادباخ,49417
JEF United Ichihara Chiba,19165
FK AS Trenčín,3425
Racing Club Haïtien,9777
Aravaca CF,2148
Viljandi Tulevik,2331
C.D. INECEL,20076
Club Irapuato,30968
Red Bull Ghana,1074
Urawa Red Diamonds Ladies,20412
SO Cholet,755
Progrès Niedercorn,4471
Jeunesse Esch,3848
Pärnu Linnameeskond,1493
Dinamo Kirow,2130
Runcorn Linnets F.C.,1520
Club de Deportes Coquimbo Unido,17723
Sportsklubben Brann,16351
Al-Suwaiq,15984
Stade Malien de Bamako,66815
Al-Khor SC,11606
Hapoel Petach Tikwa,11782
名門世家加義,1669
エヴィアン・トノン・ガイヤールFC,13808
Municipal Real Mamoré,10915
Vasas SC (piłka nożna),15755
نادي أسوان,20433
U.S.D. 1913 Seregno Calcio,3975
Tarpeda-BelAZ Zjodzina,2877
FC Arda Kardzhali,27769
FC Gloria Buzău,18138
MFK Zemplín Michalovce,4356
FC Vysočina Jihlava,3992
Real Cuautitlán,3921
Koninklijke HFC,1016
Atletas Kowno,1
Futbol'nyj Klub Baltika,15842
Arab Contractors SC,33625
نادي الشارقة,12365
VfL Herzlake,6986
Vancouver Whitecaps FC (2009),22280
VfL Neckarau,6155
Nistru Otaci,2073
デポルテス・キンディオ,21630
FK Mladost Apatin,2778
Каравака (футбольный клуб),1839
Gaborone United Sporting Club,23268
FK Kruoja Pakruojis,2083
Union Sportive Monastir,25684
ENPPI Club,16376
TJ Sokol Dolná Ždaňa,889
Gaborone United,24631
Club Atlético Pulpileño,1953
Aiglon du Lamentin,8596
Sporting Club de Huelva,785
Volga Nizjni Novgorod,18079
نادي سبال,18169
塞提夫協定體育俱樂部,22525
PAE Ergotelis Héraklion,24668
Klubi Sportiv Vllaznia,15589
ДАК 1904,15689
Luparense Calcio a 5,854
利亚戈斯特拉体育联盟,4073
Millwall Lionesses Ladies Football Club,18281
Ferrocarril Urquiza Buenos Aires,1086
Пауэр Дайнамоз,13660
Club Atlético Progreso,8652
Unión Deportiva Las Zocas,2698
FK Zemun,10275
維京加高泰,1827
Trélissac FC,2950
Muleño Club de Fútbol,1890
Hapoel Ramat Gan Giv'atayim Football Club,40050
Albinegros de Orizaba,7130
Inter de Tijuana,12412
Ферровиариу ди Мапуту,43757
Football Club Mantois,4881
Sriwijaya FC,24973
FK DAC 1904 Dunajská Streda,16148
AD Alcorcón,6120
ES FC Malley,3383
Desportivo Brasil,13871
Salalah SC,13232
FC Milsami,2845
AC Renate,2995
Saham Club,19559
"Ривер Плейт (Клуб Атлетико, Монтевидео)",6795
Rising Stars F.C.,16384
Club Deportivo Marte Soyapango,1011
ملادوست بودغوريتسا,1923
Naftan Nawapolazk,5355
Al-Olympic (Zawiya),7919
Red Bull Ghana,918
Blauw-Wit Amsterdam,2096
FC Dürrenast,10004
Sriwijaya Football Club,21799
NAC Breda,19149
PFC Svetkavitsa Targovishte,8462
Club Deportivo Marchamalo,1823
Ayamonte Club de Fútbol,5601
1461 Trabzon,6395
Petrol Ofisi SK,5554
Бани Яс,10040
Hà Nội T&T F.C.,21599
Araklıspor,1329
Glasgow City Football Club,10093
Agrupación Deportiva Sala 10,2269
Stade Tunisien,18874
Kano Pillars Football Club,24319
FC YPA,599
FC Hradec Králové,8021
DRB-Hicom F.C.,3082
Yeedzin Football Club,24228
Amed SK,1426
Shkëndija Tetowo,14050
Jönköpings Södra Idrottsförening,5692
Delfines de Coatzacoalcos,5390
نادي المريخ,48535
BSV Halle-Ammendorf,10741
Cambridge United Football Club,7679
Inter Club Brazzaville,35769
Unión Deportiva Mutilvera,981
Difaa El Jadida,15837
Albirex Niigata,41860
FBグルベネ,1540
Zayar Shwe Myay Football Club,4653
S.C. Olhanense,5145
Al-Nesoor SC,15286
Nepal Police Club,19798
Kaizer Chiefs,90991
Athlétic Club Amiens Football,1310
Mladost Podgorica,1745
Swindon Supermarine F.C.,3198
Olympic Real de Bangui,33127
FC Stal Kamianske,3006
Gryphons de London,2937
New York Red Bulls,21704
Deportes Tolima,27455
Феррокарриль Оэсте,23785
格拉纳达足球俱乐部,24301
Zimbru Kiszyniów,8988
FC Zestafoni,5216
FC Baden,7780
Real Saltillo Soccer,10404
NA Hussein Dey,21263
"Заря (футбольный клуб, Бельцы)",6090
Carshalton Athletic F.C.,4992
FC Chiasso,10160
Free State Stars,19566
Hvidovre IF,12890
FK Dainava Alytus,3677
SC Erebuni Dilijan,1273
FC Santa Claus,4490
Virginia Beach Mariners,10068
Randers Sportsklub Freja,11710
Granada Club de Fútbol,25149
نادي كارنتين,30516
KS Vllaznia Shkodër,15580
CA Cirbonero,945
UD Mérida,14163
VV Sparta Nijkerk,5317
Al Jaish Damas,30488
Puerto Real Club de Fútbol,2490
卡爾夏登競技足球會,5058
FK Zemun Belgrado,9307
Union Sportive de Boulogne,14268
Inti Gas Deportes,16285
FC Mulhouse,10726
Torpedo Schodsina,3010
Valencia CF,61649
KSディナモ・ティラナ,9304
地拉那戴拿模體育會,9598
نادي سونغ لام نغي أن,17686
Burnham Ramblers F.C.,2150
Persita Tangerang,25355
Coquimbo Unido,17750
Colorado Caribous,68878
Pahang F.C.,41484
Nagdlunguaq-48,1888
Porto Alegre Futebol Clube,558
Daejeon Korail FC,19656
Budapesti Vasutas Sport Club-Zugló 1911,3965
