http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/numberOfStudents
Mountain View High School (Washington),1731
Christian Brothers Academy (New Jersey),977
Blackhawk School District,2506
Университет Ганы,36606
Dwight Morrow High School,1072
Harvard Graduate School of Design,173
Universidad de Suazilandia,5845
Martin Luther King High School (Philadelphia),1174
Clackamas Web Academy,419
Perpetual Help College of Manila,3970
Howden School,692
James Logan High School,3930
Ramapo High School (New York),1416
Greenwood High School (Arkansas),835
Università Pierre e Marie Curie,32248
Università di Alcalá,22375
纽约大学法学院,1662
North Clackamas Christian School,264
Wingate University,3289
Monroe Township High School,1970
Milpark Education,2961
Неаполитанский университет,78878
Hunters Lane High School,1627
Université polytechnique de Saint-Pétersbourg,29925
チャルマース工科大学,10632
Milo Adventist Academy,86
Université technique de Lisbonne,21922
Iowa State University,36665
Columbia University,28509
Thomas Deacon Academy,2151
Bob Jones High School,2082
Belorussische Staatliche Universität für Informatik und Radioelektronik,17065
Rocky Mountain College,871
West Pictou Consolidated School,451
Harvard Extension School,23927
Dakota State University,3122
Университет Анкары,44695
University of Dar es Salaam,20138
Newport High School (Pennsylvania),372
University of Cuenca del Plata,1931
サンクトペテルブルク国立鉱山大学,15745
Edmonds Community College,12117
Longfields-Davidson Heights Secondary School,2034
Национальный университет Узбекистана,10138
جامعة جوزيف فورييه,16259
Cherry Creek High School,3332
Center for Transnational Legal Studies,60
California Institute of Technology,2311
Yuba College,6856
Ewha Womans University,19798
Little Heath School,1762
Marian University (Wisconsin),2248
"Prince of Wales' College, Moratuwa",5247
Testbourne Community School,783
Университет Ниццы — Софии Антиполис,24042
North Shore Country Day School,548
NMBU,5122
Rochester High School (Michigan),1537
釜慶大學,26627
Collège Montmorency,7374
جامعة ساساري,13588
Lakeshore Collegiate Institute,785
I-Shou University,16672
Prince Edward School,1181
KIIT International School,86
Cherry Hill High School East,2179
Università Statale di Ingegneria dell'Armenia,10161
Clements High School,2567
Université Paris-Ouest-Nanterre-la-Défense,33006
Argyle House School,189
Dakota County Technical College,2970
Stetson University College of Law,1018
جامعة أرمينيا الحكومية للهندسة,10030
Брненский технический университет,23135
Madison Consolidated High School,1060
Interboro School District,3576
Lawrence High School (Kansas),1437
Bristol Law School,1720
Crossroads Christian Academy,299
Universidade MCPHS,7169
Hollywood Hills High School,2366
Università Politecnica di Bucarest,25757
William Horlick High School,12
Farragut High School,1653
Riverview High School (Pennsylvania),798
Harvard Business School,1944
Boyd-Buchanan School,811
Universiteit van Niš,25660
Chesapeake College,2600
Université d'Erfurt,5864
"National University ""Yaroslav the Wise Law Academy of Ukraine""",22721
Nicolet High School,1283
"Wellington High School (Wellington, Florida)",2246
Lille Catholic University,25872
Finanzuniversität der Regierung der Russischen Föderation,80247
Shirley High School,902
Waterloo High School (Ohio),465
Cannons Creek Independent School,410
San Bernardino Valley College,12455
Grand Island Senior High School (Nebraska),2496
North Providence High School,1264
Universidad Del Pacífico – Ecuador,1559
Institut national des sciences appliquées de Rennes,1677
Glenbard South High School,1406
North Gwinnett High School,2865
جامعة نبراسكا كلية الطب,3966
Collège-lycée Ampère,1167
Banbury Academy,960
"Canyon High School (Anaheim, California)",2303
Cayuga High School,202
École Mohammadia d'ingénieurs,502
De Shalit High School,2328
Scissett Middle School,591
North Scott High School,994
"Hudson Catholic High School (Hudson, Massachusetts)",121
Wit-Russische Staatsuniversiteit,45016
École des Pionniers (British Columbia),386
أكاديمية الوصول الدولية في نينغبو,152
E. C. Drury High School,934
Технический университет Эйндховена,6977
The Wellington Academy,1026
伍德罗·威尔逊高中,1987
جامعة كينت,29073
University of Gabès,23245
Lackawanna College,1430
大阪府立大学,8262
Universidad de Tamkang,27855
St Boniface's Catholic College,840
St. Vincent's High School,3625
أكاديمية أدفنتيست (هونغ كونغ),105
El Modena High School,2091
Heller School for Social Policy and Management,544
DeSoto High School Freshman Campus,783
Amelia High School,1050
Arizona State University,13342
McLoughlin High School,501
William E. Macaulay Honors College,1967
University of Bielsko-Biała,7748
San Diego Continuing Education,41433
Universidade Estadual de Ohio,61127
ケント州立大学,41000
Universidade da República,76322
St. Francis Catholic Secondary School,797
Silver Lake College,10
Humphreys College Laurence Drivon School of Law,147
亞利桑那州立大學,52156
Grey High School,820
Universidad Regiomontana,8019
Jackson County School Board,7689
Northern University High School,374
Universidad de Luxemburgo,6254
Sparks High School,1117
"Heathfield School, Ascot",188
Clifton School (South Africa),768
Северо-Восточный федеральный университет,15485
Roosevelt High School (Seattle),1889
Coronado High School,1578
Aeronautical Institute of Bangladesh,285
Herbert Hoover High School (Virginia Occidental),765
Centennial Collegiate,1032
Bronzeville Scholastic Institute,424
Mansfield Timberview High School,1673
Université d'État de l'Arizona,3726
Universidad de la República,79597
"University of Kiev Faculty of Radio Physics, Electronics and Computer Systems",570
Metropolitan South Institute of TAFE,28824
聖十字學院,2653
Purchase Line School District,1084
Ulster University at Coleraine,5175
North Davidson High School,1799
North Columbia Academy,29
Avalon School (California),661
Grinnell College,1643
Università statale dell'Arizona,13154
Holmen High School,1151
Merit Academy,619
Thunder Mountain High School,698
Red Lake Senior High School,299
エラスムス・ロッテルダム大学,27459
Fulneck School,441
University Centre in Svalbard,520
"Cardinal Mooney High School (Youngstown, Ohio)",472
McDonogh School,1311
Nevada Union High School,1270
Eureka High School (Illinois),516
Craigholme School,309
Howard School of Academics and Technology,392
Universiteit Osnabrück,10977
Academia de Artes da Islândia,470
Wuhan Sports University,11755
West Calder High School,971
Университет ИТМО,11939
Armand Hammer United World College of the American West,24
Universität Luxemburg,6487
Red River High School,1096
Akureyri Junior College,750
Donhead Preparatory School,271
Escuela de Santa María (Puerto España),1255
Universidad de Deusto,1920
"Sherman Junior/Senior High School (Moro, Oregon)",131
圣乔治学校 (温哥华),1103
Fort Benton High School,110
Abbotsholme,280
Internationale Staatliche Ökologische Sacharow-Universität,1314
Université IUAV de Venise,4936
Universität für Finanz- und Wirtschaftswissenschaften Nordostchinas,19744
"Stanborough School, Welwyn Garden City",1089
Khulna University of Engineering & Technology,4175
Universidad de La Salle (Bogotá),15
Barry College,10300
جامعة الطب وطب الأسنان في نيوجيرسي - مدرسة طب روبرت وود جونسون,545
Dr. Phillips High School,3730
Ravenswood High School (East Palo Alto),814
Akademia w Sorø,430
Bulacan State University,30766
The Heath School,999
University of Hawaii,48862
ルーヴェン・カトリック大学,53725
Princeton University,8324
Winsor School,411
جامعة لوتزرن,2682
Evansville Christian School,581
Universidad San Francisco de Quito,5495
"University High School (Waco, Texas)",1528
Durban Universiteit van Technologie,26194
NED University of Engineering and Technology,8183
考纳斯理工大学,10183
"Riverside High School (Lake County, Ohio)",1085
Universidad Estatal del Delta,3160
Санкт-Петербургская художественно-промышленная академия имени А. Л. Штиглица,1553
Busan Arts College,782
Rock Falls High School,658
Line Mountain Jr./Sr. High School,319
جامعة فريزر فالي,15290
Haddonfield Friends School,147
Cambria Heights School District,1425
Университет Корвина,13840
Universidade Carlos III de Madrid,18323
Loretto School,633
"Maryvale High School (Phoenix, Arizona)",3110
New York University School of Law,1662
カンザス州立大学,23052
Université de technologie centrale,12772
Université Nicolas-Copernic,30423
Southern Okanagan Secondary School,600
Université du Pendjab (Lahore),45545
Università di Macquarie,38318
哈佛商学院,2050
Hanson Memorial High School,300
福島大學,4503
St. Thomas High School (Quebec),1355
College of the North Atlantic,7873
San Antonio Academy,335
معهد هنري الرابع,1898
Universidad de Princeton,8421
Glenalmond College,391
Waipahu High School,2493
Universität Panthéon-Assas,17780
جامعة ستانفورد,15412
Euclid High School,2218
Institut International de Lancy,1425
Kasetsart University Laboratory School,4530
Bismarck State College,4253
ハバナ大学,24851
West Florence High School,1812
Universidade Campus Biomédico,1678
"Providence Academy (Plymouth, Minnesota)",942
جامعة تيرامو,10102
St Ambrose College,963
Rosewood High School,557
Escuela de Derecho de la Universidad Emory,791
Glenforest Secondary School,1362
Bowie High School (Maryland),2473
Ohio Northern University,3787
Westfield High School (Virginia),2872
New Smyrna Beach High School,2123
University of Ghana,36956
Midstate College,717
Wink High School,149
Heritage Christian Academy (New Jersey),74
Universität der Algarve,9414
Universidad de Teramo,10116
Erasmus Universiteit Rotterdam,26058
BPP Law School,5715
兵庫県立大学,6361
哈佛大学文理研究生院,3903
Northwestern Oklahoma State University,2387
Pontifícia Universidade São Tomás de Aquino,998
Iceland Academy of the Arts,446
San Marcos Baptist Academy,260
Greenwood High School (Texas),516
Universidad de Niza Sophia Antipolis,25927
Logan University,985
Université de Tsukuba,17244
McCluer South-Berkeley High School,2840
University of Illinois at Chicago College of Dentistry,401
High School of Fashion Industries,1821
Marymount International School Barranquilla,1390
Technical University of Liberec,8986
Westhill High School (Connecticut),2270
Università degli Studi dell'Insubria,9
Westonbirt School,210
聖帕特里克中學 (芝加哥),833
Choctawhatchee High School,2007
Great Lakes Christian College,239
Kahili Adventist School,27
Baden-Württemberg Cooperative State University,34156
Burscough Priory Science College,728
Archbishop Edward A. McCarthy High School,1544
Anderson County High School (Kansas),567
Loganville High School,2008
Narodowy Uniwersytet Uzbekistanu,9877
Newbury Manor School,43
St. Augustine Preparatory School,692
Lawrence Academy (North Carolina),275
British School in the Netherlands,2186
Black Mountain College,1220
Université de San Francisco,10831
University of Luxembourg,6525
Indian Institute of Management Kashipur,268
Island Trees High School,863
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,10604
Hyundai Chungun High School,526
Coldwater High School (Ohio),465
École de l’Air,477
Harvard Business School,2096
Distrito Escolar Independiente de Tyler,17606
Spring Grove Area School District,4002
Stanford University Online High School,663
Salesian High School (New Rochelle),506
Evansville Lutheran School,189
圣玛丽瑞肯高中,687
Fort Hays State University,13975
جامعة كولومبيا,1939
Siletz Valley Early College Academy,63
"Sacred Heart School (Saratoga, California)",254
University of Łódź School of Polish for Foreigners,363
Universidad Cristiana de Abilene,4504
Catholic University of Pusan,1259
Dowdales School,1058
University of Seoul,11267
Belgrade-Brooten-Elrosa High School,365
Universidade Federal do Ceará,34
ワーナー・パシフィック大学,1284
Cox School of Business,624
Высшая школа социальных наук (Франция),2889
维克弗斯特大学法学院,534
Saint Benedict at Auburndale,1029
Woodham High School,743
St. Lawrence's Boys School,1031
Dominican College Sion Hill,404
デウスト大学,7881
"David Crockett High School (Austin, Texas)",1417
Колумбийский университет,1973
Arizona State University,13705
New City School,345
Chittagong University College,1560
Universidad del Santo Espíritu de Kaslik,7601
Università Claude-Bernard Lyon 1,33783
Yerevan Brusov State University of Languages and Social Sciences,3836
Beechwood Sacred Heart School,409
"Andrew Jackson High School (Kershaw, South Carolina)",577
Chantilly High School,2674
Universität Oradea,20783
Charleston School of Law,427
St Dunstan's College,906
Stony Point High School,2607
Université libanaise,67956
Universidade Marie Curie Sklodowska em Lublin,25658
Macquarie University,39560
Universidad de Mesina,22323
"Dhaka University of Engineering & Technology, Gazipur",2224
Alchesay High School,578
Baltimore Independence School,130
St. Andrew's Priory School,528
Martin County High School,1989
Florida International University College of Law,491
South Point High School (North Carolina),1043
Midd-West School District,2363
Manas University,5573
Charles Herbert Flowers High School,1999
Uniwersytet Damasceński,209163
Akademia Sztuk Pięknych w Wiedniu,1262
Wren Hollow Elementary School,434
Papua New Guinea University of Technology,3138
Del Rosario University,12617
جامعة جنوب فلوريدا,46514
Victory University,1919
Universidade Toyo,30467
Blue Mountain High School,800
Woodbridge College,913
Geneseo High School,852
Concord High School (Arkansas),180
جامعة جريجوري ت. بوبا للطب والصيدلة,11483
Collegium Civitas w Warszawie,2016
Collège Édouard-Montpetit,15859
江南大学,30376
Laguna College of Art and Design,555
Sciences Po Aix,1906
Université de médecine de Lublin,6507
Universidad del Cauca,12885
European University Cyprus,5130
Arts Academy in the Woods,310
جامعة باوهاوس (فايمار),3985
Universidade do Estado do Arizona,3693
Institut polytechnique des sciences avancées,1520
"Universidade de Roma ""La Sapienza""",107220
Holy Cross School (New Orleans),1029
Windfern High School,200
Therfield School,946
Lakeshore High School,866
東西大学校,11910
Asian Computer College,999
The Holmesdale School,869
TC Beirne School of Law,2073
Mallard Creek High School,2299
Hamilton High School (Texas),264
University of Economics and Innovation,12468
UIUC School of Information Sciences,125
Technische Universität Durban,26011
Newburgh Free Academy,4077
Colton High School (California),3335
Maghull High School,1304
West Greene School District,827
Massachusetts Institute of Technology,10889
Canarsie High School,2931
Mount Morris Consolidated Schools,675
V. J. and Angela Skutt Catholic High School,567
马德里理工大学,36563
Katholische Universität von Temuco,9329
Даугавпилсский университет,4346
Claude Bernard University Lyon 1,33402
Dagfa House School,229
Berkeley Carroll School,927
Bristol Gateway School,82
Bridgton Academy,176
Abbotsholme School,288
Rushville Consolidated High School,802
Universidad de Tsukuba,15898
"St. Elizabeth High School (Wilmington, Delaware)",448
Universiteit van Mauritius,11813
Université Mount Saint Vincent,4151
Universidade Técnica de Lisboa,21412
Norwegian University of Life Sciences,5229
Islamic University in Uganda,6008
東華三院吳祥川紀念中學,1039
Chippewa Secondary School,676
Università di Tecnologia e di Economia di Budapest,21116
Universidade Federal do Estado do Rio de Janeiro,8339
Phillips Community College of the University of Arkansas,2423
Quintin Kynaston Community Academy,1276
Connellsville Area School District,5193
"Bloomfield High School (North Bloomfield, Ohio)",149
Maynard H. Jackson High School,943
George Bush High School,2314
Sir Francis Drake High School,999
Southern Illinois University Edwardsville,13623
كلية الأطباء والجراحين بجامعة كولومبيا,741
Université de Karachi,96117
Stouffville District Secondary School,1249
Universidad de los Andes (Chile),8335
Thomas Bennett Community College,1295
Central York School District,5548
弗吉尼亞州立大學,5757
Windesheim University of Applied Sciences,21472
Institut de technologie Lamar,3136
Universidade da Costa Rica,44
アルボルズ・ハイスクール,1623
College of Management Academic Studies,11570
Berner Fachhochschule,6619
Newport Independent Schools,1864
Universidad de Aviñón,7461
"Anglo Chinese School, Klang",793
South Anchorage High School,1426
"The Martin High School, Anstey",654
Selinsgrove Area High School,811
Centro Nacional de Educación a Distancia,121273
Imi-Nova International Management Institute,1926
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,10437
Chungbuk National University,18128
St Teilo's Church in Wales High School,1485
"St. Xavier's School, Durgapur",1140
Cantell School,959
"St Thomas More Catholic School, Nuneaton",915
Tigard High School,2049
جامعة هامبورغ,43406
Cameron County School District,652
Туркменский государственный институт экономики и управления,3144
Goodland Academy,39
Uniwersytet Marii Curie-Skłodowskiej w Lublinie,26266
Belle Vernon Area School District,2442
Prempeh College,2032
Bennett Memorial Diocesan School,1534
Escuelas Públicas de Dalton,5538
Kettle Moraine Lutheran High School,386
Twin Rivers Unified School District,28018
Papieski Uniwersytet Świętego Tomasza z Akwinu,988
Butte Falls Secondary School,89
Université de l'Indiana,115303
Katy High School,3038
Université de Nice - Sophia Antipolis,26194
University of Calabria,34693
Albina Youth Opportunity School,55
مدرسة طب برودي في جامعة شرق كارولاينا,467
Friendship Collegiate Academy Public Charter School,1334
The Craig School,139
"St. Xavier's College, Kolkata",7946
École normale supérieure Paris-Saclay,1341
卡拉奇大学,97399
プリンストン大学,8039
Mapleton Junior/Senior High School,77
Yorkville High School,1698
Mountain Ridge High School (Arizona),2214
Hochschule Wismar,10983
"John Carroll Catholic High School (Birmingham, Alabama)",651
Universidad del Aconcagua,2692
Meade Senior High School,2065
International University of Management,8134
Aquinas High School (Nebraska),129
Shandong University of Traditional Chinese Medicine,17756
IAE Paris,1729
جامعة أنقرة,44135
The Hundred of Hoo Academy,1698
Haines High School,89
Harvard Graduate School of Education,883
École nationale supérieure d'ingénieurs de constructions aéronautiques,522
Father Michael McGivney Catholic Academy,1376
南加利福尼亞先鋒大學,2518
Mersin Üniversitesi,28
Sarasota Military Academy,877
Saint John's International School (Malaysia),412
Brashear High School,1514
University of Michigan School of Information,463
Rye Neck High School,436
James Madison High School (San Antonio),3291
Университет Папуа — Новой Гвинеи,14658
Spartanburg Day School,434
Bacone College,904
جامعة لوفان الكاثوليكية,56598
Ion Ionescu de la Brad University of Agricultural Sciences and Veterinary Medicine of Iași,4120
Sagornal Senior Alim Madrasha,477
Лундский университет,39603
Naval Justice School,143
University of Akron School of Law,533
Barrie North Collegiate Institute,1250
Uniwersytet Acadia,4198
Cape Breton Highlands Education Centre,352
Central Catholic High School (Massachusetts),1319
Université de La Réunion,12232
Pontifical University of Saint Thomas Aquinas,1026
"College of Engineering, Pune",3953
"Cardinal Newman High School (Columbia, South Carolina)",441
EHOVE Career Center,806
Bucks County Community College,4068
Escuela de negocios Harvard,2064
Yoncalla High School,207
Coudersport Area School District,878
"Columbus High School (Columbus, Nebraska)",1179
Université nationale Taras-Chevtchenko de Kiev,20255
Université de médecine et pharmacie Grigore T. Popa,12385
Loretto School,622
俄罗斯联邦政府财政金融大学,79497
Eastern Institute of Technology,4511
"Redhill School, Stourbridge",1150
Southwestern Christian University,832
"Grace Academy, Solihull",1090
Bhagwan Parshuram Institute of Technology,1558
Conservatorio de Maastricht,630
Universidad de Primorska,5513
Mary G. Montgomery High School,2098
Brooklyn Friends School,867
جامعة ساليرنو,33019
Pine Ridge Secondary School,1397
Universidad Nacional de San Antonio Abad del Cusco,14704
Central Penn College,1466
Patapsco High School and Center for the Arts,1423
West Rusk Independent School District,828
Hope Christian College,624
Bowie High School (Arizona),17
Central York School District,5963
Gloucester School,502
Tenafly High School,1175
جامعة قرطاج,48362
Beirut Arab University,14506
State Elementary School Pondok Kelapa 09 Pagi,379
Bilton School,989
Université du Colorado à Denver,17933
Maumee Valley Country Day School,494
卓克索大學,25073
Pendekanti Law College,680
Perry Hall High School,2105
Universidad de Túnez,27969
Thomas Goode Jones School of Law,305
International School of Kraków,233
Archbishop Rummel High School,693
Sacred Heart-Griffin High School,812
Aki Kurose Middle School Academy,780
Waco High School,1663
和歌山大學,4259
Alexander Hamilton High School (Los Angeles),3117
Saint Dominic Academy (Maine),585
"Delta Secondary School (Delta, British Columbia)",1317
Weald of Kent Grammar School,1105
Whittier Christian High School,674
Университет Свазиленда,5961
"Department of Management Studies, IIT Roorkee",240
Edmonds Community College,11800
National Polytechnic University of Armenia,10259
معهد كارلسروه للتكنولوجيا,25413
University of Massachusetts,70805
Линкольн-колледж Новой Англии,796
Katholieke Universiteit Leuven,56069
Maplebrook School,76
Universidade de Luxemburgo,6500
Sangju National University,4560
University of Pannonia,9653
Istituto Europeo di Design,8165
Winnebago High School,545
Université de Cagliari,30110
Lycée français de Pondichéry,1346
Western Mennonite School,202
Rice University,6831
Clydebank High School,1480
James Hubert Blake High School,1540
Western Technical-Commercial School,1029
Bun-sgoil Ghàidhlig Inbhir Nis,181
Université américaine d'Arménie,1531
Cleeve Park School,1000
Rio Mesa High School,2211
Hewens College,1174
Birralee International School Trondheim,249
Université d'Izmir,49045
Avila University,1912
"Norwood School (Montgomery County, Maryland)",433
The Polesworth School,1294
Université Dalhousie,19057
Colfe's School,1027
Richmond Hill High School (Ontario),1713
Sciences Po Lille,1780
East St. Louis Senior High School,1432
Isleworth and Syon School,1026
ポンデローサ高校,1866
埃里温国立大学,9467
マサチューセッツ芸術大学,1825
Albany Options School,68
Fleming College,9756
Paine College,526
Universiteit van Piura,6604
Cranford High School,1112
Carlson High School,1228
Университет Пердью,40218
麻布中学校・高等学校,1751
Harvard Business School,2058
Valenzuela City School of Mathematics and Science,746
Betty Shabazz International Charter School,633
Athens Technical College,4002
University of Oran,25850
约阿尼纳大学,14434
CUNY Graduate School of Journalism,176
Donovan Catholic High School,919
Chemnitz University of Technology,11264
جامعة تونس,27895
Universität Stuttgart,25815
Don Bosco Bandel,2109
Whitchurch High School,2325
SMK Datuk Peter Mojuntin,1355
Roger Williams University,4387
Rutgers Formula Racing,31
"Highfields School, Matlock",1300
Ramona Convent Secondary School,448
Rawls College of Business,5163
ナポリ大学,77359
Cypress Bay High School,4430
Associação Escola Graduada de São Paulo,1215
University of Mauritius,12025
"Good Shepherd Convent, Chennai",980
SUPINFO,7094
Zephyrhills High School,1644
Université islamique de Médine,21696
Universität Nordland,5921
Verdugo Hills High School,1354
Indian Institute of Management Nagpur,121
琉球大学,8046
New York Chiropractic College,797
Newport High School (Pennsylvania),383
University of Bergamo,15
Snead State Community College,2319
Universität Luzern,2695
جامعة باموكالي,46
Desert Hills High School (Utah),998
Coudersport Area School District,831
Technical University of Lisbon,21819
Montanuniversität Leoben,3898
Sullivan County School District,757
East Hall High School,1139
Uniwersytet Komeńskiego w Bratysławie,27887
Simon Fraser University,33468
Université de Bulacan,30543
UPMC Shadyside School of Nursing,491
Rock Canyon High School,2062
Escuela de Medicina de la Universidad Johns Hopkins,1373
Università di Malta,11307
Cranston High School West,1573
Los Angeles City College,21226
West Mecklenburg High School,2193
"Ambleside Primary School, Nottingham",512
"Royal University of Agriculture, Cambodia",10221
George Nelson Tremper High School,1426
Middletown High School North,1439
Banneker High School (Georgia),1623
Henry E. Lackey High School,1067
Stone Bridge High School,1737
Northeast Health Science Magnet High School,893
哥倫比亞大學醫學院,747
Yuet Wah College,1658
Capitan High School,150
"Bowie High School (Austin, Texas)",2977
Branford High School (Connecticut),1235
St. John Vianney High School (New Jersey),971
Eastwick College and the HoHoKus Schools,2528
Westerford High School,987
"Royal Academy of Art, The Hague",1012
Национальный университет дистанционного образования,258300
Connecticut State University System,33897
Sacred Heart of Mary Girls' School,776
Dartmouth College,6175
Hempfield Area High School,2132
G-Star School Of The Arts,1132
Buckhannon-Upshur High School,1224
Reed College,1369
Smolny College,551
De La Salle Collegiate High School,783
Technische Universität Cluj-Napoca,19792
Bentley School,340
Carol Martin Gatton Academy of Mathematics and Science in Kentucky,153
Birkdale School,1011
Katholische Universität Lille,25254
Heinrich-von-Gagern-Gymnasium,1023
Université d'État de Zanzibar,2063
Colleton County High School,1559
Nome-Beltz Junior/Senior High School,307
Университет Крэндалла,707
Colton High School (Oregon),233
忠北大学,18543
Pateros High School,314
Accademia di Architettura di Mendrisio,596
Southridge High School (Kennewick),1553
The Wensleydale School,499
Rice University,6884
جامعة كايزرسلاوترن للتكنولوجيا,14
Maret School,626
Doane University,2882
Pauselijke Universiteit Sint Thomas van Aquino,983
West Greene School District,881
Borah High School,1477
Crichton Street Public School,517
Lopez High School,2057
Academia de artes y diseño Bezalel,2184
Trillium Charter School,352
Omaha Northwest High School,1241
Universidad del Rosario,12623
Universität Macerata,10719
Aurora Alternative High School (Indiana),75
Aix-Marseille University Faculty of Sciences,8252
McMinn County High School,1548
"Alexander-von-Humboldt-Gymnasium, Konstanz",944
Hope High School (Arkansas),630
