http://dbpedia.org/ontology/SportsTeamMember,http://dbpedia.org/ontology/squadNumber
Manchester City Football Club 2000-2001,1
Ohio State Buckeyes men's soccer,31
Los Angeles Skyhawks,4
2009 Carolina RailHawks FC season,9
List of Cypriot football transfers winter 2013–14,102
List of Russian football transfers winter 2011–12,33
Клубный чемпионат мира по футболу 2008 (составы),7
Ohio State Buckeyes men's soccer,22
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,27
List of Serbian football transfers summer 2012,20
2000–01 Manchester City F.C. season,29
2007 CIS Men's Soccer Championship,6
List of Norwegian football transfers 2010,24
List of Norwegian football transfers summer 2014,33
List of Latvian football transfers winter 2013–14,2
2000–01 Fulham F.C. season,25
Full Members Cup 1988-89,8
2014 Indonesian Inter Island Cup qualification squads,27
List of Chinese football transfers winter 2014,57
Elencos da Copa do Mundo de Clubes da FIFA de 2012,25
List of Bulgarian football transfers summer 2012,79
List of Russian football transfers summer 2012,3
1996–97 UE Lleida season,8
List of German football transfers summer 2010,23
List of Russian football transfers summer 2013,92
2008 FIFA Club World Cup squads,26
List of Macedonian football transfers winter 2014–15,22
List of Estonian football transfers summer 2013,10
List of Bulgarian football transfers winter 2010–11,26
List of Russian football transfers summer 2010,24
List of Iranian football transfers winter 2013–14,34
List of Cypriot football transfers winter 2013–14,12
List of Russian football transfers winter 2011–12,76
List of Maltese football transfers winter 2009–10,25
List of Latvian football transfers summer 2013,23
Green Bay Phoenix men's soccer,7
List of Slovak football transfers summer 2013,27
2010–11 Deportivo Toluca season,13
List of Maltese football transfers summer 2009,5
List of Mexican football transfers summer 2013,26
Shabab Al-Bireh Institute,19
List of Chinese football transfers winter 2013,41
Toledo BM,4
Cal Poly Mustangs men's soccer,15
List of Russian football transfers summer 2010,66
List of Cypriot football transfers summer 2013,16
List of Japanese football transfers summer 2012,46
Клубный чемпионат мира по футболу 2013 (составы),26
List of Russian football transfers winter 2010–11,29
List of Greek football transfers summer 2012,23
List of Cypriot football transfers winter 2013–14,10
List of Serbian football transfers summer 2012,25
List of Greek football transfers summer 2010,43
List of Iranian football transfers summer 2009,14
2005 South Carolina Gamecocks men's soccer team,11
List of Bulgarian football transfers winter 2013–14,43
Elencos da Copa do Mundo de Clubes da FIFA de 2010,6
List of Turkish football transfers summer 2013,91
List of Norwegian football transfers 2010,22
2013–14 UEFA Youth League squads,15
2009–10 Paris Saint-Germain F.C. (Ladies) season,19
List of Iranian football transfers winter 2013–14,39
Клубный чемпионат мира по футболу 2013 (составы),9
UC Santa Barbara Gauchos men's soccer,10
2009–10 Göztepe A.Ş. season,8
2010–11 Club Necaxa season,21
List of Latvian football transfers summer 2013,10
2011–12 Grimsby Town F.C. season,4
Lijst van Bundesliga-transfers zomer 2012,29
2004–05 Fulham F.C. season,23
2013–14 SC Eendracht Aalst season,5
List of Iranian football transfers summer 2010,20
1999 Indiana Hoosiers men's soccer team,3
List of Estonian football transfers summer 2013,23
List of Estonian football transfers winter 2012–13,17
2013–14 UEFA Youth League squads,80
List of Iranian football transfers summer 2013,24
List of Greek football transfers summer 2010,91
2010–11 Querétaro F.C. season,36
List of Belgian football transfers summer 2009,17
List of Latvian football transfers winter 2013–14,24
List of Cypriot football transfers summer 2013,76
List of Hungarian football transfers winter 2011–12,10
Laguna Football Club,5
List of Mexican football transfers summer 2012,3
2014 Indonesian Inter Island Cup qualification squads,21
葉士域治2009年至2010年球季,25
2010–11 C.F. Monterrey season,17
List of Ukrainian football transfers winter 2008–09,52
List of Slovak football transfers summer 2012,44
List of Iranian football transfers summer 2011,22
List of Serbian football transfers winter 2011–12,70
List of Maltese football transfers summer 2009,7
List of Chinese football transfers summer 2010,38
List of Japanese football transfers summer 2012,24
2014–15 UEFA Youth League squads,32
2012 FIFA Club World Cup squads,5
List of Bulgarian football transfers winter 2013–14,33
List of Hungarian football transfers winter 2011–12,37
2010 FIFA Club World Cup squads,79
2004–05 Fulham F.C. season,18
List of Belgian football transfers winter 2013–14,21
List of Maltese football transfers winter 2009–10,22
List of Iranian football transfers summer 2010,15
List of Ukrainian football transfers winter 2014–15,40
List of Iranian football transfers winter 2013–14,19
Charlotte 49ers men's soccer,6
List of Iranian football transfers winter 2010–11,28
List of Bosnian football transfers winter 2013–14,6
Клубный чемпионат мира по футболу 2012 (составы),15
List of Latvian football transfers winter 2011–12,71
Elencos da Copa do Mundo de Clubes da FIFA de 2010,29
List of Azerbaijan football transfers summer 2013,22
2006 South Carolina Gamecocks men's Soccer Team,19
List of Macedonian football transfers winter 2014–15,33
Union Royale La Louvière Centre,16
Клубный чемпионат мира по футболу 2010 (составы),5
List of Hungarian football transfers summer 2013,10
2010–11 Puebla F.C. season,4
2012 FIFA Club World Cup squads,11
2013–14 Vitória F.C. season,10
2004 South Carolina Gamecocks men's Soccer Team,3
2002–03 Manchester City F.C. season,22
2010–11 Club Atlas season,7
List of Hungarian football transfers summer 2012,66
List of Chinese football transfers winter 2011,15
List of Bulgarian football transfers winter 2011–12,31
Manchester City Football Club 2002-2003,12
List of Iranian football transfers summer 2009,19
List of Turkish football transfers summer 2013,92
UR La Louvière Centre,94
List of Norwegian football transfers summer 2014,8
List of Bulgarian football transfers winter 2010–11,7
List of Bulgarian football transfers winter 2011–12,87
List of Chinese football transfers winter 2013,31
Detroit Ignition,13
Elencos da Copa do Mundo de Clubes da FIFA de 2013,1
Lisbon Lions,5
List of Serbian football transfers summer 2010,26
Detroit Ignition,27
List of Qatari football transfers summer 2012,25
List of Bulgarian football transfers winter 2013–14,75
List of Iranian football transfers summer 2011,15
Elencos da Copa do Mundo de Clubes da FIFA de 2010,19
2013年中国足球冬季转会列表,7
List of Azerbaijan football transfers summer 2012,73
2010–11 C.F. Monterrey season,31
List of Hungarian football transfers summer 2012,38
2014 Indonesian Inter Island Cup qualification squads,9
Sliema Hotsticks Hockey Club,3
List of Cypriot football transfers summer 2013,47
UMBC Retrievers men's soccer,19
2002–03 Manchester City F.C. season,18
List of Bulgarian football transfers winter 2011–12,38
2011–12 Grimsby Town F.C. season,18
Universitario Lima/Lista piłkarzy,7
List of Hungarian football transfers summer 2010,54
Hóquei Clube de Braga,4
List of Turkish football transfers summer 2014,24
Convocazioni per la Coppa del mondo per club FIFA 2006,2
List of Bulgarian football transfers winter 2010–11,25
2013–14 UEFA Youth League squads,55
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,27
List of Turkish football transfers summer 2010,88
UR La Louvière Centre,9
List of South Korean football transfers winter 2013–14,23
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,32
List of Maltese football transfers summer 2013,24
UC Santa Barbara Gauchos men's soccer,12
List of Belgian football transfers summer 2010,4
FIU Panthers men's soccer,4
2008 FIFA Club World Cup squads,10
List of Norwegian football transfers 2010,9
List of Chinese football transfers winter 2013,4
List of Chinese football transfers summer 2013,58
List of Iranian football transfers summer 2012,9
Penn State Nittany Lions men's soccer,2
2005 South Carolina Gamecocks men's soccer team,22
List of Greek football transfers summer 2012,6
List of Albanian football transfers summer 2013,4
2002–03 Manchester City F.C. season,24
List of Latvian football transfers winter 2011–12,57
Manchester City Football Club 2000-2001,15
All-time Saint Louis Athletica roster,8
List of Bulgarian football transfers winter 2011–12,19
2010–11 Atlante F.C. season,4
List of Albanian football transfers winter 2009–10,13
Meelin GAA,17
Convocazioni per la Coppa del mondo per club FIFA 2008,12
2014 Indonesian Inter Island Cup squads,76
Maybank HC,2
List of South Korean football transfers winter 2011–12,26
List of Russian football transfers summer 2012,81
List of Bulgarian football transfers winter 2011–12,17
Los Angeles Skyhawks,14
List of Maltese football transfers summer 2010,6
List of Hungarian football transfers summer 2012,85
List of Latvian football transfers winter 2013–14,13
List of Qatari football transfers winter 2011–12,21
2013–14 Valenciennes FC season,14
List of Chinese football transfers winter 2012,40
List of Iranian football transfers winter 2013–14,67
2010–11 Club Universidad Nacional season,1
List of Bosnia and Herzegovina football transfers summer 2013,9
Tacoma Tides,8
List of Azerbaijan football transfers winter 2010,10
2009–10 Ipswich Town F.C. season,8
List of Iranian football transfers winter 2011–12,35
Ajax Sportsman Combinatie,5
List of Bulgarian football transfers summer 2012,16
Elencos da Copa do Mundo de Clubes da FIFA de 2010,19
UMBC Retrievers men's soccer,26
List of Maltese football transfers winter 2009–10,85
List of South Korean football transfers summer 2012,21
List of Serbian football transfers summer 2010,1
List of Azerbaijan football transfers winter 2011,39
2010–11 Atlante F.C. season,34
List of Slovak football transfers summer 2012,15
List of Hungarian football transfers summer 2010,4
2013–14 C.F. União season,3
List of Azerbaijan football transfers summer 2010,19
2010–11 Club Universidad Nacional season,77
List of Slovak football transfers summer 2012,24
List of Albanian football transfers winter 2009–10,21
Club Universidad Nacional 2010-2011,16
List of Iranian football transfers summer 2011,19
Convocazioni per la Coppa del mondo per club FIFA 2012,14
2014 Indonesian Inter Island Cup qualification squads,7
Delaware Fightin' Blue Hens men's soccer,24
List of Turkish football transfers summer 2010,24
List of Russian football transfers winter 2009–10,63
List of Russian football transfers winter 2009–10,88
2006 SK Brann season,8
Lijst van Bundesliga-transfers zomer 2013,16
Clemson Tigers men's soccer,13
List of South Korean football transfers summer 2012,23
2013年中国足球冬季转会列表,52
2010–11 Tigres UANL season,13
List of Latvian football transfers summer 2013,3
List of Latvian football transfers summer 2013,25
Sportsklubben Brann 2006,31
List of Iranian football transfers summer 2009,6
List of South Korean football transfers winter 2011–12,36
List of Serbian football transfers summer 2013,3
Клубный чемпионат мира по футболу 2013 (составы),32
2013 FIFA Club World Cup squads,31
List of Iranian football transfers summer 2009,40
List of Japanese football transfers summer 2013,50
Convocazioni per la Coppa del mondo per club FIFA 2008,2
2010–11 Deportivo Toluca season,14
List of Ukrainian football transfers summer 2010,3
葉士域治2009年至2010年球季,36
List of Qatari football transfers winter 2011–12,64
2012–13 Grimsby Town F.C. season,12
List of German football transfers winter 2008–09,5
List of Bulgarian football transfers summer 2012,12
2010 Saint Louis Athletica season,25
Lijst van Bundesliga-transfers zomer 2012,9
List of Serbian football transfers winter 2013–14,25
Toledo BM,6
List of German football transfers winter 2012–13,23
2013–14 SC Eendracht Aalst season,21
List of South Korean football transfers winter 2011–12,53
2012 FIFA Club World Cup squads,35
List of German football transfers summer 2013,37
FIU Panthers men's soccer,28
List of Turkish football transfers summer 2013,1
2013年中国足球冬季转会列表,16
Ignition de Détroit,86
2010–11 San Luis F.C. season,21
List of Serbian football transfers summer 2012,8
2011–12 Grimsby Town F.C. season,8
List of Slovak football transfers summer 2013,23
List of Chinese football transfers winter 2013,10
List of Russian football transfers summer 2013,82
2009–10 Ipswich Town F.C. season,4
2002–03 Manchester City F.C. season,34
2012 Wake Forest Demon Deacons men's soccer team,29
2014–15 UEFA Youth League squads,64
2012–13 Grimsby Town F.C. season,3
Toledo Balonmano,2
2006 FIFA Club World Cup squads,16
List of Iranian football transfers winter 2013–14,36
2014–15 UEFA Youth League squads,31
List of Chinese football transfers summer 2010,24
Sportsklubben Brann 2007,21
2010–11 US Créteil-Lusitanos season,13
Elencos da Copa do Mundo de Clubes da FIFA de 2013,17
Laguna Football Club,9
Клубный чемпионат мира по футболу 2013 (составы),37
2013–14 SC Eendracht Aalst season,24
List of Hungarian football transfers winter 2013–14,2
Клубный чемпионат мира по футболу 2013 (составы),8
List of Chinese football transfers winter 2012,16
2004–05 Fulham F.C. season,14
List of Ukrainian football transfers summer 2009,15
List of Russian football transfers winter 2009–10,73
2012–13 Grimsby Town F.C. season,4
Football for Hope,22
F.C. Cape Town,11
List of Belgian football transfers winter 2008–09,29
List of Serbian football transfers winter 2013–14,91
List of Bulgarian football transfers winter 2013–14,30
2010–11 Club Necaxa season,6
2013–14 UEFA Youth League squads,53
List of Russian football transfers winter 2010–11,54
List of Serbian football transfers summer 2012,6
List of Azerbaijan football transfers winter 2012,13
2009–10 Göztepe A.Ş. season,6
List of Maltese football transfers summer 2008,11
UR La Louvière Centre,8
List of Cypriot football transfers winter 2011–12,66
List of Iranian football transfers summer 2012,33
2005 South Carolina Gamecocks men's soccer team,24
2013–14 Maccabi Tel Aviv F.C. season,10
Convocazioni per la Coppa del mondo per club FIFA 2008,30
List of Azerbaijan football transfers summer 2013,41
List of Russian football transfers winter 2009–10,49
List of Azerbaijan football transfers summer 2012,91
List of Azerbaijan football transfers summer 2010,18
List of Azerbaijan football transfers summer 2012,12
Penn State Nittany Lions men's soccer,11
2010–11 Estudiantes Tecos season,5
2010–11 Querétaro F.C. season,2
List of Russian football transfers winter 2011–12,61
West Ham United FC in het seizoen 2012/13,40
List of Belgian football transfers summer 2009,56
Lijst van Bundesliga-transfers zomer 2013,19
2013–14 Valenciennes FC season,3
2012–13 Walsall F.C. season,16
List of Mexican football transfers winter 2013–14,8
List of Macedonian football transfers winter 2014–15,27
2014–15 UEFA Youth League squads,7
2010–11 Atlante F.C. season,27
Sapura HC,14
Manchester City Football Club 2000-2001,13
Olympiacos B.C. season 2008–09,4
List of Azerbaijan football transfers winter 2011,14
Клубный чемпионат мира по футболу 2013 (составы),6
List of Serbian football transfers summer 2010,2
2008 CIS Men's Soccer Championship,2
List of Azerbaijan football transfers winter 2012,20
List of Norwegian football transfers winter 2012–13,3
2010–11 Estudiantes Tecos season,1
Elencos da Copa do Mundo de Clubes da FIFA de 2012,23
List of Cypriot football transfers summer 2013,76
List of Russian football transfers winter 2011–12,29
Ohio State Buckeyes men's soccer,19
All-time Saint Louis Athletica roster,25
Akron Zips men's soccer,14
List of Bulgarian football transfers winter 2013–14,31
Al-Sadd Sports Club Handball,18
South Florida Bulls men's soccer,8
2010–11 West Ham United F.C. season,14
List of Greek football transfers summer 2012,22
List of Azerbaijan football transfers winter 2010,17
List of Hungarian football transfers summer 2012,25
List of Chinese football transfers summer 2013,54
List of Russian football transfers winter 2009–10,34
List of Cypriot football transfers summer 2013,7
葉士域治2009年至2010年球季,40
List of South Korean football transfers summer 2012,45
List of Albanian football transfers summer 2011,19
List of Belgian football transfers summer 2009,12
List of South Korean football transfers winter 2013–14,43
Sliema Hotsticks Hockey Club,4
2010–11 Club América season,7
Meelin GAA,12
Al Sadd SC (handball),11
2014 Indonesian Inter Island Cup squads,66
List of Macedonian football transfers winter 2014–15,3
Convocazioni per la Coppa del mondo per club FIFA 2008,32
List of German football transfers summer 2008,7
List of Belgian football transfers summer 2014,22
2008–09 Blackpool F.C. season,36
2012–13 West Ham United F.C. season,47
List of Japanese football transfers winter 2009–10,5
List of Greek football transfers summer 2010,13
List of Russian football transfers summer 2010,54
List of Mexican football transfers summer 2013,2
List of Hungarian football transfers summer 2012,23
List of Russian football transfers summer 2013,29
Elencos da Copa do Mundo de Clubes da FIFA de 2010,2
List of Cypriot football transfers summer 2013,49
List of Cypriot football transfers winter 2013–14,27
Al Rayyan Handball Team,1
2013–14 Stationery Stores season,7
List of Japanese football transfers summer 2012,2
2010–11 Club Universidad Nacional season,16
List of Belgian football transfers summer 2015,5
List of Ukrainian football transfers winter 2008–09,36
2013–14 UEFA Youth League squads,68
List of Bulgarian football transfers summer 2010,10
List of Russian football transfers winter 2009–10,40
2000–01 Fulham F.C. season,12
2002–03 Manchester City F.C. season,23
2007 SK Brann season,15
Wake Forest Demon Deacons men's soccer,18
South Florida Bulls men's soccer,19
List of Bulgarian football transfers summer 2013,89
List of Hungarian football transfers winter 2013–14,25
List of Norwegian football transfers summer 2014,4
2010 Rochester Rhinos season,8
2010–11 C.F. Monterrey season,65
2014 Indonesian Inter Island Cup qualification squads,16
List of German football transfers winter 2008–09,15
List of Russian football transfers summer 2013,21
List of German football transfers summer 2008,32
List of Hungarian football transfers winter 2013–14,82
List of Bulgarian football transfers summer 2010,90
2010–11 Deportivo Toluca season,5
List of Estonian football transfers winter 2012–13,32
Hóquei Clube de Braga,2
2009–10 Göztepe A.Ş. season,11
List of Ukrainian football transfers summer 2009,10
List of Hungarian football transfers summer 2010,32
2009–10 Göztepe A.Ş. season,19
Lijst van Bundesliga-transfers zomer 2012,34
2004–05 Fulham F.C. season,11
List of Dutch football transfers winter 2010–11,24
2010–11 Deportivo Toluca season,15
2014 Indonesian Inter Island Cup qualification squads,8
1980 CIS Men's Soccer Championship,5
List of German football transfers summer 2012,31
2012–13 Grimsby Town F.C. season,1
Convocazioni per la Coppa del mondo per club FIFA 2012,21
Convocazioni per la Coppa del mondo per club FIFA 2010,81
2014–15 UEFA Youth League squads,47
List of Russian football transfers summer 2010,1
2006–07 Plymouth Argyle F.C. season,21
List of Norwegian football transfers winter 2012–13,8
2012–13 Walsall F.C. season,22
List of Azerbaijan football transfers summer 2009,33
Olympiacos B.C. season 2008–09,17
List of Russian football transfers summer 2013,41
List of South Korean football transfers winter 2011–12,22
Клубный чемпионат мира по футболу 2012 (составы),23
Green Bay Phoenix men's soccer,10
List of Greek football transfers summer 2012,29
List of Azerbaijan football transfers summer 2010,10
Ajax Sportman Combinatie,99
List of German football transfers winter 2008–09,37
All-time Saint Louis Athletica roster,22
Detroit Ignition,3
Olympiacos B.C. season 2008–09,12
List of German football transfers summer 2009,27
2014–15 Grimsby Town F.C. season,5
Green Bay Phoenix men's soccer,19
