http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/numberOfEpisodes
Huhu Uhu – Abenteuer im Kreuzkrötenkraut,26
Una famiglia a tutto gas,39
"Goede tijden, slechte tijden",5083
Monster Allergy,50
What to Eat Now,12
In the Night Garden...,97
スターゲイト ユニバース,40
İntikam,44
Bit Museum,5
Tosh.0,217
Aquarius (U.S. TV series),27
Better Call Saul,21
Brothers & Sisters,112
Amor en custodia (Mexican telenovela),247
Сорвиголова (телесериал),25
Heartbeat (UK TV series),365
Falcon Crest,232
Verbotene Liebe,4582
The Midnight Special (TV series),446
Le avventure di Johnny Quest,52
Plan Totalnej Porażki,26
NASA 360,23
ラリーのミッドライフ★クライシス,76
Jake and the Kid (TV series),13
It's a Knockout (Australian game show),99
ホテル・カエサル,2929
Tokusō Sentai Dekaranger,51
Amoureusement vôtre,3296
Hootenanny (muziekprogramma),21
Familienstreit de Luxe,42
Super Robot Mach Baron,26
Triple Z (TV series),52
Twarda gra,26
Live on Tape,58
星期天真好,555
The Daily Habit,966
I Polykatoikia,138
La que no podía amar,160
Soccer Aid,13
"Dawno, dawno temu",112
Bestia (serial telewizyjny),13
Жили были… первооткрыватели,26
Safe House (Fernsehserie),8
Once Upon a Time,112
The Carrie Diaries (serie de televisión),26
Buzzer Beat,11
Sorted (TV series),6
Desaparecido (série de televisão),13
Było sobie życie,27
Pointless,798
Adventures of Sonic the Hedgehog,64
Mega Disasters,39
Prison Break,81
Металлопокалипсис,64
The Charmings,20
Conviction (2006 TV series),13
Amber Dhara,122
Imbarchiamoci per un grande viaggio,27
Brain (serie de televisión),19
Ulica Sezamkowa,4327
成吉思汗 (無綫電視劇),10
The Story of Maths,4
Neeli Aankhen,27
識法代言人,22
L'Homme de nulle part (série télévisée),24
紅楼夢 〜愛の宴〜,52
Heroes Reborn,13
ストーリーテラー,4
Wolf Lake,10
The Snow Queen (serie de televisión),16
Los sábados secretos,35
الموتى السائرون,85
ستارغيت إس جي 1 (مسلسل),212
L'avvocato Porta,8
Skyways,187
Absolutely Fabulous,40
La mujer perfecta,138
Italia's Next Top Model (cycle 1),13
Podwójne uderzenie (reality show),16
Ivory Tower (Harvard Undergraduate Television),35
Out There,27
Isa TKM,108
Hrvatski Top Model,23
Happy Family (2003 TV series),21
Firefly (TV series),14
Придурки из Хаззарда (телесериал),140
L'Homme qui valait trois milliards,101
Banjun Drama,87
Victorious,57
The Beiderbecke Affair,6
الأسطورة بروس لي,51
Los hermanos Venture,4
Hec Ramsey,10
Polizeibericht (Fernsehserie),304
House of Anubis,189
空港城市,16
College (serie televisiva),14
リロ・アンド・スティッチ ザ・シリーズ,62
The Power of Women,20
A Double Shot at Love,10
Happy Days,250
Grownups (2006 TV series),23
Monday Nitro,277
ザ・コミッシュ,96
Nun-ui yeo-wang,16
Wallace e Gromit,1
Hollywood Squares,1098
Orthros no Inu,9
Cousins (TV series),3
Stoked : Ça va surfer !,50
Burn Notice (season 2),16
ボブとはたらくブーブーズ,300
Kotopies,71
Stompin' Tom's Canada,26
Glue (TV series),8
Highlander: The Series,123
康熙王朝,50
Distretto di Polizia,282
État d'alerte,6
Buffy the Vampire Slayer (televisieserie),147
Es war einmal … der Weltraum,25
Soldiers: A History of Men in Battle,13
Zero Hour (2004 TV series),16
The Real Hustle,105
X-Files : Aux frontières du réel,211
Dead Famous (TV series),30
Body Farm - Corpi da reato,6
"Aşk-ı Memnu (série télévisée, 2008)",80
Nostromo (TV serial),4
Dr. House - Medical Division,178
Alias Smith and Jones,49
Melrose Place (2009 TV series),18
The Game (televisieserie),140
Quiller,13
Classic Goldie,2
Julia (serie de televisión),88
Bébé Clifford,39
The Batman,63
Crackerjack (TV series),449
The Fresh Beat Band,62
This Hour Has Seven Days,50
Life with Louie,39
Cantinflas Show,53
Mammamia!,31
Buck Rogers,38
Chuck (Fernsehserie),88
Pole Position (TV series),13
"Bonkers, der listige Luchs von Hollywood",63
Seeta Aur Geeta (TV series),88
Captain Z-Ro,26
Чёрный Иисус (телесериал),20
Children's Hospital (BBC TV series),109
Animal Kingdom,10
ウォレスとグルミット,1
Grease: You're the One That I Want!,11
Danny Phantom,54
Eye Candy,10
Love Bites (telessérie),8
The New Avengers (TV series),26
Soup of the Day,19
Outlaws (1960 TV series),49
Princess Hours,24
Fly by Night (TV series),13
The City (reality show),34
Heroes Reborn,13
Wonder Woman (televisieserie),59
I favolosi Tiny,98
Ultraman Leo,51
Ascension (mini-série),6
Ja w kapeli,44
Wo de yi wan mian bao,12
The End of Obrenović Dynasty,12
The Office (versión británica),12
Vientos de agua,13
Aşk-ı Memnu (TV series),77
Meet the Press,17603
"Conor, der Kelte",13
快打旋風：暗殺拳,12
Due onesti fuorilegge,49
سبيرل زون (مسلسل كرتوني),64
The Paradise,16
The New Adventures of Old Christine,86
Raccontami,50
Trollz,28
The American West,8
An Aussie Goes Bolly,6
Mission: Impossible,177
My Friend Tony,16
World of Sport,1116
Isa TVB,101
Huntik: Secrets & Seekers,53
Casa Keaton,161
Tylko Ty!,128
Io e i miei parassiti,62
女検察官アナベス・チェイス,44
妻の誘惑,127
宮 (2006年電視劇),23
A Double Shot at Love,10
Table of Glory,21
Awake (serie de televisión),13
Giochiamo all'avventura con l'alce Elliot,27
The Stagers,26
Believe (serie televisiva),13
Pop Fiction,8
Opowieści z Tinga Tinga,104
Graceland (serial telewizyjny),38
BedHead,5
الأشرعة السوداء,29
A Kind of Magic (série animada),27
Indagini ad alta quota,140
Shaggy e Scooby-Doo,27
Sisters (TV series),122
Rizzoli and Isles,106
私の億万LOVE,12
Beast Wars,54
Shagun,667
小爸爸上學去,16
My Kind of Music,47
Moje drugie ja (serial telewizyjny),74
Absolut relativ,23
The Adventures of Chuck and Friends,77
"Goede tijden, slechte tijden",5495
Barrera de amor,130
Súbete a mi moto (telenovela),156
Dark Shadows (soap opera),1263
Dragnet (franchise),101
Un mundo perfecto (programa de televisión),5
Una moglie per papà (serie televisiva),73
La Méthode Becky,26
$h*! My Dad Says,18
Nick Knight – Der Vampircop,70
Life With Louie,39
Nurse Jackie,76
Shark Tank,160
絕代雙驕 (1977年電視劇),59
كيك باتاوسكي: المغامر,54
Sport Nation,19
Room 222,109
Portuguese in Asia,54
10 Things I Hate About You (série),20
Miasteczko Salem (miniserial),2
暗警,21
Dyplomata (film),2
Norma e Felice,19
Хорошая жена (телесериал),156
Ten Dollar Dinners,31
美麗高解像,18
Into the Badlands,6
"Hazardzista, dziewczyna i zabójca",1
Бэкстром,13
Orphan Black,38
Noblesse Oblige (TV series),21
H.R. Pufnstuf,17
Designing Women,159
Newstopia,29
Storyteller (serie televisiva),4
Ai confini dell'universo,26
Russell Howard's Good News,98
Nonni and Manni,6
Silk Stalkings,168
It's Always Jan,27
綁架 (電視劇),13
Русская рулетка (телеигра),130
Sentinel (serie televisiva),66
Beaver Falls (TV series),12
High Society (serie de televisión),16
The Storyteller,4
Verbotene Liebe,4505
Mów mi swatka,17
Butch Patterson: Private Dick,40
Le Dino Train,88
Charlie's Angels,106
Tutti Frutti (1987 TV series),6
被禁止的爱,4581
成吉思汗 (2004年電視劇),30
La llaman Mariamor,178
Daredevil (serial telewizyjny),26
I Love Money (season 4),12
Rita Rocks,42
ゆかいなブレディー家,116
Alegrijes y rebujos,139
Time Warp,33
Raumpatrouille – Die phantastischen Abenteuer des Raumschiffes Orion,7
Honey West (TV series),31
Sonic (serie animata),25
飞天大盗,48
Kidnapped – 13 Tage Hoffnung,13
假面 (電視劇),20
What Would Brian Boitano Make?,14
Komen Eten,1351
Spenser (serie televisiva),65
Огни ночной пятницы,76
Абсурдное природоведение,15
Gorejący krzew (serial telewizyjny),3
High Society (1995 TV series),13
Heroes: Odrodzenie,13
Ultraman Ace,52
Quinceañera,102
Wallace y Gromit,2
30 Rock,137
Jumanji (animatieserie),41
Kosmiczny Szeryf Gavan,43
淵蓋蘇文 (テレビドラマ),102
Floricienta,352
Schneller als das Auge,32
Rose and Maloney,11
Wallace e Gromit,2
Family Ties,174
Cidade Nua,96
Cory en la Casa Blanca,34
Звёздные врата: Бесконечность,26
Expeditie Robinson,184
Temptation Island (TV series),26
In the Heat of the Night (TV series),141
That Was Then,4
Avventure in paradiso,90
獵鷹 (電視劇),20
Belle's,6
The West (film),8
Persone scomparse (serie televisiva),17
Better Call Saul,21
Hollywood Squares,44
"Empire (Fernsehserie, 2005)",6
テレタビーズ,443
JejeMom,14
Flashpoint (série télévisée),72
Real Chance of Love (season 1),14
Camaleones,129
Laguna Beach: The Real Orange County,42
帕瓦特·奥特曼,13
Anubis (série télévisée),197
The Godzilla Power Hour,27
Work Out,24
"Ночная смена (телесериал, 2014)",36
Sounds Good,4
Stargate Universe,33
كل ده خيال,27
香港テロ対策ユニット CTU,19
Bamzooki,13
Ferdy,51
The Oregon Trail (TV series),14
Questa casa non è un albergo,12
Cory alla Casa Bianca,34
Doc (série télévisée),89
Orson Welles' Sketch Book,6
The Unforgettable Memory,911
Уоллес и Громит,6
Iridella (serie televisiva),4
Mes deux papas (série télévisée),59
Guadalupe (telenovela),209
Demony Da Vinci,27
"To, co najważniejsze",2516
Timothy Goes to School,27
Monster Allergy,50
Angie Tribeca,19
The Criminal Investigator II,30
Power (TV series),27
Les Revenants (série télévisée),16
The Pressure Cooker,1
特攻野郎Aチーム,95
Friday Night Lights (série),76
Cro (série télévisée d'animation),19
Til Death - Per tutta la vita,81
Wild Oats (TV series),6
Sensitive Skin (UK TV series),12
Instynkt mordercy (serial telewizyjny),13
双天至尊Ⅲ,31
快打旋風：暗殺拳,1
Heartland (2007 U.S. TV series),9
Homeland (serie de televisión),63
Planeta Sheena,25
Sport Billy,27
La valle dei dinosauri,45
De Kronieken van Narnia (miniserie),18
Quantum Leap,93
Qual é o Seu Talento?,117
Wordplay (UK game show),93
Smash (serie televisiva),32
فيكتوريوس,56
Adventure Time,234
De meester en Margarita (televisieserie uit 2005),10
Los Cuentos de Tinga Tinga,103
Argumental,41
パークス・アンド・レクリエーション,125
Astigs,16
CatDog,65
More Stories from Inside Quebec,6
"The Killing (série télévisée, 2007)",41
Moses Jones,3
Towards the Republic,60
フレンズ (2002年のテレビドラマ),4
The Quatermass Experiment (miniserie televisiva),6
Bad Guys (TV series),11
Homeland Security USA,13
One Night Stand (Canadian TV series),10
Whale Wars,59
Dark Knight,27
Física o Química,78
A corazón abierto,165
Planet Sheen,25
Robotskin,6
パワーパフガールズ,77
Vamp (telenovela),181
Pan ili Propal,53
El nuevo show del Pájaro Loco,164
Die Muppet Show,125
Weird Nature,6
Il capo dei capi,6
コーリー ホワイトハウスでチョー大変!,33
Je ne devrais pas être en vie,57
Amen (TV series),108
Movies That Shook the World,13
Яркая Радуга,13
Блоссом (телесериал),119
ファーゴ (テレビドラマ),19
Pasión Morena,178
A to Z (TV series),13
Bermúdez (telenovela),77
Bêtes de télé,64
ドラ猫大将,31
Genghis Khan (TVB TV series),10
Hrvatski Top Model,23
The Chris Isaak Hour,8
Geronimo Stilton (serial animowany),77
Your Geek News,59
Mehr Schein als Sein,44
Gofrette,25
Le nuove avventure di Braccio di Ferro,34
Single Father (TV series),4
Angie Tribeca,21
Buck Rogers en el siglo XXV,36
Purple Playhouse,8
Sherlock Jak,52
Cheerleader Nation,8
Kick Buttowski: Suburban Daredevil,51
Amor prohibido (serie de televisión),80
Being Victor,6
美味關係 (台灣電視劇),21
"Wyluzuj, Scooby Doo!",21
Dumped,4
The Last of the Baskets,13
"Pueblo chico, infierno grande",143
Часовой (телесериал),63
Big (série télévisée),16
