http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
جزيرة فيكتوريا (كندا),1819
Geography of Mayotte,195463
Baltrum,482
Skorpios,5
Аукена,39
Flores (Indonesien),1813388
Île Clarence (Îles Shetland du Sud),0
Inishmurray,0
Polyegos,0
Солентинаме,1012
Kotlin (wyspa),44171
Hisingen,134628
Great Barrier Island,937
Sylt,21874
サムセー島,3946
Saba (Insel),1991
Giannutri,28
Puka-Puka,169
Isola di Banks,138
Madeira,288392
Tiengemeten,10
竹富島,323
科苏梅尔岛,98765
Drakonera,0
Большой Никобар,8029
Ушишир,0
جزيرة بمبا,409401
Tepoto Nord,59
Isola Mocha,811
Plavnik,0
Kyūshū,13342417
جزيرة أديلايد,95
Île-de-Bréhat,400
Casa Conejo,3265
金華山 (宮城県),6
Isla María,2
Aukena,39
Neuirland,123047
Trinity-Insel,0
Крапань,229
Porto Santo (eiland),5360
Wyspy Morza Koralowego,4
شبه الجزيرة الإيبيرية,52751166
エファテ島,62772
Терсди,2604
ニアス島,823928
卡加多斯-卡拉若斯群岛,63
Ruhnu,97
Хвар,11413
斯波拉泽斯群岛,13621
Røvær,92
Giaros,0
Nakanoshima,173
Ilha Baranof,8754
Fugloy,46
Saipan,46966
Канарские острова,2179572
Makrónisos,0
إيزو أوشيما,8270
Гуадалупе (остров),215
Tairajima,77
Islas Diómedes,0
Schiza,0
ロード・ハウ島,347
Сиеста-Ки (Флорида),6641
Ashmore- en Cartiereilanden,0
Vrgada,237
Samosir,96943
Norderney,5936
Prasonisi (Lefki),0
Naxos (isla),19697
圣文森特岛,102882
Arnaouti,0
Wallis (île),10523
Gaua,2393
Isla Alejandro I,0
Идзуосима,7949
Kvitøya,0
Bora Bora,8941
Plavnik,0
Isole dell'arcipelago delle Fær Øer,49065
Swains Island,17
Haʻapai,6812
御藏島,350
施皮克罗格,793
Anuta,289
Thasos,13502
Broughton Island (Neuseeland),0
Kish (isla),23311
Arquipélago Ártico Canadiano,13861
Mangareva,1225
Leyte,2338888
Hoëdic,113
錫爾群島 (南設得蘭群島),0
Нукуману,750
El Hierro,10443
Luizjady,44814
Lihir,18597
Île des Soeurs,18101
Omey Island,1
Ireland's Eye,0
Saipan,46802
Marettimo,288
Île d'Yeu,5028
蒙巴薩島,152895
Curieuse,7
Анаа,484
Rolas,205
Peng Chau,4777
メジット島,308
Flaherty Island,803
Rimatara,870
Baltrum,525
Hawaii (Insel),192624
Ripapa Island,0
Guadalcanal,104132
Filfla,0
Ko Samui,59564
Roosevelt Island,11660
Pag (eiland),8999
Ilha de Ascensão,893
Rolla (Troms),1079
薩爾島,33947
Ajon (eiland),441
Hestur,24
アンホルト島,152
Isla de Lobos,0
Isla del Giglio,1414
Jemo Island,0
馬卡泰阿島,66
Muskö,250
Ilha Mansel,0
Sveti Grgur,0
Manihiki,475
Formentera,10857
Hopen (Svalbard),4
Île de Batz,573
Fatu Hiva,590
جزيرة فوكلاند الشرقية,2252
瓦什島,14791
Bjarnarey,3
Java (Insel),138953819
"Clarence Island, Chile",5
Rotoroa Island,1
阿斯托夫島,2
平島 (鹿児島県),76
Tinhosa Grande,0
Rhode Island (eiland),56615
Wyspy Brytyjskie,69662421
Konida,0
Tanna (island),28402
Isla Saddle,0
Bonaire,17030
Long Island,8054887
ファラウレップ環礁,220
Calf of Man,2
Gyali,10
Savai'i,42751
Паксимадия,0
內爾斯地,0
Märket,0
Leyte (eiland),2350448
曼島地理,76469
薩納納島,50405
Остров Баренца,0
Isla Chorao,5208
Isla de Corón,2741
Île Bruny,626
Алджер (остров),0
Long Island (Bahama's),3238
Jéthou,3
Isola di Lord Howe,345
Bali (wyspa),4393983
Isla Saona,307
Dahlak Kebir,2481
Ko Samui,60278
Île d'Arros,43
マニヒ環礁,666
Jaluit (atol),1770
Bjarnarey,3
Fænø,2
Lo (ilha),217
Muna (isola),280791
Denman Island,1065
Pelagie Islands,5949
阿洛島,149915
Isla de Rennell,1475
Tinhosa Pequena,0
Sheppey,41741
Принс-Эдуард (острова),0
ハワイ諸島,1378152
Chirinkotan,0
Dalkey Island,0
Santa Catarina (eiland),434289
Antipodeneilanden,0
Mataiva,293
Ilhas Matsu,12753
ディエゴガルシア島,4170
Delos,14
Cloyd Island,0
Erikub,0
Baranof Island,8350
Isole Antipodi,0
Manitoulin Island,12337
キスカ島,0
Куной,136
Haida Gwaii,4688
Corse,339660
大東群島,2039
Zaquintos,42624
Murter (wyspa),5444
Cozumel,104422
Vanua Levu,130577
ニューギニア島,11726790
Флиндерс (остров),670
Isla Bare,0
Islas Marías,1167
Península Itálica,26070416
Санта-Исабель (остров),26269
Panay,4385870
Бас-Тер (остров),191984
竹島 (鹿児島県),81
Tromsøya,34391
Эвбея,201005
Cíes Islands,3
Upolu,141394
Саона,311
Nias,804658
Инишир,249
جزيرة مارغريتا,415804
Sicogon,5
Walaam,589
Tematangi,59
Gannet Island (New Zealand),0
Sardegna,1701214
Manihi,685
Бали,4063807
Île Walpole,1958
Tirasia,281
Ellesmere Island,148
Ilhéu das Rolas,209
St. Martin (Insel),74892
Öland,25178
Djurö (Värmdö),1014
New Providence (Bahama's),236995
Howland Island,0
Rolla (Troms),1040
Isla de Sajalín,578634
Лесбос,86904
Taketomi-jima,315
布顿岛,453260
Islas de Gigantes,11955
大溪地,189728
Isole Diomede,0
Skúvoy,52
Terra do Imperador Guilherme,109512
Geografia Mauritiusa,1300879
措辛厄島,6226
坪洲,4868
Isole Anambas,36809
Ilha Moresby,385
Panay (eiland),4328628
Kosrae,6322
Hao (French Polynesia),1038
Bawean,73628
Острова Тиви,2634
Vanua Levu,131179
Mavros,0
諾登舍爾德群島,0
Ilovik,87
Procida,10086
Burhou,0
Rockall,0
Bacan-Inseln,58749
Ilha Winter,0
Mainau,178
サントメ島,160733
Hokkaidō,5171749
Абд-эль-Кури,444
Adolphus Island,0
Andamão do Norte,41042
沃特傑環礁,1038
サント・アンタン島,44294
Ilhéu Bombom,15
Tahiti,180199
Minorca,91655
Krim,2217725
Îles Malouines,2931
Miyake-jima,2326
Ometepe,29917
Tybee Island,3139
Honshū,100410502
Lae (atoll),333
乌瑟多姆岛,78210
萨摩斯岛,33738
Korčula,15625
Pag (island),8791
Île de Noirmoutier,9580
Erikub,0
Hjelm,0
Bawean,72854
撒尔塞特岛,14858609
Öckerö,3355
馬丁加西亞島,156
Ilha Sable,5
Buton,431554
クラパニ島,236
Isole Alphonse,80
Арранмор,544
Eiao,0
薩克島,602
Seabrook Island,1726
Ilha Kotelny,1
Île-à-Vache,14711
Aranuka,1057
Ilhas de Sotavento (arquipélago da Sociedade),33369
Tabiteuea,5056
Isla de Santo Antão,46159
Brooks Island,1
Ilhéu Rabo de Junco,0
Isla Nugent,0
Mochlos,0
南方群岛,7142
Isla Schmidt,0
Острова Общества,227182
Bahía de Kino,7291
史賓納隆加島,0
Iberian Peninsula,54036010
父島,2005
جزيرة المحرق,203566
Isole Borromee,210
Tanna,30075
Nadikdik,0
Île Mangere,0
Jolo (wyspa),467694
Nakanoshima,172
Atol Namu,771
Уполу,146714
Ovalau,8806
Langeoog,2062
Ilha Mancera,53
Isola Little Cornwallis,0
Isla de San Cristóbal (San Cristóbal y Nieves),48223
Terceira,58946
Île Cornwallis (îles Shetland du Sud),0
Andros (Bahamy),7279
Ailinglaplap,2037
エーランド島,25417
Barbuda,1595
Great Harbour Cay,340
新岛,2759
Tresco,172
Bear Island (Norway),9
Hashima (isola),0
Dikson,1082
Lakeba,2043
Ilhéu das Cabras,0
Andaman Islands,344011
Rinia,0
Tulagi,1257
Laulasi Island,20
Остров Вознесения,877
Rangiroa,2624
Wyspa Scotta,0
Espiritu Santo,38890
Koltur,2
レ島,18369
Salsette,15698564
トーシンエ島,6054
Bleaker Island,2
Île-d'Arz,228
"Кинг (остров, Тасмания)",1730
Saseno,0
Srirangam,187211
Alphonse,85
Gran Canaria,853502
Paximadaki,0
Jabat Island,107
Plavnik,0
Roque del Oeste,0
Eliza Rocks,0
Atol Wotje,1006
Insel Hiddensee,1127
普林西比岛,4817
Наксос,18250
Ликома (остров),8580
Isla Spume,0
"Puget Island, Washington",831
Siesta Key,6626
Kharimkotan,0
Isla Sandwip,350164
Nonouti,2668
Гаити (остров),20661146
Nova Providência,257909
Norderney,5846
جزيرة بورو,154740
Ist (island),187
Фернанду-ди-Норонья,2844
Narcondam,16
Cima (eiland),0
Inis Oírr,239
Sejerø,398
法圖伊瓦島,569
هينغكون,6450
Buton (eiland),466368
Trinket,2
Île Robinson Crusoe,861
Sorokdo,1118
Чансиндао (Далянь),59024
Marajó,261615
Aranuka,1055
Grand Cayman,52994
Bankseiland,141
Landkreis Penghu,98697
Vanua Levu,134032
Nueva Irlanda,116280
Mikronisi (Lasithi),0
Marsh Island (Louisiana),0
Šolta,1646
Pulau Sebatik,25552
Список островов Фарерского архипелага,49322
Galesno,0
Остров Броутона,0
Mokohinau Islands,0
Assomption (Seychellen),20
Île Chuginadak,0
Wyspy Heard i McDonalda,0
Pukarua,221
Rangiroa,2658
Sphacteria,0
St. Pierre Island,0
Астов,2
Рангироа,2614
Clerkerotsen,0
Vasilyevsky Island,197829
Morotai,54213
Hessa,3754
約斯特范代克島,289
Тулаги,1204
Big Coppitt Key,2671
Borðoy,4911
Otterøya,815
Arkoi,54
Masirah,11913
Ilovik,84
Marajó,240921
伊麗薩岩,0
ولاية بيليليو,570
Foulness,146
Wallis-Inseln,11080
ケープ・ブレトン島,133415
Despotiko,0
Stora Dyrön,245
Agios Georgios (island),0
Isole del Canale,168159
茲拉林島,273
Sturkö,1319
Саба (остров),1961
Napuka,310
Prangli,146
Borkum,5364
La Digue,2835
Kitadaitōjima,682
Nayachar,2589
Wallis (ilha),10524
Sanga-Sanga,16399
Ilha de la Gonâve,75827
Wielki Kajman,53362
Île Moreton,306
Lazareto (Ítaca),0
Es Vedrà,0
アイリングラップ環礁,1902
Pulau Langkawi,91013
Cres (eiland),2949
Woody Island (Alaska),2
瓜达尔卡纳尔岛,112767
Galešnjak,0
Koro (île),4367
Джильо,1518
Fugloy,42
Cerdeña,1585178
Agatti Island,7771
Peterson Island,0
Samosir,92002
Nias,771626
Шрирангам,173163
Kunoy,131
Нордернай,6140
Kauai,63396
Andros (Cyklady),8773
Fernando de Noronha,2836
Marakei,2794
Gotland,58564
Geografía de Dominica,75010
Manuae (Gesellschaftsinseln),0
Renard Islands,631
Gavnø,37
セント・クロイ島,50106
Cozumel,104152
Tautra,48
Isla de Kotlin,43660
Île des Sœurs,18091
口永良部島,148
Boa Vista (Cap-Vert),8870
Alamagan,0
Serifopoula,0
Nordstrandischmoor,21
جغرافيا سريلانكا,19519218
宇志知島,0
Ясава (остров),1078
Nugent Island,0
ساموسير,94156
Asperö,418
Omey Island,1
فو كوك,105251
Langkawi,96775
Delo,14
Tanna (Vanuatu),28250
卡尔斯岛,153
布斯凱島,0
White Island (Scilly-eilanden),0
Савайи,42190
Alamagan,0
Ailinginae,0
Taquile Island,1716
Isla Disko,1145
Fatu Hiva,571
ロンブロン島,40476
White Island (Nunavut),0
Gozo,35908
Lynn Island,0
Olchon,1574
琉球郷,12879
Clavering (wyspa),0
Ontong Java,1981
Læsø,1724
La Gomera,22099
Cayos Marquesas,0
Tegua,60
喜界島,7846
Pašman (île),2796
Ujae,441
D'Urville Island (Nieuw-Zeeland),50
Abd al Kuri,448
Lítla Dímun,0
Usedom,78980
Falkland Orientale,2104
Ilhas Molucas,1837301
Masirah,11995
Arbe,9491
Ilha Victoria (Rússia),0
Wyspa Szmidta,0
Skúvoy,53
Isola Birkenhauer,0
Panay (Insel),4667488
Molukken,1896807
Geography of Dominica,69793
Santa Catarina (isola),405966
Islote de Cima,0
Асунсьон (остров),0
Ailinginae,0
Bolga,146
Borðoy,4966
Sark,612
Okushiri,3471
ゴナーブ島,77931
St Paul's Island,0
Амбрим,7180
Takangaroa Island,0
Islas de la Magdalena,12621
Treasure Island (Kalifornien),2349
Femø,158
Rakahanga,121
فانا (ترومسو),1007
Upolu,136644
Lítla Dímun,0
Península de Kamchatka,318282
Diómedes Menor,108
Crimée,2231995
Ilhéu de Sal Rei,0
Lastovo,759
蘭貝島,6
Isla Kolgúyev,305
Мафия (остров),44815
蛇岛 (黑海),102
جزيرة ويلز,0
克拉里翁岛,9
Pine Island (New Rochelle),0
Babuyan,1417
Boa Vista (Wyspy Zielonego Przylądka),8937
Monito Island,0
Île Sturge,0
Hiva’Oa,2273
ナムー環礁,799
Faraulep,229
Rasschua,0
Île-à-Vache,14899
Værøy,738
جزيرة سايبل,5
Cousine,16
ウニマク島,64
聖靈群島,1633
Wyspy Borromee,202
伊尔德巴特,590
Kihnu (wyspa),467
復活節島,6403
斯法克蒂里亚,0
八重山列島,54
Fejø,620
Diego Garcia,4389
Twin Cairns Island,0
Sebatik,25482
布塔里塔里環礁,4263
Kambangan (eiland),2905
Gianysada,0
薩塔瓦爾環礁,511
Dahlak Kebir,2619
馬金群島,1877
Rugged Island (Südliche Shetlandinseln),0
納努梅阿環礁,538
ساريما,30759
Bacan,63229
Geography of Iceland,316876
Раиатеа,11998
Дахлак (остров),2430
Hao (Tuamotu-Inseln),1077
Isla del Oso,9
Îles Extérieures,0
Никумароро,0
艾翁島,456
Paaseiland,6911
Vingt Cinq,241
Taboga,2
Croker Island (Northern Territory),293
口之島,138
Haida Gwaii,4955
Misima Island,18527
Andaman Centrale,55693
Märket,0
Roque del Este,0
جزيرة السلاحف (هايتي),24644
Isola di Pentecoste,16219
Læsø,1828
Isla de Janjanbureh,3985
Cleareiland,127
John Murray (wyspa),0
Isla de Itaparica,56375
أواهو (هاواي),930089
Wiencke-Insel,0
Wangerooge,976
Vendsyssel-Thy,302615
Atol Rongelap,19
Outram Island,0
Islas Auckland,0
Islas de Gigantes,12367
Graham Island,4337
パサロス島,0
迪亞島,2
Сабль,0
Wyspa Króla Jerzego,478
Île Nepean,0
Makin,1882
Bawean,73067
Mafia (isola),48388
Isla Motiti,28
Zlarin,289
Aogashima,165
アスンシオン島,0
Sankt-Lorenz-Insel,1308
Seychelles,92766
Flores (Indonesië),1905643
Isola di Dursey,3
Carabane,412
Cozumel,101560
Nordaustlandet,0
Südliche Orkneyinseln,0
Andimilos,0
ムリェト島,1035
呂島,139
Fakarava,817
Платт (остров),3
Arki (Grèce),55
مويو (جزيرة),994
Веннсюссель-Ти,302621
Chiloé,152932
Île Astove,2
Hooker-Insel,0
Бёрд (Сейшельские Острова),38
Хасима (остров),0
Kosrae,6461
Zlarin,275
阿貝馬馬環礁,3137
Hœdic,118
Durrat Al Bahrain,1002
Margarita (wyspa),457213
Mangole,37314
Taquile,1710
Сарк,572
Хольбош,1154
Kamčatka,319459
Long Island (New York),7519680
Ruhnu,101
Java (isla),142326739
Maewo,3513
松巴島,674591
Ян-Майен,0
沃格岛,3114
Islas Ashmore y Cartier,0
Ilha Ellesmere,153
Tematagi,59
Lastovo,764
Tinian,3220
Savaiʻi,45039
Neuguinea,11217186
Ebon,721
Nólsoy,263
Ambrym,7600
Ko Samui,61162
Alejandro Selkirk,58
伊法利克環礁,569
夏威夷島,190634
Mustique,495
Buru (Indonesia),155490
Lesbos,85596
Ambrym,7258
Shiashkotan,0
Kaiser-Wilhelms-Land,113088
計吐夷島,0
Îles Summer,5
Denman Island,994
Хеймаэй,4528
Lindisfarne,173
Honshū,101468614
Siberut,36124
Nouvelle-Irlande,122725
Tromsøya,34286
Península itálica,25874333
豪環礁,1103
薩利岩,0
Галапагос,25792
Holl-Insel,0
Kangaroo Island,4405
Karavi,0
Isola Vittoria,0
伊尼什特克島,60
Middle Andaman Island,56660
Нукулаэлаэ,316
パンコール島,25892
Ilha Fergusson,12878
Сикинедзима,614
乌斯蒂卡,1268
Аилингинаэ,0
Nólsoy,255
Korčula,16094
Isla Anvers,51
Île d'Anchor,0
Антикости,247
Isola Lampione,0
Maui,147635
Rimatara,842
Kitadaitō,689
Isole Snares,0
Nihoa,0
Makanruši,0
Geography of Saint Lucia,168710
Портси (остров),150643
Napuka,302
壱岐島,29313
Asinara,1
Juist,1705
Félicité (Seychelles),20
庫福尼西島,0
Пелелиу (остров),595
Spume Island,0
Asperö,411
Geography of Madagascar,22834286
Saltholm,5
Dominikanerinsel,21
迪斯科岛,1138
Фукуок,105301
Great Barrier Island,903
Géographie de la Nouvelle-Calédonie,214122
口永良部島,141
Kyushu,13504550
جزيرة أسينشين,920
Florès,1788139
澤斯波蒂科島,0
Sipora,18058
Bawean,67663
Clerke Rocks,0
Carriacou,7845
Solentiname,1023
King George (eiland),494
Moala,2904
Isola del Giglio,1377
Isla Hamilton,1211
Île Bizard,14346
Wotho,158
Rangiroa,2464
Мартас-Винъярд,15786
Koh Rong,1107
Вангероге,954
Hopen,4
Kap-Breton-Insel,137152
Moorea,16004
Îles Coco,974
Islas Tremiti,497
Hiw,266
Wotje,1016
Gyaros,0
Toscaanse Archipel,33016
Île Chalky,0
Британские острова,64657450
Moresby Island,387
Wizard Reef,0
Mezzo (isola),212
Aneytium,890
Martha's Vineyard,15740
Ilhas Tremiti,487
福门特拉岛,10345
Nonouti,2674
Kotakara-jima,50
Kalogiros (Echinades),0
法夸爾環礁,20
Ytterøya,474
Pemba (Tanzânia),416216
Prince-of-Wales-Insel (Queensland),19
Kyra Panagia,2
圣港岛,5619
Olib,145
Эбон,680
Hestur,24
Long Island,7489134
Tuần Châu,1566
Wotho Atoll,152
Minsener Oog,0
Ko Samui,60095
Isla de Lord Howe,349
Inis Meáin,158
Lampione,0
比卡爾環礁,0
Manitoulin,12429
Tinian,3086
图图伊拉岛,56677
Ilha Laurie,29
Graciosa (Canárias),669
Île-de-Bréhat,388
Wyspa Wniebowstąpienia,905
Crappano,247
Blumine Island,0
Asinara,1
莫阿拉島,3039
サル島,36137
Groote Eylandt,1465
Isla Werd,9
Hjelm (island),0
納普卡環礁,287
Valentia Island,654
Мальорка,822706
マヘ島,75701
جزيرة غوادالوبي,211
Sabine Ø,0
The Pearl,12320
パルミラ環礁,4
Суда (остров),0
Ahe,566
Walpole Island First Nation,1970
Pentecostes (ilha),16913
ニイハウ島,126
Martha’s Vineyard,16014
Sphacteria,0
Лампионе,0
Genootschapseilanden,223642
Ebon Atoll,681
Cronk Islands,0
Ryukyu Islands,1602573
Баия-де-Кино,7031
Perhentian-Inseln,2048
Île aux Ours,9
Witch Island,0
Rajkokie,0
Annet (Scilly-eilanden),0
Alegranza,0
Îles Chausey,31
Grímsey,85
ウジャエ環礁,443
康沃利斯岛 (加拿大),225
Bock (île),0
阿西納拉島,1
小宝島,47
Šolta,1629
Barbuda,1655
Ilhéu Bombom,15
Ramsey Island,2
Geografía de Jersey,103170
Nouvelle-Hanovre,17782
Суматра,49438113
德西島,3
Онтонг-Джава,2095
Kufonisi,0
Auriat Island,0
Makira,10324
Takaeang,1101
Baltrum,512
جزيرة لورد هاو,374
科捷利內島,1
Dalkey Island,0
Likoma,8611
イファリク環礁,578
Isla de Sazan,0
格什姆岛,114643
Tabiteuea,5226
Elafonisi (Kreta),0
Ilha de Baffin,10328
جزيرة الكتاب,0
Bjarnarey,3
Iberische Halbinsel,54327666
Takuu,582
マーサズ・ヴィニヤード,15774
Carriacou,8204
アンティコスティ島,248
Géographie du Sri Lanka,20216149
Kolgoejev,292
Sumbawa,1372831
Акамару,21
Austral-Inseln,6757
Muskö,267
Pidgeon Island,0
Spetsopoula,0
Ford Island,383
Miconos,10196
Sardinia,1726613
Gioura,0
扎金索斯州,39106
Рипапа,0
Tåsinge,6230
Ilhéu das Cabras,0
Virgin Gorda,3963
Кенгуру (остров),4542
Thor Island (Nunavut),0
Madeira (gebied),295532
努库希瓦岛,2672
Raiatea,12653
Onekotan,0
Isla Bizard,14886
Grahameiland,4460
Slarino,284
Fugloy,42
Tubuai (archipelag),2143
Lamotrek,380
Grímsey,84
Solentiname,1028
Onekotan,0
Cozumel,100073
Woodlark,1655
圣马丁岛,76849
Ситра,77679
Taso,14452
Odbert-Insel,0
La Digue,2893
塔塔科托環礁,275
Kingman (rafa),0
Inishturk,58
馬亞納環礁,2041
Hiddensee,1129
Anambasinseln,37522
Isla Victoria (Rusia),0
中之島 (鹿児島県),162
Ailinglaplap,1893
Phú Quốc,101703
Annet (Scilly-Inseln),0
Isle Madame,4146
ランサローテ島,144832
Vis (wyspa),3387
Filicudi,229
Île Woodlark,1709
奔巴岛,408510
Bois Blanc Island (Huronsee),71
Isla Gran Barrera,898
Marathos Island,5
Flat Holm,1
Spiekeroog,834
Nedungad,20157
ウォッジェ環礁,999
潘泰萊里亞,7840
伊亞羅斯島,0
Nieuw-Brittannië,536443
Møn,9665
Montaña Clara,0
Shikine-jima,571
Andro (Grecia),9433
スワン諸島,10
Ummanz,286
Ilha Hooker,0
Ilha Galveston,48359
Nukufetau,560
سانتو أنتاو (الرأس الأخضر),43789
ポロ島,33634
Chatham Island (Western Australia),0
Sentinel Islands,258
Эфате,68226
Fejø,634
Aride (Seychellen),8
São Tomé (île),162579
Lampione,0
維加島,0
Toskanischer Archipel,35337
جزيرة جروت آيلاند,1526
Isla de Elba,31797
Vaitupu,1488
伊豆大島,7812
火山列島,378
シエス諸島,3
Isole Ashmore e Cartier,0
Wyspy Magdaleny,13171
Shikoku,4324627
Groote Eylandt,1504
Fox Island,3643
Savai'i,45041
Isla San Lorenzo (Alaska),1338
アラバット島,43627
Île Vanier,0
Paximadia,0
Hengqin,6185
Lítla Dímun,0
"Graciosa, Canary Islands",672
Розе (атолл),0
Île de la Tortue,25556
Chalky Island,0
Éfaté,67461
Dia (île),2
Anambaseilanden,37518
بافن (جزيرة),11180
Увеа (Уоллис и Футуна),10242
Takuu Atoll,602
São Vicente (Kap Verde),82736
Bora Bora,8981
Gawdopula,3
ボルネオ島,19200121
هواهاين,6611
ウベア島,11249
Anatom (wyspa),931
Filfla,0
Ie-jima,4557
Sacalina,587362
Cape Barren Island,64
伊尔莫莱恩,222
Îles de la mer de Corail,4
Rarotonga,11042
哥得蘭島,57894
イディウィ島,244349
Tanna (île),29261
Makatea,69
Île Howe,0
Wyspy Snares,0
Región de Shikoku,3995291
Klädesholmen,374
Ziemia Cesarza Wilhelma,110097
Penisola di Crimea,2393089
Nordaustlandet,0
Norfolk Island,2271
アイルック環礁,524
Niihau,131
Caldey Island,39
Water Island,173
Dodi Island,615
ペリリュー州,575
Saipan,48775
Isole Esterne,0
Wyspy Toskańskie,33947
Isla Guadalupe,203
Andimilos,0
Ilha Alexandre I,0
Svínoy,53
Aorangaia Island,0
マキノー島,504
Ilha de Taketomi,320
Kabara,721
アジナーラ島,1
薩默群島,5
Puka Puka,160
Kosrae,6703
Sejerø (eiland),381
Île de Santa Catarina,435738
Isla Dominicos,21
Jabat,114
Pemba (Tanzania),389004
أوستيكا,1351
Mainau,193
Camano Island,13286
伊尼什默里島,0
Socotorá,43323
Лос-Рокес (архипелаг),3
马埃岛,78717
Арутуа,665
Isole Marías,1147
Панай,4615873
Isola di Noirmoutier,9517
奥克兰群岛,0
克拉弗靈島,0
Little Diomede Island,115
Рухну,94
Cameron Island,0
Dønna,1432
Vingt Cinq,254
Mersea Island,7249
Yagishiri Island,276
Vanua Levu,133998
Majorque,841841
Ронг,1060
エラート環礁,100
大ニコバル島,8046
Virgin Gorda,3910
Кларенс (остров),0
Taira-jima,76
洛亚蒂群岛,17875
白島 (挪威),0
Fuerteventura,75242
Lobos Island,0
勒姆島,680
Okushiri,3353
Isole Canarie,2056130
جزيرة فريرز,197
Nólsoy,245
Ломбок,3361992
Delos,14
羅斯福島 (紐約),11714
セント・マーチン島,76418
Сицилия,5088284
Tatakoto,285
Kazan-rettō,370
جوادالكانال,105417
Инишбофин (Донегол),11
Barren Island (Andamanen),0
Grande Nicobar,8465
São Nicolau (Kap Verde),13375
Дрвеник-Велики,153
沖繩島,1346669
Ilha Silhouette,196
Tepoto Norte,64
Buton,452460
Makatea,68
樺太,584465
Mili (atol),1033
La Graciosa,670
Bock (island),0
Ilha de Basse-Terre,188798
Upolu,141903
إزلي لا موت (فيرمونت),487
Olchon,1437
Mercury Island,2
Bikini (atol),5
Îles Cies,3
Rhénée,0
莫宁顿岛,1008
ساموس,33212
Erinia,0
Wyspa Niedźwiedzia,9
Spiekeroog,822
Ilhéu Caroço,0
Geografía de la Isla de Man,76036
Sally Rocks,0
Îles Solentiname,993
Korčula,15650
宇志知島,0
Isla de Príncipe,4856
Ilhéu Caroço,0
Grande Andamão,330507
Dolin,0
"Water Island, U.S. Virgin Islands",186
Остров Ратманова,0
Isole Tiwi,2673
Agriomandra,0
Чугинадак,0
Öckerö (Bohuslän),3533
Antwerpeneiland,49
Rowett Island (South Shetland Islands),0
Schiaschkotan,0
Futuna (Vanuatu),512
Fatu Hiva,592
Île Socorro,46
阿卜杜勒庫里島,438
Kawau Island,72
マタイヴァ環礁,285
Udone-shima,0
亞歷山大塞爾扣克島,56
Little Andaman,19256
西比路島,35789
Polillo Island,65178
Terra di Peary,0
جزر البليار,1114294
Фату-Хива,600
Йост-Ван-Дейк,289
アンドロス島 (バハマ),7328
Lombok,3290709
Wyspa Thursday,2617
康塞普申島 (塞舌爾),0
Donsö,1469
Isola di Giannutri,26
Ilhéu de Fora (Selvagens),1
Vanua Levu,139037
Barbuda,1600
Geografia de Barbados,276507
Джемо,0
Long Island (Nova Iorque),7711683
Isabela (Galápagos),1688
"Long Island, County Cork",10
St. Lawrence (eiland),1342
Misima,19198
Cuyo Archipelago,44257
Pantelaria,7555
Manihiki,506
Nias,797943
São Nicolau,12978
Sumba (Indonésie),652389
