http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/numberOfStudents
Rust College,676
John Taylor High School,1374
Bloomington High School (California),2296
Mountain Brook High School,1031
川北医学院,10558
Monroe High School (Oregon),143
Bezalel Academy of Arts and Design,2181
"Stratford High School (Goose Creek, South Carolina)",2386
Universidad de Concepción,25103
St. Mary's Academy (Cherry Hills Village),635
Университет штата Айова,39941
Little Village Lawndale High School Campus,290
Universidad del Cauca,13535
Whitchurch High School,2246
Union County Academy for Allied Health Sciences,277
Tecumseh High School (Michigan),903
St. John's High School (Massachusetts),937
Fayetteville High School (Arkansas),1701
Pittsburgh Creative and Performing Arts School,845
Peninsula High School (San Bruno),237
Pacific Northern Academy,132
Universidade Nova de Lisboa,21188
Jefferson County High School (Georgia),1035
Columbia University,1860
Dalhousie University,17330
Charleston Southern University,3438
浸信會呂明才中學,1208
循道中學,782
Bailey's Elementary School for the Arts and Sciences,1528
École de l'Air,495
Derry Township School District,3384
École nationale vétérinaire d'Alfort,723
The Beacon School,1378
Uniwersytet Princeton,8378
Université d'Afrique,1250
"Chaucer School, Sheffield",806
Bellefonte Area School District,2744
Deshler High School (Alabama),446
Parisutham Institute of Technology and Science,965
Hudson High School (Wisconsin),1584
Университет Восточной Финляндии,14908
Università di Edimburgo,34083
Исламский университет Медины,23001
Medizinische Universität Graz,3706
Harvard Graduate School of Design,173
克兰纳特管理学院,3630
Ralph Thoresby School,1130
Deltona High School,1257
Vinehall School,259
EM Strasbourg Business School,2981
Heywood Community High School,197
Greenwood High School (Mississippi),763
Brandeis International Business School,479
Национальный университет Сан-Антонио Абад,15196
North Augusta High School,1489
Université des Indes occidentales,40277
Florida State College at Jacksonville,77829
"Kasachisches Institut für Management, Wirtschaft und Prognostizierung",3124
Collège Jean de la Mennais,1586
McLean School of Maryland,321
Cambrian School and College,9361
Clarks Summit University,1113
Brandon School and Residential Treatment Center,105
Martin Luther King High School (Philadelphia),1065
Chatham Day School,159
Arizona State University,3957
Universidad de Deusto,6998
Gateway High School (Colorado),2290
"Sri Sangamitta Balika National School, Matale",2765
Elyria High School,2172
Stanfield Secondary School,237
Bohunt School,1554
جامعة البنجاب,48682
St Laurence School,1495
Gilbert Junior-Senior High School,380
جامعة أرمينيا الحكومية للهندسة,10807
Cape Cod Academy,237
Northern Michigan University,8121
Universität Perugia,28964
"Diocesan School for Girls, Grahamstown",557
American School Foundation of Monterrey,2338
Katy High School,2917
Lordswood Girls' School,1018
Milton High School (Georgia),2045
Rock Falls High School,716
James Madison High School (Dallas),449
Marianas High School,1580
愛知学院大学,0
Institut national des sciences appliquées de Toulouse,2175
Coeur d'Alene Charter Academy,697
La Salle High School Faisalabad,2115
Universidade Baylor,15758
"Ponderosa High School (Parker, Colorado)",1220
Crofton School,1051
東洋大学,28916
Université du Massachusetts,62749
T. H. Williams High School,1061
"Anglo Chinese School, Klang",1175
Coppenhall High School,882
The Gifted Students' School-Iraq,62
Gymnasium 9 (Simferopol),735
Jerudong International School,1316
Wyedean School,1398
Derry Township School District,3620
James Buchanan High School,743
Liberton High School,576
جامعة قابس,23906
École Gabrielle-Roy (Surrey),564
جامعة نيو إنكلاند كلية الطب التقويمي,455
Benguet State University,10205
Marshfield High School (Missouri),938
"St John's College, Johannesburg",1342
Mt. Hood Community College,36059
William Edwards School,1269
Escola Superior de música e arte dramática Felix Mendelssohn Bartholdy,851
University of Maine at Machias,1230
"Coronado High School (Scottsdale, Arizona)",1427
Paine College,591
Morgantown High School,1742
"International College of Management, Sydney",1155
Hanley Castle High School,1012
New Valley Continuation High School,155
Institut d'études politiques d'Aix-en-Provence,1951
École secondaire publique Louis-Riel,980
Frisco High School,1681
Roy High School (Utah),1421
Canton Area School District,1034
University of La Serena,8091
Forest Hills Central High School,1223
Drama Studio London,99
"Huntington School, York",1485
Universidad de Cantabria,15044
Universität Banja Luka,15111
"St Michael's Church of England High School, Crosby",780
SMK Mambau,1234
"The Castle School, Taunton",1299
Kaiserslautern University of Technology,15
Cuesta College,9767
Universidad Nacional del Chaco Austral,1709
George Washington University School of Medicine & Health Sciences,634
Macquarie University,39920
Northumberland Regional High School,964
Cumberland High School (Wisconsin),278
Université pour femmes Ewha,18380
Gaston Junior/Senior High School,512
Seattle Country Day School,384
Swami Vivekananda Institute of Technology,2056
Heinrich-von-Gagern-Gymnasium,997
Rich East High School,917
Berner Fachhochschule,6193
Reddish Vale High School,1130
Maplebrook School,35
Mountain View College Academy,140
Collins College of Hospitality Management,989
Banovallum School,586
Harvard Graduate School of Design,398
Wayne High School (Indiana),1501
Harvard Graduate School of Design,168
Universiteit van Tallinn,10512
"Apeejay School, Pitampura, Delhi",2301
Omaha Northwest High School,1171
Mid Valley School District,1575
Cypress Lake High School,1618
Università Claude-Bernard Lyon 1,31629
Arts Academy in the Woods,301
Manchester Academy (secondary school),913
Kolej Tuanku Ja'afar,657
"Clark High School (Plano, Texas)",1707
King's Hall School,306
Uniwersytet Talliński,9293
Cotwall End Primary School,396
Dartmouth College,6339
柬埔寨金边皇家大学,19841
St. Vrain Valley School District,28623
Faculte de Theologie Evangelique de Boma,57
Scituate High School (Rhode Island),475
Coastal Christian School,192
Universidad Regiomontana,8536
Mediterranea University of Reggio Calabria,11
Collège Harper,51874
Ressu-Gymnasium,662
Université de Maurice,12669
جامعة ماك إيوان,20818
Azabu High School,1787
Instituto Superior de Engenharia do Porto,7333
Wit-Russische Staatsuniversiteit,40594
Science Park High School (New Jersey),833
Белорусский государственный университет информатики и радиоэлектроники,15174
"York House School, Redheath",268
"Wakefield High School (Arlington County, Virginia)",1450
Institut d’études politiques d’Aix-en-Provence,1997
"Paul Laurence Dunbar High School (Fort Worth, Texas)",988
Hochschule Mainz,4722
Nuova Università di Lisbona,18847
Kings Manor Community College,1326
Yuba City Charter School,156
Kidderminster College,2672
Bishop McNamara High School,857
Rogue River High School,439
Crow Middle/High School,195
Université de Tunis,30925
力学と電気の専門学校,1671
Epic Bible College,326
St Hilda's Church of England High School,844
Universität von Ghana,39607
Crandall University,694
"Denbigh High School, Denbighshire",490
Technische Universität Kielce,10198
The James Young High School,1149
Shenendehowa Central School District,10346
Clear Horizons Early College High School,380
École nationale vétérinaire d’Alfort,719
Sapir Academic College,9131
Texline Independent School District,174
Central Baptist College,815
Heidelberg University (Ohio),1180
Florida Southern College,2549
White Station High School,2261
Université de l'Atlantique,13044
Prout School,686
Zurich University of Applied Sciences,16528
Outwood Academy Danum,1850
Tacoma School of the Arts,506
Tennessee Governor's Academy for Math and Science,21
Langley Fine Arts School,990
Stirling High School,928
"Leland High School (San Jose, California)",1783
West Orange-Cove Consolidated Independent School District,2564
Echo School (Oregon),289
مدرسة طب جامعة ديوك,494
Oakwood Park Grammar School,940
Rappahannock County High School,425
Santa Fe Indian School,765
Purulia Polytechnic,526
Trevor G. Browne High School,3582
University of León,14
Niagara District Secondary School,235
Catholic Memorial School,690
Williamson Senior High School,609
British School in the Netherlands,2219
"St. Xavier's School, Durgapur",1055
Penang Free School,1926
"Carlsbad High School (Carlsbad, New Mexico)",1914
Academia de Bellas Artes Nanyang,2388
Chilton Trinity School,1027
Erasmus Universiteit Rotterdam,26931
Osborne High School (Georgia),1933
Dulwich College Suzhou,928
Grey High School,878
Bucerius Law School,526
Colchester Sixth Form College,3245
Summer Creek High School,2055
"Coronado High School (El Paso, Texas)",3479
Universidade Carlos III de Madrid,17011
University of Colorado Denver,17417
Universidade Federal da Bahia,27895
Fullerton College,23597
Ndejje University,5388
汉堡大学,40848
Gairloch High School,163
Università del Salento,15921
West Davidson High School,801
Linnaeus University,13675
EM Lyon Business School,3396
Singidunum University,9738
Universidad Politécnica de Filipinas,46234
Laney College,19585
Canarsie High School,2689
Sarah Tucker College,3665
"Government Science College, Matale",436
Archbishop Temple School,813
David Oppenheimer Elementary School,377
基尔马诺克学院,567
Madrid–Waddington Central School,704
Northeastern High School (Indiana),383
Susquenita School District,1683
Sunny Hills High School,2310
Lakeridge High School,1132
斯图加特大学,23681
Madison High School (Idaho),1140
Uniwersytet w Maceracie,11252
Glasscock County Independent School District,233
Souderton Area High School,2780
Universität Alexandru Ioan Cuza Iași,23891
Université du Salento,16905
Université de Séoul,11089
Harlington Upper School,1403
Universidad de la Cuenca del Plata,1852
Koninklijke Academie van Beeldende Kunsten,961
Theodore Roosevelt High School (Gary),689
Université Roi Juan Carlos,38389
Università di Lleida,8449
Université de la Réunion,11448
Allatoona High School,1778
吉林省实验中学,4515
Universiteti i Prishtinës,46
Western Technical-Commercial School,1110
Weir High School,605
Forest Lake Academy,378
Hart County High School,1218
University of Rhode Island,16883
フランクフルト音楽・舞台芸術大学,893
Hamilton High School (Texas),273
卓克索大學,23102
Bishop Johnson School and College,8489
Nordwest-Universität (Südafrika),62680
Associated Hebrew Schools of Toronto,1757
Highlands Ranch High School,1620
Université de médecine de Lublin,6124
The Apprentice School,775
Università Politecnica delle Marche,18377
Cressex Community School,854
Marlin High School (Texas),289
Del Mar College,13469
Lisle High School,580
Alpena Community College,2167
ESME Sudria,1567
"Loreto Secondary School, Navan",1
Pierre Elliott Trudeau High School,1848
Universidad Full Sail,16590
Mohonasen High School,1114
Whitinsville Christian School,556
Crichton Street Public School,514
University of Cauca,12531
Uniwersytet w Sassari,12096
Libera Università Maria SS. Assunta,8
Henley College Coventry,4755
Słowacki Uniwersytet Techniczny w Bratysławie,17245
Universidad Drexel,27278
Université de Teramo,10221
Technische Universiteit Eindhoven,7654
Claysburg-Kimmel School District,902
National Institute of Technology Agartala,3157
Walker-Hackensack-Akeley High School,261
West Somerset College,1191
John Marshall High School (Los Angeles),2674
Ankole Western University,366
Bridgewater School,561
جامعة غرب باريس نانتير لاديفونس,32914
Marian Central Catholic High School,649
Geneva Academy,38
East High School (Des Moines),2303
Wyoming Catholic College,148
جامعة كييتي,28118
光州科学技術院,1681
James Gillespie's High School,1189
Padua Franciscan High School,865
Omaha South High School,1705
马德里理工大学,40358
Crispus Attucks High School,427
Stonesoup School,28
Bangkok University,25878
Mapleton Junior/Senior High School,84
Millsaps College,1062
Штутгартская высшая техническая школа,4
Universidad de Tamkang,26964
Mansfield High School (Massachusetts),1228
جامعة برنستون,7342
Хемницкий технический университет,11029
C. S. Lewis Academy,246
Trinity School for Ministry,197
National Law University Odisha,678
Universidad de Finlandia Oriental,15149
Firth Park Academy,1479
St. Vincent's High School,3692
Newark Catholic High School,310
Gymnasium der Technischen Universität Kaunas,298
The Bulmershe School,1073
North Gwinnett High School,2887
University of Monastir,25199
Handsworth Grange Community Sports College,1169
哈佛大学文理研究生院,3996
Thomas Jefferson Arts Academy,908
"Holy Cross School (Salem, India)",4505
Robert F. Hall Catholic Secondary School,1889
Mfantsipim School,2672
The Hill School,52238
Spotsylvania High School,1183
Word of God Christian Academy,169
Morris Catholic High School,405
Universidad de África,1315
王立プノンペン大学,21814
"Southwest High School (Fort Worth, Texas)",1236
SMS Tengku Muhammad Faris Petra,831
American University of Afghanistan,1086
Tunis El Manar University,44695
Naval School (Portugal),247
Cambria Heights School District,1527
The Regent's International School Bangkok,582
Abilene Christian University,3828
Uniwersytet Medyczny w Lublinie,6442
Landau Forte College,932
Raman Research Institute,47
Blessed Cardinal Newman Catholic High School,1167
Томский государственный педагогический университет,6674
Chalmers University of Technology,11135
Università di Macquarie,37092
Beachwood City Schools,1424
Weiser High School,465
Broward College,63430
Westmont Hilltop School District,1410
Samuel Robertson Technical Secondary School,988
"Presentation College, Bray",635
Sichuan Agricultural University,41217
American School in Japan,1477
Brno University of Technology,22336
Universidade Nacional do Laos,27595
Delta State University,3390
"Saint Joseph's Academy, Kilmarnock",690
Chopticon High School,1990
Southeastern Greene School District,616
Cypress Bay High School,4108
"Northeast High School (St. Petersburg, Florida)",1883
Carlucci American International School of Lisbon,676
Туркменский государственный институт экономики и управления,2980
FON University,5000
Isidore Newman School,962
