http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEmployees
Liberté Inc.,648
有斐閣,102
Macerich,2739
Pizza Hut,152030
Motorola,37676
中国南方工業集団,180763
九鬼 (アダルトビデオ),89
Douglas Holding,18209
Pöyry,4412
ダイムラー (自動車メーカー),265256
Dillinger Hütte,6098
NOS (Portuguese media company),1917
Rising Production,46
أوبن دي إن إس,201
BTicino,3000
American Book Company (1996),25
Nintendo,4974
Saizeriya,1351
Bloomberg News,2041
Баттельский мемориальный институт,20371
A. Lange & Söhne,473
Хиндави (издательство),471
Community Bank (Oregon),147
Nintendo Integrated Research & Development,278
InterMapper,200
General Motors,238039
Yves Rocher (entreprise),13411
Jayco,2173
LIN Media,2530
Wattpad,86
迅達集團,52460
奧馳亞,8703
Yarrow Shipbuilders,3180
Gedeon Richter,11845
بك (شركة),9904
RioCan Real Estate Investment Trust,542
Nintendo Entertainment Analysis and Development,635
MIPS科技公司,140
Saras,1820
戴姆勒,268373
جروبون,9713
Holden (automerk),2671
Western Union,7016
Argon ST,1042
Williams Lea,12630
テレコム・ニュージーランド,4899
Companhia Paranaense de Energia,7884
Norddeutsche Landesbank,6589
Gulf Organization for Industrial Consulting,113
1st Source,1281
Raidió Teilifís Éireann,1988
皇朝傢俬控股,3742
DeMoulas Market Basket,26215
荷蘭皇家航空,33103
Macromedia,1536
ASRock,311
قروب إيروسبيس,254
KRG Capital,40
富士通テン,3590
Rhön-Klinikum,38096
Maplin Electronics,1876
Bombardier,63234
The Travelers Companies,28601
Canyon Bicycles,635
ARC Resources,547
Taito (entreprise),613
Lumison,208
Surrey Satellite Technology,427
Sanpaolo IMI,50396
Marfin Investment Group,11357
Bigpoint,762
Valor Security Services,8405
Fronius International GmbH,3860
Allied Irish Banks,9812
CBS Films,19
Banco Occidental de Descuento,6771
ロッキード・マーティン,109852
Pinnacle Foods,4350
BBC,20375
スイスポスト,68
Arrium,10339
Capcom,2366
Asia Pacific Airlines (PNG),43
7-Eleven,41587
Ares Management,893
Fantastic Furniture,795
Beltelecom,25283
Conrad Electronic,3883
Fraport,21745
Mitre 10,17485
Acumatica,134
Iggesund Paperboard,1484
Shōgakukan,723
Renren,4345
"Lilpop, Rau i Loewenstein",1236
Pacnet,1299
ロビンソン・ヘリコプター,1453
Wikidot,4
Raidió Teilifís Éireann,1668
Volksbank,147133
Venan Entertainment,18
Lotte,4576
Deutsche Investitions- und Entwicklungsgesellschaft,435
Qantas,28018
Nintendo Software Planning and Development,63
Graubündner Kantonalbank,830
Bashneft,7985
Xero (software),1520
Key Energy Services,6895
並木精密宝石,589
Asia Commercial Bank,9078
Maruti Suzuki,13124
Bernina Nähmaschinenfabrik,1012
Cadbury plc,1951
Streamline Studios,96
Rolls-Royce (motoryzacja),1391
Sun Microsystems,35173
Industrial Technology Research Institute,6246
Goldilocks Bakeshop,2176
Azienda di trasporto metropolitano di Seul,6346
Днепроэнерго,9305
Škoda Auto,25870
斯特姆，儒格,2137
Bank Zachodni WBK,9070
Cascades (company),13109
Idexx Laboratories,5651
فيس بوك,15057
Foursquare,197
Disqus,63
Kalypso Media,124
Hōwa Kōgyō,1182
Bomis,11
Wanne-Herner Eisenbahn und Hafen,192
Activision,4213
X-FAB,2175
Kraš,2694
Bodum,499
Advance Publications,23817
Rolls-Royce,1368
バシネフチ,7692
سيات (سيارة),12704
London Brick Company,206
Facepunch Studios,26
武田藥品,28256
BMC Software,6921
Villeroy & Boch,10548
Qatar Islamic Bank,541
Swarovski Optik,848
Ferrocarril de Echizen,81
Private Media Group,40
Kawasaki Heavy Industries,30756
Lawrence & Foulks,152
Челябинский тракторный завод,19922
Fabbrica di trattori di Čeljabinsk,13309
JN Data A/S,594
RWE Supply & Trading CZ,28
ウェスタン・デジタル,80493
"Lilpop, Rau i Loewenstein",4245
The Emirates Group,148
SJD Accountancy,203
Ferrovial,57298
Roth & Rau,1153
Tata Steel,73403
Iseki Nōki,6151
Amstrad,87
Apex Digital,53
Adam Aircraft Industries,32
Gerber Legendary Blades,292
蘋果公司,117065
Cadbury,67464
魁北克电力公司,19081
Carlyle Group,1639
Shuanghui Group,59478
R. J. Reynolds Tobacco Company,4447
Safra National Bank of New York,450
Rural Electrification Corporation,570
Livestream,106
Benelux Film Distributors,11
Filippi (Bootswerft),61
Maxell,3751
بورلاند,1099
Ceragon,1131
SimilarWeb,272
Banco Macro,7952
UCoz,93
كانتاس,29338
Bank of the Philippine Islands,12685
James Martin & Co,712
Color Press Group,344
CMA CGM,20917
Thales Training & Simulation,2093
Volkswagen AG,667134
Binckbank,611
Doeren Mayhew,316
Kraft Foods,24139
Nintendo Integrated Research & Development,160
Kartuli Pilmi,809
Кремиковский металлургический комбинат,6223
マイクロソフト,102897
Tod's,2998
Berkshire Hathaway,322396
Melitta,3991
KUKA,12864
ノー・フィア (アパレル),410
Energiapolar,7
Bentley (automerk),3517
Polycom,3458
Grupo SM,2017
福南梅森,5492
Tiffany & Co.,9602
ソニー,137
Haemimont Games,47
Willis (assurance),19818
Doğuş Group,44
カンタス航空,29945
CeramTec,4
京福電気鉄道,870
AGF (società),30564
Robert Half International,13893
Kaspersky Lab,2907
خطوط بيغاسوس,3631
Firefly Studios,25
Olympus,38787
Idemitsu Kosan,8451
オンタリオ・パワー・ジェネレーション,10909
Elia System Operator,1253
Cing,32
Zoic Studios,144
British Broadcasting Corporation,23173
Groupe SEB,23693
ATB Financial,4947
Segal McCambridge Singer & Mahoney,344
Schering,25652
American International Group,67939
ルクソーフラックス,75
Dean Markley Strings,21
KGHM Polska Miedź,31233
Washington Mutual,45069
ガス・ナトゥラル・フェノーサ,19805
Qantas,26270
Taco Bell,177453
愛爾蘭聯合銀行,10468
Mexx,5877
UnitedHealth Group,206874
Julius Meinl,609
Motala Verkstad,164
Thales Training&Simulation,2232
WestJet,14752
WH Group,65727
أكاماي,5897
西武鐵道,2923
フィールプラス,65
VAUDE,1679
Bombardier,69645
Richlyn Systems,8
AVL List,7837
Indústria Aeronáutica Neiva,1319
探索傳播,6490
Volkswagen,670
هارلي-ديفيدسون,5615
新东方学校,19190
Aeronautical Engineers Australia,42
ChoicePoint,5496
Petrof,1110
Galp Energia,7957
Harte Hanks,4890
مجموعة شيندلر,52311
البنك السعودي الهولندي,1461
東橫INN,7622
Legg Mason,3680
Petrobras,72
Denel,7526
St. Luke's House,193
Hydro-Québec,20107
Politico,329
Westmalle (bière),21
Claas,9556
FANUC,5105
出光兴产,8162
Egon Zehnder,476
Nortel,18
Toyota Motor Manufacturing Alabama,1053
Talend,517
Fox Entertainment Group,11468
BEHER,98
Abbott (entreprise),75420
Permira,202
Ziraat Bankası,23720
Viking Line,2522
Idacorp,1822
Mashable,120
インターナショナル・ウォッチ・カンパニー,342
Itaú,56893
CTL Logistics,2181
Hornby,217
GasTerra,158
OmniScriptum,69
Grupo Petrópolis,2707
Euronet Worldwide,4593
AAA Cooper,4540
Knight Capital Group,1437
PRISA,16558
Helly Hansen,647
Spotify,1558
Evraz,97401
Cholamandalam MS General Insurance,669
Gojo Industries,1761
S&T Dynamics,1061
Perfetti Van Melle,17419
Boston Scientific,24369
Yahoo! Japan,5444
Bundesdruckerei,1284
Enel Green Power,3893
Köln-Düsseldorfer Deutsche Rheinschiffahrt,188
Exor,298289
Nippon Ham,13924
Visionary Related Entertainment,58
SGL Carbon,5982
Volksbank Gruppe,4518
Lockheed Martin,126651
Target Corporation,306386
Biocompatibles,97
Temmler,1012
Bugatti Automobiles,80
Philippine Postal Corporation,11705
Chrysler,78925
EA Canada,1258
Proton Bank,602
DLF Limited,10091
Perot Systems,23269
Zebra Imaging,51
FXCM,794
Tip Top Bakeries,9413
フラポート,21512
DeWitt Stern Group,185
Steve Jackson Games,43
Freud Communications,178
Polycom,3717
Brasfield & Gorrie,2499
US Microbics,20
DuPont,55637
Huf Haus,388
ハーレーダビッドソン,5659
Cellcom Israel,7320
Air Canada Jazz,4089
Nexen,2893
RealNetworks,1086
Eclipse Aviation,884
ゼロックス,144674
FUN Labs,90
Perfetti Van Melle,17651
Gas Natural,17176
訊連科技,481
Enron,20478
大日本住友製藥,4376
Amedei,34
Discovery Communications,7642
M&G,1058
Uralkali,11299
Tabasco (przyprawa),177
Warner Music Group,3796
Rush & Cash,1712
Save Mart Supermarkets,17125
Yellow Media,3485
Communications Corporation of America,318
ViaSat,3608
Lamborghini,1228
Peters (bakery),563
LS cable & system,8597
Petrol Ofisi,1022
American Airlines,102148
Krones,11391
Bruno Banani,96
الخطوط الجوية الأمريكية,103965
Solyndra,1182
Kraft Foods Group,23921
Vyatta,55
James Purdey & Sons,62
SNC-Lavalin,40862
ACE Limited,18983
Pfleiderer,4688
StudiVZ,11
Rail4captrain,167
Zastava Arms,2336
Uber (Unternehmen),6432
Asia Pacific Airlines (Papua-Neuguinea),40
Viacom,11100
Sopwith Aviation Company,4785
Groupe Würth,72668
NBK Capital,159
DMG Mori Aktiengesellschaft,7614
Amstrad,92
Petrokemija,1665
