http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
Aranuka,1074
瓦西里岛,203180
Madura Island,3812048
烏傑朗環礁,0
Île du Cap Barren,75
Motu One (Marquesas),0
Filicudi,223
Maui,154266
Archipiélago de Ritchie,10601
Ilha Cape Breton,136070
佩拉杰群岛,5789
Makronisos,0
Werdinsel,0
Скорпиос,5
Вотье,1062
Maṣīra,11482
Amager,168593
Norrard Rocks (Isole Scilly),0
Märket,0
Arapaoa Island,54
Гамильтон (остров),1215
Inch Island,485
Isola di Kotlin,43284
Isla D'Urville (Nueva Zelanda),47
الجزر البريطانية,66359696
Morotai,61352
Фаркуар,21
Ford Island (Windmill Islands),0
Dugi Otok,1608
راياتيا,13669
Salsette,14485923
Osmussaar,4
Ilhas Cíes,3
Tsjirinkotan,0
Île-d'Arz,212
Уруп,0
Lyø,145
Mafia (Insel),50405
Риматара,923
Kavaratti,12498
浮罗交怡,87589
Tairajima,82
Ilha de São Cristóvão (São Cristóvão e Nevis),47814
Antipoden-Inseln,0
Prasonisi (Gavdos),0
ロー島,0
Ujelang,0
Phú Quốc,113656
