http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/populationTotal
رحيم أباد (غيلان),6810
克拉斯諾赫拉德,27755
Eshkenan,7434
Saraidhela,27171
Bangarapet,41615
Gun Carriage Factory Jabalpur,17430
涟源市,930645
Tadpatri,103619
Fossambault-sur-le-Lac,1684
Донгхой,160
Johns Creek,73980
Ranavav,45831
Chanasma,15938
Karachiya,7673
Berestechko,1590
Harand,6634
小美玉市,52863
Shimonoseki,288152
Shizuoka (cidade),739047
Araioses,34973
Dhrol,22168
"Moriguchi, Osaka",136461
古尔加奥恩鲁拉尔,15827
Hola Prystan,15497
Collipulli,22977
奇特巴拉加奥恩,19645
Rampur Maniharan,27949
Bhikhi,18655
Songadh,42239
Ganj Dundawara,45136
فيلا ديل ريو (قرطبة),7720
Camaçari,279604
Sufian,8253
Хорасган,94076
Rapar,56838
تشامغردان,17397
达斯纳,23644
比克拉姆加恩杰,137379
Sarāb (Stadt),39238
Juschnoukrajinsk,42658
Babrala,14835
Korehi,3291
كوليبيولي (تشيلي),22455
斯哈赫科特,26443
科亞卡科,268318
Ahualulco de Mercado,23030
道雷赫拉,19360
Tapalpa,16431
Gariadhar,29713
Szirwan (Iran),80416
Umbergaon,27842
Вильямартин,12962
Samthar,19786
Surendranagar Dudhrej,149010
Dasna,21939
تازه أباد (كرمانشاه),6542
Beauceville,6137
Mitoyo,72344
Salaya,32439
Gohand,6836
Fatehganj Purvi,8038
普拉恩蒂杰,22988
El Harrach,50176
Zarasai,8603
Mosty (miasto),16753
Sarsawa,19869
Shiggaon,25309
Касгандж,95350
Khairabad (Sitapur),45310
"Nili, Afghanistan",18089
宇部市,186257
Catió,8595
Tonaya,6130
Tanda (Rampur),39368
Municipio Tomatlán (Jalisco),36961
Porompat,4943
贾卡尔马恩迪,6996
Titron,10262
Банджарбару,223377
Rustamnagar Sahaspur,14708
洛斯帕拉西奥西维利亚夫兰卡,33594
Nasrabad (Esfahan),5884
Ratia (India),38781
Kheralu,22069
巴瓦尔,28367
Kichha,29826
Dezab,10707
Dharaan,143748
巴利亚里,11879
Santiponce,7090
诺沃斯赫赫拉,8619
阿巴代赫塔什克,6483
Barika,117544
Pratapsasan,11985
卡特拉斯,48257
Baraut,97764
阿維爾,36744
Koratty,15241
Ивакуни,156603
Villamartín,11325
Gandevi,16351
Tuljapur,32409
Araioses,35199
Moriguchi,133129
Yatsushiro,143008
Mainaguri,28434
前橋市,353561
Venturosa,19228
Katras,48990
Kotwa,11689
Uchana,44376
纳尔卡恩达,2809
Malin (obwód żytomierski),27922
"Kōge, Fukuoka",7779
Khedbrahma,25606
赤壁市,536715
拉希马特普尔,18235
Shōdoshima,17686
Rewari (Rural),4758
Gawan,8981
Mahudha,14804
قلعة تل,9288
الخليل,216328
Honiara,56219
Morella,2714
塞塔尼亚,32248
Jewar,34221
هاجرستاون,37107
Chaboksar,7527
Iwakuni,123197
Chacabuco,37928
Dataganj,19676
"Kiryū, Gunma",118852
Radha Kunda,5343
"Gol Tappeh, Hamadan",1889
Davorlim,10791
Лозовая,70557
Titron,10203
Achalpur,603229
