http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
East Lycoming School District,1663
Clover Hill High School,1817
University of Maine School of Law,244
Erasmus-Universität Rotterdam,26656
Lamar State College–Port Arthur,1888
Universidad Autónoma de Occidente,8386
Fred T. Foard High School,1078
Université française en Arménie,2098
Université du Svalbard,473
Shandong University of Science and Technology,45
Freie Waldorfschule Wetterau,500
Coppenhall High School,793
Perry Hall High School,2086
South Bromsgrove High School,1275
Liaocheng University,29
Weifang Medical University,13268
Mill Creek High School,3966
Universidad Católica de Santo Domingo,4973
Hollis/Brookline High School,1000
Francisco P. Felix Memorial National High School,14783
Broward College,69649
St. Andrew's Preparatory School,201
Universiteit van Macerata,11570
Thomas Goode Jones School of Law,311
Heppner Junior/Senior High School,199
"Pius X High School (Downey, California)",1000
バイーア連邦大学,27541
Portland Waldorf School,347
George Enescu University of Arts of Iași,1220
Universidade de Bremen,20972
University of the West Indies,35750
Challney High School for Boys,805
Heritage Hall School,936
جامعة كايزرسلاوترن للتكنولوجيا,14
جامعة ماريا كوري-سكلودوفسكا,25234
Fleming College,5730
Université James Madison,20146
South Elgin High School,2795
Westmont Hilltop School District,1504
Bethel Park High School,1893
Kwalikum Secondary School,729
Montebello High School,3190
Frogmore Community College,591
Crandall University,652
جامعة لوند,40779
Camborne Science and International Academy,1218
West Greene School District,805
Belmont High School (New Hampshire),481
مدرسة ديليا كندا (هونغ كونغ),1171
Universidad de Luxemburgo,6491
Freeport High School (Maine),508
Hans Raj Model School,6661
Bakalia Government High School,1469
Dunkirk High School,623
Nora School,45
Oasis Academy John Williams,796
Scranton State School for the Deaf,73
卡斯商学院,4123
Hakuoh University,4718
Netherhall School,1075
Universität Évry,10352
萊比錫孟德爾頌音樂戲劇學院,782
Taras Shevchenko National University of Kyiv,20000
Edgemont Junior – Senior High School,960
ISCTE – Instituto Universitário de Lisboa,9280
Kantonsschule Küsnacht,518
King Philip Regional High School,1334
Rock Bridge High School,1872
Shri Kalyan Government College,8321
Bryant High School (Arkansas),2417
جامعة نيس صوفيا انتيبوليس,24014
Brantford Collegiate Institute,1290
The Holmesdale School,830
D. H. Conley High School,1648
الجامعة الأوروبية,3
Atlantic Cape Community College,6448
Rocky Mountain College,901
Junction City High School (Oregon),481
Université de Tunis - El Manar,45468
Heidelberg University (Ohio),1305
Wageningen University and Research Centre,9959
Ștefan cel Mare University of Suceava,9923
Edgewood High School of the Sacred Heart,561
Rajalakshmi Engineering College,6078
Universidad Pedagógica Nacional de Colombia,11469
DePaul University College of Law,130
Highline Big Picture,191
Deshler High School (Alabama),441
König-Abdulaziz-Universität,176280
CUNY Graduate School of Journalism,164
St Edward's School,438
Catholic University of Pusan,1196
Burscough Priory Science College,741
Fleming College,10062
Faith Bible High School,154
Universidad de tecnología de Papúa Nueva Guinea,2932
St. Augustine Preparatory School,709
James I. O'Neill High School,642
Laurel High School (Montana),667
"Columbia High School (West Columbia, Texas)",861
Dover High School (New Jersey),795
Rockledge High School,1184
Université de Rome « Campus bio-médical »,1699
Central State University,2056
Sylvia Young Theatre School,238
Beacon College,277
Alberta School for the Deaf,77
Штутгартский университет,24451
Université d'Afrique,1236
Universidade Rey Juan Carlos,36468
"Northwestern High School (Maple, Wisconsin)",434
Weston Favell Academy,1236
"Department of Business Management, University of Calcutta",33
Gilbert Junior-Senior High School,377
Université fédérale de Bahia,26381
Inner Mongolia University,24011
Busan Foreign School,115
Watson Technology Center,540
莱里达大学,9752
Pine Crest School,2628
Canandaigua Academy,1195
Georgia State University College of Law,481
Crow Middle/High School,185
南新罕布什爾大學,61381
Norman Paterson School of International Affairs,103
Berlin High School (Connecticut),969
Avila University,1916
Occidental College,2129
"Canyon High School (Anaheim, California)",2484
"Marymount High School, Jamaica",831
Hampton Park Secondary College,1189
Collège Montmorency,7244
Belmont Community School,719
Universität Pierre und Marie Curie,32028
Universidad Católica de la Santísima Concepción,5061
École des mines de Saint-Pétersbourg,17007
Dodge City High School,1623
Collège Jean de la Mennais,1382
Charleston Southern University,3653
Monroe High School (Oregon),137
University Hill Secondary School,766
Worksop College Preparatory School,205
جامعة إراسموس روتردام,26715
Island Trees High School,938
Кливлендский институт музыки,448
Oswego East High School,2292
Foothills School of Arts and Sciences,155
Granada Hills Charter High School,4073
Broward Virtual Education High,393
奥斯纳布吕克大学,11545
John Swett High School,522
Sacred Heart of Mary Girls' School,774
La Salle Academy (Iligan),2888
"Staatliche Universität für Informationstechnologien, Mechanik und Optik Sankt Petersburg",12115
Tring Park School for the Performing Arts,307
Culver High School,211
Uniwersytet w Maceracie,11526
"Elkins High School (Missouri City, Texas)",2039
Maret School,649
FIU Robert Stempel College of Public Health and Social Work,1651
Иркутский государственный университет,17432
International School Ho Chi Minh City,990
Highcliffe School,1374
Universität Stavanger,10597
Princess Nora bint Abdul Rahman University,53297
Hamilton Southeastern High School,3118
"Eisenhower High School (Yakima, Washington)",2063
Milo Adventist Academy,81
Hudson Catholic Regional High School,492
"Denbigh High School, Denbighshire",516
Universidad de la Cuenca del Plata,2003
Université préfectorale de Hyōgo,6157
University of North Texas System,35597
Bourne End Academy,771
Alternative Center for Excellence,99
De La Salle Institute,1047
貝魯特阿拉伯大學,14266
John Ruskin School,217
Fairfield Area School District,1326
جامعة نيو إنكلاند كلية الطب التقويمي,523
Alliance Charter Academy,249
Winchester Thurston School,664
Sulphur High School (Oklahoma),363
Columbia University,29134
巴勒莫大学,50
École Normale de Musique de Paris,1081
Ясский университет,25877
Fairfield Area School District,1057
كلية رويال ناشونال كوليدج للمكفوفين,200
Aspen University,3762
Nebraska College of Technical Agriculture,265
Auburn High School (Washington),1506
Université des Indes occidentales,37293
Ramona Convent Secondary School,414
Sapienza – Uniwersytet Rzymski,118154
Università statale dell'Iowa,38437
Университет штата Баия,27450
Instituto Nacional de Ciencias Aplicadas de Toulouse,2219
Goerdeler-Gymnasium Paderborn,860
Университет Святых Кирилла и Мефодия в Скопье,48409
St. Joseph School Endicott,131
Cressex Community School,744
Sophia High School,1960
Jewish Community High School of the Bay,183
University of Mosul,28567
Hochschule Wismar,11708
Université de Sfax,50716
Lawrence High School (Massachusetts),3123
Pennsylvania Governor's School for the Arts,190
Hilliard Davidson High School,1667
Packer Collegiate Institute,957
Kamehameha Schools Hawaii Campus,1155
Sonapur Ali Akber High School,971
Archbishop MacDonald High School,863
Levine School of Music,3652
Université du Ghana,36479
"Heritage High School (Conyers, Georgia)",1504
麥地那伊斯蘭大學,22883
Silver Lake College,10
Boston Conservatory,725
Corner Brook Regional High,912
江南大学,30233
ジャワハルラール・ネルー大学,8072
Perry Traditional Academy,565
Stone Ridge School of the Sacred Heart,720
潍坊医学院,13351
Western Institute of Technology at Taranaki,5000
Blenheim High School,1355
UC Davis College of Biological Sciences,5676
Academia Secondary School,915
Oswego High School (Illinois),2272
Landmark School,463
South High School (Denver),1338
Universidad Linneo,15552
Guangdong Pharmaceutical University,18056
"Thomas A. Edison High School (Fairfax County, Virginia)",1831
Université panaméricaine,16253
Central Greene School District,1940
Universität Wakayama,4268
Winterhill School,1183
Université pontificale catholique du Pérou,18130
Samuel Robertson Technical Secondary School,994
Madison High School (Idaho),1037
Riverton High School (Utah),2041
Marlin High School (Texas),283
Lawrence Academy (North Carolina),258
エラスムス・ロッテルダム大学,25816
Middletown High School (California),493
Westminster School (Connecticut),399
Escuelas Públicas de San Luis,22924
Beacon College,278
Lone Oak High School (Kentucky),865
International Christian School of Vienna,257
Lincoln-Way Central High School,1830
Centro de Aprendizaje Edward Roybal,2438
Université de Playa Ancha,10905
Adamjee Government Science College,1533
Оборонный научно-технический университет НОАК,16441
New York Film Academy,7091
Livingston High School (New Jersey),1894
James Buchanan High School,824
Secondary Board High School,1136
Y Pant School,1230
Университет Анкары,41866
"St John's School, Billericay",443
Judah Christian School,113
Университет Перуджи,26605
Theodore Roosevelt High School (Los Angeles),5244
Fleming College,10178
Harvard Graduate School of Design,165
Escola Lomonossov,481
Université KIMEP,2606
Texas A&M University–Commerce,12287
Bridgeport High School (West Virginia),704
Universität des Nahen Ostens,24324
夏威夷大学,51906
St. Louis Community College–Wildwood,2048
Technical University of Crete,3482
Université d'État de l'Iowa,38120
Neenah High School,1944
Lawrence High School (Kansas),1495
كولورادو دينفر,17754
Bonita Vista High School,2711
Northern Caribbean University,6055
Université Mount Saint Vincent,4315
Santa Fe Indian School,1924
Community College of Beaver County,1412
Southern New Hampshire University,65500
Mountain Lakes High School,724
布隆博格公共卫生学院,1978
Po Leung Kuk Mrs. Ma Kam Ming-Cheung Fook Sien College,1074
École spéciale de mécanique et d'électricité,1524
Peters Township School District,4217
Trinity School for Ministry,207
Heritage Christian Academy (New Jersey),75
Принстонский университет,7887
GateWay Community College,15717
Università statale dell'Arizona,13943
Meoncross School,367
École nationale vétérinaire d’Alfort,706
Braintree High School,1630
St. John's High School (Massachusetts),954
Simon Fraser University,35506
Madrid–Waddington Central School,716
Hampton Roads Academy,680
IAE Paris,1689
"Trinity High School (Euless, Texas)",2354
Far Brook School,241
Ewha Womans University,20294
Universidade de Salento,17226
Rishi Valley School,353
Mountain View College (Philippines),2344
West Lakes Academy,1150
Georgia Institute of Technology,24344
Universidad Nacional del Chaco Austral,1806
American International School of Guangzhou,976
ロサンゼルス・シティー・カレッジ,20971
Lake Mary High School,2911
Celal Bayar University,50313
Dakota State University,3194
Beachwood High School,629
Universidade de Kinshasa,25544
St Gregory's Catholic High School,959
كلية الهندسة (بونه),3705
斯德哥尔摩经济学院,1718
Busitema University,1474
Universidad federal Urdu,13438
Lycée Henri-IV,2032
المعهد الملكي للتكنولوجيا,14212
Collegiate School (New Jersey),120
"Legacy High School (North Las Vegas, Nevada)",2959
Concord High School (North Carolina),1203
Sharon City School District,2111
Università di Stanford,15264
Echo School (Oregon),280
Design and Architecture High School,529
Academia de Estudios Económicos de Bucarest,22969
Churubusco High School,679
Madras High School,912
Medical College of Nanchang University,12740
首爾市立大學,11583
Anglo-American University,1037
Santa Ana High School,3393
Line Mountain Jr./Sr. High School,151
Queensbridge School,753
College of the Holy Cross,2898
Philippine Science High School Eastern Visayas Campus,356
Institut polytechnique des sciences avancées,1457
Brooklyn Latin School,576
"Southwest Christian School (Beaverton, Oregon)",241
School of the Holy Child,298
Muskego-Norway School District,5012
"Don Bosco School, Park Circus",3384
الجامعة الفرنسية في أرمينيا,1951
大葉大学,10948
"Cooper High School (Cooper, Texas)",254
Tabb High School,1120
挪威生命科學大學,4937
La Salle High School Faisalabad,2338
Greenwood High School (Arkansas),820
Derry Area School District,2556
Delta State University,3415
Sacred Heart Higher Secondary School Hundung,2580
University School of Milwaukee,1105
Lanakila Baptist High School,67
David and Mary Thomson Collegiate Institute,1015
Hope Christian College,669
University of Salerno,33772
Allama Iqbal Medical College,2057
"Heritage High School (Vancouver, Washington)",2286
John McDonogh High School,498
"Jefferson High School (Jefferson, Oregon)",321
"New College, Swindon",5018
Matthew McNair Secondary School,932
Luther High School (Wisconsin),9
Universidade Técnica de Varna,7237
British School in the Netherlands,2251
Chung Ling Butterworth High School,2474
Government Medical College (Kota),715
Manchester Health Academy,356
Apollo-Ridge School District,1536
North Central College,2921
韓国放送通信大学校,176448
Pen Argyl Area School District,1870
Lone Star College–Tomball,8947
Université catholique de sciences appliquées de Mayence,1041
Celebration High School,1984
Central Christian Schools,268
Monarch High School (Colorado),1473
St Brigid's High School,209
Angelo State University College of Business,909
Pendekanti Law College,645
Ankeny High School,1082
Canadian International School (Singapore),3123
UNSW School of Computer Science and Engineering,262
Conservatoire de Boston,738
St. Xavier's Collegiate School,2334
McClelland College,824
ConVal Regional High School,790
Università russa di arti teatrali,1559
ليسيه الدولي دي سان جيرمان أونلي,3032
Prestwick Academy,1196
Midpeninsula Free University,977
Неаполитанский университет,77344
Université technique slovaque,18238
Baltimore Civitas Middle/High School,329
Northern Michigan University,8610
Universität Primorska,5455
"New College, Telford",1425
The Marin School,88
Snow Canyon High School (Utah),1008
Cherry Hill High School East,2167
Национальный университет Узбекистана,9877
Highlands School District (Pennsylvania),2467
Université de l'Insubrie,9
William E. Grady CTE High School,983
Blessed Cardinal Newman Catholic High School,1229
Jerome I. Case High School,2054
Karlsruher Institut für Technologie,25855
王立プノンペン大学,20594
City of Westminster College,6884
Krannert School of Management,3268
Birla Institute of Applied Sciences,585
Université de Pérouse,27946
Oldham Sixth Form College,2103
"Faculdade de Engenharia, Pune",3944
Westmont Hilltop School District,1614
James Hubert Blake High School,1593
"Pacific High School (Ventura, California)",19
リェイダ大学,9743
Technische Universität Kreta,3498
Holy Cross School (New Orleans),954
"Presentation College, Bray",604
جامعة باليرمو,49
Vanguard High School,1744
Massachusetts Institute of Technology,10759
Universidade de Nápoles Federico II,77544
Macquarie University Faculty of Science,4278
Queen Creek High School,1830
University of La Réunion,12587
Hartsville High School,1210
Université de la Ville de Manille,13580
"King Edward VI High School for Girls, Birmingham",547
East Hall High School,1112
Columbia University College of Physicians and Surgeons,792
Outwood Academy Valley,1414
Cégep de l'Abitibi-Témiscamingue,2490
Catholic High School of Pointe Coupee,316
مدرسة طب شيكاغو - جامعة روزالند فرانكلن,2092
James Caldwell High School,827
Southern New Hampshire University,59255
Barnard Castle School,722
Uniwersytet Technologiczny Chalmers,10526
Università di Lucerna,2795
Cambridge Rindge and Latin School,1785
Weydon School,1176
The Mountbatten School,0
Hempstead High School (Texas),406
Instituto de Tecnologia de Karlsruhe,25029
Centralia College,5033
James Campbell High School,3013
Bauhaus-Universiteit Weimar,4117
Gloucester High School (Massachusetts),881
"Campion School, Mumbai",787
Université de Kragujevac,14077
Warrior Run School District,1633
Université polytechnique de Madrid,34175
Slinger High School,978
Miami Dade College,168725
The High School at Moorpark College,95
Comenius Universiteit Bratislava,26906
Dunmore School District,1574
"European School, Bergen",573
Joliet Catholic Academy,829
École Navale,1535
Aalesund University College,2253
Seaford Senior High School,787
Jane Addams Business Careers Center,607
"Nimitz High School (Harris County, Texas)",3430
Glendale Community College (California),19693
Kaunas University of Technology Gymnasium,325
Universidad de los Andes (Chile),7818
Université du Rosaire,12648
"Norwood School (Montgomery County, Maryland)",435
"Clark High School (Plano, Texas)",1512
Cranbourne Business and Enterprise College,677
ハーバード・ビジネス・スクール,1879
Hillsong International Leadership College,1241
Université d'Aix-Marseille III,23292
Dinajpur Medical College,875
Academia de Belas-Artes de Viena,1285
West Toronto Collegiate Institute,370
Университет штата Аризона,48761
Académie tchèque des arts musicaux,1547
Académie Saint-Dominique,627
Blessed George Napier Roman Catholic School,849
St Martin's Ampleforth,183
Windsor High School (California),1749
École des mines de Freiberg,4958
Alton C. Crews Middle School,1242
EU Business School,3
北京陈经纶中学,2404
冰島藝術學院,474
Penn State Worthington Scranton,1346
Sturgis Charter Public School,770
Russian-Tajik Slavonic University,3185
Bismarck State College,3896
Smyrna High School (Tennessee),2205
Hyundai Chungun High School,526
聯合書院,2927
Saint Joseph Seminary College,156
Think Global School,43
Bedlingtonshire Community High School,855
Université des sports de Pékin,13306
Merlo Station High School,454
Cuyamaca College,8646
Миланский технический университет,40106
Beavercreek High School,2244
National Pedagogic University (Colombia),11258
University of L'Aquila,20672
Universidade de Valhadolide,30203
Carroll T. Welch Intermediate School,764
大阪府立清水谷高等学校,921
汕头市实验学校,3031
"Colerain High School (Cincinnati, Ohio)",2145
Европейский Университет,3
IULM University of Milan,6
St. Alban's College,606
Hunan University of Traditional Chinese Medicine,3
Universidade de Módena e Reggio Emília,20895
Wilcox Central High School,618
Санкт-Петербургская художественно-промышленная академия имени А. Л. Штиглица,1554
Universidade Nacional de Entre Ríos,12822
Perrydale School,327
蒙彼利埃大學,41365
Holliston High School,845
Selinsgrove Area High School,774
Sengunthar Higher Secondary School,2421
جامعة ولاية كنساس,24965
Penncrest High School,1365
Cardinal Newman College,3459
Elkton High School (Oregon),96
Collinwood High School (Tennessee),351
University of Manila,9244
Middlesex Middle School,1105
"Oakwood School (Morgan Hill, California)",488
浸信會呂明才中學,1233
University City High School (San Diego),1844
Southeastern Greene School District,582
Frazier School District,1296
Armand Hammer United World College of the American West,56
Triad School,261
Middleton Regional High School,703
ブラウン大学,9448
St. Charles North High School,2133
Université KIMEP,566
"Martin High School (Martin, Michigan)",307
Medfield High School,907
克劳斯塔尔工业大学,4
David Oppenheimer Elementary School,356
Universidad de Edimburgo,35772
Science Hill High School,2491
Western Beaver County School District,721
Community School of Naples,1049
Cumberland Presbyterian Church Yao Dao Secondary School,1198
جامعة كينت,30006
Słowiański Uniwersytet Tadżycko-Rosyjski,2960
マリー・キュリー・スクウォドフスカ大学,26226
Petre Andrei University of Iași,2488
"The Center School (Seattle, Washington)",240
"Wayland Academy, Wisconsin",214
Beechwood Sacred Heart School,398
Universiteit van Concepción (Chili),23703
University of Nordland,6075
Merritt College,5896
Kazan State Medical University,4109
Arizona State University,14287
Mount Angel Abbey,195
North Carolina School for the Deaf,90
Sun Prairie High School,1477
Midlothian High School (Virginia),1556
معهد ماساتشوستس للتكنولوجيا,11195
Université d'État de l'Arizona,11410
Rose and Alex Pilibos Armenian School,1047
Universidade Nova de Lisboa,19170
BI Norwegian Business School,19431
Littlefield Unified School District,135
Wyedean School,1185
Yadanabon University,22309
Faculté des sciences d'Aix-Marseille,7920
Scuola germanica di Milano,768
"St Michael's Catholic School, High Wycombe",1146
Université de technologie de Chemnitz,10734
Holy Name of Mary Catholic Secondary School,834
Varga Katalin Secondary School,523
Università di Tallinn,9894
Beijing Sport University,13535
Nutley High School,1238
North-Eastern Federal University,16609
International Health Sciences University,876
"St. Cyprian's School, Cape Town",890
Universidad Metropolitana de Ciencias de la Educación,6236
Roy High School (Utah),1593
Plainview – Old Bethpage John F. Kennedy High School,1562
Morrison Academy,144
Columbia-universiteit,28074
Colégio de Aplicação da UFRJ,776
Национальный университет дистанционного образования,250132
Päpstliche Universität Heiliger Thomas von Aquin,1053
Sagesse High School,1057
McCord Junior High School,612
State University of Zanzibar,2088
Branham High School,1490
The Hazeley Academy,1192
山梨大學,4899
Louis E. Dieruff High School,1855
John Stark Regional High School,758
Abraham Lincoln High School (Denver),1396
Midd-West School District,2128
Università degli Studi di Sassari,12702
South Side Area School District,1226
Jefferson County High School (Georgia),983
Université Corvinus de Budapest,14677
Texas A&M University–Kingsville,8409
Connellsville Area School District,5227
Butler County Community College (Pennsylvania),1631
Colony High School,2402
St Edward's School,662
Malone University,2539
S. R. Butler High School,911
Università Cheikh Anta Diop,60923
Universidade de Lviv,11199
North Country School,91
University of Minnesota Crookston,1962
Eric Hamber Secondary School,1542
Universidade Politécnica de Madrid,35154
University of Luxembourg,6546
Kolej Tuanku Ja'afar,639
St Peter's Church of England Aided School,1989
Dartmouth Academy,521
SUCCESS Academy,410
Sullivan County School District,625
ダルエスサラーム大学,19896
Cawthra Park Secondary School,1357
Mid-State Technical College,7845
Sapienza - Università di Roma,109871
Oakdale High School (California),1676
"Казахстанский институт менеджмента, экономики и прогнозирования",106
Polytechnikum Mailand,41054
"St Francis' College, Letchworth",395
"Freedom High School (Tampa, Florida)",2076
Kellogg Community College,15121
Universidade de Ratisbona,21376
Universidade Aberta,13320
Pikeville High School,581
Sistema Universitario del Norte de Texas,36606
Hostos Community College,6781
Università Erasmus di Rotterdam,26884
Université de Foggia,10773
"University of Puerto Rico, Medical Sciences Campus",2751
Fort Lauderdale High School,1983
Hermiston High School,1351
馬禮遜美國學校,197
"Lakewood High School (Lakewood, Ohio)",1822
Aichi Gakuin University,0
Worsley Wardley Grammar School,498
Collegiate School (New York City),631
المدرسة المحمدية للمهندسين,511
Bethany High,2481
"Woodlands Academy, Coventry",829
Ipswich State High School,1247
Lakeridge High School,1059
Sree Chitra Thirunal College of Engineering,1987
جامعة إنسوبريا,9
Basic Education High School No. 6 Botataung,5201
"The Martin High School, Anstey",595
Coombe Boys' School,745
ANU College of Physical and Mathematical Sciences,2387
North Hall High School,1019
Brooklyn Friends School,852
Middletown High School North,1517
North Bengal Medical College,6
Medizinische Universität Lublin,6346
Hunters Lane High School,1667
Rouse High School,2657
Simon Fraser University,34007
University of Koblenz and Landau,12466
Washington and Lee High School,523
Anderson County High School (Kansas),547
IE Business School,5880
"Carthage Senior High School (Carthage, New York)",1002
Monroe High School (Tehachapi),133
Leigh Academy,1534
Santa Cruz High School,1052
Academia de Artes de Islandia,462
Greenford High School,0
Marco Antonio Firebaugh High School,1651
Universidade de Paris X - Nanterre,30711
University of Cagliari,30880
Reynoldsburg High School,1938
MacEwan University,18688
Hutchinson Community College,13477
Little Flower Public School,1961
山形大学,8806
St. Patrick's Institute of Science & Technology,334
维也纳美术学院,1235
Bishop Anstey East,856
National University of Patagonia San Juan Bosco,14740
Catherine M. McGee Middle School,744
École secondaire de Par-en-Bas,415
St. James High School (Philippines),794
Harper Green School,1475
Gorgan University,3465
Madison East High School,1567
Polk State College,19862
"Serra High School (San Diego, California)",1696
University of Magallanes,6
Manzano High School,1828
孔聖廟中華學校,2385
兵庫縣立大學,6422
Nationale Bergbauuniversität der Ukraine,15200
Watkins Mill High School,1449
Sullivan East High School,743
Université Félix-Houphouët-Boigny,51424
Uniwersytet w Lund,41350
デウスト大学,2113
Buxton Community School,1282
Universität Skopje,48728
Technische Universität Clausthal,4
Carpenter Community Charter School,937
No.1 Senior High School of Ürümqi,2064
Università Politecnica delle Marche,17262
Universidad Católica de Temuco,8981
Universidad Politécnica de Filipinas,49391
Milton High School (Georgia),1972
Udayapur Secondary English School,805
Hamilton High School (New Jersey),1264
Cypress College,16775
Aston Manor Academy,887
University of the City of Manila,13016
キング・アブドゥルアズィーズ大学,177150
St. Clement of Ohrid University of Bitola,14522
"St. George's School, Newport",365
Valley Springs High School,273
Judson University,1200
A. R. Johnson Health Science and Engineering Magnet High School,305
North Bengal Medical College,174
Sakha-Korean School,279
Grand Saline Independent School District,1205
St John Fisher Catholic College,981
Immaculate Heart High School (Los Angeles),193
Род-Айлендский университет,16195
阿爾卡拉大學,22440
North Davidson High School,1838
Lassiter High School,2069
The Evergreen School,440
Humphrey Perkins School,870
Cleveland Heights High School,1832
Ketchikan High School,590
İnönü Üniversitesi,40711
Katholieke Universiteit Leuven,55618
Archbishop Spalding High School,1197
Université technique de Crète,3465
Guildford High School,1001
Andrews Osborne Academy,349
アイルランド王立外科医学院,4363
Lawton High School (Oklahoma),2025
Australian International School Hong Kong,1088
Henry Foss High School,1108
Gwangju Institute of Science and Technology,1847
Earl Wooster High School,1587
Universidad de Hawái,51168
Universiteit Luxemburg,6232
Manila Central University,4709
Harlington Upper School,1374
Cranberry Area School District,1211
Uniwersytet Piura,6417
المدرسة الأسترالية الدولية في هونغ كونغ,1152
Northern Nash High School,1375
South Lakes High School,2294
"All Saints College, Galle",7979
Brentwood Borough School District,1218
Haywood Early College High School,156
University of Montpellier,41323
Buckingham School,1044
Sullivan Upper School,1100
Harris Academy,1243
Khallikote University,5013
Academy of Art University,15610
Renton Technical College,3755
湖南人文科技学院,14283
Sandia View Academy,32
Harrison High School (Michigan),1097
Université Ștefan cel Mare,10499
Tenoroc High School,1336
Rumson Country Day School,420
Universität Ryūkyū,8451
"St Ninian's High School, Douglas",1396
"Braeside School, Buckhurst Hill",194
Escola Naval (Portugal),267
Kalinga Polytechnic,1301
Gordo High School,560
Eindhoven University of Technology,7262
Claude Bernard University Lyon 1,36320
Universidade Nacional de Educação à Distância,267782
Римский университет Тор Вергата,44670
Universiteit Daugavpils,4339
جامعة نصير الدين الطوسي للتكنولوجيا,8398
Strathcona-Tweedsmuir School,728
Transilvania University of Brașov,19
كلية هارفرد للأعمال,1784
Memphis Catholic High School,282
"Chaparral High School (Paradise, Nevada)",3270
马德里理工大学,36925
Korah Collegiate & Vocational School,914
"Nalanda College, Colombo",5165
Технический университет Эйндховена,6842
Mercersburg Academy,81
H. L. Bourgeois High School,1379
جامعة ساليرنو,35200
"Sacred Heart Girls High School, Thalassery",1197
ブダペシュト・コルヴィヌス大学,14291
